"team_id","team_abbr","team_name","venue_id","venue_name","n_home_games","n_home_games_total","n_unique_venues","season"
,"ATH","Athletics",,"Sutter Health Park",,,1,2026
,"ATL","Atlanta Braves",,"Truist Park",,,1,2026
,"AZ","Arizona Diamondbacks",,"Chase Field",,,1,2026
,"BAL","Baltimore Orioles",,"Oriole Park at Camden Yards",,,1,2026
,"BOS","Boston Red Sox",,"Fenway Park",,,1,2026
,"CHC","Chicago Cubs",,"Wrigley Field",,,1,2026
,"CHW","Chicago White Sox",,"Rate Field",,,1,2026
,"CIN","Cincinnati Reds",,"Great American Ball Park",,,1,2026
,"CLE","Cleveland Guardians",,"Progressive Field",,,1,2026
,"COL","Colorado Rockies",,"Coors Field",,,1,2026
,"DET","Detroit Tigers",,"Comerica Park",,,1,2026
,"HOU","Houston Astros",,"Daikin Park",,,1,2026
,"KC","Kansas City Royals",,"Kauffman Stadium",,,1,2026
,"LAA","Los Angeles Angels",,"Angel Stadium",,,1,2026
,"LAD","Los Angeles Dodgers",,"Dodger Stadium",,,1,2026
,"MIA","Miami Marlins",,"LoanDepot Park",,,1,2026
,"MIL","Milwaukee Brewers",,"American Family Field",,,1,2026
,"MIN","Minnesota Twins",,"Target Field",,,1,2026
,"NYM","New York Mets",,"Citi Field",,,1,2026
,"NYY","New York Yankees",,"Yankee Stadium",,,1,2026
,"PHI","Philadelphia Phillies",,"Citizens Bank Park",,,1,2026
,"PIT","Pittsburgh Pirates",,"PNC Park",,,1,2026
,"SDP","San Diego Padres",,"Petco Park",,,1,2026
,"SEA","Seattle Mariners",,"T-Mobile Park",,,1,2026
,"SFG","San Francisco Giants",,"Oracle Park",,,1,2026
,"STL","St. Louis Cardinals",,"Busch Stadium",,,1,2026
,"TBR","Tampa Bay Rays",,"Tropicana Field",,,1,2026
,"TEX","Texas Rangers",,"Globe Life Field",,,1,2026
,"TOR","Toronto Blue Jays",,"Rogers Centre",,,1,2026
,"WSH","Washington Nationals",,"Nationals Park",,,1,2026
