"season","team","oaa","drs","uzr"
2015,"ARI",,75,17.7696243555984
2015,"ATH",,-1,-35.8382879043929
2015,"ATL",,-10,17.0395626686513
2015,"BAL",,5,16.4070954819254
2015,"BOS",,17,-12.5749473639298
2015,"CHC",,0,12.4713625018485
2015,"CHW",,-1,-12.8922034879215
2015,"CIN",,-19,-9.62938704289991
2015,"CLE",,11,13.4168748058146
2015,"COL",,-30,-13.6333927555243
2015,"DET",,-9,-0.360611971467733
2015,"HOU",,41,-12.3781624468975
2015,"KCR",,67,39.2269329959527
2015,"LAA",,24,14.7709317933768
2015,"LAD",,21,1.36360590346158
2015,"MIA",,41,15.7469371780753
2015,"MIL",,3,-25.1926282107452
2015,"MIN",,-14,29.9772859429941
2015,"NYM",,-4,2.04190680012107
2015,"NYY",,-29,-18.641964702867
2015,"PHI",,-73,-18.3080650670454
2015,"PIT",,32,-10.8423095578328
2015,"SDP",,-2,-22.4865991901606
2015,"SEA",,-28,-15.6569803546881
2015,"SFG",,47,24.457810305059
2015,"STL",,20,10.9309677769197
2015,"TBR",,3,16.2044146689586
2015,"TEX",,-17,14.7619644579827
2015,"TOR",,13,8.28557869477663
2015,"WSN",,-2,-20.1687740190246
2016,"ARI",-3,-18,-22.6114830921742
2016,"ATH",-17,-65,-29.5546326087788
2016,"ATL",27,-5,-3.81540167937055
2016,"BAL",7,9,-12.1632871218026
2016,"BOS",2,54,28.529003105592
2016,"CHC",46,78,43.1323153530248
2016,"CHW",6,6,1.27206470677629
2016,"CIN",-7,-13,11.9847359252162
2016,"CLE",15,14,21.1154197193682
2016,"COL",26,-1,-6.92097288279911
2016,"DET",6,-54,-8.92371111456305
2016,"HOU",5,77,16.6328535497014
2016,"KCR",17,12,18.1986455069855
2016,"LAA",-1,22,25.6889034122869
2016,"LAD",-13,42,18.6466445326805
2016,"MIA",14,9,31.5178841948473
2016,"MIL",-27,-14,-49.2303623351618
2016,"MIN",23,-59,-25.4123520222493
2016,"NYM",-26,-2,7.29647708265111
2016,"NYY",18,8,11.6767033057986
2016,"PHI",23,-24,21.663681736216
2016,"PIT",10,-24,-25.3631610771263
2016,"SDP",11,27,-12.8932307080249
2016,"SEA",17,-12,-15.5061319768429
2016,"SFG",7,53,16.8988835299388
2016,"STL",0,-13,-35.2664050757885
2016,"TBR",-9,4,-1.24457525106845
2016,"TEX",21,-6,12.8748617423698
2016,"TOR",13,48,10.6970680646409
2016,"WSN",-9,3,-3.4575666609453
2017,"ARI",-5,22,-19.3535871196291
2017,"ATH",-5,-23,-26.9714942056453
2017,"ATL",2,-3,-8.71607935288921
2017,"BAL",-17,-1,-30.7342111191247
2017,"BOS",21,77,30.5853025466204
2017,"CHC",41,31,23.0814619540179
2017,"CHW",24,-22,-5.80273454480266
2017,"CIN",11,49,11.9276447389275
2017,"CLE",28,36,6.92152888010605
2017,"COL",26,22,8.4826865043724
2017,"DET",0,-108,5.00720351876225
2017,"HOU",1,16,-27.342715140112
2017,"KCR",19,-60,0.71942823054269
2017,"LAA",9,60,24.8965778909624
2017,"LAD",-11,53,25.166505895555
2017,"MIA",-10,17,23.7818408148596
2017,"MIL",28,8,-10.9261424154975
2017,"MIN",61,34,13.5845943577588
2017,"NYM",-35,-65,-6.67887597903609
2017,"NYY",24,20,7.90014661289752
2017,"PHI",9,-21,5.24962143306038
2017,"PIT",-9,-4,-0.847803616896272
2017,"SDP",-16,17,-27.9671497963718
2017,"SEA",18,10,8.49546301009832
2017,"SFG",3,-23,6.84819404646987
2017,"STL",-4,19,7.49851863645017
2017,"TBR",14,33,17.411322299391
2017,"TEX",10,12,-12.7046129512601
2017,"TOR",-10,-1,-15.2365057095885
2017,"WSN",-2,-12,9.10513640695717
2018,"ARI",26,96,8.94246922200546
2018,"ATH",24,-10,36.4837580555177
2018,"ATL",48,57,29.1121467836201
2018,"BAL",-33,-49,-42.5225724481861
2018,"BOS",20,6,24.9035509871319
2018,"CHC",30,90,23.5320407202889
2018,"CHW",17,-55,-21.0272415773943
2018,"CIN",16,-38,-10.1089213878149
2018,"CLE",12,-6,27.4412394594401
2018,"COL",3,24,4.11565453745425
2018,"DET",-19,-44,-3.96294131071772
2018,"HOU",39,56,-12.4828523169272
2018,"KCR",-9,-46,15.2379843173549
2018,"LAA",9,6,31.7745385687103
2018,"LAD",-18,52,-12.5506427919597
2018,"MIA",18,-1,5.90694509262721
2018,"MIL",33,89,21.4194716089405
2018,"MIN",10,2,4.83020456135273
2018,"NYM",-3,-10,-21.0016844617203
2018,"NYY",-34,28,6.00921049999306
2018,"PHI",-30,-73,-46.7002229467034
2018,"PIT",12,-10,-2.41466267481883
2018,"SDP",20,27,-26.2219238318503
2018,"SEA",-10,0,-8.2647485495545
2018,"SFG",6,-10,-6.56972346635303
2018,"STL",-26,0,14.6476867739111
2018,"TBR",1,29,9.84705083878362
2018,"TEX",17,-30,21.5818094648421
2018,"TOR",-20,-41,-42.3229754777858
2018,"WSN",4,-3,-9.57319633246516
2019,"ARI",29,53,19.7244446316763
2019,"ATH",7,17,40.5452553993091
2019,"ATL",2,26,-9.62033132184297
2019,"BAL",-35,-65,-31.1486483314075
2019,"BOS",15,2,11.1295292712748
2019,"CHC",42,43,11.343338399427
2019,"CHW",1,-51,-19.9355236412957
2019,"CIN",11,33,-1.40279901679605
2019,"CLE",30,54,29.6839413901916
2019,"COL",16,28,-11.4978232881986
2019,"DET",3,-117,-22.5654176876415
2019,"HOU",36,81,8.58638468640856
2019,"KCR",-15,-36,6.72670040884987
2019,"LAA",17,-24,26.7923125280067
2019,"LAD",14,66,-0.350502910441719
2019,"MIA",8,-7,-0.951621775049716
2019,"MIL",-11,20,9.45233949599788
2019,"MIN",-26,-37,-9.88037486281246
2019,"NYM",-14,-40,-11.6311699505895
2019,"NYY",-20,-17,2.5568708833307
2019,"PHI",-7,56,19.5037178492639
2019,"PIT",-7,-38,-50.7082201510202
2019,"SDP",-18,5,8.12530059553683
2019,"SEA",-11,-54,-32.5570884754416
2019,"SFG",20,23,4.91589167056372
2019,"STL",33,70,33.5677630988721
2019,"TBR",14,10,-1.90874094003811
2019,"TEX",-2,-55,-14.6794000765658
2019,"TOR",-15,14,-21.2359176371247
2019,"WSN",24,36,2.70319476116128
2021,"ARI",5,-44,-5.46255157655105
