"player_id","player_name","eno_rank","eno_2026_stuff_plus","eno_2026_pitching_plus","eno_2026_location_plus","name_key"
669373,"Tarik Skubal",1,123,123,101,"tarikskubal"
694973,"Paul Skenes",2,110,120,111,"paulskenes"
676979,"Garrett Crochet",3,117,114,100,"garrettcrochet"
808967,"Yoshinobu Yamamoto",4,100,110,107,"yoshinobuyamamoto"
650911,"Cristopher Sánchez",5,117,116,99,"cristophersnchez"
686613,"Hunter Brown",6,105,103,97,"hunterbrown"
608331,"Max Fried",7,109,113,103,"maxfried"
669302,"Logan Gilbert",8,104,108,102,"logangilbert"
693433,"Bryan Woo",9,109,112,105,"bryanwoo"
519242,"Chris Sale",10,116,113,102,"chrissale"
668881,"Hunter Greene",11,120,120,104,"huntergreene"
666142,"Cole Ragans",12,112,111,101,"coleragans"
594798,"Jacob deGrom",13,108,117,107,"jacobdegrom"
669923,"George Kirby",14,99,109,111,"georgekirby"
657277,"Logan Webb",15,106,110,105,"loganwebb"
664285,"Framber Valdez",16,106,110,100,"frambervaldez"
680885,"Spencer Schwellenbach",17,107,116,109,"spencerschwellenbach"
691587,"Eury Pérez",18,115,108,97,"euryprez"
680694,"Kyle Bradish",19,102,106,104,"kylebradish"
657746,"Joe Ryan",20,108,108,103,"joeryan"
642547,"Freddy Peralta",21,99,106,108,"freddyperalta"
660271,"Shohei Ohtani",22,114,116,101,"shoheiohtani"
605483,"Blake Snell",23,104,114,109,"blakesnell"
607192,"Tyler Glasnow",24,101,97,89,"tylerglasnow"
656876,"Drew Rasmussen",25,108,108,103,"drewrasmussen"
695505,"Chase Burns",26,116,119,103,"chaseburns"
656302,"Dylan Cease",27,108,107,100,"dylancease"
690997,"Nolan McLean",28,108,109,98,"nolanmclean"
694819,"Jacob Misiorowski",29,116,119,103,"jacobmisiorowski"
686218,"Emmet Sheehan",30,101,109,106,"emmetsheehan"
702056,"Trey Yesavage",31,107,98,90,"treyyesavage"
686752,"Ryan Pepiot",32,106,103,97,"ryanpepiot"
666200,"Jesús Luzardo",33,106,112,108,"jessluzardo"
650633,"Michael King",34,101,102,100,"michaelking"
693645,"Cam Schlittler",35,107,104,99,"camschlittler"
543135,"Nathan Eovaldi",36,99,104,103,"nathaneovaldi"
601713,"Nick Pivetta",37,101,103,102,"nickpivetta"
666157,"Nick Lodolo",38,106,105,103,"nicklodolo"
554430,"Zack Wheeler",39,110,120,108,"zackwheeler"
665795,"Edward Cabrera",40,104,105,101,"edwardcabrera"
,"Tatsuya Imai",41,,,,"tatsuyaimai"
641154,"Pablo López",42,96,107,110,"pablolpez"
592332,"Kevin Gausman",43,102,102,102,"kevingausman"
675911,"Spencer Strider",44,95,90,95,"spencerstrider"
