"metric","standardization_method","overall_mean","overall_sd","starter_pool_mean","starter_pool_sd","sample_source","stabilization_point","reliability_method","start_share_min","use_ip_paradigms","low_ip_max_start_ip","high_ip_min_start_ip","gs_fallback_threshold","starter_pool_size","num_teams","sp_depth"
"tbf","starter_pool_zscore",428.060975609756,238.657247912325,462.6,233.699256057607,"tbf",1,"sample_over_sample_plus_stab",0.67,TRUE,80,100,5,150,15,10
"ip_per_gs","starter_pool_zscore",5.40695708379006,0.713395542397908,5.49948105439746,0.666697115009907,"gs",1,"sample_over_sample_plus_stab",0.67,TRUE,80,100,5,150,15,10
"siera","starter_pool_zscore",4.29748094703506,0.765209097501723,3.87826673452891,0.541273073846983,"start_ip",30,"sample_over_sample_plus_stab",0.67,TRUE,80,100,5,150,15,10
"xfip","starter_pool_zscore",4.29585889391602,0.853087199660916,3.84661141178673,0.594205275952635,"start_ip",30,"sample_over_sample_plus_stab",0.67,TRUE,80,100,5,150,15,10
"k_minus_bb_pct","starter_pool_zscore",0.13290360101626,0.0635958767720871,0.167026590666667,0.0489379394605758,"tbf",120,"sample_over_sample_plus_stab",0.67,TRUE,80,100,5,150,15,10
"contact_pct","starter_pool_zscore",0.777259339227642,0.0435920788465014,0.755238742933333,0.0333919275344005,"tbf",300,"sample_over_sample_plus_stab",0.67,TRUE,80,100,5,150,15,10
"csw_pct","starter_pool_zscore",0.268987341585366,0.0238639287358542,0.281766131066667,0.0186201934464014,"pitches",200,"sample_over_sample_plus_stab",0.67,TRUE,80,100,5,150,15,10
"ball_pct","starter_pool_zscore",36.2306827877767,2.57952167450566,35.4911700175745,2.33647157839637,"pitches",150,"sample_over_sample_plus_stab",0.67,TRUE,80,100,5,150,15,10
"stuff_plus","fixed_scale_(x-100)/10",97.5681013460106,7.61762739929407,100.48404934328,7.19991627665927,"pitches",100,"sample_over_sample_plus_stab",0.67,TRUE,80,100,5,150,15,10
"pitching_plus","fixed_scale_(x-100)/10",98.3550129295651,8.69175221592417,102.412194946988,7.54282691490488,"pitches",300,"sample_over_sample_plus_stab",0.67,TRUE,80,100,5,150,15,10
