"nfbc_rank","nfbc_player_id","player_name","team","positions","adp","adp_min_pick","adp_max_pick","adp_diff","adp_picks","name_key","team_key"
325,11749,"Jasson Dominguez","NYY","OF",331.33,245,416,,6,"jassondominguez","nyy"
341,11889,"Coby Mayo","BAL","1B",348,320,372,,6,"cobymayo","bal"
452,12190,"Dalton Rushing","LAD","C",455,420,500,,6,"daltonrushing","lad"
461,12189,"Charlie Condon","COL","1B",466.5,417,538,,6,"charliecondon","col"
470,12477,"Ryan Waldschmidt","ARZ","OF",471.33,443,504,,6,"ryanwaldschmidt","arz"
472,12502,"Joshua Baez","STL","OF",472.33,391,534,,6,"joshuabaez","stl"
473,10355,"Triston Casas","BOS","1B",473.17,429,504,,6,"tristoncasas","bos"
476,12472,"Aidan Miller","PHI","SS",476.5,384,582,,6,"aidanmiller","phi"
487,12047,"Spencer Jones","NYY","OF",495.5,354,595,,6,"spencerjones","nyy"
510,12195,"Kristian Campbell","BOS","2B",517.67,484,541,,5,"kristiancampbell","bos"
513,12040,"Walker Jenkins","MIN","OF",521.17,457,572,,6,"walkerjenkins","min"
521,9977,"Ryan Mountcastle","BAL","1B",526.67,428,573,,5,"ryanmountcastle","bal"
531,11923,"Jett Williams","MLW","SS",533.17,465,582,,6,"jettwilliams","mil"
537,12355,"Brice Matthews","HOU","2B",539,450,562,,4,"bricematthews","hou"
539,12250,"Tim Tawa","ARZ","1B, OF, 2B",540.33,462,589,,6,"timtawa","arz"
540,10705,"Jonah Heim","ATL","C",540.67,458,582,,4,"jonahheim","atl"
544,12299,"Leodalis De Vries","ATH","SS",542.67,440,551,,3,"leodalisdevries","ath"
545,9863,"Isiah Kiner-Falefa","BOS","3B, SS",544.5,519,567,,6,"isiahkinerfalefa","bos"
553,12214,"Hyeseong Kim","LAD","2B",549,470,590,,5,"hyeseongkim","lad"
564,8807,"Miguel Rojas","LAD","3B, 2B, SS",557.83,413,587,,4,"miguelrojas","lad"
579,12346,"Sebastian Walcott","TEX","SS",565.17,411,576,,2,"sebastianwalcott","tex"
581,12231,"Alex Freeland","LAD","3B",566.17,503,592,,4,"alexfreeland","lad"
