"projection_system","projection_type","season","playerid","name","team","ab","pa","h","x2b","x3b","bb","hbp","r","hr","rbi","sb","cs","avg","ab_per_pa","bb_per_pa","x2b_per_pa","x3b_per_pa","hbp_per_pa","cs_per_pa","r_per_pa","hr_per_pa","rbi_per_pa","sb_per_pa","h_per_pa","obp"
"atc","atc",2026,2396,"Carlos Santana","ARI",300.078,339.301,66.6554,12.9602,0.222505,34.9175,1.93188,36.3456,9.44202,38.9431,3.26032,0.597962,0.222127,0.884400576479291,0.102910100471263,0.0381967633458198,0.000655774666151883,0.00569370558884295,0.0017623349179637,0.10711904768922,0.0278278578607195,0.11477449226498,0.00960893130288446,0.196449170500529,0.299359270971792
"atc","atc",2026,2967,"Tommy Pham",,211.486,236.363,50.9735,9.61396,0.462541,21.5658,1.52483,26.5314,5.7484,24.3766,4.01296,1.261,0.241026,0.894750870483113,0.0912401687235312,0.0406745556622652,0.00195690949937173,0.00645122121482635,0.00533501436350021,0.11224853297682,0.0243202193236674,0.103132046893972,0.0169779534021822,0.215657696001489,0.30689786472502
"atc","atc",2026,4949,"Giancarlo Stanton","NYY",350.546,392.295,78.6683,12.2808,0.148594,37.345,1.82917,46.6241,23.2408,63.4129,0.42847,0.11471,0.224417,0.893577537312482,0.0951962171325151,0.0313050128092379,0.000378781274296129,0.00466274104946533,0.000292407499458316,0.118849590231841,0.0592431715928064,0.161645955212276,0.00109221376770033,0.200533527065091,0.295729744197606
"atc","atc",2026,5235,"Justin Turner",,148.73,167.038,35.5341,7.2695,0.111868,13.7065,2.50022,16.845,3.65605,17.3559,1.03336,0.234184,0.238917,0.890396197272477,0.0820561788335588,0.0435200373567691,0.000669715873034878,0.0149679713598103,0.00140198038769621,0.100845316634538,0.0218875345729714,0.103903902106108,0.00618637675259522,0.212730636142674,0.294786814976233
"atc","atc",2026,5361,"Freddie Freeman","LAD",540.354,618.061,150.496,33.1794,1.78031,64.6798,7.86801,83.9191,22.1837,84.1319,7.70735,2.14711,0.278515,0.874272927753086,0.104649541064717,0.0536830507021152,0.00288047619895124,0.0127301512310274,0.00347394512839348,0.135778021910459,0.0358924119140344,0.136122324495479,0.0124702092511904,0.243497001105069,0.348146542169786
"atc","atc",2026,5417,"Jose Altuve","HOU",540.133,600.006,141.602,25.4544,0.918023,50.1728,5.22683,78.3282,20.0046,67.7122,11.8639,3.69377,0.262162,0.900212664540021,0.0836204971283621,0.0424235757642424,0.001530023033103,0.00871129622037113,0.00615622177111562,0.130545694543055,0.0333406665933341,0.112852538141285,0.0197729689369773,0.2360009733236,0.319621470451962
"atc","atc",2026,5517,"Kyle Higashioka","TEX",252.976,274.343,55.7083,11.1607,0.749605,16.9202,1.22319,27.1909,10.2416,34.7259,2.11132,0.597631,0.220212,0.922115745617712,0.0616753480132535,0.0406815555709459,0.00273236423017901,0.00445861567453881,0.00217840805123513,0.0991127894642838,0.0373313698545252,0.126578407322221,0.00769591350973052,0.20306076699606,0.264736115009313
"atc","atc",2026,5827,"Wilmer Flores",,186.111,207.195,42.7677,7.60177,0.133221,16.2987,2.60123,21.08,6.44836,24.1948,0.400515,0.113931,0.229797,0.898240787663795,0.0786635777890393,0.0366889645020391,0.000642974009990589,0.0125545017978233,0.000549873307753566,0.101739906851034,0.0311221795892758,0.116773088153672,0.00193303409831318,0.206412799536668,0.285076377325708
"atc","atc",2026,7304,"Salvador Perez","KCR",532.631,576.039,133.409,24.6655,0.551316,29.2236,10.0367,60.2294,26.4671,88.0796,0.128315,0.133354,0.250472,0.924643991118657,0.0507319816887398,0.0428191493978706,0.000957081030971861,0.0174236466628128,0.000231501686517753,0.104557851117719,0.0459467154133661,0.152905619237586,0.000222754014919129,0.231597166164097,0.282329147852836
"atc","atc",2026,7739,"Travis d'Arnaud","LAA",202.501,221.003,44.109,9.46876,0.54649,14.0114,3.14581,21.861,7.10913,24.6155,0.262939,0.176883,0.217822,0.916281679434216,0.0633991393781985,0.042844486273942,0.00247277186282539,0.0142342411641471,0.000800364700931662,0.0989172092686525,0.0321675723858952,0.111380840984059,0.00118975308027493,0.199585525988335,0.262984665366534
"atc","atc",2026,7802,"Miguel Rojas","LAD",161.996,177.402,40.1371,8.2601,0.227902,11.6853,1.29923,20.2085,3.19518,16.9927,2.54071,0.850063,0.247766,0.913157687061025,0.065869043190043,0.0465614818322229,0.00128466420897171,0.00732364911331327,0.00479173290041826,0.113913597366433,0.0180109581628167,0.0957864060157157,0.0143217663836935,0.22624942221621,0.292118465406252
"atc","atc",2026,8623,"Donovan Solano",,18.7322,20.4684,4.60628,0.827032,0.0482382,1.23714,0.336982,1.9542,0.348514,1.99915,0.0491229,0.0161464,0.245902,0.915176564851185,0.0604414609837603,0.0404053076938109,0.00235671571788708,0.0164635242617889,0.000788845244376698,0.0954739989447148,0.0170269293154326,0.0976700670301538,0.00239993844169549,0.225043481659534,0.285484942643294
"atc","atc",2026,9218,"Paul Goldschmidt","NYY",328.655,361.561,81.8241,16.7355,0.325499,28.9687,1.89307,43.3165,10.9482,39.1041,4.10592,1.06115,0.248966,0.90898907791493,0.0801211966998653,0.0462867953125475,0.000900260260371002,0.00523582466029245,0.00293491278096919,0.119804127104417,0.0302803676281457,0.108153534258396,0.0113560920563888,0.22630787059445,0.306429067294316
