"projection_system","projection_type","season","playerid","name","team","ab","pa","h","x2b","x3b","bb","hbp","r","hr","rbi","sb","cs","avg","ab_per_pa","bb_per_pa","x2b_per_pa","x3b_per_pa","hbp_per_pa","cs_per_pa","r_per_pa","hr_per_pa","rbi_per_pa","sb_per_pa","h_per_pa","obp"
"batx","thebatx",2026,2396,"Carlos Santana","ARI",303.381,339.349,66.6652,14.0757,0.172232,30.7239,1.67194,35.8354,10.1504,39.4331,2.76207,1.03999,0.21974,0.894008822775373,0.0905377649558419,0.0414785368455484,0.000507536488983318,0.00492690416061341,0.0030646620440903,0.105600429056812,0.0299113891598325,0.11620219891616,0.00813931969742065,0.196450262119529,0.286988027075371
"batx","thebatx",2026,2967,"Tommy Pham",,210.98,235.871,50.82,10.0506,0.477648,21.2863,1.70267,27.6638,6.53449,25.5998,3.76762,1.30463,0.240876,0.894471978327136,0.0902455155572326,0.0426105795116822,0.00202503911036117,0.00721864917688058,0.00553111658491294,0.117283599933862,0.0277036600514688,0.108533054084648,0.0159732226513645,0.215456753903617,0.305702269460849
"batx","thebatx",2026,4949,"Giancarlo Stanton","NYY",350.306,391.955,76.1726,11.513,0,36.8283,2.06276,47.8667,23.7479,58.8011,0.0381613,0.0200301,0.217446,0.893740352846628,0.0939605311834267,0.0293732698906762,0,0.00526274699901774,5.11030603002896e-05,0.122122947787374,0.0605883328443316,0.150020027809315,9.73614317970175e-05,0.194340166600758,0.288300697784184
"batx","thebatx",2026,5235,"Justin Turner",,151.32,166.245,36.1002,7.21088,0.197414,10.7778,2.41034,16.4964,3.58954,17.6754,0.687773,0.313649,0.238568,0.910222863845529,0.0648308219796084,0.0433750187975578,0.00118748834551415,0.0144987217660682,0.00188666726818852,0.0992294505097898,0.0215918674245842,0.106321393124605,0.0041371048753346,0.217150590995218,0.281981412974826
"batx","thebatx",2026,5273,"Sandy León","ATL",6.88432,7.759,1.20213,0.204175,0.00315279,0.593715,0.0747175,0.640025,0.1711,0.677011,0.0194104,0.00962778,0.174618,0.887268977961077,0.0765195257120763,0.0263146023972161,0.000406339734501869,0.0096297847660781,0.00124085320273231,0.0824880783606135,0.0220518108003609,0.0872549297589896,0.00250166258538471,0.154933625467199,0.231453151179276
"batx","thebatx",2026,5361,"Freddie Freeman","LAD",541.984,617.859,146.395,31.3344,0.849668,63.2292,6.86796,82.9966,22.1171,81.7962,7.90242,2.87879,0.27011,0.877196900911049,0.1023359698572,0.0507144834015528,0.00137518106881991,0.0111157399989318,0.00465929928996745,0.134329353460903,0.0357963548317658,0.132386515370012,0.0127900054866887,0.236939172205956,0.339275142063157
"batx","thebatx",2026,5417,"Jose Altuve","HOU",540.559,600.028,137.094,24.5839,0.770714,49.7225,5.11776,74.4901,20.4802,69.5811,11.4427,3.9066,0.253616,0.900889625150826,0.0828669662082436,0.0409712546747818,0.00128446339170839,0.00852920197057471,0.00651069616751218,0.124144373262581,0.0341320738365543,0.115963088389209,0.0190702767204197,0.228479337630911,0.311346303839154
"batx","thebatx",2026,5517,"Kyle Higashioka","TEX",248.331,270.778,53.0154,10.8028,0.0690603,17.127,1.43408,26.7949,9.23441,31.2017,1.76763,0.778382,0.213487,0.91710183249747,0.0632510765276352,0.0398954124781186,0.000255043984370961,0.00529614665888662,0.00287461315173315,0.09895523269985,0.0341032506333602,0.115229819261535,0.00652796756014152,0.195789170464366,0.259040246992001
"batx","thebatx",2026,5827,"Wilmer Flores",,186.887,207.563,41.1986,6.97152,0.165795,15.9525,2.60206,20.2835,5.99943,22.7473,0.292563,0.127806,0.220446,0.900386870492332,0.076856183423828,0.033587489099695,0.000798769530214923,0.0125362420084504,0.000615745580859787,0.0977221373751584,0.0289041399478713,0.109592268371531,0.00140951421977906,0.198487206293993,0.275343389717821
"batx","thebatx",2026,7304,"Salvador Perez","KCR",525.246,576.679,131.473,25.4101,0,30.0944,9.32123,64.9909,28.6091,92.463,0.401509,0.206584,0.250307,0.9108117340843,0.0521857046988012,0.0440628148415323,0,0.0161636369626777,0.000358230488712091,0.112698572342672,0.04961009504421,0.160337033254202,0.000696243490746152,0.227982985334996,0.280168690033797
"batx","thebatx",2026,7739,"Travis d'Arnaud","LAA",199.047,221.088,44.4974,8.64732,0.284464,14.2554,2.94525,22.4451,7.5718,25.643,0.67509,0.267,0.223552,0.900306665219279,0.0644783977420756,0.039112570560139,0.00128665508756694,0.0133216185410334,0.00120766391663048,0.101521113764655,0.0342479012881748,0.115985489940657,0.00305349001302649,0.201265559415255,0.265743957157331
"batx","thebatx",2026,7802,"Miguel Rojas","LAD",160.208,178.023,39.1546,7.01889,0.388907,11.0266,1.41875,19.9307,2.82959,16.9838,2.50443,1.07803,0.244398,0.899928660903366,0.0619391876330587,0.0394268718086989,0.00218458850822647,0.00796947585424355,0.00605556585385035,0.111955758525584,0.015894519247513,0.0954022794807412,0.0140680136836252,0.219941243547182,0.281880431180241
"batx","thebatx",2026,8623,"Donovan Solano",,18.9622,20.711,4.62961,0.834239,0.0297627,1.22309,0.363897,2.04168,0.38491,2.0937,0.0317508,0.0144365,0.244149,0.915561778764908,0.059055091497272,0.0402799961373183,0.00143704794553619,0.0175702283810536,0.000697045048524938,0.0985794988170537,0.0185848100043455,0.101091207570856,0.00153304041330694,0.223533870889865,0.282588962387137
"batx","thebatx",2026,9218,"Paul Goldschmidt","NYY",314.676,344.536,76.4849,14.9719,0.24817,25.0657,1.7819,38.9395,11.8737,40.1449,3.84506,1.50391,0.243059,0.913332714143079,0.0727520491327466,0.0434552557642743,0.000720302087445144,0.00517188334455616,0.00436503006942671,0.113020119813314,0.0344628718043978,0.11651873824506,0.011160110989853,0.221993928065572,0.294745977198319
"batx","thebatx",2026,9241,"Starling Marte","KCR",230.706,254.169,59.7711,10.6597,0.707749,15.6921,4.50115,30.5853,5.64272,25.825,7.60885,2.54139,0.259079,0.907687404836939,0.0617388430532441,0.0419394182610783,0.00278456066632831,0.0177092800459537,0.00999881968296684,0.120334501847196,0.0222006617644166,0.101605624604102,0.0299361841924074,0.235162824734724,0.296901667787968
"batx","thebatx",2026,9774,"Christian Vázquez","HOU",105.2,116.24,23.4362,3.97566,0.00301943,7.15306,0.788621,11.066,2.3287,10.81,1.18193,0.621573,0.222778,0.905024088093599,0.0615369924294563,0.034202167928424,2.59758258774948e-05,0.0067844201651755,0.00534732450103235,0.0951995870612526,0.0200335512732278,0.0929972470750172,0.0101680144528562,0.201619064005506,0.263156056434962
"batx","thebatx",2026,9777,"Nolan Arenado","ARI",512.969,559.229,129.388,24.1872,0.893051,36.1132,3.99159,59.0548,16.0737,70.0112,2.45299,1.119,0.252233,0.917278968007739,0.0645767655110876,0.0432509758971727,0.00159693256251017,0.00713766632274077,0.00200096919151188,0.105600389107146,0.0287426081265457,0.125192363056995,0.00438637838881746,0.231368544907364,0.295945310418451
"batx","thebatx",2026,9847,"Andrew McCutchen","TEX",176.142,201.989,39.5545,8.15843,0.221749,22.67,1.56222,22.5506,6.31117,22.2997,1.02342,0.363698,0.22456,0.872037586205189,0.112233834515741,0.0403904668075984,0.00109782710939705,0.00773418354464847,0.00180058320007525,0.111642713217056,0.0312451173083683,0.110400566367475,0.00506671155359945,0.195825020174366,0.308058854690107
"batx","thebatx",2026,9874,"DJ LeMahieu",,95.7188,106.673,22.5868,3.47529,0.231552,9.64691,0.435304,10.8912,1.80282,9.75976,0.336734,0.156696,0.23597,0.897310472190714,0.0904344117068049,0.0325789093772557,0.00217067111640246,0.00408073270649555,0.0014689377818192,0.102098937875564,0.0169004340367291,0.0914923176436399,0.00315669382130436,0.211738678015993,0.302173089722798
"batx","thebatx",2026,10155,"Mike Trout","LAA",424.367,502.21,100.835,19.1516,1.0301,67.63,6.65008,64.3255,24.6453,68.6343,3.35587,1.03734,0.237612,0.844999103960495,0.134664781665041,0.038134644869676,0.00205113398777404,0.0132416319866191,0.00206555026781625,0.128084864897155,0.0490736942713208,0.136664542721172,0.00668220465542303,0.200782541168037,0.335447322833078
"batx","thebatx",2026,10231,"Jose Iglesias",,140.633,154.113,36.414,6.007,0.765869,7.29023,2.21954,15.9457,1.48395,13.6396,1.84366,0.599522,0.258929,0.912531713742514,0.0473044454393854,0.0389778928448606,0.00496952885220585,0.0144020296795209,0.00389014554255644,0.103467585472997,0.00962897354538553,0.0885038900027902,0.0119630401069345,0.236281170310097,0.283585615749483
"batx","thebatx",2026,10243,"Randal Grichuk","NYY",144.44,156.9,34.477,6.87225,0.228271,9.61485,1.49464,17.7984,6.90316,20.3481,0.411512,0.144884,0.238695,0.920586360739324,0.0612801147227533,0.0438001912045889,0.00145488209050351,0.00952606755895475,0.000923416188655194,0.113437858508604,0.0439971956660293,0.129688336520076,0.0026227660930529,0.219738687061823,0.281018801784576
"batx","thebatx",2026,10324,"Marcell Ozuna","PIT",451.699,520.412,108.073,20.5384,0,61.1524,3.1685,60.1808,19.4946,67.0462,0.288131,0.127943,0.239258,0.86796422834216,0.117507667002298,0.0394656541355695,0,0.00608844530871694,0.000245849442364895,0.115640684688285,0.0374599355894945,0.128832924682751,0.000553659408314951,0.207668155230856,0.325175822233154
"batx","thebatx",2026,10472,"Enrique Hernández","LAD",172.121,188.766,39.5695,8.26457,0.260209,13.1574,1.25247,21.4823,6.49878,23.0292,0.484263,0.190516,0.229894,0.911822044224066,0.069702170941801,0.0437820899950203,0.00137847387771103,0.00663504020851213,0.00100927073731498,0.1138038629838,0.0344277041416357,0.121998665013827,0.00256541432249452,0.209621965820116,0.279324136761917
"batx","thebatx",2026,10681,"Gio Urshela",,107.562,116.015,26.1756,4.83922,0.0281207,6.7483,0.533448,10.7196,1.65976,11.1786,0.372922,0.180543,0.243353,0.927138732060509,0.0581674783433177,0.0417120199974141,0.000242388484247727,0.00459809507391286,0.0015562039391458,0.0923983967590398,0.0143064258932035,0.0963547817092617,0.00321442916864199,0.225622548808344,0.283790027151661
"batx","thebatx",2026,11442,"Gary Sánchez","MIL",148.039,166.301,31.4055,5.5075,0,13.1759,2.89023,16.8323,7.26717,24.0051,0.120578,0.0564686,0.212143,0.890187070432529,0.0792292289282686,0.0331176601463611,0,0.0173795106463581,0.000339556587152212,0.101215867613544,0.043698895376456,0.14434729797175,0.000725058778961041,0.188847331044311,0.26807655997258
"batx","thebatx",2026,11445,"Mark Canha","TEX",86.6792,99.19,19.7063,3.78116,0.312117,8.80033,2.86044,10.7626,1.87937,8.88264,1.06646,0.337454,0.227347,0.873870349833653,0.0887219477769937,0.0381203750378062,0.00314665792922674,0.028837987700373,0.00340209698558322,0.108504889605807,0.0189471720939611,0.0895517693315858,0.0107516886782942,0.198672245186007,0.287394192963
"batx","thebatx",2026,11477,"Christian Yelich","MIL",502.838,575.066,128.314,22.5073,2.64429,64.2625,4.08364,72.3014,17.7721,68.7028,15.8993,4.08791,0.25518,0.87440050359437,0.111748042833344,0.0391386379998122,0.00459823741970487,0.00710116751816313,0.00710859275283185,0.125727133928975,0.0309044527062981,0.119469417423391,0.0276477830370775,0.223129171260342,0.334877214093687
"batx","thebatx",2026,11493,"Manny Machado","SDP",568.511,628.872,148.435,27.3134,0.0371263,51.5081,2.30062,79.2427,27.9317,86.2559,8.19088,3.59354,0.261095,0.904017033672989,0.0819055388059891,0.0434323677950362,5.90363380783371e-05,0.00365832792682772,0.00571426299787556,0.126007677237975,0.0444155567428666,0.137159708175909,0.0130247172715592,0.236033723873857,0.317939262679846
"batx","thebatx",2026,11579,"Bryce Harper","PHI",521.705,606.406,142.257,28.3083,2.25376,74.7979,4.73744,84.4631,25.8132,85.5336,10.3158,3.8259,0.272677,0.860322951949684,0.123346239977837,0.0466820908764095,0.00371658591768551,0.00781232375669106,0.00630913942144372,0.139284736628595,0.0425675207699132,0.141050055573329,0.0170113752172637,0.234590356955571,0.357936596933408
"batx","thebatx",2026,11609,"Willson Contreras","BOS",486.765,563.1,123.173,22.5529,1.32341,51.6753,16.4328,72.0153,22.7075,74.359,5.10131,1.762,0.253043,0.864437932871604,0.0917693127330847,0.040051323033209,0.00235022198543776,0.0291827384123601,0.00312910673059847,0.127890783164624,0.0403258746226248,0.132052921328361,0.00905933226780323,0.218740898597052,0.310510211330137
"batx","thebatx",2026,11680,"Elias Díaz","KCR",74.5134,82.076,16.0379,2.9178,0,5.45763,0.540971,7.76057,2.38931,9.35251,0.153863,0.0735798,0.215235,0.907858570105756,0.0664948340562406,0.0355499780691067,0,0.00659109849407866,0.000896483746771285,0.0945534626443784,0.0291109459525318,0.113949388371753,0.00187464057702617,0.195403041083873,0.261897875140114
