"projection_system","projection_type","season","playerid","name","team","ab","pa","h","x2b","x3b","bb","hbp","r","hr","rbi","sb","cs","avg","ab_per_pa","bb_per_pa","x2b_per_pa","x3b_per_pa","hbp_per_pa","cs_per_pa","r_per_pa","hr_per_pa","rbi_per_pa","sb_per_pa","h_per_pa","obp"
"batx","thebatx",2026,2396,"Carlos Santana","ARI",303.428,339.301,66.751,14.1231,0.166732,30.6259,1.68038,35.8517,10.1649,39.4546,2.80496,1.02732,0.219989,0.894273815874401,0.0902617439972178,0.0416241036719609,0.000491398492783694,0.00495247582529966,0.003027754118025,0.10566340800646,0.0299583555604021,0.116282003295009,0.00826687808170327,0.196730926227745,0.286992670224962
"batx","thebatx",2026,2967,"Tommy Pham",,211.443,236.363,50.9595,10.0772,0.478913,21.3069,1.70809,27.7321,6.55869,25.6582,3.77339,1.30615,0.241008,0.894568946916396,0.0901448196206682,0.0426344224772913,0.00202617583970418,0.00722655407149173,0.00552603410855337,0.117328431268853,0.0277483785533269,0.108554215338272,0.0159643852887296,0.215598465072791,0.305743284693459
"batx","thebatx",2026,4949,"Giancarlo Stanton","NYY",350.696,392.295,76.3232,11.5143,0,36.7796,2.06392,47.9352,23.8586,58.8949,0.0477143,0.0245478,0.217634,0.893959902624301,0.0937549548171657,0.0293511260658433,0,0.00526114276246192,6.25748480097886e-05,0.122191717967346,0.0608180068570846,0.150129112020291,0.000121628621318141,0.194555627780114,0.28831058259728
"batx","thebatx",2026,5235,"Justin Turner",,152.053,167.038,36.2942,7.24915,0.198463,10.8165,2.42447,16.5828,3.61237,17.7601,0.690821,0.314885,0.238694,0.910289874160371,0.0647547264694261,0.0433982087908141,0.0011881308444785,0.0145144817346951,0.00188510997497575,0.0992756139321591,0.0216260371891426,0.106323710772399,0.00413571163447838,0.217281097714293,0.282035824183719
"batx","thebatx",2026,5273,"Sandy León","ATL",7.85585,8.853,1.37343,0.233139,0.00346691,0.676336,0.0854485,0.730023,0.194844,0.77265,0.0223998,0.011084,0.174829,0.88736586467864,0.0763962498588049,0.0263344628939343,0.000391608494295719,0.00965192590082458,0.00125200497006664,0.0824605218569976,0.0220088105726872,0.0872754998305659,0.00253019315486276,0.155137241613013,0.231533491471817
"batx","thebatx",2026,5361,"Freddie Freeman","LAD",542.308,618.061,146.601,31.3761,0.842372,63.0603,6.91623,83.1117,22.2648,81.842,7.96879,2.84493,0.270328,0.877434427993353,0.102029249540094,0.0507653775274609,0.00136292696028386,0.0111902061447009,0.00460299226128165,0.134471678361845,0.036023628735675,0.132417350390981,0.0128932095699292,0.237195034147115,0.339224283687209
"batx","thebatx",2026,5417,"Jose Altuve","HOU",540.569,600.006,137.062,24.5734,0.745674,49.6901,5.12953,74.187,20.4722,69.1861,11.4903,3.90694,0.25355,0.900939323940094,0.0828160051732816,0.0409552571140955,0.00124277757222428,0.00854913117535491,0.00651150155165115,0.123643763562364,0.034119992133412,0.115309013576531,0.019150308496915,0.228434382322843,0.311250387496125
"batx","thebatx",2026,5517,"Kyle Higashioka","TEX",251.64,274.343,53.7776,10.9579,0.0640403,17.3196,1.44744,27.1003,9.30745,31.5677,1.78073,0.796871,0.213709,0.917245929365794,0.0631311897879662,0.0399423349602505,0.000233431507273741,0.00527602308059619,0.00290465220545084,0.0987825459370204,0.0339263258038295,0.115066540790179,0.0064908891424239,0.19602322639907,0.259154416187036
"batx","thebatx",2026,5827,"Wilmer Flores",,186.572,207.195,41.1533,6.96307,0.165595,15.9059,2.60027,20.2577,5.99829,22.7104,0.291853,0.127477,0.220575,0.90046574482975,0.0767677791452497,0.0336063611573638,0.000799222954221868,0.0125498684813823,0.00061525133328507,0.097771181737011,0.0289499746615507,0.109608822606723,0.00140859094090108,0.198621105721663,0.275388884866913
"batx","thebatx",2026,7304,"Salvador Perez","KCR",524.701,576.039,131.453,25.3879,0,30.0433,9.2941,64.9097,28.4656,92.4079,0.410533,0.214457,0.250529,0.91087756210951,0.0521549756179703,0.0440732311527518,0,0.01613449783782,0.000372295973015716,0.112682821822828,0.0494160985627709,0.160419520206097,0.000712682648223471,0.228201562741412,0.280356538359382
