"player_name","position","adp","adp_match_quality","name_team_flag","team","pa","ab","h","2b","3b","bb","hbp","hr","sb","cs","r","rbi","avg","obp","ottoneu_fg_pts","pa_z","hr_z","sb_z","r_z","rbi_z","avg_z","obp_z","z_total_raw","z_total_weights","dollars_raw","dollars_weights","dollars_adp"
"Shohei Ohtani","UT, P",1.52,"exact_name_team","unique_name","LAD",660.1,560.7,159.2,28.3,4.9,89.4,4.7,47,24.3,7.2,120.9,113.4,0.284,0.377,1190.7,1.501,3.097,1.082,4.932,2.818,1.917,2.925,16.287,16.223,45.32,40.16,53.7
"Aaron Judge","OF",1.65,"exact_name_team","unique_name","NYY",637.7,517.5,151.1,25.2,0.8,109.2,6.1,48.4,9.2,2.5,108.5,116.9,0.292,0.408,1217.7,1.164,3.51,-0.333,3.826,3.475,2.43,4.402,14.737,14.558,42.25,37.37,52.89
"Bobby Witt Jr.","SS",3.13,"exact_name_team","unique_name","KCR",660.1,598.3,176.8,36.6,5.9,49.1,6.6,30.4,34.6,9.7,104.4,96.6,0.295,0.342,1022.9,1.433,0.913,2.063,2.806,1.346,2.655,1.308,13.87,14.392,40.52,37.1,46.62
"Vladimir Guerrero Jr.","1B",18.58,"exact_name_team","unique_name","TOR",662.7,577.1,173,32.4,0.9,73.7,6.5,31.9,5.5,2.4,96.5,100.3,0.3,0.372,1035.1,1.456,1.095,-0.723,1.735,1.638,2.926,2.72,10.34,11.267,33.52,31.86,29.16
"Ronald Acuña Jr.","OF",5.58,"exact_name_team","unique_name","ATL",628.9,533.2,151.6,25.6,2.4,83,7.7,29.6,24.6,6.9,100.4,84.8,0.284,0.373,981.5,1.263,1.001,1.227,2.929,0.682,1.943,2.756,9.976,10.524,32.8,30.62,40.95
"Juan Soto","OF",4.58,"exact_name_team","unique_name","NYM",678.3,546.6,150.7,26,1.2,122.6,4,38.2,20,6.8,110,101,0.276,0.403,1137.7,1.528,1.812,0.623,3.145,1.497,1.39,4.155,9.711,10.476,32.27,30.54,42.89
"Julio Rodríguez","OF",9.29,"exact_name_team","unique_name","SEA",659.3,597.7,165.1,28.3,3.9,48,9.2,29,26.3,6.7,92.9,92.2,0.276,0.323,906.7,1.414,0.736,1.277,1.328,0.975,1.426,0.418,8.692,9.867,30.25,29.52,35.96
"Yordan Alvarez","UT",33.48,"exact_name_team","unique_name","HOU",552.4,471.6,139.9,27.3,1.2,68.2,7.7,31.8,4.1,1.5,84.9,89.7,0.297,0.377,928,0.117,1.917,-0.788,2.422,2.275,2.722,2.926,10.374,9.318,33.59,28.6,23.39
"Gunnar Henderson","SS",13.61,"exact_name_team","unique_name","BAL",659.1,579.7,158.8,33.3,4.3,67.9,5.8,26.5,22.5,5.3,99.9,86.3,0.274,0.344,929.1,1.487,0.411,0.922,2.241,0.46,1.276,1.39,7.719,8.716,28.32,27.59,32.21
"Fernando Tatis Jr.","OF",14.81,"exact_name_team","unique_name","SDP",645.9,565.3,154.3,28.7,2.4,69.5,6.1,29.9,24.2,6.3,95,87.6,0.273,0.346,931.6,1.176,0.934,1.126,1.854,0.734,1.211,1.507,7.824,8.645,28.53,27.47,31.39
"Junior Caminero","3B",15.26,"exact_name_team","unique_name","TBR",637,585.1,158.9,27.8,1.5,42.1,4.2,36.4,5.2,2.2,84.7,102.9,0.272,0.316,879.1,0.939,1.881,-0.735,0.664,2.224,1.125,0.058,7.569,8.293,28.02,26.88,31.09
"José Ramírez","3B",5.61,"exact_name_team","unique_name","CLE",649.7,577.2,155.7,32.3,3.2,62.5,4.6,25.6,34.3,8.4,88.6,86.2,0.27,0.336,890.3,1.294,0.337,2.082,0.95,0.559,1.012,1.015,7.079,8.275,27.05,26.85,40.9
