"nfbc_rank","nfbc_player_id","player_name","team","positions","adp","adp_min_pick","adp_max_pick","adp_diff","adp_picks","name_key","team_key"
1,9810,"Shohei Ohtani","LAD","UT, P",1.21,1,3,,24,"shoheiohtani","lad"
2,8956,"Aaron Judge","NYY","OF",2.08,1,4,,24,"aaronjudge","nyy"
3,10932,"Bobby Witt Jr.","KC","SS",3.04,2,5,,24,"bobbywittjr","kcr"
4,10030,"Juan Soto","NYM","OF",4.33,2,7,,24,"juansoto","nym"
5,8594,"Jose Ramirez","CLE","3B",5.13,3,7,,24,"joseramirez","cle"
7,9775,"Ronald Acuna Jr.","ATL","OF",7.33,4,12,,24,"ronaldacunajr","atl"
8,11583,"Elly De La Cruz","CIN","SS",7.5,3,11,,24,"ellydelacruz","cin"
9,10260,"Julio Rodriguez","SEA","OF",9.04,7,12,,24,"juliorodriguez","sea"
12,9948,"Fernando Tatis Jr.","SD","OF",13.54,10,17,,24,"fernandotatisjr","sdp"
13,11108,"Gunnar Henderson","BAL","SS",13.79,10,23,,24,"gunnarhenderson","bal"
14,9787,"Kyle Tucker","LAD","OF",13.96,10,24,,24,"kyletucker","lad"
15,11875,"Junior Caminero","TB","3B",14.54,11,20,,24,"juniorcaminero","tbr"
16,11025,"Corbin Carroll","ARZ","OF",15.5,9,22,,24,"corbincarroll","arz"
17,10866,"Cal Raleigh","SEA","C",17,13,21,,24,"calraleigh","sea"
18,9785,"Vladimir Guerrero Jr.","TOR","1B",18.17,13,26,,24,"vladimirguerrerojr","tor"
19,12222,"Nick Kurtz","ATH","1B",19,11,26,,24,"nickkurtz","ath"
20,11738,"Jackson Chourio","MLW","OF",20.46,17,26,,24,"jacksonchourio","mil"
21,10231,"Jazz Chisholm Jr.","NYY","2B, 3B",20.79,16,29,,24,"jazzchisholmjr","nyy"
22,10312,"Pete Alonso","BAL","1B",24.5,21,36,,24,"petealonso","bal"
23,8940,"Kyle Schwarber","PHI","UT",24.58,19,34,,24,"kyleschwarber","phi"
25,8226,"Francisco Lindor","NYM","SS",24.83,18,49,,24,"franciscolindor","nym"
26,9132,"Trea Turner","PHI","SS",26.29,22,33,,24,"treaturner","phi"
27,11741,"Zach Neto","LAA","SS",28.29,20,35,,24,"zachneto","laa"
30,9112,"Ketel Marte","ARZ","2B",31.08,23,44,,24,"ketelmarte","arz"
31,11750,"James Wood","WAS","OF",32.04,24,46,,24,"jameswood","wsn"
32,10367,"Yordan Alvarez","HOU","UT",32.29,26,42,,24,"yordanalvarez","hou"
33,11864,"Pete Crow-Armstrong","CHC","OF",32.38,25,44,,24,"petecrowarmstrong","chc"
36,7891,"Manny Machado","SD","3B",36.29,25,52,,24,"mannymachado","sdp"
42,11881,"Wyatt Langford","TEX","OF",43.04,31,52,,24,"wyattlangford","tex"
44,8690,"Matt Olson","ATL","1B",45.29,34,63,,24,"mattolson","atl"
45,10149,"Brent Rooker","ATH","OF",45.92,37,58,,24,"brentrooker","ath"
47,7885,"Bryce Harper","PHI","1B",47.13,30,60,,24,"bryceharper","phi"
48,9708,"Rafael Devers","SF","1B",50.5,32,64,,24,"rafaeldevers","sfg"
52,11911,"Ben Rice","NYY","C, 1B",52.67,40,62,,24,"benrice","nyy"
53,10151,"Brice Turang","MLW","2B",53.17,43,64,,24,"briceturang","mil"
54,11948,"Roman Anthony","BOS","OF",54.17,40,69,,24,"romananthony","bos"
55,8638,"Mookie Betts","LAD","SS",56,40,79,,24,"mookiebetts","lad"
56,10845,"Shea Langeliers","ATH","C",56.46,43,70,,24,"shealangeliers","ath"
57,10364,"William Contreras","MLW","C",57.42,46,72,,24,"williamcontreras","mil"
60,11045,"CJ Abrams","WAS","SS",60.67,37,81,,24,"cjabrams","wsn"
64,10255,"Josh Naylor","SEA","1B",64.08,46,91,,24,"joshnaylor","sea"
65,7793,"Freddie Freeman","LAD","1B",64.38,53,85,,24,"freddiefreeman","lad"
66,11848,"Hunter Goodman","COL","C",64.88,48,90,,24,"huntergoodman","col"
68,9821,"Austin Riley","ATL","3B",67.79,51,83,,24,"austinriley","atl"
69,11387,"Maikel Garcia","KC","3B",68.13,53,84,,24,"maikelgarcia","kcr"
70,11891,"Jackson Merrill","SD","OF",69.33,50,91,,24,"jacksonmerrill","sdp"
71,10824,"Jarren Duran","BOS","OF",70.79,52,87,,24,"jarrenduran","bos"
72,8674,"Byron Buxton","MIN","OF",75.5,65,93,,24,"byronbuxton","min"
74,10822,"Riley Greene","DET","OF",75.63,64,86,,24,"rileygreene","det"
76,9649,"Cody Bellinger","NYY","OF",76.75,61,92,,24,"codybellinger","nyy"
77,10397,"Geraldo Perdomo","ARZ","SS",77.13,61,92,,24,"geraldoperdomo","arz"
