"projection_system","projection_type","season","playerid","name","team","ab","pa","h","x2b","x3b","bb","hbp","r","hr","rbi","sb","cs","avg","ab_per_pa","bb_per_pa","x2b_per_pa","x3b_per_pa","hbp_per_pa","cs_per_pa","r_per_pa","hr_per_pa","rbi_per_pa","sb_per_pa","h_per_pa","obp"
"oopsy","oopsy",2026,2396,"Carlos Santana","ARI",314,357,67,13,0,38,2,35,8,33,4,0,0.213424,0.879551820728291,0.106442577030812,0.0364145658263305,0,0.00560224089635854,0,0.0980392156862745,0.0224089635854342,0.092436974789916,0.0112044817927171,0.187675070028011,0.294117647058824
"oopsy","oopsy",2026,2967,"Tommy Pham",,137,154,32,6,0,14,1,16,3,15,3,1,0.232149,0.88961038961039,0.0909090909090909,0.038961038961039,0,0.00649350649350649,0.00649350649350649,0.103896103896104,0.0194805194805195,0.0974025974025974,0.0194805194805195,0.207792207792208,0.298701298701299
"oopsy","oopsy",2026,4940,"Jason Heyward",,1,1,0,0,0,0,0,0,0,0,0,0,0.216204,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,4949,"Giancarlo Stanton","NYY",369,413,87,13,0,39,2,51,25,65,1,0,0.23696,0.893462469733656,0.0944309927360775,0.0314769975786925,0,0.00484261501210654,0,0.123486682808717,0.0605326876513317,0.157384987893462,0.00242130750605327,0.210653753026634,0.305084745762712
"oopsy","oopsy",2026,5235,"Justin Turner",,161,182,37,7,0,16,3,18,3,17,1,1,0.227331,0.884615384615385,0.0879120879120879,0.0384615384615385,0,0.0164835164835165,0.00549450549450549,0.0989010989010989,0.0164835164835165,0.0934065934065934,0.00549450549450549,0.203296703296703,0.291208791208791
"oopsy","oopsy",2026,5273,"Sandy León","ATL",1,1,0,0,0,0,0,0,0,0,0,0,0.18934,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,5361,"Freddie Freeman","LAD",572,651,156,33,1,66,8,87,24,90,9,2,0.273363,0.878648233486943,0.101382488479263,0.0506912442396313,0.00153609831029186,0.0122887864823349,0.00307219662058372,0.133640552995392,0.0368663594470046,0.138248847926267,0.0138248847926267,0.23963133640553,0.341013824884793
"oopsy","oopsy",2026,5417,"Jose Altuve","HOU",559,623,144,27,0,53,6,72,17,71,14,4,0.257725,0.897271268057785,0.0850722311396469,0.043338683788122,0,0.00963081861958266,0.00642054574638844,0.115569823434992,0.0272873194221509,0.113964686998395,0.0224719101123595,0.231139646869984,0.316211878009631
"oopsy","oopsy",2026,5517,"Kyle Higashioka","TEX",254,276,58,11,0,18,1,29,10,32,2,1,0.226598,0.920289855072464,0.0652173913043478,0.0398550724637681,0,0.0036231884057971,0.0036231884057971,0.105072463768116,0.036231884057971,0.115942028985507,0.0072463768115942,0.210144927536232,0.27536231884058
"oopsy","oopsy",2026,5827,"Wilmer Flores",,163,182,37,7,0,15,2,18,4,18,0,0,0.228784,0.895604395604396,0.0824175824175824,0.0384615384615385,0,0.010989010989011,0,0.0989010989010989,0.021978021978022,0.0989010989010989,0,0.203296703296703,0.285714285714286
"oopsy","oopsy",2026,6887,"Martín Maldonado",,1,1,0,0,0,0,0,0,0,0,0,0,0.182756,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,7304,"Salvador Perez","KCR",570,618,144,26,0,33,10,69,29,86,1,0,0.253179,0.922330097087379,0.0533980582524272,0.0420711974110032,0,0.0161812297734628,0,0.111650485436893,0.0469255663430421,0.13915857605178,0.00161812297734628,0.233009708737864,0.286407766990291
"oopsy","oopsy",2026,7739,"Travis d'Arnaud","LAA",210,231,47,10,0,16,3,23,8,27,1,0,0.222249,0.909090909090909,0.0692640692640693,0.0432900432900433,0,0.012987012987013,0,0.0995670995670996,0.0346320346320346,0.116883116883117,0.00432900432900433,0.203463203463203,0.272727272727273
"oopsy","oopsy",2026,7802,"Miguel Rojas","LAD",147,161,34,7,0,11,1,16,2,15,3,1,0.232961,0.91304347826087,0.0683229813664596,0.0434782608695652,0,0.0062111801242236,0.0062111801242236,0.0993788819875776,0.0124223602484472,0.093167701863354,0.0186335403726708,0.211180124223602,0.279503105590062
"oopsy","oopsy",2026,8623,"Donovan Solano",,1,1,0,0,0,0,0,0,0,0,0,0,0.237764,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,9218,"Paul Goldschmidt","NYY",346,385,85,17,0,34,2,45,13,49,5,1,0.245823,0.898701298701299,0.0883116883116883,0.0441558441558442,0,0.00519480519480519,0.0025974025974026,0.116883116883117,0.0337662337662338,0.127272727272727,0.012987012987013,0.220779220779221,0.309090909090909
"oopsy","oopsy",2026,9241,"Starling Marte","KCR",247,273,65,11,1,17,5,32,6,29,9,2,0.263344,0.904761904761905,0.0622710622710623,0.0402930402930403,0.00366300366300366,0.0183150183150183,0.00732600732600733,0.117216117216117,0.021978021978022,0.106227106227106,0.032967032967033,0.238095238095238,0.3003663003663
"oopsy","oopsy",2026,9774,"Christian Vázquez","HOU",70,77,16,3,0,5,1,7,1,7,1,0,0.222996,0.909090909090909,0.0649350649350649,0.038961038961039,0,0.012987012987013,0,0.0909090909090909,0.012987012987013,0.0909090909090909,0.012987012987013,0.207792207792208,0.272727272727273
"oopsy","oopsy",2026,9777,"Nolan Arenado","ARI",556,609,134,28,0,42,5,63,14,65,3,2,0.241238,0.912972085385878,0.0689655172413793,0.0459770114942529,0,0.00821018062397373,0.00328407224958949,0.103448275862069,0.0229885057471264,0.106732348111658,0.00492610837438424,0.220032840722496,0.288998357963875
"oopsy","oopsy",2026,9847,"Andrew McCutchen","TEX",170,196,38,7,0,22,1,21,6,21,1,1,0.220373,0.86734693877551,0.112244897959184,0.0357142857142857,0,0.00510204081632653,0.00510204081632653,0.107142857142857,0.0306122448979592,0.107142857142857,0.00510204081632653,0.193877551020408,0.306122448979592
"oopsy","oopsy",2026,9952,"Trayce Thompson",,1,1,0,0,0,0,0,0,0,0,0,0,0.209278,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,10028,"Christian Bethancourt","CHC",1,1,0,0,0,0,0,0,0,0,0,0,0.219709,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,10059,"Max Stassi",,1,1,0,0,0,0,0,0,0,0,0,0,0.220108,1,0,0,0,0,0,0,0,0,0,0,0
