"projection_system","projection_type","season","playerid","name","team","ab","pa","h","r","hr","rbi","sb","avg"
"oopsy","oopsy",2026,2396,"Carlos Santana","ARI",314,357,67,35,8,33,4,0.213424
"oopsy","oopsy",2026,2967,"Tommy Pham",,187,210,43,22,4,20,4,0.232149
"oopsy","oopsy",2026,4940,"Jason Heyward",,1,1,0,0,0,0,0,0.216204
"oopsy","oopsy",2026,4949,"Giancarlo Stanton","NYY",369,413,87,51,25,65,1,0.23696
"oopsy","oopsy",2026,5235,"Justin Turner",,186,210,42,21,4,19,1,0.227331
"oopsy","oopsy",2026,5273,"Sandy León","ATL",1,1,0,0,0,0,0,0.18934
"oopsy","oopsy",2026,5361,"Freddie Freeman","LAD",572,651,156,87,24,90,9,0.273363
"oopsy","oopsy",2026,5417,"Jose Altuve","HOU",559,623,144,72,17,71,14,0.257725
"oopsy","oopsy",2026,5517,"Kyle Higashioka","TEX",260,283,59,29,10,33,2,0.226598
"oopsy","oopsy",2026,5827,"Wilmer Flores",,145,161,33,16,4,16,0,0.228784
"oopsy","oopsy",2026,6887,"Martín Maldonado",,1,1,0,0,0,0,0,0.182756
"oopsy","oopsy",2026,7304,"Salvador Perez","KCR",577,626,146,70,29,87,1,0.253179
"oopsy","oopsy",2026,7739,"Travis d'Arnaud","LAA",210,231,47,23,8,27,1,0.222249
"oopsy","oopsy",2026,7802,"Miguel Rojas","LAD",159,175,37,17,2,16,3,0.232961
"oopsy","oopsy",2026,8623,"Donovan Solano",,1,1,0,0,0,0,0,0.237764
"oopsy","oopsy",2026,9218,"Paul Goldschmidt","NYY",346,385,85,45,13,49,5,0.245824
"oopsy","oopsy",2026,9241,"Starling Marte",,246,273,61,31,6,28,8,0.247195
"oopsy","oopsy",2026,9774,"Christian Vázquez",,128,141,29,13,2,12,1,0.226135
"oopsy","oopsy",2026,9777,"Nolan Arenado","ARI",544,595,131,61,14,64,3,0.241237
"oopsy","oopsy",2026,9847,"Andrew McCutchen",,268,308,60,32,8,31,2,0.222747
"oopsy","oopsy",2026,9952,"Trayce Thompson",,1,1,0,0,0,0,0,0.209278
"oopsy","oopsy",2026,10028,"Christian Bethancourt","CHC",1,1,0,0,0,0,0,0.219709
"oopsy","oopsy",2026,10059,"Max Stassi",,1,1,0,0,0,0,0,0.220108
"oopsy","oopsy",2026,10155,"Mike Trout","LAA",476,560,116,77,28,77,4,0.244108
"oopsy","oopsy",2026,10200,"Tucker Barnhart",,1,1,0,0,0,0,0,0.206058
"oopsy","oopsy",2026,10231,"Jose Iglesias",,154,168,37,16,2,14,2,0.238678
"oopsy","oopsy",2026,10243,"Randal Grichuk","NYY",116,126,29,14,4,16,0,0.250197
"oopsy","oopsy",2026,10323,"Rafael Ortega",,1,1,0,0,0,0,0,0.211397
"oopsy","oopsy",2026,10324,"Marcell Ozuna","PIT",459,525,112,60,20,65,1,0.24379
"oopsy","oopsy",2026,10441,"Jon Singleton",,1,1,0,0,0,0,0,0.209271
"oopsy","oopsy",2026,10472,"Enrique Hernández","LAD",177,196,39,20,5,21,1,0.220041
"oopsy","oopsy",2026,10642,"Carlos Pérez","HOU",1,1,0,0,0,0,0,0.219146
"oopsy","oopsy",2026,10655,"Rob Brantly",,1,1,0,0,0,0,0,0.229517
"oopsy","oopsy",2026,10681,"Gio Urshela","MIN",39,42,10,4,1,4,0,0.251162
"oopsy","oopsy",2026,10815,"Jurickson Profar","ATL",560,644,137,78,16,69,9,0.244509
"oopsy","oopsy",2026,11339,"Jake Marisnick",,1,1,0,0,0,0,0,0.215464
"oopsy","oopsy",2026,11368,"Yasmani Grandal",,1,1,0,0,0,0,0,0.225827
"oopsy","oopsy",2026,11379,"Delino DeShields",,1,1,0,0,0,0,0,0.210275
"oopsy","oopsy",2026,11442,"Gary Sánchez","MIL",128,144,29,17,6,18,0,0.226246
"oopsy","oopsy",2026,11445,"Mark Canha","TEX",85,98,20,10,2,9,1,0.235745
"oopsy","oopsy",2026,11472,"Dixon Machado",,1,1,0,0,0,0,0,0.205691
"oopsy","oopsy",2026,11477,"Christian Yelich","MIL",552,630,140,78,20,73,20,0.253396
"oopsy","oopsy",2026,11489,"Michael A. Taylor",,1,1,0,0,0,0,0,0.210799
"oopsy","oopsy",2026,11493,"Manny Machado","SDP",585,644,154,77,28,89,11,0.263759
"oopsy","oopsy",2026,11579,"Bryce Harper","PHI",576,665,155,90,31,100,11,0.269885
"oopsy","oopsy",2026,11602,"Yolmer Sánchez","LAA",1,1,0,0,0,0,0,0.194325
"oopsy","oopsy",2026,11609,"Willson Contreras","BOS",531,609,129,74,23,78,6,0.242764
"oopsy","oopsy",2026,11615,"Brandon Drury","KCR",1,1,0,0,0,0,0,0.227943
"oopsy","oopsy",2026,11680,"Elias Díaz","KCR",17,19,4,2,0,2,0,0.214955
"oopsy","oopsy",2026,11737,"Nick Castellanos","SDP",342,371,85,41,11,45,3,0.247666
"oopsy","oopsy",2026,11739,"J.T. Realmuto","PHI",453,500,112,59,16,59,7,0.247911
"oopsy","oopsy",2026,11850,"Tyler Austin","CHC",149,168,36,21,7,24,0,0.242494
"oopsy","oopsy",2026,11899,"Joc Pederson","TEX",376,434,90,54,17,54,3,0.238372
"oopsy","oopsy",2026,12005,"Nick Martini",,1,1,0,0,0,0,0,0.218139
"oopsy","oopsy",2026,12037,"Jon Berti",,132,147,30,15,2,12,8,0.228503
"oopsy","oopsy",2026,12092,"Niko Goodrum",,1,1,0,0,0,0,0,0.214073
"oopsy","oopsy",2026,12144,"Max Kepler",,112,126,27,15,5,15,1,0.238607
"oopsy","oopsy",2026,12147,"Nick Ahmed",,1,1,0,0,0,0,0,0.209453
"oopsy","oopsy",2026,12155,"Eddie Rosario",,1,1,0,0,0,0,0,0.226515
"oopsy","oopsy",2026,12158,"Austin Barnes","NYM",6,6,1,1,0,1,0,0.208492
"oopsy","oopsy",2026,12160,"Ben Gamel","ATL",1,1,0,0,0,0,0,0.226679
"oopsy","oopsy",2026,12161,"Xander Bogaerts","SDP",546,609,141,67,15,66,17,0.257402
"oopsy","oopsy",2026,12180,"Jorge Alfaro","KCR",1,1,0,0,0,0,0,0.229503
"oopsy","oopsy",2026,12434,"Kevin Pillar",,1,1,0,0,0,0,0,0.223789
"oopsy","oopsy",2026,12533,"Marcus Semien","NYM",575,644,135,74,18,71,12,0.235428
"oopsy","oopsy",2026,12552,"Eugenio Suárez","CIN",549,616,127,71,30,85,3,0.231714
"oopsy","oopsy",2026,12564,"Trevor Story","BOS",607,665,146,72,21,79,27,0.240782
"oopsy","oopsy",2026,12856,"George Springer","TOR",524,595,134,76,24,77,15,0.255308
"oopsy","oopsy",2026,12859,"James McCann","ARI",178,194,41,19,5,20,1,0.229104
"oopsy","oopsy",2026,12916,"Francisco Lindor","NYM",560,630,142,81,24,81,24,0.253533
"oopsy","oopsy",2026,12927,"Brandon Nimmo","TEX",556,630,139,78,20,74,10,0.250771
"oopsy","oopsy",2026,12976,"Austin Hedges","CLE",127,141,24,12,2,10,2,0.190269
"oopsy","oopsy",2026,12977,"Michael Pérez",,1,1,0,0,0,0,0,0.209041
"oopsy","oopsy",2026,12979,"Javier Báez","DET",357,385,82,40,9,38,6,0.230756
"oopsy","oopsy",2026,13066,"Teoscar Hernández","LAD",545,595,141,74,29,91,8,0.257858
"oopsy","oopsy",2026,13145,"Josh Bell","MIN",507,574,124,66,20,68,1,0.243871
"oopsy","oopsy",2026,13152,"Jorge Polanco","NYM",479,539,118,64,20,70,7,0.24608
"oopsy","oopsy",2026,13185,"Orlando Arcia","MIN",89,98,21,10,2,10,0,0.230054
"oopsy","oopsy",2026,13301,"Max Muncy","LAD",384,455,86,58,20,60,3,0.224319
"oopsy","oopsy",2026,13324,"Ildemaro Vargas","ARI",90,98,21,10,1,9,1,0.237124
"oopsy","oopsy",2026,13329,"Jake Lamb",,1,1,0,0,0,0,0,0.21651
"oopsy","oopsy",2026,13338,"Omar Narváez",,1,1,0,0,0,0,0,0.216218
"oopsy","oopsy",2026,13419,"Christian Walker","HOU",534,595,124,68,25,77,3,0.232276
"oopsy","oopsy",2026,13499,"Tom Murphy",,58,64,14,7,2,7,0,0.239521
"oopsy","oopsy",2026,13510,"José Ramírez","CLE",605,679,160,88,23,86,38,0.263828
"oopsy","oopsy",2026,13590,"Jesse Winker",,251,294,58,35,8,31,4,0.231373
"oopsy","oopsy",2026,13602,"Patrick Wisdom","SEA",13,14,2,2,1,2,0,0.173469
"oopsy","oopsy",2026,13611,"Mookie Betts","LAD",574,651,150,87,22,83,11,0.261543
"oopsy","oopsy",2026,13613,"Ketel Marte","ARI",559,637,150,87,25,85,6,0.267782
"oopsy","oopsy",2026,13620,"Carson Kelly","CHC",330,373,77,41,11,40,2,0.23366
"oopsy","oopsy",2026,13621,"Jeimer Candelario","LAA",6,7,1,1,0,1,0,0.214688
"oopsy","oopsy",2026,13624,"Corey Seager","TEX",492,560,136,76,29,85,3,0.275877
"oopsy","oopsy",2026,13663,"Jack López",,1,1,0,0,0,0,0,0.203558
"oopsy","oopsy",2026,13675,"Tyrone Taylor","NYM",255,280,59,32,7,30,8,0.230086
"oopsy","oopsy",2026,13755,"Tomás Nido","DET",12,13,3,1,0,1,0,0.221016
"oopsy","oopsy",2026,13757,"Chris Taylor","LAA",130,147,28,16,4,15,3,0.216505
"oopsy","oopsy",2026,13768,"Travis Jankowski","NYM",1,1,0,0,0,0,0,0.218355
"oopsy","oopsy",2026,13770,"Rob Refsnyder","SEA",233,266,55,31,8,31,3,0.234708
"oopsy","oopsy",2026,13897,"Tyler Heineman","TOR",135,154,30,16,2,13,2,0.225653
"oopsy","oopsy",2026,14109,"Albert Almora Jr.",,1,1,0,0,0,0,0,0.233407
"oopsy","oopsy",2026,14111,"Eric Haase","SFG",12,13,3,1,0,1,0,0.217191
"oopsy","oopsy",2026,14161,"Byron Buxton","MIN",504,560,129,81,30,84,18,0.255893
"oopsy","oopsy",2026,14162,"Carlos Correa","HOU",505,567,133,68,17,68,1,0.26317
"oopsy","oopsy",2026,14196,"Andrew Velazquez","TEX",1,1,0,0,0,0,0,0.207567
"oopsy","oopsy",2026,14221,"Jorge Soler","LAA",443,504,102,59,22,67,1,0.229772
"oopsy","oopsy",2026,14344,"Matt Olson","ATL",596,686,152,93,33,102,1,0.255031
"oopsy","oopsy",2026,14366,"Joey Meneses","ATH",1,1,0,0,0,0,0,0.247801
"oopsy","oopsy",2026,14412,"Joe Hudson",,1,1,0,0,0,0,0,0.183719
"oopsy","oopsy",2026,14551,"Anthony Santander","TOR",50,56,12,7,2,7,0,0.231813
"oopsy","oopsy",2026,14567,"Franchy Cordero",,1,1,0,0,0,0,0,0.234179
"oopsy","oopsy",2026,14691,"Harold Castro",,1,1,0,0,0,0,0,0.251449
"oopsy","oopsy",2026,14712,"Manuel Margot",,19,21,5,2,0,2,0,0.244427
"oopsy","oopsy",2026,14813,"Kyle Farmer","ATL",25,28,6,3,1,3,0,0.226988
"oopsy","oopsy",2026,14854,"Mike Yastrzemski","ATL",400,455,91,57,15,55,5,0.226238
"oopsy","oopsy",2026,14968,"Victor Caratini","MIN",358,400,89,43,10,42,2,0.248835
"oopsy","oopsy",2026,15055,"Dom Nuñez","CLE",6,6,1,1,0,1,0,0.183732
"oopsy","oopsy",2026,15112,"Ryan McMahon","NYY",431,490,94,52,16,53,3,0.217822
"oopsy","oopsy",2026,15124,"Tim Locastro",,1,1,0,0,0,0,0,0.210108
"oopsy","oopsy",2026,15149,"Trey Mancini","LAA",6,7,2,1,0,1,0,0.237013
"oopsy","oopsy",2026,15161,"Mitch Garver","SEA",39,45,8,5,1,5,0,0.211027
"oopsy","oopsy",2026,15194,"Jake Bauers","MIL",274,315,61,37,12,37,9,0.2228
"oopsy","oopsy",2026,15223,"Adam Frazier","LAA",164,182,39,19,2,15,4,0.237398
"oopsy","oopsy",2026,15271,"Austin Wynns","ATH",151,166,35,17,4,17,1,0.233293
"oopsy","oopsy",2026,15274,"Mike Tauchman","NYM",90,105,21,12,2,10,1,0.229644
"oopsy","oopsy",2026,15279,"Garrett Cooper",,1,1,0,0,0,0,0,0.231955
"oopsy","oopsy",2026,15362,"Jeff McNeil","ATH",517,581,132,67,10,58,5,0.254487
"oopsy","oopsy",2026,15429,"Kris Bryant","COL",75,84,18,9,2,9,0,0.236383
"oopsy","oopsy",2026,15464,"Hunter Renfroe",,1,1,0,0,0,0,0,0.23891
"oopsy","oopsy",2026,15491,"J.P. Crawford","SEA",551,637,132,72,11,61,6,0.240279
"oopsy","oopsy",2026,15504,"Jamie Westbrook",,1,1,0,0,0,0,0,0.220121
"oopsy","oopsy",2026,15518,"Amed Rosario","NYY",207,224,54,27,4,24,5,0.25935
"oopsy","oopsy",2026,15585,"Mike Ford",,1,1,0,0,0,0,0,0.226135
"oopsy","oopsy",2026,15640,"Aaron Judge","NYY",527,644,160,112,52,126,11,0.30431
"oopsy","oopsy",2026,15653,"Dominic Smith","ATL",6,7,1,1,0,1,0,0.235348
"oopsy","oopsy",2026,15654,"Billy McKinney",,1,1,0,0,0,0,0,0.216809
"oopsy","oopsy",2026,15674,"Reese McGuire","MIL",12,13,3,1,0,1,0,0.225997
