"player_type","player_name","team","position","adp","pa","ab","h","2b","3b","bb","hbp","hr","sb","cs","r","rbi","ip","k","sv","hld","ottoneu_fg_pts"
"hitter","Aaron Judge","NYY","OF",2.11,637.5,517.3,151,25.2,0.8,109.1,6.1,48.4,9.2,2.5,108.5,116.8,,,,,1217.1
"pitcher","Tarik Skubal","DET","P",6.53,,,154,,,44,8,19,,,,,202,247,0,0,1198.7
"hitter","Shohei Ohtani","LAD","UT, P",1.16,659.3,560,159,28.3,4.8,89.3,4.7,46.9,24.2,7.1,120.7,113.2,,,,,1189.1
"hitter","Juan Soto","NYM","OF",4.26,674.9,543.9,150,25.8,1.2,121.9,4,38,19.9,6.8,109.4,100.5,,,,,1131.8
"pitcher","Garrett Crochet","BOS","P",11.47,,,162,,,53,8,20,,,,,199,246,0,0,1114.4
"pitcher","Paul Skenes","PIT","P",10.16,,,152,,,51,8,17,,,,,191,230,0,0,1092.1
"pitcher","Logan Webb","SFG","P",57.95,,,191,,,48,8,17,,,,,205,200,0,0,1043.3
"pitcher","Cristopher Sánchez","PHI","P",30.05,,,177,,,53,8,18,,,,,202,206,0,0,1042.2
"hitter","Vladimir Guerrero Jr.","TOR","1B",18.05,662.5,577,172.9,32.4,0.9,73.7,6.5,31.9,5.5,2.3,96.4,100.2,,,,,1034.6
"hitter","Bobby Witt Jr.","KCR","SS",2.95,659.8,598,176.7,36.6,5.9,49,6.6,30.3,34.6,9.7,104.4,96.4,,,,,1021.9
"pitcher","Bryan Woo","SEA","P",38.79,,,162,,,45,8,24,,,,,197,208,0,0,998.4
"hitter","Ronald Acuña Jr.","ATL","OF",7.68,629.3,533.6,151.7,25.6,2.4,83,7.7,29.6,24.6,6.9,100.7,85.2,,,,,981.7
"hitter","Kyle Schwarber","PHI","UT",24.89,657.2,549.2,128.2,20.8,0.9,96.2,7,41.1,6,2.7,95.5,102.4,,,,,934.6
"hitter","Fernando Tatis Jr.","SDP","OF",14,645.7,565.2,154.2,28.7,2.4,69.4,6.1,29.9,24.2,6.3,94.9,87.6,,,,,930.9
"hitter","Yordan Alvarez","HOU","UT",31.84,552.7,471.8,139.9,27.3,1.2,68.3,7.7,31.8,4.1,1.5,84.9,89.7,,,,,927.9
"hitter","Gunnar Henderson","BAL","SS",14.11,657.3,578.2,158.4,33.2,4.3,67.7,5.8,26.5,22.4,5.3,99.6,86.2,,,,,926.3
"pitcher","Framber Valdez","DET","P",86.58,,,177,,,65,8,16,,,,,194,181,0,0,921.6
"pitcher","Hunter Greene","CIN","P",47.79,,,135,,,61,8,24,,,,,179,223,0,0,917.4
"hitter","Kyle Tucker","LAD","OF",14.68,619.9,529.7,142.8,28.2,2.2,81,3.8,28.9,20.4,4.9,94.5,88.1,,,,,915.6
"pitcher","Max Fried","NYY","P",52.95,,,162,,,59,8,18,,,,,188,181,0,0,909.6
"hitter","Julio Rodríguez","SEA","OF",9.37,658.9,597.3,165,28.3,3.9,47.9,9.2,29,26.2,6.7,92.7,92.2,,,,,905.7
"pitcher","Hunter Brown","HOU","P",36.74,,,154,,,61,8,19,,,,,182,198,0,0,901.7
"hitter","Pete Alonso","BAL","1B",24.74,654.6,576.2,146.1,27.7,0.7,60.5,12.9,36.6,2.7,1,87.6,102.4,,,,,891.9
"hitter","José Ramírez","CLE","3B",5.16,649,576.7,155.6,32.2,3.2,62.4,4.6,25.5,34.2,8.4,88.5,86.1,,,,,888.7
"hitter","Brent Rooker","ATH","OF",45.32,640.3,567.5,149.2,30.7,1.6,60.5,7.5,33.1,6.4,2,87.7,95.7,,,,,887.5
"pitcher","Dylan Cease","TOR","P",79.32,,,151,,,73,8,23,,,,,185,214,0,0,878.5
"pitcher","Chris Sale","ATL","P",43.68,,,130,,,47,7,18,,,,,162,198,0,0,873.4
"hitter","Junior Caminero","TBR","3B",14.32,631,579.6,157.4,27.6,1.5,41.7,4.2,36.1,5.2,2.2,84,101.9,,,,,870.5
"hitter","Corbin Carroll","ARI","OF",14.47,603.6,525.7,137.1,27.4,9.2,63.7,8.5,24.8,33.1,6.9,98.3,78.5,,,,,867
"hitter","Bryce Harper","PHI","1B",46,606.4,522.8,142,30.9,1,74,4.7,27,9.9,3.5,83.3,87.8,,,,,866.2
"hitter","Ketel Marte","ARI","2B",31.37,615.7,537.6,147.4,30.6,2,66.3,6.6,26.9,5.5,1.8,87.2,86.8,,,,,864.5
"pitcher","Jesús Luzardo","PHI","P",80.16,,,150,,,57,8,22,,,,,178,200,0,0,861.6
"hitter","Rafael Devers","SFG","1B",48.68,655.8,563.7,141.5,28,1,80.5,6.5,30,2.4,0.9,87.3,89.5,,,,,860.7
"pitcher","Logan Gilbert","SEA","P",34.68,,,133,,,39,6,20,,,,,164,184,0,0,854.8
"hitter","Matt Olson","ATL","1B",44.42,665.6,575.8,143.1,29.2,0.9,79.2,5.6,29.9,1,0.6,87.1,93.6,,,,,851.5
"pitcher","George Kirby","SEA","P",66.63,,,152,,,34,7,20,,,,,172,171,0,0,850.6
"hitter","Nick Kurtz","ATH","1B",19.53,576.3,500.6,129.6,24.7,1.9,67.5,3.7,34.4,3.3,1,86,89.2,,,,,847.8
"hitter","Elly De La Cruz","CIN","SS",7.37,636.3,567.8,148.2,30.1,5.6,59.8,3.7,23.5,39.5,10.2,91.4,78.7,,,,,839.3
"hitter","Cal Raleigh","SEA","C",17.74,625.9,541,125.5,23.1,0.7,74.2,5.9,38,8.1,2.7,84.7,99.1,,,,,839.3
"pitcher","Jacob deGrom","TEX","P",52.05,,,139,,,46,7,22,,,,,170,185,0,0,837
"pitcher","Cole Ragans","KCR","P",48.89,,,135,,,59,7,18,,,,,164,196,0,0,835.2
"pitcher","Sonny Gray","BOS","P",135.32,,,166,,,49,7,21,,,,,177,188,0,0,827.9
"hitter","James Wood","WSN","OF",31.84,630,548.6,141.3,29.9,2.1,73,4,24.9,17,5.2,84.6,79.1,,,,,824.6
"hitter","Freddie Freeman","LAD","1B",64.26,617.3,541.2,148.3,31.6,1.2,63.4,7.5,22.5,7.9,2.2,83,84.5,,,,,820.1
"hitter","Austin Riley","ATL","3B",66.68,624.6,563.5,148.5,28.8,2.2,48.1,7.8,29.2,2.6,1.2,82.8,91.3,,,,,807.6
"hitter","Wyatt Langford","TEX","OF",42.11,612.8,531.5,134.9,27.4,2.3,71,5.5,24.7,21,5.7,84.8,76.8,,,,,802.5
"hitter","Riley Greene","DET","OF",75.05,629.6,563.2,145.7,27.6,3.3,57.1,4.9,27.8,4,1.4,83.3,86.8,,,,,802.4
"pitcher","Yoshinobu Yamamoto","LAD","P",24.95,,,124,,,51,7,16,,,,,155,172,0,0,797.8
"pitcher","Nathan Eovaldi","TEX","P",149,,,159,,,48,7,20,,,,,174,166,0,0,795.2
"hitter","Zach Neto","LAA","SS",30.37,633.9,567.2,143,30,1.4,44.3,16.2,26.7,27.8,8.7,84.2,78.4,,,,,790.1
"pitcher","Nick Pivetta","SDP","P",95.11,,,146,,,55,7,25,,,,,174,187,0,0,788.5
"hitter","Mookie Betts","LAD","SS",57.74,621.2,545.7,145.4,29.8,2.1,64.5,5.3,21.3,9.1,2.8,84.9,79.5,,,,,786.2
"hitter","Vinnie Pasquantino","KCR","1B",79.47,630.5,565.4,148.8,31.4,1.7,53.1,5.9,25.3,1.4,0.2,77.3,88.5,,,,,785.5
"hitter","Yandy Díaz","TBR","1B",134.05,614.4,545.8,154.3,27.4,0.8,57.7,5.7,20.3,2.1,0.9,77.3,75.7,,,,,785.2
"hitter","Jackson Chourio","MIL","OF",20.11,629.1,579.2,155.7,32.2,3.5,39.6,4.1,23.5,24,6.6,83.8,82.2,,,,,785
"pitcher","José Soriano","LAA","P",329.32,,,162,,,77,8,13,,,,,175,162,0,0,782.9
"hitter","Roman Anthony","BOS","OF",57.68,609.1,523.8,138.4,31.1,2.6,75.9,4.5,18.6,9.2,3.2,84,70.3,,,,,780.8
"pitcher","Tanner Bibee","CLE","P",199.42,,,166,,,54,8,23,,,,,181,170,0,0,778.9
"pitcher","Joe Ryan","MIN","P",73.84,,,146,,,41,7,25,,,,,168,183,0,0,778.1
"pitcher","Zack Wheeler","PHI","P",130.68,,,121,,,41,6,18,,,,,149,176,0,0,777.6
"pitcher","Sandy Alcantara","MIA","P",161,,,180,,,60,8,21,,,,,187,161,0,0,775.5
"hitter","Manny Machado","SDP","3B",37.58,623.7,565.2,148.9,27.2,0.2,50.7,2.4,27.3,9.4,3,77.2,86.8,,,,,773.7
"pitcher","Kevin Gausman","TOR","P",122.84,,,165,,,57,8,24,,,,,181,176,0,0,772.2
"hitter","Francisco Lindor","NYM","SS",23.42,618.2,546.7,140.1,27.1,1.2,54.3,9.8,24.5,22.4,5.9,85,76,,,,,771.9
"hitter","Trea Turner","PHI","SS",27.16,627.6,574.5,160.6,29.2,3.9,40,5.2,17.7,27,5.2,85.1,71.5,,,,,771.1
"hitter","Seiya Suzuki","CHC","OF",89.47,602.6,530.7,135.4,26.6,2.5,63.1,3.9,25.9,8.4,3.3,80.6,83,,,,,770.5
"hitter","Corey Seager","TEX","SS",100.58,526.4,458.7,126.4,23.6,0.4,57.6,4.6,27,2.4,0.8,71.5,79.8,,,,,762.9
"pitcher","Luis Castillo","SEA","P",172.26,,,159,,,52,8,24,,,,,178,167,0,0,762.6
"hitter","William Contreras","MIL","C",55.84,602.9,525.3,139.8,28,0.6,68.4,4.2,20.3,6.2,2.1,74.7,77.7,,,,,756.9
"hitter","Jarren Duran","BOS","OF",69.16,607.3,544.7,142.8,34.4,6.5,49.8,7.1,17.4,23.6,5.1,85.1,71.3,,,,,756.5
"hitter","Taylor Ward","BAL","OF",149.21,629.3,553.4,135.2,26.2,1.4,64.3,6.1,26.8,5.1,1.8,81.1,82.5,,,,,755.7
"hitter","Randy Arozarena","SEA","OF",86.26,653.6,565.3,132.6,26.6,1.6,65.2,17.6,22.9,23.6,7.9,83.7,76.4,,,,,749.8
"hitter","Willy Adames","SFG","SS",124.84,649.1,570.4,134.2,27.7,1.3,68.9,4,26.4,11.5,3.7,80.6,83,,,,,747.7
"hitter","Jackson Merrill","SDP","OF",69.53,606.2,555.8,149.4,30.8,3.4,40.2,3.4,22.8,7.8,2.6,78.3,79.8,,,,,742.9
"pitcher","Aaron Nola","PHI","P",217.26,,,167,,,51,7,26,,,,,179,173,0,0,742.6
