"projection_system","projection_type","season","playerid","name","team","ab","pa","h","x2b","x3b","bb","hbp","r","hr","rbi","sb","cs","avg","ab_per_pa","bb_per_pa","x2b_per_pa","x3b_per_pa","hbp_per_pa","cs_per_pa","r_per_pa","hr_per_pa","rbi_per_pa","sb_per_pa","h_per_pa","obp"
"steamer","steamer",2026,1744,"Miguel Cabrera",,0.9162,1,0.2161,0.0355,0.0028,0.064,0.009,0.096,0.0169,0.0916,0.0107,0.0032,0.235866,0.9162,0.064,0.0355,0.0028,0.009,0.0032,0.096,0.0169,0.0916,0.0107,0.2161,0.2801
"steamer","steamer",2026,2136,"David Peralta",,5.9318,6.51426,1.414,0.2981,0.0177,0.456,0.0586,0.6475,0.1405,0.6603,0.0552,0.0183,0.238376,0.910586927755416,0.0700002763168802,0.0457611455483815,0.00271711598861574,0.00899564954423066,0.00280922161534848,0.0993973221824121,0.0215680675932493,0.101362242219377,0.00847371765941181,0.217062260333484,0.287062536650364
"steamer","steamer",2026,2396,"Carlos Santana","ARI",257.674,292.293,60.5269,11.1393,0.4459,29.7262,2.0461,31.5459,8.3612,32.5099,2.5853,0.7165,0.234897,0.881560625810403,0.101700006500327,0.0381100471102626,0.00152552404607705,0.00700016764000506,0.00245130742097827,0.107925608892447,0.0286055430680858,0.111223669400225,0.00884489194062123,0.207076118825973,0.308776125326299
"steamer","steamer",2026,2967,"Tommy Pham",,139.567,156.164,34.2025,6.4339,0.5443,14.0547,0.937,17.7667,3.9284,15.8631,2.4407,0.7373,0.245062,0.893720703875413,0.08999961578853,0.0411996362798084,0.00348543838528726,0.006000102456392,0.00472131861376502,0.113769498732102,0.0251556056453472,0.101579749494122,0.0156290822468687,0.219016546707308,0.309016162495838
"steamer","steamer",2026,3174,"Shin-Soo Choo",,0.8952,1,0.197,0.0344,0.0029,0.082,0.012,0.0981,0.0192,0.0909,0.0124,0.0042,0.220063,0.8952,0.082,0.0344,0.0029,0.012,0.0042,0.0981,0.0192,0.0909,0.0124,0.197,0.279
"steamer","steamer",2026,3516,"Eric Hosmer",,0.9132,1,0.2032,0.0353,0.0034,0.067,0.009,0.0973,0.0209,0.0945,0.0137,0.0044,0.222514,0.9132,0.067,0.0353,0.0034,0.009,0.0044,0.0973,0.0209,0.0945,0.0137,0.2032,0.2702
"steamer","steamer",2026,3917,"Dayan Viciedo",,0.9182,1,0.2214,0.037,0.0027,0.06,0.011,0.1012,0.022,0.1006,0.0077,0.0024,0.241124,0.9182,0.06,0.037,0.0027,0.011,0.0024,0.1012,0.022,0.1006,0.0077,0.2214,0.2814
"steamer","steamer",2026,4106,"Michael Brantley",,0.8882,1,0.2269,0.0416,0.0038,0.092,0.009,0.1081,0.0177,0.0974,0.0163,0.0048,0.25546,0.8882,0.092,0.0416,0.0038,0.009,0.0048,0.1081,0.0177,0.0974,0.0163,0.2269,0.3189
"steamer","steamer",2026,4892,"Mike Moustakas",,0.9142,1,0.2026,0.0382,0.0031,0.065,0.01,0.1,0.0247,0.1,0.0101,0.003,0.221615,0.9142,0.065,0.0382,0.0031,0.01,0.003,0.1,0.0247,0.1,0.0101,0.2026,0.2676
"steamer","steamer",2026,4940,"Jason Heyward",,8.4664,9.3849,1.907,0.3857,0.0317,0.7226,0.0938,0.9951,0.2781,1.0178,0.1032,0.0321,0.225243,0.902130017368326,0.0769960255303733,0.041097933915119,0.00337776641200226,0.00999477884687104,0.00342038807019787,0.106032030176134,0.0296327078604993,0.108450809278735,0.0109963878144679,0.203198755447581,0.280194780977954
"steamer","steamer",2026,4949,"Giancarlo Stanton","NYY",309.563,347.039,71.129,11.0601,0.3211,32.1706,2.0822,44.8687,21.0231,53.1844,0.6828,0.2313,0.229772,0.892012136964433,0.0927002440647881,0.0318699051115293,0.000925256239212308,0.00599990202830229,0.000666495696449102,0.129290079789303,0.0605784940597454,0.153251939983691,0.001967502211567,0.204959673120312,0.2976599171851
"steamer","steamer",2026,5038,"Josh Donaldson",,0.8922,1,0.1876,0.0365,0.0033,0.088,0.009,0.1052,0.0295,0.1036,0.0123,0.0038,0.210267,0.8922,0.088,0.0365,0.0033,0.009,0.0038,0.1052,0.0295,0.1036,0.0123,0.1876,0.2756
"steamer","steamer",2026,5235,"Justin Turner",,129.406,145.62,31.8826,6.143,0.2096,12.8146,2.0387,15.5213,3.3278,15.2838,0.8754,0.2764,0.246377,0.888655404477407,0.0880002746875429,0.042185139403928,0.00143936272490043,0.0140001373437715,0.00189809092157671,0.106587693998077,0.0228526301332235,0.10495673671199,0.00601153687680264,0.218943826397473,0.306944101085016
"steamer","steamer",2026,5254,"Robbie Grossman",,8.1253,9.3849,1.7791,0.3494,0.0231,1.0886,0.0751,0.9907,0.2074,0.8764,0.0859,0.0244,0.218958,0.865784398342017,0.115994842779358,0.0372300184338672,0.0024614007607966,0.00800221632622617,0.00259992114993234,0.105563191935982,0.0220993297744249,0.0933840531065861,0.0091530010975077,0.189570480239534,0.305565323018892
"steamer","steamer",2026,5273,"Sandy León","ATL",0.895,1,0.1519,0.0265,0.0017,0.0855,0.009,0.0864,0.0203,0.0826,0.006,0.0019,0.169721,0.895,0.0855,0.0265,0.0017,0.009,0.0019,0.0864,0.0203,0.0826,0.006,0.1519,0.2374
"steamer","steamer",2026,5297,"Aaron Hicks",,5.1518,5.91023,1.1178,0.1757,0.0172,0.656,0.0414,0.6125,0.1336,0.551,0.0703,0.0208,0.216973,0.871675044795211,0.110993988389623,0.0297281154878913,0.00291020823216694,0.00700480353556461,0.0035193215830856,0.103633868732689,0.0226048732452037,0.0932281823211618,0.0118946301582172,0.189129695460244,0.300123683849867
"steamer","steamer",2026,5343,"Brandon Crawford",,5.3427,5.91023,1.1337,0.2206,0.0181,0.4374,0.065,0.5504,0.1089,0.53,0.061,0.0182,0.212196,0.903974972209203,0.0740072721366174,0.0373251125590713,0.0030624865698966,0.0109978799471425,0.0030794063851999,0.093126663429342,0.0184256788652895,0.0896750211074696,0.0103210873350107,0.191819946093468,0.265827218230086
"steamer","steamer",2026,5361,"Freddie Freeman","LAD",575.539,658.412,160.58,33.7101,1.9469,69.265,8.5594,88.8803,24.139,94.1002,7.202,2.0313,0.279009,0.87413200245439,0.105200087483217,0.0511990972218003,0.00295696311731864,0.0130000668274576,0.00308515033140344,0.134991919952856,0.0366624545117647,0.142919934630596,0.0109384397611222,0.243889844049015,0.349089931532232
"steamer","steamer",2026,5417,"Jose Altuve","HOU",528.683,589.296,141.032,25.1624,1.1306,48.9705,5.3037,79.6748,20.4153,65.1997,12.3323,3.3776,0.26676,0.897143371073281,0.0831000040726562,0.0426990850099101,0.00191856045179333,0.00900006108984279,0.00573158480627732,0.135203361298906,0.0346435407672884,0.110639983980886,0.0209271741196275,0.239322853031414,0.32242285710407
"steamer","steamer",2026,5452,"Ji Man Choi",,0.8802,1,0.1843,0.0348,0.0033,0.1,0.009,0.1073,0.0307,0.1041,0.0111,0.0033,0.209384,0.8802,0.1,0.0348,0.0033,0.009,0.0033,0.1073,0.0307,0.1041,0.0111,0.1843,0.2843
"steamer","steamer",2026,5497,"Marwin Gonzalez",,0.9272,1,0.1879,0.0357,0.0031,0.051,0.011,0.0899,0.0201,0.0902,0.0107,0.0032,0.202653,0.9272,0.051,0.0357,0.0031,0.011,0.0032,0.0899,0.0201,0.0902,0.0107,0.1879,0.2389
