season,ev_shift,ev_floor,tango_n,tango_woba,adj_n,adj_woba,total_bbe,tango_brl_pct,adj_brl_pct,tango_brl_avg,tango_brl_slg,adj_brl_avg,adj_brl_slg
2015,-0.078,98.1,6360,1.445,6251,1.453,125986,5.05,4.96,0.802,2.783,0.806,2.799
2016,0.156,97.8,7407,1.461,7554,1.453,125281,5.91,6.03,0.814,2.808,0.811,2.791
2017,0.781,97.2,7419,1.526,8374,1.452,125475,5.91,6.67,0.835,2.953,0.805,2.795
2018,-0.547,98.5,7910,1.395,7103,1.452,124428,6.36,5.71,0.778,2.678,0.802,2.8
2019,0.312,97.7,8646,1.485,9143,1.455,123876,6.98,7.38,0.818,2.866,0.806,2.803
2021,-0.781,98.8,9096,1.379,7971,1.453,121357,7.5,6.57,0.778,2.639,0.808,2.795
2022,-1.719,99.7,8843,1.283,6422,1.452,123732,7.15,5.19,0.731,2.446,0.8,2.805
2023,-1.25,99.2,9472,1.327,7564,1.452,123886,7.65,6.11,0.748,2.54,0.801,2.804
2024,-1.641,99.6,9154,1.277,6678,1.453,123830,7.39,5.39,0.723,2.44,0.799,2.808
2025,-2.285,100.3,10147,1.226,6739,1.451,124450,8.15,5.42,0.696,2.339,0.794,2.807
2026,-2.5,100.5,2930,1.194,1831,1.452,37733,7.77,4.85,0.683,2.271,0.796,2.808
