feature,n_pairs,d_r2_blend,folds_pos,resid_slope,resid_lo,resid_hi,resid_slope_z,resid_z_lo,resid_z_hi,trans_consist,verdict_skill,n_starts,gsm_coef,gsm_lo,gsm_hi,seasons_consist,comp_ip,comp_k,comp_er,comp_whip,verdict_gsm
eff_pitch_count,525,0.0024034184735488504,3/4,0.006179798537632062,7.40348697297727e-4,0.01146598198157616,0.012236427309946304,-0.003965333392730135,0.027609437697339263,3/4,PROMISING,22414,0.04552845236037764,0.016869724697818,0.0747160515336069,5/5,0.1648787469070984,-0.093718542204858,0.003320551646034715,0.05438656428436208,PROMISING
n_pitches_10,525,0.004515219889806064,3/4,0.007239098742983266,0.0017324372913934513,0.012590468630015098,0.017601352563932485,-4.019557762144841e-4,0.03615283959193497,3/4,PROMISING,22414,0.04754417878961948,0.02264170997425373,0.07305493965240965,5/5,0.14616126748560745,-0.08771389427572486,0.009012807001165904,0.045016123015056864,PROMISING
n_pitches_5,525,0.0016857722111709623,2/4,0.007616827820306737,0.0026721816014644724,0.012497036157068453,0.020842668825042817,0.0059908343124793545,0.03608214505081185,3/4,WEAK,22414,0.03447049777119798,0.008655540770745714,0.06112425555063636,4/5,0.10504999697583739,-0.05433799720699903,-0.0031211800033476215,0.05554334838926413,PROMISING
n_pitches_15,525,-0.002294000209176879,1/4,-5.810302928740313e-4,-0.0066059902978885966,0.005606212279514445,-0.0092755909770021,-0.028233698467426148,0.010199598006223581,2/4,KILL,22414,0.023660080486488013,-0.001339935407164572,0.050217497864047125,4/5,0.11436275801857385,-0.06506191251864667,0.016308517197526386,0.012714087586235868,WEAK
flag_le2_p10,525,-9.224045968130526e-4,2/4,-0.00306976914064088,-0.00879280290276345,0.0022734377842422806,-0.005877186848464634,-0.02580317891623236,0.010668336140066176,2/4,KILL,22414,-0.050377186395208697,-0.07766597704248436,-0.017057467762716022,5/5,-0.11015166726203264,0.05333275042113125,-0.014405274110110425,-0.02035210206415646,PROMISING
flag_ge5_p10,525,2.8629865867879937e-4,2/4,0.005613841184839955,4.0446455526997046e-4,0.010567204629891235,0.018630464844388097,0.0022276588821179538,0.03547099927317007,4/4,WEAK,22414,0.014788262907621447,-0.010073211829127553,0.0413466665687801,3/5,0.10299498352631535,-0.053380479273346534,-0.011319427508755359,0.01917235652704795,KILL
fb_family_count_10,525,0.0011460852661647819,3/4,0.0052105360297291774,2.3994636354875186e-4,0.01011502914538293,0.008950081432411437,-0.008172431447615078,0.026382639341909077,3/4,PROMISING,22414,0.050280734505087125,0.02336125584200322,0.08003580499175411,5/5,0.1438993288133466,-0.061640317478565396,0.021261820280643235,0.06371865820429842,PROMISING
fb_family_count_10_noFC,525,0.001150195712612474,3/4,0.005660460291070657,-7.589624628483312e-5,0.010821591223072233,0.012583389299391057,-0.007162142198892605,0.03066001762869205,3/4,WEAK,22414,0.025730437695241196,0.0022705690123693565,0.0558001876724204,4/5,0.10995679839625352,-0.04980893967205358,-0.006554858483011608,0.04458246502401062,PROMISING
best_stuff_10,525,-0.001249675977863515,2/4,0.0013595707628001289,-0.0037914173330127563,0.00631918565147312,0.0035842525390136783,-0.01501257666404451,0.020954534651802033,2/4,KILL,22414,-0.006125022898767021,-0.042540656352948084,0.027031173450359047,3/5,0.02203676580789412,-0.03622470958190348,-9.007261063818489e-4,-0.021283485410859792,KILL
second_best_stuff_10,525,6.229437526636002e-4,2/4,0.002240984222031651,-0.0030242035549959806,0.006812441982192497,0.0033936152210366187,-0.014203975936066267,0.020448490893555077,3/4,KILL,22414,-0.017385558856336022,-0.053008358428059205,0.020726213444520122,4/5,0.008025703544157561,-0.05058685986589048,-0.02651515178272409,-0.0062600783035821105,WEAK
stuff_spread_5,525,9.545182129217789e-4,2/4,-0.002169387596186545,-0.007509525628655699,0.003260875857216415,-0.008239740330412935,-0.025861029503061773,0.009852328604225646,3/4,KILL,22414,-0.01282617183878877,-0.03785631054545585,0.013449143135459491,3/5,-0.015745408395364754,0.00584975558481035,-0.0074268314836160015,-0.021017627361204296,KILL
weapons_10_100,525,-9.235246427759433e-4,2/4,0.002122370818872158,-0.0037056024955072326,0.007612233661324618,0.004121128240056304,-0.014674952201908913,0.023306262103234898,3/4,KILL,22414,-0.01836952763873105,-0.051568465948830876,0.015404030598234579,4/5,0.0335445943281333,-0.06821514264983147,-0.020665920814545307,-3.9130423303027057e-4,WEAK
weapons_5_100,525,-0.0033546101673178003,1/4,0.00225488784086937,-0.003388116284932593,0.007610565625990142,0.006594103931656059,-0.013200820881062152,0.0222037026560415,3/4,KILL,22414,-0.010133272487822293,-0.043330391331664594,0.022228135887119804,4/5,0.017086035715096103,-0.05525825454566702,-0.011510448788778355,0.01392147239935129,WEAK
weapons_10_105,525,-0.0014513292908723491,1/4,2.2854510598367824e-4,-0.006473805579377134,0.006152527884429482,-0.003591761072464887,-0.023830433302168337,0.015439279230767109,3/4,KILL,22414,-0.012326998368682984,-0.043312600498903175,0.020507020135889252,4/5,0.03731914748691019,-0.06636946994382244,-0.02002751421107923,0.003253170864793928,WEAK
