"game_date","season","mean_cd","num_pitches","num_games","fetched_at_utc"
2016-04-04,2016,0.355634118878134,964,10,"2026-07-02T04:53:07Z"
2016-04-05,2016,0.35791431270869,1114,12,"2026-07-02T04:53:07Z"
2016-04-06,2016,0.346779644095465,1325,13,"2026-07-02T04:53:07Z"
2016-04-07,2016,0.344032543355516,719,8,"2026-07-02T04:53:07Z"
2016-04-08,2016,0.345407090478994,1746,14,"2026-07-02T04:53:07Z"
2016-04-09,2016,0.340730734604359,1346,13,"2026-07-02T04:53:07Z"
2016-04-10,2016,0.341907083638199,1122,13,"2026-07-02T04:53:07Z"
2016-04-11,2016,0.345550366310814,1178,11,"2026-07-02T04:53:07Z"
2016-04-12,2016,0.35535685739042,1142,12,"2026-07-02T04:53:07Z"
2016-04-13,2016,0.351893296456297,1492,15,"2026-07-02T04:53:07Z"
2016-04-14,2016,0.34841862493613,1305,12,"2026-07-02T04:53:07Z"
2016-04-15,2016,0.353239721053146,1362,15,"2026-07-02T04:53:07Z"
2016-04-16,2016,0.349563080563193,1579,15,"2026-07-02T04:53:07Z"
2016-04-17,2016,0.345446946970723,1175,14,"2026-07-02T04:53:07Z"
2016-04-18,2016,0.357121396545745,746,8,"2026-07-02T04:53:07Z"
2016-04-19,2016,0.349604671239946,1637,15,"2026-07-02T04:53:07Z"
2016-04-20,2016,0.350160655638476,1443,15,"2026-07-02T04:53:07Z"
2016-04-21,2016,0.351487754402893,1525,13,"2026-07-02T04:53:07Z"
2016-04-22,2016,0.348964377790686,1564,15,"2026-07-02T04:53:07Z"
2016-04-23,2016,0.343655582494044,1442,15,"2026-07-02T04:53:07Z"
2016-04-24,2016,0.34444265245806,1875,15,"2026-07-02T04:53:07Z"
2016-04-25,2016,0.342199573115369,1440,13,"2026-07-02T04:53:07Z"
2016-04-26,2016,0.347937715923765,1534,15,"2026-07-02T04:53:07Z"
2016-04-27,2016,0.350356718382413,1602,14,"2026-07-02T04:53:07Z"
2016-04-28,2016,0.337197154191455,786,7,"2026-07-02T04:53:07Z"
2016-04-29,2016,0.345486944035958,1546,15,"2026-07-02T04:53:07Z"
2016-04-30,2016,0.34800317764613,1445,14,"2026-07-02T04:53:07Z"
2016-05-01,2016,0.336389533021251,1512,15,"2026-07-02T04:53:07Z"
2016-05-02,2016,0.348096956445773,904,10,"2026-07-02T04:53:07Z"
2016-05-03,2016,0.345861596224111,1515,15,"2026-07-02T04:53:07Z"
2016-05-04,2016,0.336115507700209,1529,15,"2026-07-02T04:53:07Z"
2016-05-05,2016,0.344148680320744,1066,11,"2026-07-02T04:53:07Z"
2016-05-06,2016,0.343698565863166,1518,14,"2026-07-02T04:53:07Z"
2016-05-07,2016,0.342800380817288,1613,16,"2026-07-02T04:53:07Z"
2016-05-08,2016,0.34415802432668,1705,15,"2026-07-02T04:53:07Z"
2016-05-09,2016,0.34981975910637,1172,11,"2026-07-02T04:53:07Z"
2016-05-10,2016,0.351174079291281,1455,14,"2026-07-02T04:53:07Z"
2016-05-11,2016,0.345456272060724,1871,16,"2026-07-02T04:53:07Z"
2016-05-12,2016,0.351979747054166,787,8,"2026-07-02T04:53:07Z"
2016-05-13,2016,0.348495096329312,1606,15,"2026-07-02T04:53:07Z"
2016-05-14,2016,0.33855829973029,1462,16,"2026-07-02T04:53:07Z"
2016-05-15,2016,0.338837243950102,1768,15,"2026-07-02T04:53:07Z"
2016-05-16,2016,0.347712951143924,952,8,"2026-07-02T04:53:07Z"
2016-05-17,2016,0.343004503986244,1513,15,"2026-07-02T04:53:07Z"
2016-05-18,2016,0.346487729076832,1585,16,"2026-07-02T04:53:07Z"
2016-05-19,2016,0.342717603482228,1199,11,"2026-07-02T04:53:07Z"
2016-05-20,2016,0.340987062519278,1429,15,"2026-07-02T04:53:07Z"
2016-05-21,2016,0.341519812073703,1365,15,"2026-07-02T04:53:07Z"
2016-05-22,2016,0.341070826191747,1371,14,"2026-07-02T04:53:07Z"
2016-05-23,2016,0.350053766145751,1171,12,"2026-07-02T04:53:07Z"
2016-05-24,2016,0.344304236823072,1542,15,"2026-07-02T04:53:07Z"
2016-05-25,2016,0.352407243258102,1336,14,"2026-07-02T04:53:07Z"
2016-05-26,2016,0.345146899983112,817,7,"2026-07-02T04:53:07Z"
2016-05-27,2016,0.343137069572456,1603,15,"2026-07-02T04:53:07Z"
2016-05-28,2016,0.346962036963103,1549,15,"2026-07-02T04:53:07Z"
2016-05-29,2016,0.343897668639507,1516,15,"2026-07-02T04:53:07Z"
2016-05-30,2016,0.343981955663727,1405,14,"2026-07-02T04:53:07Z"
2016-05-31,2016,0.344090270910346,1417,15,"2026-07-02T04:53:07Z"
2016-06-01,2016,0.344391364945728,1566,15,"2026-07-02T04:53:07Z"
2016-06-02,2016,0.344656232153263,1184,11,"2026-07-02T04:53:07Z"
2016-06-03,2016,0.342002578636385,1576,15,"2026-07-02T04:53:07Z"
2016-06-04,2016,0.343732800963778,1719,14,"2026-07-02T04:53:07Z"
2016-06-05,2016,0.338977236251626,1565,15,"2026-07-02T04:53:07Z"
2016-06-06,2016,0.343033957846206,873,9,"2026-07-02T04:53:07Z"
2016-06-07,2016,0.334946844950767,1479,16,"2026-07-02T04:53:07Z"
2016-06-08,2016,0.337126014982136,1565,15,"2026-07-02T04:53:07Z"
2016-06-09,2016,0.356550192326645,807,9,"2026-07-02T04:53:07Z"
2016-06-10,2016,0.349775510973905,1530,15,"2026-07-02T04:53:07Z"
2016-06-11,2016,0.348669888921542,1459,15,"2026-07-02T04:53:07Z"
2016-06-12,2016,0.342707569210115,1495,15,"2026-07-02T04:53:07Z"
2016-06-13,2016,0.339038551282226,1038,10,"2026-07-02T04:53:07Z"
2016-06-14,2016,0.335450501738179,1669,15,"2026-07-02T04:53:07Z"
2016-06-15,2016,0.340842993888243,1613,15,"2026-07-02T04:53:07Z"
2016-06-16,2016,0.338811405974271,1306,10,"2026-07-02T04:53:07Z"
2016-06-17,2016,0.337766542743377,1592,15,"2026-07-02T04:53:07Z"
2016-06-18,2016,0.339142500430862,1634,15,"2026-07-02T04:53:07Z"
2016-06-19,2016,0.340204619406293,1557,15,"2026-07-02T04:53:07Z"
2016-06-20,2016,0.342791675259874,1024,10,"2026-07-02T04:53:07Z"
2016-06-21,2016,0.345972584529382,1515,15,"2026-07-02T04:53:07Z"
2016-06-22,2016,0.339360946845822,1696,15,"2026-07-02T04:53:07Z"
2016-06-23,2016,0.346124816909808,932,9,"2026-07-02T04:53:07Z"
2016-06-24,2016,0.350306531535726,1590,15,"2026-07-02T04:53:07Z"
2016-06-25,2016,0.348462987951517,1807,16,"2026-07-02T04:53:07Z"
2016-06-26,2016,0.341963835537207,1367,15,"2026-07-02T04:53:07Z"
2016-06-27,2016,0.343986886445479,1161,11,"2026-07-02T04:53:07Z"
2016-06-28,2016,0.343120028205042,1668,15,"2026-07-02T04:53:07Z"
2016-06-29,2016,0.345973764550418,1768,15,"2026-07-02T04:53:07Z"
2016-06-30,2016,0.342214838154274,1279,11,"2026-07-02T04:53:07Z"
2016-07-01,2016,0.34318894889133,1666,15,"2026-07-02T04:53:07Z"
2016-07-02,2016,0.347948864294249,1502,15,"2026-07-02T04:53:07Z"
2016-07-03,2016,0.338054986930215,1512,14,"2026-07-02T04:53:07Z"
2016-07-04,2016,0.337148734556789,1559,15,"2026-07-02T04:53:07Z"
2016-07-05,2016,0.341552405047618,1544,15,"2026-07-02T04:53:07Z"
2016-07-06,2016,0.338290148843723,1602,15,"2026-07-02T04:53:07Z"
2016-07-07,2016,0.345057500606332,1234,11,"2026-07-02T04:53:07Z"
2016-07-08,2016,0.341996000937391,1573,15,"2026-07-02T04:53:07Z"
2016-07-09,2016,0.341723373806943,1616,15,"2026-07-02T04:53:07Z"
2016-07-10,2016,0.344341309768565,1517,15,"2026-07-02T04:53:07Z"
2016-07-15,2016,0.34738379915291,1676,15,"2026-07-02T04:53:07Z"
2016-07-16,2016,0.346716693997707,1509,15,"2026-07-02T04:53:07Z"
2016-07-17,2016,0.341811559194891,1700,15,"2026-07-02T04:53:07Z"
2016-07-18,2016,0.350061998117761,963,11,"2026-07-02T04:53:07Z"
2016-07-19,2016,0.342465236863065,1468,14,"2026-07-02T04:53:07Z"
2016-07-20,2016,0.344979792854914,1564,16,"2026-07-02T04:53:07Z"
2016-07-21,2016,0.343488802426165,915,9,"2026-07-02T04:53:07Z"
2016-07-22,2016,0.352579325178669,1706,15,"2026-07-02T04:53:07Z"
2016-07-23,2016,0.350040980096555,1585,15,"2026-07-02T04:53:07Z"
2016-07-24,2016,0.346161189818915,1695,15,"2026-07-02T04:53:07Z"
2016-07-25,2016,0.346093747706341,903,10,"2026-07-02T04:53:07Z"
2016-07-26,2016,0.34417240617407,1678,16,"2026-07-02T04:53:07Z"
2016-07-27,2016,0.345270504659172,1703,15,"2026-07-02T04:53:07Z"
2016-07-28,2016,0.351805444006929,806,9,"2026-07-02T04:53:07Z"
2016-07-29,2016,0.347073039572226,1551,15,"2026-07-02T04:53:07Z"
2016-07-30,2016,0.346846752853198,1578,15,"2026-07-02T04:53:07Z"
