"season","n_days","first_date","last_date","mean_cd_pitch_weighted","total_pitches_sampled","fetched_at_utc"
2016,178,2016-04-04,2016-10-02,0.346159520534967,254217,"2026-07-02T04:53:07Z"
2017,178,2017-04-03,2017-10-01,0.334565312913433,248627,"2026-07-02T04:53:07Z"
2018,181,2018-03-29,2018-09-30,0.337463802720028,252228,"2026-07-02T04:53:07Z"
2019,181,2019-03-28,2019-09-29,0.327901119393846,262506,"2026-07-02T04:53:07Z"
2020,66,2020-07-24,2020-09-27,0.341069575267776,91543,"2026-07-02T04:53:07Z"
2021,180,2021-04-01,2021-10-03,0.34111080644502,251227,"2026-07-02T04:53:07Z"
2022,177,2022-04-07,2022-10-05,0.347108551817027,234411,"2026-07-02T04:53:07Z"
2023,177,2023-03-30,2023-10-01,0.34180722880736,227711,"2026-07-02T04:53:07Z"
2024,177,2024-03-28,2024-09-29,0.343615214685311,223218,"2026-07-02T04:53:07Z"
2025,176,2025-03-27,2025-09-28,0.351917926873116,223560,"2026-07-02T04:53:07Z"
2026,96,2026-03-26,2026-06-30,0.345001285197503,113369,"2026-07-02T04:53:07Z"
