"park_era_id","venue_id","venue_name","home_team","component","delta_overall","pf_index_overall","park_se","n_bbe"
"venue_5340__base","5340","Estadio Alfredo Harp Helu","AZ","hr_resid",0.0171405497639869,619.117153629903,0.00533002799257379,326
"venue_5355__sutter_health","5355","Las Vegas Ballpark","ATH","hr_resid",0.0138283392956252,518.803844300018,0.0053198883281299,342
"venue_2602__base","2602","Great American Ball Park","CIN","hr_resid",0.0101833606928903,408.412349082685,0.00111299645257613,42321
"venue_2536__dunedin","2536","TD Ballpark","TOR","hr_resid",0.00942759707376339,385.523359862367,0.00408324465776653,1086
"venue_2__base","2","Oriole Park at Camden Yards","BAL","hr_resid",0.00866090113006742,362.303275240154,0.00134540715186262,25711
"venue_2529__sutter_health","2529","Sutter Health Park","ATH","hr_resid",0.00741794726610952,324.659285937851,0.00228789934630387,6288
"venue_2756__buffalo","2756","Sahlen Field","TOR","hr_resid",0.00717967458639265,317.442980919311,0.00395834253722752,1197
"venue_3313__base","3313","Yankee Stadium","NYY","hr_resid",0.00625830447946996,289.538448454995,0.00112066153777031,41895
"venue_22__base","22","Dodger Stadium","LAD","hr_resid",0.00544929843832017,265.036964014079,0.00112211616723312,41473
"venue_2392__base","2392","Minute Maid Park","HOU","hr_resid",0.00520541061410192,257.650599232526,0.00112072885771685,42346
"venue_2681__base","2681","Citizens Bank Park","PHI","hr_resid",0.00504458017875889,252.779703084974,0.00111201458030269,43012
"venue_32__base","32","American Family Field","MIL","hr_resid",0.00486333408101284,247.290500015995,0.00111970897004777,41791
"venue_2__wall_medium","2","Oriole Park at Camden Yards","BAL","hr_resid",0.00470204806759607,242.405806271741,0.00225975650721575,6503
"venue_2523__steinbrenner","2523","George M. Steinbrenner Field","TBR","hr_resid",0.00450177426292937,236.340331776655,0.00275466433876353,4071
"venue_12__trop_return","12","Tropicana Field","TBR","hr_resid",0.00355031294269108,207.524459523316,0.00340185066261273,2241
"venue_13__base","13","Globe Life Park in Arlington","TEX","hr_resid",0.003168386439135,195.957467673474,0.00143559652766917,21828
"venue_19__base","19","Coors Field","COL","hr_resid",0.00309706746766271,193.797507696677,0.00109054240019978,46437
"venue_14__base","14","Rogers Centre","TOR","hr_resid",0.00300438033980188,190.990393650992,0.00131351363953989,27047
"venue_4__base","4","Guaranteed Rate Field","CHW","hr_resid",0.00251114654117574,176.052359040526,0.00111191466960733,43008
"venue_1__base","1","Angel Stadium","LAA","hr_resid",0.00250674861517403,175.919163847879,0.0011096321922392,42985
"venue_14__of_renovation","14","Rogers Centre","TOR","hr_resid",0.00185494548312342,156.178712619874,0.00162997816089351,14883
"venue_680__base","680","T-Mobile Park","SEA","hr_resid",0.00127331575908557,138.563526936422,0.00111863706677265,42045
"venue_17__base","17","Wrigley Field","CHC","hr_resid",0.000938487149635482,128.4229376855,0.00111671989166664,42356
"venue_5325__globe_life","5325","Globe Life Field","TEX","hr_resid",0.000917096716220781,127.775108936595,0.00138370622684211,22406
"venue_15__base","15","Chase Field","AZ","hr_resid",0.000413748423093393,112.530747652352,0.00177186029788779,12726
"venue_3289__rf_in_362","3289","Citi Field","NYM","hr_resid",0.00014163245780286,104.289467920726,0.00165039770043205,14111
"venue_5381__base","5381","London Stadium","BOS","hr_resid",0.000110877529415809,103.358026916545,0.00528858026902332,346
"venue_3309__base","3309","Nationals Park","WSH","hr_resid",2.11240836293809e-06,100.063976210318,0.0011035617173709,44124
"venue_5__base","5","Progressive Field","CLE","hr_resid",-0.00039351527170736,88.0820317567745,0.00122855979124604,32827
"venue_3289__base","3289","Citi Field","NYM","hr_resid",-0.000616264022429412,81.3358830601674,0.00129532595969065,27912
"venue_2756__base","2756","Sahlen Field","TOR","hr_resid",-0.000772595900547773,76.6012298134595,0.00637331210937039,41
"venue_12__base","12","Tropicana Field","TBR","hr_resid",-0.000824338033180064,75.0341722228534,0.00118186509098777,35636
"venue_7__walls_in","7","Kauffman Stadium","KCR","hr_resid",-0.000923305774415497,72.0368440835156,0.00340727982093037,2230
"venue_2394__cf_in_412","2394","Comerica Park","DET","hr_resid",-0.000939928959511693,71.5333957898365,0.00163992150018317,14410
"venue_6130__base","6130","Bristol Motor Speedway","CIN","hr_resid",-0.0011926691231049,63.8789298515197,0.00635782635083632,44
"venue_2680__base","2680","Petco Park","SDP","hr_resid",-0.00156655975941798,52.5553115566433,0.00111804739827005,41941
"venue_4705__suntrust","4705","Truist Park","ATL","hr_resid",-0.00190332660507653,42.35602105766,0.00119383838341444,34481
"venue_3949__base","3949","Rickwood Field","STL","hr_resid",-0.00198887489016887,39.7651133641178,0.00641729901808472,32
"venue_3312__base","3312","Target Field","MIN","hr_resid",-0.00207218632903559,37.2419505948483,0.00110050948134357,44582
"venue_5365__base","5365","TD Ameritrade Park","KCR","hr_resid",-0.00236188690230529,28.4681050022938,0.00636910081254116,44
"venue_2536__base","2536","TD Ballpark","TOR","hr_resid",-0.00237190764307126,28.16461774574,0.00634954503118911,46
