"park_era_id","venue_id","venue_name","home_team","delta_woba_over_xwoba_overall","pf_index_overall","overall_se","n_bbe"
"venue_5340__base","5340","Estadio Alfredo Harp Helu","AZ",0.0393779407632951,110.683800829141,0.0125718288424099,326
"venue_5355__sutter_health","5355","Las Vegas Ballpark","ATH",0.0367282215738265,109.964893960862,0.012520288909201,342
"venue_19__base","19","Coors Field","COL",0.0359034730362797,109.741127838549,0.0027716498165584,46437
"venue_2529__sutter_health","2529","Sutter Health Park","ATH",0.0281441896330639,107.635922821478,0.00568754016753377,6288
"venue_2536__dunedin","2536","TD Ballpark","TOR",0.020941994072412,105.68186373634,0.00998241004788769,1086
"venue_2602__base","2602","Great American Ball Park","CIN",0.0168911392780507,104.582808656978,0.0028348966992304,42321
"venue_5381__base","5381","London Stadium","BOS",0.0124820887162814,103.386569921928,0.012499231147308,346
"venue_2756__buffalo","2756","Sahlen Field","TOR",0.0116871989202939,103.170904904996,0.00969652496219108,1197
"venue_13__base","13","Globe Life Park in Arlington","TEX",0.0106624999706175,102.892889364418,0.00360828368056727,21828
"venue_3__base","3","Fenway Park","BOS",0.0106271823184086,102.883307178182,0.00279921445834983,44807
"venue_2392__base","2392","Minute Maid Park","HOU",0.00968262998129965,102.627036564566,0.00284272429975415,42346
"venue_2681__base","2681","Citizens Bank Park","PHI",0.00884700220800018,102.400318749358,0.00282648180819474,43012
"venue_2__wall_medium","2","Oriole Park at Camden Yards","BAL",0.00695347732094165,101.886578254903,0.00561091690569693,6503
"venue_2523__steinbrenner","2523","George M. Steinbrenner Field","TBR",0.00596263978672799,101.617749802618,0.00676907029823698,4071
"venue_2536__base","2536","TD Ballpark","TOR",0.00590227819750869,101.60137283662,0.0144092583782063,46
"venue_15__base","15","Chase Field","AZ",0.00581519726377695,101.577746528744,0.00442219505962745,12726
"venue_32__base","32","American Family Field","MIL",0.00479822579220659,101.301827563948,0.00284739676984975,41791
"venue_2__base","2","Oriole Park at Camden Yards","BAL",0.0019319763933195,100.524172940299,0.00338692114143798,25711
"venue_7__walls_in","7","Kauffman Stadium","KCR",0.00189351298584478,100.513737265485,0.00827214347519211,2230
"venue_2756__base","2756","Sahlen Field","TOR",0.0014600170524923,100.396123593403,0.014450003886724,41
"venue_3949__base","3949","Rickwood Field","STL",0.00130031701682696,100.352794680302,0.0145243896227714,32
"venue_14__of_renovation","14","Rogers Centre","TOR",-5.44974970482696e-06,99.9985214046421,0.00407667201796472,14883
"venue_2735__base","2735","Journey Bank Ballpark","NYM",-0.000113908471092223,99.9690949959721,0.0130906407653216,235
"venue_12__trop_return","12","Tropicana Field","TBR",-0.000528656330339216,99.8565679456333,0.00826032970850798,2241
"venue_15__humidor","15","Chase Field","AZ",-0.000682988669760267,99.8146953656073,0.00310415192164603,31896
"venue_22__base","22","Dodger Stadium","LAD",-0.000876234486030313,99.7622650004822,0.00285267721080406,41473
"venue_5150__base","5150","Gocheok Sky Dome","LAD",-0.00173757086725127,99.5285720707484,0.0138225167921075,123
"venue_5365__base","5365","TD Ameritrade Park","KCR",-0.00216651810156771,99.4121925260385,0.0144430560821242,44
"venue_17__base","17","Wrigley Field","CHC",-0.00255666526297939,99.306339998309,0.0028376924797878,42356
"venue_5__base","5","Progressive Field","CLE",-0.00287734213513959,99.2193357577047,0.00309995327290919,32827
"venue_4__base","4","Guaranteed Rate Field","CHW",-0.00324214047255598,99.1203607299554,0.00282559560317463,43008
"venue_2397__base","2397","Tokyo Dome","CHC",-0.0035376635485013,99.0401810754936,0.0140783233100174,88
"venue_2394__cf_in_412","2394","Comerica Park","DET",-0.00370733115253629,98.9941478179507,0.00411340736288519,14410
"venue_12__base","12","Tropicana Field","TBR",-0.00387351972880207,98.9490584706033,0.00299762439950182,35636
"venue_6130__base","6130","Bristol Motor Speedway","CIN",-0.00445998695700414,98.7899414894337,0.0144245500172222,44
"venue_3312__base","3312","Target Field","MIN",-0.00517061444036071,98.5971380479959,0.00279799932063304,44582
"venue_5__wind_tunnel","5","Progressive Field","CLE",-0.00520678316618738,98.5873249532661,0.00473727666412804,9991
"venue_3313__base","3313","Yankee Stadium","NYY",-0.00561397689277097,98.4768474476026,0.0028471722235168,41895
"venue_3309__base","3309","Nationals Park","WSH",-0.00614671925182443,98.3323067949669,0.0028051689854455,44124
"venue_4705__suntrust","4705","Truist Park","ATL",-0.00615772900438113,98.3293196909891,0.00302720896308609,34481
"venue_4169__fence_reduced","4169","loanDepot park","MIA",-0.00663702847049974,98.1992788626912,0.00345721028127263,22908
"venue_1__base","1","Angel Stadium","LAA",-0.00694038570564657,98.116973688333,0.00282428855702864,42985
"venue_2395__bullpen_center","2395","Oracle Park","SFG",-0.00753841925587881,97.9547185978947,0.00347828026834865,22579
"venue_3289__base","3289","Citi Field","NYM",-0.00758482198232907,97.9421288718269,0.00326889889991196,27912
"venue_5325__globe_life","5325","Globe Life Field","TEX",-0.00759222383918203,97.9401206417658,0.00349058037724758,22406
"venue_14__base","14","Rogers Centre","TOR",-0.00798458395819903,97.8336677068581,0.00331412601211399,27047
"venue_31__base","31","PNC Park","PIT",-0.00806685822814465,97.8113455158947,0.0028056011376638,44069
"venue_2680__base","2680","Petco Park","SDP",-0.00812329170487042,97.7960343032272,0.0028445644550531,41941
"venue_16__base","16","Turner Field","ATL",-0.0085455509420802,97.6814693081775,0.00519764349733056,8391
"venue_4169__cf_in_407","4169","Marlins Park","MIA",-0.00984357801672198,97.3292959220762,0.00399605985316125,16425
"venue_3289__rf_in_362","3289","Citi Field","NYM",-0.0116262817363943,96.8456228018175,0.00414189594411122,14111
"venue_4169__base","4169","Marlins Park","MIA",-0.0117349761821127,96.8161324377512,0.00676556669159823,4273
"venue_7__base","7","Kauffman Stadium","KCR",-0.0139454409989857,96.2164015888159,0.00283529434374308,43345
"venue_2__wall_deep","2","Oriole Park at Camden Yards","BAL",-0.0148473229316045,95.9717080687199,0.00436535104239444,12551
"venue_680__base","680","T-Mobile Park","SEA",-0.0164110217949086,95.5474541110862,0.00284461363399255,42045
"venue_2395__base","2395","AT&T Park","SFG",-0.016947072247506,95.402015925165,0.00364894657190942,20983
"venue_2394__base","2394","Comerica Park","DET",-0.0181682109986761,95.0707034454021,0.00319920473862908,30105
"venue_10__base","10","Oakland Coliseum","ATH",-0.0183769547106147,95.0140682786194,0.0029549622540715,37621
"venue_2889__base","2889","Busch Stadium","STL",-0.0184173798881692,95.0031003474096,0.00280989526131888,44130
