"park_era_id","rank","team_id","team","park","years_used","overall_resid","bacon_resid","hr_resid","xbh_resid","carry_ft","bacon_idx_100","hr_idx_100","xbh_idx_100","carry_idx_100","overall_pf_idx_100","total_bbe","overall_se","bacon_se","hr_se","xbh_se","carry_se","bacon_rank","hr_rank","xbh_rank","carry_rank","team_token","team_norm","park_suffix","year_end","year_start","Rank"
"venue_19__base",3,"COL","Rockies","Coors Field","2015-2026",0.0359034730362797,0.0269664665298697,0.00309706746766271,0.0185008766760165,12.8581945664589,134.334711018189,105.391268224209,127.826859169729,138.788833812826,130.786410549823,46437,0.0027716498165584,0.00209008853344476,0.00109054240019978,0.00176278646180038,0.746078533333295,1,17,1,3,"col","COL","base",2026,2015,1
"venue_2529__sutter_health",4,"ATH","Athletics","Sutter Health Park","2025-2026",0.0281441896330639,0.0159549048274564,0.00741794726610952,0.0131639006138372,4.53986321752592,120.285868978981,114.437360334146,119.723644171048,113.940529810422,124.179054569006,6288,0.00568754016753377,0.00425599854783503,0.00228789934630387,0.00369307585474589,0.944740122040022,2,6,5,4,"ath","ATH","sutter_health",2026,2025,2
"venue_2602__base",6,"CIN","Reds","Great American Ball Park","2015-2026",0.0168911392780507,0.00755003520634619,0.0101833606928903,0.00827427964448655,0.479361677675139,109.562713730144,120.226964708169,112.29965547125,101.811104757236,114.596609167563,42321,0.0028348966992304,0.00214665676307672,0.00111299645257613,0.00180047742067046,0.747184007929164,6,3,7,21,"cin","CIN","base",2026,2015,3
"venue_3__base",10,"BOS","Red Sox","Fenway Park","2015-2026",0.0106271823184086,0.0137228617205718,-0.004500794346054,0.00744031312664655,-2.94165895240385,117.438169272003,89.4845638002251,111.03343094316,91.5919205183681,109.262586509785,44807,0.00279921445834983,0.00211321953991069,0.00110265168062809,0.00177870617433316,0.747495820757834,3,45,9,48,"bos","BOS","base",2026,2015,4
"venue_2392__base",11,"HOU","Astros","Daikin Park","2015-2026",0.00968262998129965,0.00446053276753256,0.00520541061410192,0.0039150703666674,-0.641328808174558,105.62104469939,109.805245745384,105.680999215185,98.4634071581779,108.458260490297,42346,0.00284272429975415,0.00215046582611416,0.00112072885771685,0.00180527353465679,0.748470717185681,11,10,15,30,"hou","HOU","base",2026,2015,5
"venue_2681__base",12,"PHI","Phillies","Citizens Bank Park","2015-2026",0.00884700220800018,0.00303416064554371,0.00504458017875889,0.00220869660606858,-1.30275707283262,103.801241371533,109.468534936461,103.090184999579,96.4876057736713,107.746688315557,43012,0.00282648180819474,0.00213824982098055,0.00111201458030269,0.00179525997877773,0.748083558059017,13,11,21,37,"phi","PHI","base",2026,2015,6
"venue_2__wall_medium",13,"BAL","Orioles","Oriole Park at Camden Yards","2025-2026",0.00695347732094165,0.00282002326439267,0.00470204806759607,0.00328775792425109,0.742542189819526,103.528039229659,108.751417781453,104.728540831819,102.597270768057,106.134272279542,6503,0.00561091690569693,0.00420382590103205,0.00225975650721575,0.00365073255103217,0.949075444050525,14,13,19,18,"bal","BAL","wall_medium",2026,2025,7
"venue_32__base",17,"MIL","Brewers","American Family Field","2015-2026",0.00479822579220659,0.000697757841055535,0.00486333408101284,0.00364120939407493,1.29151207380328,100.820396798594,109.089082377894,105.265191777638,104.237139389922,104.298985006409,41791,0.00284739676984975,0.00215652267507146,0.00111970897004777,0.00180890369531185,0.749358756103982,23,12,16,15,"mil","MIL","base",2026,2015,8
"venue_7__walls_in",19,"KC","Royals","Kauffman Stadium","2026",0.00189351298584478,0.000287880135967248,-0.000923305774415497,0.00778261370125372,4.26670326476043,100.297463967648,96.9743095582353,111.553151308757,113.124553472995,101.825499951627,2230,0.00827214347519211,0.00577238658065085,0.00340727982093037,0.00524921877644179,1.37417978156533,26,33,8,5,"kcr","KCR","walls_in",2026,2026,9
"venue_14__of_renovation",22,"TOR","Blue Jays","Rogers Centre","2023-2026",-5.44974970482696e-06,0.00117459786695763,0.00185494548312342,0.00116528362334326,-2.76420832344114,101.428761931798,102.790790912167,101.505954597769,92.1219964421228,100.208453359041,14883,0.00407667201796472,0.00311830686645951,0.00162997816089351,0.00265178326832907,0.815775006601245,20,21,23,46,"tor","TOR","of_renovation",2026,2023,10
"venue_12__trop_return",24,"TBR","Rays","Tropicana Field","2026",-0.000528656330339216,0.000512746194381625,0.00355031294269108,0.0067722592580939,2.28797718926551,100.584354040103,106.340172268471,110.019114209393,107.213754179374,99.762920962541,2241,0.00826032970850798,0.00576554834200728,0.00340185066261273,0.00524975034568911,1.39130551343873,24,15,11,12,"tbr","TBR","trop_return",2026,2026,11
