"park_era_id","home_team","woba_delta_old","woba_delta_new","hr_delta_old","hr_delta_new","n_bbe","woba_delta_change","hr_delta_change"
"venue_2756__buffalo","TOR",0.0112801456362914,0.00810518145039664,0.00680551053021753,0.00590927003783031,1197,-0.00317496418589476,-0.00089624049238722
"venue_2__wall_medium","BAL",0.00702935331439464,0.0041686859391928,0.00457963873119137,0.00499187880563795,7055,-0.00286066737520184,0.00041224007444658
"venue_7__walls_in","KCR",0.00190984143953172,0.00471829793389021,-0.000885776960804259,-1.38809627231456e-05,2819,0.00280845649435849,0.000871895998081113
"venue_5355__sutter_health","ATH",0.0361311041377182,0.0336130986827865,0.0133253798790082,0.0126806763284537,342,-0.0025180054549317,-0.0006447035505545
"venue_5381__base","BOS",0.0122169177507332,0.00976478336537659,0.000155946362415553,-0.000729670128374889,346,-0.00245213438535661,-0.000885616490790442
"venue_2536__dunedin","TOR",0.0203663868576345,0.022182783600127,0.0090189406289066,0.00966641444610919,1086,0.0018163967424925,0.000647473817202589
"venue_4705__suntrust","ATL",-0.00594194581998913,-0.00435804550897203,-0.00172227152873289,-0.00123040996777365,35295,0.0015839003110171,0.00049186156095924
"venue_5__wind_tunnel","CLE",-0.00474275707645569,-0.00331109553776769,-0.00317377487614351,-0.00276922138194863,10667,0.001431661538688,0.00040455349419488
"venue_5340__base","AZ",0.038732348012598,0.039817384961022,0.0164951352422055,0.0173022490695231,326,0.001085036948424,0.000807113827317602
"venue_5150__base","LAD",-0.001691114489448,-0.000815533469062165,-0.00454411118341866,-0.00423945844760457,123,0.000875581020385835,0.000304652735814089
"venue_14__of_renovation","TOR",8.505525696594e-05,-0.000656279039279185,0.00191437415882169,0.00154593529504576,15334,-0.000741334296245125,-0.00036843886377593
"venue_2397__base","CHC",-0.00347324318819978,-0.00275184951125704,-0.00239571060461464,-0.00210014400385836,88,0.00072139367694274,0.00029556660075628
"venue_1__base","LAA",-0.0069931697734215,-0.00765064922384947,0.00249739131308978,0.00220103621791596,43595,-0.00065747945042797,-0.00029635509517382
"venue_2529__sutter_health","ATH",0.027598829103304,0.0282508845442131,0.00714327773597892,0.0086033243851944,6913,0.0006520554409091,0.00146004664921548
"venue_2395__bullpen_center","SFG",-0.00751048362343697,-0.00811205200688595,-0.0093824953589795,-0.00929897060851884,23263,-0.00060156838344898,8.35247504606604e-05
"venue_3289__rf_in_362","NYM",-0.0112162930209763,-0.0117931246513761,0.000101669227654821,-0.000311454491703193,14811,-0.0005768316303998,-0.000413123719358014
"venue_5325__globe_life","TEX",-0.00760118889187151,-0.0070750784411498,0.000846167074823404,0.000861186498128476,23232,0.00052611045072171,1.5019423305072e-05
"venue_17__base","CHC",-0.0025605862991562,-0.00204039950868026,0.000749139390103574,0.000891409055345484,42920,0.00052018679047594,0.00014226966524191
"venue_3312__base","MIN",-0.00507870076473413,-0.0055917556815166,-0.0020767659130754,-0.00229526205756967,45172,-0.000513054916782469,-0.00021849614449427
"venue_2395__base","SFG",-0.0167454029746946,-0.0162403409207662,-0.012287542168721,-0.0121478036146746,20983,0.0005050620539284,0.000139738554046399
"venue_10__base","ATH",-0.0183804066544397,-0.0179012416828599,-0.00647577874342776,-0.00637420989521873,37621,0.0004791649715798,0.00010156884820903
"venue_4__base","CHW",-0.00343319571203305,-0.00385250106034639,0.00250417846958758,0.00219825403494816,43652,-0.00041930534831334,-0.00030592443463942
"venue_22__base","LAD",-0.000978306125369809,-0.000601792721435466,0.00517164235691023,0.00507997702723432,42190,0.000376513403934343,-9.16653296759102e-05
"venue_3__base","BOS",0.0103957694358695,0.0107615305363393,-0.0046016801822358,-0.00448288587909153,45369,0.0003657611004698,0.000118794303144269
"venue_15__base","AZ",0.0056075429474944,0.00594390925257045,0.000213707505930463,0.000235647801371315,12726,0.00033636630507605,2.1940295440852e-05
"venue_3949__base","STL",0.00127142836901936,0.000950372830042211,-0.00191625058247356,-0.0020763988722234,32,-0.000321055538977149,-0.00016014828974984
"venue_2602__base","CIN",0.0169848667566276,0.0166771446954468,0.0100237415998441,0.00981142825616145,42971,-0.0003077220611808,-0.00021231334368265
"venue_16__base","ATL",-0.0082400280739084,-0.00854719138610624,-0.00640573058207802,-0.00662149777534969,8391,-0.00030716331219784,-0.000215767193271671
"venue_13__base","TEX",0.0105503384983045,0.010857057651022,0.003280699654701,0.00327229488307637,21828,0.000306719152717501,-8.40477162463013e-06
"venue_2681__base","PHI",0.00881611290412489,0.00910642400687937,0.00495950741068395,0.00502932930600082,43531,0.00029031110275448,6.98218953168704e-05
"venue_5365__base","KCR",-0.00214358884206003,-0.00242489816892324,-0.00227506577076178,-0.00241930067214991,44,-0.00028130932686321,-0.00014423490138813
"venue_31__base","PIT",-0.00770985992633993,-0.00743464856321512,-0.00612565199953208,-0.00608398902875154,44725,0.00027521136312481,4.16629707805398e-05
"venue_3309__base","WSH",-0.00601964285630212,-0.00574784682420047,-8.5361466172876e-05,-5.69222450137843e-05,44952,0.00027179603210165,2.84392211590917e-05
"venue_12__base","TBR",-0.00393525969296589,-0.00366419236925701,-0.000922927251373978,-0.000941524460556043,35636,0.00027106732370888,-1.8597209182065e-05
"venue_2889__base","STL",-0.01835518422852,-0.0186086125933291,-0.00739552802498192,-0.00751672138903373,44977,-0.0002534283648091,-0.00012119336405181
"venue_2523__steinbrenner","TBR",0.00600130816964875,0.00625439814436784,0.00429668172552302,0.00450973764926231,4071,0.00025308997471909,0.00021305592373929
"venue_3313__base","NYY",-0.0052725009950757,-0.0054940907073604,0.00615476636056971,0.00602239851800844,42360,-0.0002215897122847,-0.00013236784256127
"venue_12__trop_return","TBR",-0.000609969148653352,-0.000824980370345683,0.00340378877829695,0.00284951320927833,2909,-0.000215011221692331,-0.00055427556901862
"venue_2392__base","HOU",0.0092361869986108,0.00903662742218017,0.00495357255411008,0.0048700316584069,42878,-0.000199559576430631,-8.354089570318e-05
"venue_15__humidor","AZ",-0.000517887564128724,-0.000713310907161627,-0.00572856898589253,-0.00576866245465946,32465,-0.000195423343032903,-4.00934687669304e-05
"venue_4169__cf_in_407","MIA",-0.00975797251720495,-0.00956599925166418,-0.00623223706229732,-0.00623502936001556,16425,0.00019197326554077,-2.79229771824041e-06
"venue_3289__base","NYM",-0.00737585542769439,-0.00719181378700587,-0.000532477724403235,-0.000478892701410258,27912,0.00018404164068852,5.3585022992977e-05
"venue_7__base","KCR",-0.0136572433785363,-0.0134822407743844,-0.0086244021235264,-0.0085648725635325,43345,0.000175002604151901,5.95295599939011e-05
"venue_5__base","CLE",-0.00262043390816773,-0.00244579622235914,-0.00034667022513693,-0.000351829994755454,32827,0.00017463768580859,-5.15976961852399e-06
"venue_19__base","COL",0.0354898624960152,0.0353315020190448,0.0028847893001347,0.00305513369475801,47101,-0.000158360476970397,0.00017034439462331
"venue_2__base","BAL",0.00165748953023605,0.00179619023392581,0.00817968359617719,0.0081065824515126,25711,0.00013870070368976,-7.31011446645901e-05
"venue_14__base","TOR",-0.00797662678023233,-0.00784729985761302,0.00278066341505135,0.00280711223315322,27047,0.00012932692261931,2.64488181018698e-05
"venue_2536__base","TOR",0.00577410724596705,0.0056458854857918,-0.00227829249243547,-0.00235899567095224,46,-0.00012822176017525,-8.070317851677e-05
"venue_32__base","MIL",0.0048594440098154,0.00496472175291646,0.00466537815855364,0.0046743495462015,42323,0.00010527774310106,8.97138764785997e-06
"venue_4169__base","MIA",-0.0114813515482345,-0.0113914483957545,-0.00686367133586811,-0.00700597948054934,4273,8.99031524799997e-05,-0.00014230814468123
"venue_680__base","SEA",-0.0161733020509106,-0.0160846020494605,0.00120762235844745,0.00129711602035009,42564,8.87000014500976e-05,8.94936619026399e-05
"venue_2394__cf_in_412","DET",-0.00356169921200316,-0.00348070852995945,-0.000960832221046137,-0.00124638606794913,15066,8.09906820437101e-05,-0.000285553846902993
"venue_2__wall_deep","BAL",-0.0144947422998643,-0.0145720361075004,-0.00582486574952756,-0.00586063886569459,12551,-7.72938076360995e-05,-3.57731161670302e-05
"venue_2394__base","DET",-0.0182864775022742,-0.0182285043866871,-0.00577496455432291,-0.0058805813811517,30105,5.79731155871017e-05,-0.00010561682682879
"venue_2756__base","TOR",0.00144667025618604,0.00139481080124371,-0.000743767293510184,-0.00080768434326698,41,-5.18594549423299e-05,-6.39170497567959e-05
"venue_2680__base","SDP",-0.00803765391862099,-0.00808247863363993,-0.00174371378854386,-0.00187311513875554,42512,-4.48247150189388e-05,-0.00012940135021168
"venue_4169__fence_reduced","MIA",-0.00645605811512077,-0.00641230375223369,-0.00472332168575777,-0.00476693220621268,23523,4.37543628870806e-05,-4.36105204549104e-05
"venue_2735__base","NYM",-1.68781014734053e-05,1.95402095425004e-05,-0.00411036111900196,-0.00433813598851752,235,3.64183110159057e-05,-0.00022777486951556
"venue_6130__base","CIN",-0.00439409862274838,-0.00436447291019557,-0.00115242396949568,-0.00122482432530367,44,2.96257125528094e-05,-7.24003558079901e-05
