"home_team","resid_c_pre","hr_c_pre","n_bbe_pre","resid_c_post","hr_c_post","n_bbe_post","group","delta_resid","delta_hr","se_delta_resid","se_delta_hr","z_delta_resid","z_delta_hr"
"TEX",-0.00771798273325139,-0.00253844535472204,4203,0.00890353151280395,0.00942886854237079,8279,"control_had_humidor_2021",0.0166215142460553,0.0119673138970928,0.00814667075338514,0.00398704617215754,2.04028304926263,3.00154886107498
"STL",-0.0329505100838737,-0.0117865030787698,4064,-0.0144674159907169,-0.00406240010347507,8675,"control_had_humidor_2021",0.0184830940931568,0.00772410297529476,0.0081764124214137,0.00400160198363643,2.26053838046994,1.9302526855196
"MIA",-0.00223977499264482,-0.0104404048433445,3921,-0.00140931406074358,-0.00545636595080868,8208,"control_had_humidor_2021",0.00083046093190124,0.00498403889253587,0.00835030069762642,0.0040867043042094,0.0994528175658751,1.21957414129576
"SEA",-0.0201779525783822,0.000338600947860893,3936,-0.0089126649467566,0.00303675818424506,7830,"control_had_humidor_2021",0.0112652876316256,0.00269815723638417,0.00840451599416145,0.00411323770626601,1.34038505482665,0.655969197275874
"COL",0.02782809777936,-0.00190419836512192,4317,0.0309997875141482,-3.2318265652162e-05,9001,"control_had_humidor_2021",0.00317168973478823,0.00187188009946976,0.0079632401299308,0.00389727375011677,0.398291359175149,0.480305007933731
"HOU",-7.94597062904098e-05,7.28743036232135e-05,4183,-0.00365901416889363,0.00133217594278002,8076,"control_had_humidor_2021",-0.00357955446260322,0.00125930163915681,0.00819392806591493,0.00401017428089448,-0.436854513953257,0.31402666092505
"BOS",0.0198460314382887,-0.00140672333306254,4187,0.0204341615045533,-0.00208390618192686,8565,"control_had_humidor_2021",0.000588130066264517,-0.000677182848864318,0.0081111176317762,0.0039696461885679,0.0725091279604247,-0.17059022812021
"AZ",0.024866268796692,-0.00912425729804011,4296,0.000321608010194532,-0.00861719942547666,8372,"control_had_humidor_2021",-0.0245446607864974,0.000507057872563449,0.00807261039949659,0.00395080043946271,-3.04048623330417,0.128343073848702
"CLE",-0.00198563110990262,0.00594745497765298,3898,-0.0158739701924678,-0.0128222611749289,8473,"treated_new_humidor_2022",-0.0138883390825652,-0.0187697161525819,0.00832471922775178,0.00407418452715821,-1.6683252254642,-4.60698724553696
"CHC",0.0139151198690695,0.0125648513560184,3934,0.00390648054601673,-0.00112606861356644,8171,"treated_new_humidor_2022",-0.0100086393230528,-0.0136909199695848,0.00834707519223289,0.00408512571593428,-1.1990594420865,-3.35140725686422
"CHW",0.0100935034989066,0.00654824345861721,3747,-0.00046126452802133,-0.0016535548954834,8377,"treated_new_humidor_2022",-0.010554768026928,-0.00820179835410061,0.00845363653716001,0.00413727769497616,-1.24854764934971,-1.98241427305205
"MIL",-0.00142655849603352,-0.00031729080980157,3824,-0.00301117830739972,0.0076438826852576,7747,"treated_new_humidor_2022",-0.0015846198113662,0.00796117349505917,0.00850092997758961,0.00416042348499776,-0.186405465701237,1.91354883073002
"WSH",0.00496550256545372,0.00441444888915324,4067,-0.00395118374157347,-0.000639284940741161,8769,"treated_new_humidor_2022",-0.00891668630702719,-0.0050537338298944,0.00816036237649964,0.00399374696260088,-1.09268264025941,-1.26541162402618
"MIN",-0.0247543863355256,0.00709906725942063,4176,-0.00483251265384504,0.00228743833247318,8003,"treated_new_humidor_2022",0.0199218736816805,-0.00481162892694745,0.0082111856934976,0.00401862030259794,2.42618720673393,-1.1973335534678
"LAA",0.0011407749446169,0.00296000460257924,4046,0.00103793150685142,0.00755604139097622,7968,"treated_new_humidor_2022",-0.00010284343776548,0.00459603678839698,0.00830353314886265,0.00406381588979762,-0.0123855033660661,1.13096579988663
"PIT",0.000663540070994438,-0.0131285674311783,4133,-0.0108910720910074,-0.00913443254875355,8333,"treated_new_humidor_2022",-0.0115546121620018,0.00399413488242479,0.00818345841055025,0.00400505034737499,-1.41194731888726,0.997274574848389
"ATL",-0.00731743402568068,0.00580276275528854,3890,-0.0046310189044565,0.00989642944198854,7966,"treated_new_humidor_2022",0.00268641512122419,0.00409366668670001,0.00841358052228915,0.00411767395921743,0.319295110340642,0.994169700477698
"KCR",-0.0113976012025575,-0.0115902005062021,4312,-0.00918047919996023,-0.00804294286602905,8730,"treated_new_humidor_2022",0.00221712200259726,0.0035472576401731,0.00800630834340219,0.00391835168009098,0.276921885530969,0.905293329895987
"LAD",-0.00123337615878228,0.0120615441570404,3802,0.00509716377465668,0.00852765115624644,8024,"treated_new_humidor_2022",0.00633053993343896,-0.00353389300079399,0.00846884399829853,0.00414472034873695,0.747509333589192,-0.852625196262253
"TBR",0.00481277367920713,-0.00366039751262687,3797,0.00600768823994539,-0.000173305409859591,7875,"treated_new_humidor_2022",0.00119491456073826,0.00348709210276728,0.00849833352796752,0.00415915276167527,0.140605750151587,0.838414047904002
"SFG",-0.0100655801513989,-0.00593526172512439,3999,-0.00151926275849741,-0.00923819201990153,8158,"treated_new_humidor_2022",0.00854631739290145,-0.00330293029477715,0.00830333132320371,0.00406371711469731,1.02926368468746,-0.81278548716676
"CIN",0.0377169853405088,0.0138666106648949,3996,0.0296674745542071,0.0114231690956249,8092,"treated_new_humidor_2022",-0.0080495107863017,-0.00244344156926997,0.00831655110756895,0.00407018698346281,-0.967890497176864,-0.600326613788921
"PHI",0.017769593177553,0.00206935422478124,3920,0.00905165617197425,0.00438680491129712,8139,"treated_new_humidor_2022",-0.0087179370055787,0.00231745068651588,0.00836245515324382,0.00409265279251965,-1.04250926860839,0.566246589681783
"ATH",-0.0234840026012907,-0.0051964406562209,4092,-0.00502104588914818,-0.00737139055843389,8242,"treated_new_humidor_2022",0.0184629567121426,-0.00217494990221299,0.00822573219940654,0.00402573947955478,2.24453656702738,-0.540260966527701
"NYY",-0.00731134253460546,0.00945593339176426,3766,-0.0170271760495019,0.0100926005516539,7890,"treated_new_humidor_2022",-0.00971583351489646,0.000636667159889645,0.00851927861803751,0.00416940345717004,-1.14045260760994,0.152699820592987
"SDP",-0.0129964363579882,-0.00222566241061838,3938,-0.0132032971693653,-0.00174752164777013,7972,"treated_new_humidor_2022",-0.000206860811377114,0.000478140762848249,0.00837801419223593,0.00410026751130894,-0.0246909120264819,0.116612089706218
