"venue_key","team","n_eras","k_effect_spread_pct_pts"
"venue_12","TBR",2,1.1217841663615
"venue_2","BAL",3,0.959278848062269
"venue_3289","NYM",2,0.774871717582859
"venue_2536","TOR",2,0.676748074506642
"venue_15","AZ",2,0.631005139499303
"venue_5","CLE",2,0.600196839649956
"venue_7","KCR",2,0.57479105237723
"venue_2394","DET",2,0.548225410719171
"venue_4169","MIA",3,0.455256969508771
"venue_14","TOR",2,0.396438913998621
"venue_2395","SFG",2,0.39064446561074
"venue_2756","TOR",2,0.272094192395469
