"events","status","n","in_denominator"
"field_out","other_batter_outcome",784934,TRUE
"strikeout","k",433508,TRUE
"single","other_batter_outcome",281301,TRUE
"walk","bb_unintentional",156868,TRUE
"double","other_batter_outcome",86406,TRUE
"home_run","other_batter_outcome",60936,TRUE
"force_out","other_batter_outcome",38961,TRUE
"grounded_into_double_play","other_batter_outcome",36774,TRUE
"hit_by_pitch","other_batter_outcome",20574,TRUE
"field_error","other_batter_outcome",13013,TRUE
"sac_fly","other_batter_outcome",12872,TRUE
"triple","other_batter_outcome",8040,TRUE
"sac_bunt","other_batter_outcome",7784,TRUE
"intent_walk","bb_intentional",7604,TRUE
"double_play","other_batter_outcome",4353,TRUE
"fielders_choice","other_batter_outcome",4045,TRUE
"fielders_choice_out","other_batter_outcome",3254,TRUE
"truncated_pa","excluded_non_batter",3164,FALSE
"strikeout_double_play","k",1390,TRUE
"catcher_interf","other_batter_outcome",575,TRUE
"sac_fly_double_play","other_batter_outcome",184,TRUE
"triple_play","other_batter_outcome",41,TRUE
"sac_bunt_double_play","other_batter_outcome",9,TRUE
"game_advisory","excluded_non_batter",2,FALSE
