"base_park_id","home_team","park_effect","idx_100","obs_k_rate","n_pa_ipf","name_display_club","index_so","index_bb","n_pa_savant","year_range","our_k_pct_pts","our_ratio_idx"
"venue_680","SEA",0.0204257201696778,109.221562308833,0.239306286583756,64407,"Mariners",116,96,55729,"2023-2025",2.04257201696778,109.221544094663
"venue_2392","HOU",0.0154647668153267,106.981849824361,0.233190049813007,64441,"Astros",102,100,55927,"2023-2025",1.54647668153267,106.981836034008
"venue_32","MIL",0.0144320855282066,106.515627103437,0.242728981675353,65431,"Brewers",109,106,57434,"2023-2025",1.44320855282066,106.515614233953
"venue_3289","NYM",0.0138278816096845,106.242848271865,0.234611574925711,42402,"Mets",102,110,57064,"2023-2025",1.38278816096845,106.242835941167
"venue_1","LAA",0.0100388818929665,104.532235540191,0.225311056903085,65181,"Angels",105,103,55342,"2023-2025",1.00388818929665,104.532226588247
"venue_2681","PHI",0.00867782784545679,103.917762973224,0.233341495515901,65342,"Phillies",104,96,56613,"2023-2025",0.867782784545679,103.917755234969
"venue_2602","CIN",0.00831678940031549,103.754765610581,0.229194137528608,65979,"Reds",102,103,55472,"2023-2025",0.831678940031549,103.754758194273
"venue_2680","SDP",0.00630183505885247,102.845077880851,0.230609989571498,64247,"Padres",102,103,57155,"2023-2025",0.630183505885247,102.845072261333
"venue_22","LAD",0.00594073644906365,102.682053355784,0.236489650650932,64062,"Dodgers",99,101,60332,"2023-2025",0.594073644906365,102.682048058268
"venue_3313","NYY",0.00548591229814536,102.476714733086,0.23612295196317,64513,"Yankees",101,111,59620,"2023-2025",0.548591229814536,102.476709841149
"venue_17","CHC",0.00495813581073735,102.23844045324,0.22791527587639,65011,"Cubs",103,100,55966,"2023-2025",0.495813581073735,102.238436031936
"venue_4705","ATL",0.00468013069723156,102.112929996078,0.230777928539123,53064,"Braves",106,99,56308,"2023-2025",0.468013069723156,102.112925822678
"venue_5325","TEX",0.00235244281148463,101.06205302843,0.223603029328343,34199,"Rangers",101,100,56720,"2023-2025",0.235244281148463,101.062050930693
"venue_4","CHW",0.000340612304686321,100.153775610589,0.225807935947973,65197,"White Sox",100,103,57335,"2023-2025",0.0340612304686321,100.153775306856
"venue_14","TOR",0.000307710698677317,100.138921583052,0.212750825501651,39370,"Blue Jays",97,100,57292,"2023-2025",0.0307710698677317,100.138921308658
"venue_5","CLE",-3.30443776039285e-05,99.9850815156332,0.220195251096219,48348,"Guardians",102,100,55909,"2023-2025",-0.00330443776039285,99.9850815450998
"venue_4169","MIA",-0.00171351050436412,99.2264045648539,0.225712156817791,34894,"Marlins",97,97,56592,"2023-2025",-0.171351050436412,99.2264060928379
"venue_3309","WSH",-0.00562830028890682,97.4590016226685,0.211005410005471,65804,"Nationals",90,94,54984,"2023-2025",-0.562830028890682,97.4590066415771
"venue_15","AZ",-0.00583521497914479,97.3655862281173,0.21130335462583,47278,"D-backs",94,99,57885,"2023-2025",-0.583521497914479,97.3655914315373
"venue_3312","MIN",-0.00612278901960158,97.2357557051078,0.216541626331075,66112,"Twins",103,100,56677,"2023-2025",-0.612278901960158,97.2357611649654
"venue_2395","SFG",-0.00639074046953592,97.1147841569428,0.22480755773268,34296,"Giants",97,90,55185,"2023-2025",-0.639074046953592,97.11478985574
"venue_3","BOS",-0.00759343197835048,96.5718072339894,0.216439263877594,66402,"Red Sox",96,97,56758,"2023-2025",-0.759343197835048,96.5718140052594
"venue_2889","STL",-0.0108626980282968,95.0958377047246,0.205367668447724,65317,"Cardinals",91,96,54960,"2023-2025",-1.08626980282968,95.0958473912881
"venue_2","BAL",-0.0109431245767795,95.0595276788378,0.206684709066306,36950,"Orioles",99,91,55788,"2023-2025",-1.09431245767795,95.0595374371199
"venue_2394","DET",-0.0117051359119804,94.7155038231686,0.206485433290035,43112,"Tigers",98,100,55444,"2023-2025",-1.17051359119804,94.7155142609569
"venue_31","PIT",-0.0125263623179717,94.3447462484247,0.210545416055524,66133,"Pirates",96,100,55939,"2023-2025",-1.25263623179717,94.3447574185229
"venue_7","KCR",-0.017526720357033,92.0872438034372,0.193192768132748,61229,"Royals",89,100,55643,"2023-2025",-1.7526720357033,92.0872594324907
"venue_19","COL",-0.0202642299578413,90.8513453800191,0.199104681153835,67462,"Rockies",90,101,56521,"2023-2025",-2.02642299578413,90.8513634501845
