"team_id","team","park","years_used","park_era_id","park_suffix","expected_suffix","matches_expected","fallback_reason","event_id","start_date","end_date"
"ATH","Athletics","Sutter Health Park","2025","home_ath__sutter_health","sutter_health","sutter_health",TRUE,"","ATH_2025_SUTTER_HEALTH",2025-03-01,2027-12-31
"ATL","Braves","Truist Park","2017-2025","home_atl__suntrust","suntrust","suntrust",TRUE,"","ATL_2017_SUNTRUST",2017-03-01,
"AZ","Diamondbacks","Chase Field","2015-2025","home_az__base","base","base",TRUE,"",,,
"BAL","Orioles","Oriole Park at Camden Yards","2025","home_bal__wall_medium","wall_medium","wall_medium",TRUE,"","BAL_2025_WALL_MEDIUM",2025-03-01,
"BOS","Red Sox","Fenway Park","2015-2025","home_bos__base","base","base",TRUE,"",,,
"CHC","Cubs","Wrigley Field","2015-2025","home_chc__base","base","base",TRUE,"",,,
"CHW","White Sox","Rate Field","2015-2025","home_chw__base","base","base",TRUE,"",,,
"CIN","Reds","Great American Ball Park","2015-2025","home_cin__base","base","base",TRUE,"",,,
"CLE","Guardians","Progressive Field","2015-2025","home_cle__base","base","base",TRUE,"",,,
"COL","Rockies","Coors Field","2015-2025","home_col__base","base","base",TRUE,"",,,
"DET","Tigers","Comerica Park","2015-2025","home_det__base","base","base",TRUE,"",,,
"HOU","Astros","Daikin Park","2015-2025","home_hou__base","base","base",TRUE,"",,,
"KC","Royals","Kauffman Stadium","2015-2025","home_kcr__base","base","walls_in",TRUE,"2026 dimension change has no observed BBE yet; using latest Kauffman baseline","KCR_2026_WALLS_IN",2026-03-01,
"LAA","Angels","Angel Stadium","2015-2025","home_laa__base","base","base",TRUE,"",,,
"LAD","Dodgers","Dodger Stadium","2015-2025","home_lad__base","base","base",TRUE,"",,,
"MIA","Marlins","loanDepot park","2015-2025","home_mia__base","base","base",TRUE,"",,,
"MIL","Brewers","American Family Field","2015-2025","home_mil__base","base","base",TRUE,"",,,
"MIN","Twins","Target Field","2015-2025","home_min__base","base","base",TRUE,"",,,
"NYM","Mets","Citi Field","2015-2025","home_nym__base","base","base",TRUE,"",,,
"NYY","Yankees","Yankee Stadium","2015-2025","home_nyy__base","base","base",TRUE,"",,,
"PHI","Phillies","Citizens Bank Park","2015-2025","home_phi__base","base","base",TRUE,"",,,
"PIT","Pirates","PNC Park","2015-2025","home_pit__base","base","base",TRUE,"",,,
"SDP","Padres","Petco Park","2015-2025","home_sdp__base","base","base",TRUE,"",,,
"SEA","Mariners","T-Mobile Park","2015-2025","home_sea__base","base","base",TRUE,"",,,
"SFG","Giants","Oracle Park","2015-2025","home_sfg__base","base","base",TRUE,"",,,
"STL","Cardinals","Busch Stadium","2015-2025","home_stl__base","base","base",TRUE,"",,,
"TBR","Rays","Tropicana Field","2015-2024","home_tbr__base","base","trop_return",TRUE,"expected future return-home era has no observed BBE yet; using Trop baseline","TBR_2026_TROP_RETURN",2026-03-01,
"TEX","Rangers","Globe Life Field","2021-2025","home_tex__globe_life","globe_life","globe_life",TRUE,"","TEX_2021_GLOBE_LIFE",2021-03-01,
"TOR","Blue Jays","Rogers Centre","2015-2025","home_tor__base","base","base",TRUE,"",,,
"WSH","Nationals","Nationals Park","2015-2025","home_wsh__base","base","base",TRUE,"",,,
