local_time,pid,run_state,stage,last_validation,last_line
"2026-03-01 21:06 PST","41254","running","unknown","",""
"2026-03-01 21:07 PST","41254","running","pre_validation","","Loaded defense composite for 300 team-seasons."
"2026-03-01 21:08 PST","41254","running","validation_running","","Validation fold: target=2018 train=2015-2017 rows(train=502484, hold=165435) include_measurement_era=FALSE"
"2026-03-01 21:09 PST","41254","running","validation_running","","boundary (singular) fit: see help('isSingular')"
"2026-03-01 21:10 PST","41254","running","validation_running","Validation fold complete: target=2018 rmse_model=0.023029 rmse_prev=0.016037 corr=0.5816 slope=0.8538","Validation fold: target=2019 train=2016-2018 rows(train=514683, hold=171089) include_measurement_era=FALSE"
"2026-03-01 21:11 PST","41254","running","validation_running","Validation fold complete: target=2018 rmse_model=0.023029 rmse_prev=0.016037 corr=0.5816 slope=0.8538","boundary (singular) fit: see help('isSingular')"
"2026-03-01 21:12 PST","41254","running","validation_running","Validation fold complete: target=2019 rmse_model=0.030830 rmse_prev=0.014746 corr=0.5553 slope=0.8417","Validation fold: target=2021 train=2017-2019 rows(train=517460, hold=149428) include_measurement_era=FALSE"
"2026-03-01 21:13 PST","41254","running","validation_running","Validation fold complete: target=2019 rmse_model=0.030830 rmse_prev=0.014746 corr=0.5553 slope=0.8417","Validation fold: target=2021 train=2017-2019 rows(train=517460, hold=149428) include_measurement_era=FALSE"
"2026-03-01 21:14 PST","41254","running","validation_running","Validation fold complete: target=2021 rmse_model=0.022051 rmse_prev=0.020807 corr=0.5551 slope=0.9599","Validation fold complete: target=2021 rmse_model=0.022051 rmse_prev=0.020807 corr=0.5551 slope=0.9599"
"2026-03-01 21:15 PST","41254","running","validation_running","Validation fold complete: target=2021 rmse_model=0.022051 rmse_prev=0.020807 corr=0.5551 slope=0.9599","Validation fold: target=2022 train=2018-2021 rows(train=485952, hold=160176) include_measurement_era=FALSE"
"2026-03-01 21:16 PST","41254","running","validation_running","Validation fold complete: target=2022 rmse_model=0.016920 rmse_prev=0.019142 corr=0.5692 slope=0.7927","Validation fold: target=2023 train=2019-2022 rows(train=480693, hold=168030) include_measurement_era=FALSE"
"2026-03-01 21:17 PST","41254","running","validation_running","Validation fold complete: target=2022 rmse_model=0.016920 rmse_prev=0.019142 corr=0.5692 slope=0.7927","Validation fold: target=2023 train=2019-2022 rows(train=480693, hold=168030) include_measurement_era=FALSE"
"2026-03-01 21:18 PST","41254","running","validation_running","Validation fold complete: target=2023 rmse_model=0.020674 rmse_prev=0.013982 corr=0.5360 slope=0.7554","Validation fold: target=2024 train=2021-2023 rows(train=477634, hold=153571) include_measurement_era=FALSE"
"2026-03-01 21:19 PST","41254","running","validation_running","Validation fold complete: target=2023 rmse_model=0.020674 rmse_prev=0.013982 corr=0.5360 slope=0.7554","Validation fold: target=2024 train=2021-2023 rows(train=477634, hold=153571) include_measurement_era=FALSE"
"2026-03-01 21:20 PST","41254","running","validation_running","Validation fold complete: target=2024 rmse_model=0.015421 rmse_prev=0.015622 corr=0.4573 slope=0.5730","Validation fold: target=2025 train=2022-2024 rows(train=481777, hold=163925) include_measurement_era=FALSE"
"2026-03-01 21:21 PST","41254","running","validation_running","Validation fold complete: target=2024 rmse_model=0.015421 rmse_prev=0.015622 corr=0.4573 slope=0.5730","Validation fold: target=2025 train=2022-2024 rows(train=481777, hold=163925) include_measurement_era=FALSE"
"2026-03-01 21:22 PST","41254","running","fitting_final_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Rows: 1634138"
"2026-03-01 21:23 PST","41254","running","fitting_final_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Rows: 1634138"
"2026-03-01 21:24 PST","41254","running","fitting_final_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Rows: 1634138"
"2026-03-01 21:25 PST","41254","running","fitting_final_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Rows: 1634138"
"2026-03-01 21:26 PST","41254","running","fitting_final_model","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Rows: 1634138"
"2026-03-01 21:27 PST","41254","running","extracting_tables","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Extracting half/overall park-factor tables..."
"2026-03-01 21:28 PST","41254","running","extracting_tables","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Extracting half/overall park-factor tables..."
"2026-03-01 21:29 PST","41254","running","extracting_tables","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Extracting half/overall park-factor tables..."
"2026-03-01 21:30 PST","41254","running","extracting_tables","Validation fold complete: target=2025 rmse_model=0.018816 rmse_prev=0.018165 corr=0.4546 slope=0.8905","Extracting half/overall park-factor tables..."
