"park_era_id","status","team_id","team","park","era","years_used","total_bbe","overall_idx","bacon_idx","hr_idx","carry_idx","carry_ft","k_idx","k_pct_pts","lhb_overall_idx","rhb_overall_idx","overall_ratio_idx","bacon_ratio_idx","hr_ratio_idx","carry_ratio_idx","k_ratio_idx","lhb_overall_ratio_idx","rhb_overall_ratio_idx","overall_resid","overall_se"
"venue_19__base","current","COL","Rockies","Coors Field","base configuration","2015-2026",47101,130.58,134.22,105.4,138.65,12.84,76.95,-2.03,130.51,130.47,109.59,108.13,106.68,104.5,90.85,109.74,109.68,0.0353315020190448,0.00324726199744779
"venue_2529__sutter_health","current","ATH","Athletics","Sutter Health Park","sutter health","2025-2026",6913,124.48,120.25,117.33,114.9,4.87,93.78,-0.48,123.89,124.93,107.67,104.82,118.82,101.71,97.83,107.62,107.91,0.0282508845442131,0.00570090987195244
"venue_2602__base","current","CIN","Reds","Great American Ball Park","base configuration","2015-2026",42971,114.51,109.53,119.92,101.55,0.39,108.05,0.83,115.93,112.99,104.53,102.28,121.46,100.14,103.75,105.07,104.09,0.0166771446954468,0.00329824648599843
"venue_3__base","current","BOS","Red Sox","Fenway Park","base configuration","2015-2026",45369,109.41,117.73,89.2,91.58,-2.96,90.74,-0.76,108.69,110.08,102.92,104.23,90.19,98.96,96.57,102.75,103.16,0.0107615305363393,0.00326956980402338
"venue_2681__base","current","PHI","Phillies","Citizens Bank Park","base configuration","2015-2026",43531,107.99,103.94,109.64,96.82,-1.2,108.44,0.87,107.61,108.32,102.47,100.96,111,99.58,103.92,102.41,102.6,0.00910642400687937,0.00328932176423267
"venue_2392__base","current","HOU","Astros","Daikin Park","base configuration","2015-2026",42878,107.93,105.36,109.3,98.62,-0.6,115.83,1.55,106.93,108.87,102.45,101.29,110.65,99.79,106.98,102.19,102.78,0.00903662742218017,0.00331625038077469
"venue_32__base","current","MIL","Brewers","American Family Field","base configuration","2015-2026",42323,104.42,100.98,108.88,104.16,1.26,114.7,1.44,105.07,103.74,101.35,100.26,110.23,100.44,106.52,101.59,101.14,0.00496472175291646,0.00330849282443676
"venue_7__walls_in","current","KC","Royals","Kauffman Stadium","walls in","2026",2819,104.21,102.54,98.8,114.11,4.61,86.18,-1.18,104.57,103.82,101.28,100.63,99.97,101.62,94.68,101.43,101.16,0.00471829793389021,0.00775035868025955
"venue_2__wall_medium","current","BAL","Orioles","Oriole Park at Camden Yards","wall medium","2025-2026",7055,103.73,100.85,109.56,101.98,0.53,97.53,-0.14,104.21,103.23,101.13,100.23,110.92,100.19,99.39,101.32,100.97,0.0041686859391928,0.00565996077342678
"venue_22__base","current","LAD","Dodgers","Dodger Stadium","base configuration","2015-2026",42190,99.62,94.62,109.75,94.78,-1.88,105.46,0.59,98.32,100.93,99.84,98.75,111.11,99.34,102.68,99.43,100.24,-0.000601792721435466,0.00330836254935733
