"model","term","estimate"
"woba_over_xwoba","(Intercept)",0.012719002007815
"woba_over_xwoba","half2H",0.00925387773315462
"woba_over_xwoba","drag_c",-0.689212716223663
"woba_over_xwoba","drag_missing",0.000889706061830881
"woba_over_xwoba","defense_c",-0.00826779487983081
"woba_over_xwoba","defense_missing",-0.0019113375910707
"bacon_resid","(Intercept)",0.00193848893817059
"bacon_resid","half2H",0.00558092753532206
"bacon_resid","drag_c",-0.223519385911731
"bacon_resid","drag_missing",0.00190496876247588
"bacon_resid","defense_c",-0.0066140769674866
"bacon_resid","defense_missing",-0.00553516442072593
"hr_resid","(Intercept)",0.00159825907142638
"hr_resid","half2H",0.00278683082868681
"hr_resid","drag_c",-0.293966545132805
"hr_resid","drag_missing",-0.00239604756904549
"hr_resid","defense_c",-0.000504759562704283
"hr_resid","defense_missing",-0.00166443734964411
"xbh_resid","(Intercept)",0.0062523633186886
"xbh_resid","half2H",0.00392346020492545
"xbh_resid","drag_c",-0.429361362182555
"xbh_resid","drag_missing",0.000830895832684816
"xbh_resid","defense_c",-0.00341500320672534
"xbh_resid","defense_missing",-0.00637173059835228
"double_resid","(Intercept)",0.0042861227736032
"double_resid","half2H",0.00102702085669737
"double_resid","drag_c",-0.146788457225054
"double_resid","drag_missing",0.00196737740723891
"double_resid","defense_c",-0.00249705749414858
"double_resid","defense_missing",-0.00403649959282979
"triple_resid","(Intercept)",0.000173477638763181
"triple_resid","half2H",0.000135467459533175
"triple_resid","drag_c",-0.018043688619625
"triple_resid","drag_missing",0.00148746762281089
"triple_resid","defense_c",-0.000363692765790794
"triple_resid","defense_missing",-0.000606029148552895
"distance_air","(Intercept)",-371.437377270315
"distance_air","half2H",1.13134437441719
"distance_air","drag_c",-72.797247220973
"distance_air","drag_missing",1.818856240707
"distance_air","defense_c",-0.132052513858339
"distance_air","defense_missing",-3.50512493360955
"distance_air","launch_speed",4.14241792876661
"distance_air","I(launch_speed^2)",0.00166921468122066
"distance_air","launch_angle",18.4785039654361
"distance_air","I(launch_angle^2)",-0.266899039695142
"pts_resid","(Intercept)",0.0789410645122031
"pts_resid","half2H",0.0491738945212764
"pts_resid","drag_c",-5.96050916985271
"pts_resid","drag_missing",0.0145725664065617
"pts_resid","defense_c",-0.0520861176546521
"pts_resid","defense_missing",-0.0681142755576388
