"Analysis","Rank","Team","Park","Years","BACON Park Factor","HR Park Factor","Difference","Abs Difference","Total BBE","Notes"
"HR vs BACON Gap",1,"Yankees","Yankee Stadium","2015-2026",91.87,112.24,20.37,20.37,41895,"HR-leaning park profile"
"HR vs BACON Gap",2,"Mariners","T-Mobile Park","2015-2026",83.21,101.52,18.31,18.31,42045,"HR-leaning park profile"
"HR vs BACON Gap",3,"Dodgers","Dodger Stadium","2015-2026",94.26,110.11,15.85,15.85,41473,"HR-leaning park profile"
"HR vs BACON Gap",4,"Angels","Angel Stadium","2015-2026",93.15,104.32,11.17,11.17,42985,"HR-leaning park profile"
"HR vs BACON Gap",5,"Reds","Great American Ball Park","2015-2026",109.61,120.62,11.02,11.02,42321,"HR-leaning park profile"
"HR vs BACON Gap",6,"Mets","Citi Field","2023-2026",89.09,99.13,10.04,10.04,14111,"HR-leaning park profile"
"HR vs BACON Gap",7,"Rockies","Coors Field","2015-2026",134.38,105.16,-29.23,29.23,46437,"BACON-leaning park profile"
"HR vs BACON Gap",8,"Red Sox","Fenway Park","2015-2026",117.44,88.94,-28.5,28.5,44807,"BACON-leaning park profile"
"HR vs BACON Gap",9,"Giants","Oracle Park","2021-2026",99.16,78.58,-20.58,20.58,22579,"BACON-leaning park profile"
"HR vs BACON Gap",10,"Diamondbacks","Chase Field","2018-2026",102.17,86.49,-15.67,15.67,31896,"BACON-leaning park profile"
"HR vs BACON Gap",11,"Pirates","PNC Park","2015-2026",95.4,85.63,-9.76,9.76,44069,"BACON-leaning park profile"
"HR vs BACON Gap",12,"Marlins","loanDepot park","2021-2026",97.53,88.67,-8.86,8.86,22908,"BACON-leaning park profile"
"1H vs 2H Overall PF Gap",1,"Nationals","Nationals Park","2015-2026",93.12,97.54,4.42,4.42,44124,"More hitter-friendly in 2H"
"1H vs 2H Overall PF Gap",2,"Red Sox","Fenway Park","2015-2026",107.59,110.99,3.4,3.4,44807,"More hitter-friendly in 2H"
"1H vs 2H Overall PF Gap",3,"White Sox","Rate Field","2015-2026",95.98,99.08,3.1,3.1,43008,"More hitter-friendly in 2H"
"1H vs 2H Overall PF Gap",4,"Phillies","Citizens Bank Park","2015-2026",106.48,109.43,2.95,2.95,43012,"More hitter-friendly in 2H"
"1H vs 2H Overall PF Gap",5,"Mets","Citi Field","2023-2026",89.6,92.23,2.63,2.63,14111,"More hitter-friendly in 2H"
"1H vs 2H Overall PF Gap",6,"Rangers","Globe Life Field","2021-2026",92.7,95.27,2.57,2.57,22406,"More hitter-friendly in 2H"
"1H vs 2H Overall PF Gap",7,"Royals","Kauffman Stadium","2026",101.87,89.37,-12.5,12.5,2230,"More pitcher-friendly in 2H"
"1H vs 2H Overall PF Gap",8,"Rockies","Coors Field","2015-2026",132.43,128.86,-3.57,3.57,46437,"More pitcher-friendly in 2H"
"1H vs 2H Overall PF Gap",9,"Rays","Tropicana Field","2026",99.69,96.51,-3.18,3.18,2241,"More pitcher-friendly in 2H"
"1H vs 2H Overall PF Gap",10,"Orioles","Oriole Park at Camden Yards","2025-2026",107.24,105.63,-1.61,1.61,6503,"More pitcher-friendly in 2H"
"1H vs 2H Overall PF Gap",11,"Giants","Oracle Park","2021-2026",94.66,93.49,-1.17,1.17,22579,"More pitcher-friendly in 2H"
"1H vs 2H Overall PF Gap",12,"Padres","Petco Park","2015-2026",94.15,93.09,-1.06,1.06,41941,"More pitcher-friendly in 2H"
