"park_era_id","target_delta_woba_over_xwoba","pred_weighted_components","n_bbe"
"home_ath__base",-0.0156710550634887,-0.0108675681160288,49918
"home_ath__sutter_health",0.0220799234874471,0.0110934724551923,5527
"home_atl__base",-0.0111284076018181,-0.00606139943601008,10657
"home_atl__suntrust",-0.0027789781668439,-4.20067820150694e-06,42606
"home_az__base",0.00771486399473652,0.00702371013183592,56195
"home_bal__base",0.00313330385206302,-0.00148964200390766,34570
"home_bal__wall_deep",-0.0150884035132002,-0.00306038704766339,15891
"home_bal__wall_medium",0.0048836249546274,0.0015970081126433,5305
"home_bos__base",0.0130668879462681,0.0153488040559102,56567
"home_chc__base",-0.00195559006493575,-0.00182403223792682,52264
"home_chw__base",-0.00154767814965742,-0.00278177406161575,55218
"home_cin__base",0.0174537292421568,0.00847631430381826,53554
"home_cle__base",-0.0015167645421346,-0.00178111887742329,54645
"home_col__base",0.0368008726490887,0.0290311506238871,59900
"home_det__base",-0.0129250519940961,-0.00590528265012989,55730
"home_hou__base",0.00952766775208915,0.00421627420794002,54058
"home_kcr__base",-0.0102465316842309,-0.000941227773330719,57401
"home_laa__base",-0.00574569483728639,-0.00536120180889381,54193
"home_lad__base",0.000830958160695023,-0.00379985354053546,51940
"home_mia__base",-0.0101903947245904,-0.00338140345535292,53776
"home_mil__base",0.00325510248871677,-0.00138981090396966,52079
"home_min__base",-0.00440837185835991,0.00117190826852234,55678
"home_nym__base",-0.0102548473893603,-0.00892316814885589,52955
"home_nyy__base",-0.0034184789568982,-0.00479993771743843,52547
"home_phi__base",0.00747979875593872,0.00212301018319027,53852
"home_pit__base",-0.00934523235096808,-0.00508834884355033,55218
"home_sdp__base",-0.00526201266668849,-0.00443541999368354,52059
"home_sea__base",-0.0145075121736509,-0.0123397618805636,52331
"home_sfg__base",-0.00987263108108444,-0.00182537599615936,53932
"home_stl__base",-0.0174901976010619,-0.00762466493316508,55617
"home_tbr__base",-0.00267337862924191,-0.00081546107253217,46546
"home_tbr__steinbrenner",0.00687152956497674,0.00275425128176637,5793
"home_tex__base",0.0109117479275388,0.00650820700264083,28673
"home_tex__globe_life",-0.00449231239252172,-0.000910068786739907,26426
"home_tor__base",-0.004282175722161,-0.00498676183633373,51661
"home_tor__buffalo",0.00851378431176959,0.0017723087504684,1328
"home_tor__dunedin",0.0221485876168461,0.00739509367607423,1492
"home_wsh__base",0.000129318458422353,0.00188635874524093,56036
