"park_era_id","venue_id","venue_name","home_team","component","delta_overall","pf_index_overall","park_se","n_bbe"
"venue_19__base","19","Coors Field","COL","bacon_resid",0.0265100665977177,861.674393805642,0.00217028990278924,47101
"venue_2529__sutter_health","2529","Sutter Health Park","ATH","bacon_resid",0.0157185085159964,551.616573701144,0.00414084538511537,6913
"venue_3__base","3","Fenway Park","BOS","bacon_resid",0.0137747623557029,495.769800442526,0.00219257537069665,45369
"venue_5340__base","5340","Estadio Alfredo Harp Helu","AZ","bacon_resid",0.0134766128310216,487.203512702809,0.00747381750433489,326
"venue_5355__sutter_health","5355","Las Vegas Ballpark","ATH","bacon_resid",0.0119282039112943,442.715377565569,0.00745479639029369,342
"venue_2602__base","2602","Great American Ball Park","CIN","bacon_resid",0.00743794327634578,313.703383780226,0.00222237497493061,42971
"venue_13__base","13","Globe Life Park in Arlington","TEX","bacon_resid",0.00665588014624682,291.233524704612,0.00282471169079885,21828
"venue_2536__dunedin","2536","TD Ballpark","TOR","bacon_resid",0.00658008448089909,289.055800358125,0.00656042201782157,1086
"venue_15__base","15","Chase Field","AZ","bacon_resid",0.00612429835770263,275.96037421836,0.00341934237442868,12726
"venue_2392__base","2392","Minute Maid Park","HOU","bacon_resid",0.00421890047473884,221.215405090672,0.00222914670956509,42878
"venue_5381__base","5381","London Stadium","BOS","bacon_resid",0.00418097302928334,220.125692097329,0.00745283258034145,346
"venue_2681__base","2681","Citizens Bank Park","PHI","bacon_resid",0.00312142595927341,189.683298854611,0.00221599254501813,43531
"venue_2523__steinbrenner","2523","George M. Steinbrenner Field","TBR","bacon_resid",0.00281199347808808,180.792834673322,0.00492788900108954,4071
"venue_2756__buffalo","2756","Sahlen Field","TOR","bacon_resid",0.00241924851618433,169.508676646951,0.00644503020736941,1197
"venue_2735__base","2735","Journey Bank Ballpark","NYM","bacon_resid",0.00216886166858783,162.314683012232,0.00762296894409607,235
"venue_7__walls_in","7","Kauffman Stadium","KCR","bacon_resid",0.00203825266383402,158.562088345797,0.00542453930997387,2819
"venue_15__humidor","15","Chase Field","AZ","bacon_resid",0.00175970761786398,150.559066993333,0.00242624597962703,32465
"venue_2536__base","2536","TD Ballpark","TOR","bacon_resid",0.00155329214821204,144.62843769296,0.00795931171698006,46
"venue_3949__base","3949","Rickwood Field","STL","bacon_resid",0.00114063157194566,132.772073880496,0.007986287390481,32
"venue_14__of_renovation","14","Rogers Centre","TOR","bacon_resid",0.000936635384684069,126.910954230027,0.00313696233535889,15334
