"park_era_id","n_pa","n_k","obs_k_rate","years_used","home_team","venue_name","park_effect","park_se","idx_100","obs_idx_100"
"venue_3313__base",64513,15233,0.23612295196317,"2015-2026","NYY","Yankee Stadium",0.00277504248362147,0.00135379910288273,103.473360126633,295.541438076115
"venue_13__base",31517,6234,0.197798013770346,"2015-2019","TEX","Globe Life Park in Arlington",0.00271376659036788,0.00153775471272206,103.396664636165,247.57233022991
"venue_2602__base",65979,15122,0.229194137528608,"2015-2026","CIN","Great American Ball Park",0.00266610280444585,0.00135071295776287,103.337006632916,286.869041915014
"venue_2529__sutter_health",10275,2216,0.215669099756691,"2025-2026","ATH","Sutter Health Park",0.00244359282155016,0.00179257974444594,103.058503760643,269.940534627126
"venue_32__base",65431,15882,0.242728981675353,"2015-2026","MIL","American Family Field",0.00215840266545115,0.00135312221994946,102.701547741933,303.809823274926
"venue_17__base",65011,14817,0.22791527587639,"2015-2026","CHC","Wrigley Field",0.00202187759826728,0.00135361361513935,102.530667213999,285.268364773489
"venue_3289__rf_in_362",22553,5200,0.23056799538864,"2023-2026","NYM","Citi Field",0.00199460529779396,0.00161610654489754,102.496532053336,288.588620313854
"venue_16__base",12371,2422,0.195780454288255,"2015-2016","ATL","Turner Field",0.00182615849243181,0.00175683144186977,102.285696932556,245.047067752104
"venue_2756__buffalo",1735,377,0.217291066282421,"2021","TOR","Sahlen Field",0.000916300161724115,0.00198264964163408,101.146879899873,271.97065628849
"venue_4__base",65197,14722,0.225807935947973,"2015-2026","CHW","Guaranteed Rate Field",0.000886697097481232,0.00135400862620484,101.109827457046,282.630729305266
"venue_2394__cf_in_412",22378,5087,0.227321476450085,"2023-2026","DET","Comerica Park",0.00086482489041671,0.00162015747779473,101.08245128088,284.525140385856
"venue_2397__base",335,76,0.226865671641791,"2019-2025","ATH","Tokyo Dome",0.000823399613960744,0.00204509963192964,101.030601659,283.954635877907
"venue_2680__base",64247,14816,0.230609989571498,"2015-2026","SDP","Petco Park",0.000741924844877179,0.00135411927138117,100.928624404262,288.641182002962
"venue_5__wind_tunnel",15943,3644,0.22856426017688,"2024-2026","CLE","Progressive Field",0.0006869519965656,0.00169984024913614,100.859818070485,286.080660875418
"venue_5150__base",182,30,0.164835164835165,"2024","LAD","Gocheok Sky Dome",0.000614345190237532,0.00205361709421795,100.768940331672,206.31463928376
"venue_3312__base",66112,14316,0.216541626331075,"2015-2026","MIN","Target Field",0.000613169550850938,0.00135019576836877,100.767468851868,271.032625660247
"venue_5__base",48348,10646,0.220195251096219,"2015-2023","CLE","Progressive Field",0.000573691804942302,0.00142558046518284,100.7180568413,275.605656398274
"venue_7__walls_in",4056,801,0.197485207100592,"2026","KCR","Kauffman Stadium",0.000562578746342703,0.00193382232667144,100.704147268797,247.180808218812
"venue_5445__base",157,49,0.312101910828025,"2021-2022","CHW","Field of Dreams",0.000346336156408481,0.00205496789575375,100.433488929694,390.639905123688
"venue_2701__base",535,115,0.214953271028037,"2018-2019","SDP","Estadio de Beisbol Monterrey",0.000270683272200601,0.0020340898227422,100.33879859143,269.04457322175
"venue_5365__base",80,20,0.25,"2019","KCR","TD Ameritrade Park",0.000228729715150795,0.00205941075143929,100.286287751294,312.910536247036
"venue_3289__base",42402,9948,0.234611574925711,"2015-2022","NYM","Citi Field",0.000228700312608293,0.0014539728935429,100.286250949833,293.649734879063
"venue_31__base",66133,13924,0.210545416055524,"2015-2026","PIT","PNC Park",0.0001868958690389,0.00134989373312609,100.233926746413,263.527516169158
"venue_14__of_renovation",22570,4953,0.219450598139123,"2023-2026","TOR","Rogers Centre",0.000128423073460357,0.00161857879596605,100.160739731132,274.673617373783
"venue_5381__base",506,98,0.193675889328063,"2019-2024","BOS","London Stadium",0.000117070665069468,0.00203556052180968,100.146530578343,242.412905551063
"venue_2536__base",66,12,0.181818181818182,"2021","TOR","TD Ballpark",0.000103230761642219,0.0020602366533121,100.129207971931,227.571299088753
