"park_era_hand_id","park_era_id","hand","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","hand_effect","hand_se","delta_hand","pf_index_hand","hand_se_combined","component"
"venue_10__base__L","venue_10__base","L",14507,"10","Oakland Coliseum","ATH",-0.0179012416828599,0.0034165986958092,-0.000907695576440901,0.00209531372255541,-0.0188089372593008,94.8945928638288,0.00400792792401936,"woba_over_xwoba"
"venue_10__base__R","venue_10__base","R",23114,"10","Oakland Coliseum","ATH",-0.0179012416828599,0.0034165986958092,0.000463470587104567,0.00209077447401859,-0.0174377710957553,95.2667755884418,0.00400555670904968,"woba_over_xwoba"
"venue_12__base__L","venue_12__base","L",14082,"12","Tropicana Field","TBR",-0.00366419236925701,0.00345079417593926,-0.000180875879956457,0.00210149392408317,-0.00384506824921346,98.9563132351408,0.00404032884276204,"woba_over_xwoba"
"venue_12__base__R","venue_12__base","R",21554,"12","Tropicana Field","TBR",-0.00366419236925701,0.00345079417593926,8.99477842968729e-05,0.00209727629386448,-0.00357424458496013,99.0298243032602,0.00403813673586002,"woba_over_xwoba"
"venue_12__trop_return__L","venue_12__trop_return","L",1445,"12","Tropicana Field","TBR",-0.000824980370345683,0.0076903395390087,-0.000364087445658987,0.00226700584636142,-0.00118906781600467,99.6772451718281,0.00801752067241971,"woba_over_xwoba"
"venue_12__trop_return__R","venue_12__trop_return","R",1464,"12","Tropicana Field","TBR",-0.000824980370345683,0.0076903395390087,0.000343615296146253,0.00226691248372237,-0.00048136507419943,99.869340587879,0.00801749427402957,"woba_over_xwoba"
"venue_13__base__L","venue_13__base","L",9273,"13","Globe Life Park in Arlington","TEX",0.010857057651022,0.00398148968524241,-3.33029741365727e-05,0.00216118731575305,0.0108237546768854,102.937947721646,0.00453023075874326,"woba_over_xwoba"
"venue_13__base__R","venue_13__base","R",12555,"13","Globe Life Park in Arlington","TEX",0.010857057651022,0.00398148968524241,0.00030272430280486,0.00215783466444429,0.0111597819538269,103.029157343646,0.00452863230487628,"woba_over_xwoba"
"venue_14__base__L","venue_14__base","L",9346,"14","Rogers Centre","TOR",-0.00784729985761302,0.00373681362841665,0.000265802209000437,0.00214473316617992,-0.00758149764861259,97.9421148752595,0.0043085561906087,"woba_over_xwoba"
"venue_14__base__R","venue_14__base","R",17701,"14","Rogers Centre","TOR",-0.00784729985761302,0.00373681362841665,-0.000460535443553294,0.00213816567289045,-0.00830783530116632,97.7449612889885,0.00430529076117368,"woba_over_xwoba"
"venue_14__of_renovation__L","venue_14__of_renovation","L",5962,"14","Rogers Centre","TOR",-0.000656279039279185,0.00436474340440257,0.000765550460837452,0.00219208142085665,0.000109271421558268,100.029660107199,0.00488428151747426,"woba_over_xwoba"
"venue_14__of_renovation__R","venue_14__of_renovation","R",9372,"14","Rogers Centre","TOR",-0.000656279039279185,0.00436474340440257,-0.000781836233320232,0.00218727734769341,-0.00143811527259942,99.6096449323985,0.00488212732136397,"woba_over_xwoba"
"venue_15__base__L","venue_15__base","L",4697,"15","Chase Field","AZ",0.00594390925257045,0.00472762922960014,0.000124845314715406,0.00221219366289326,0.00606875456728586,101.647273444977,0.00521960524701961,"woba_over_xwoba"
"venue_15__base__R","venue_15__base","R",8029,"15","Chase Field","AZ",0.00594390925257045,0.00472762922960014,2.2654678354528e-05,0.00220627231113258,0.00596656393092498,101.619535311933,0.00521709839311469,"woba_over_xwoba"
"venue_15__humidor__L","venue_15__humidor","L",15197,"15","Chase Field","AZ",-0.000713310907161627,0.00351754156235859,0.000183447406566554,0.00210441607253926,-0.000529863500595073,99.8561764091271,0.0040989834897547,"woba_over_xwoba"
"venue_15__humidor__R","venue_15__humidor","R",17268,"15","Chase Field","AZ",-0.000713310907161627,0.00351754156235859,-0.000201148442938741,0.00210307270505757,-0.000914459350100369,99.7517835682379,0.00409829396769903,"woba_over_xwoba"
"venue_16__base__L","venue_16__base","L",4147,"16","Turner Field","ATL",-0.00854719138610624,0.00543510619836917,0.000388635006977997,0.00223077719449183,-0.00815855637912824,97.7854808389953,0.00587509542722634,"woba_over_xwoba"
"venue_16__base__R","venue_16__base","R",4244,"16","Turner Field","ATL",-0.00854719138610624,0.00543510619836917,-0.000600736271759354,0.0022302861601275,-0.00914792765786559,97.5169306749348,0.00587490899875115,"woba_over_xwoba"
