"park_era_half_id","park_era_id","half","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","half_effect","half_se","delta_overall","delta_half","pf_index_overall","pf_index_half","component"
"venue_19__base__1H","venue_19__base","1H",24043,"19","Coors Field","COL",0.0268101248337871,0.00215134820066747,0.00177472091050051,0.0014940162769967,0.0268101248337871,0.0285848457442876,866.286565986413,917.011611114807,"bacon_resid"
"venue_19__base__2H","venue_19__base","2H",22394,"19","Coors Field","COL",0.0268101248337871,0.00215134820066747,-0.000688170140574245,0.00149492551512093,0.0268101248337871,0.0261219546932129,866.286565986413,846.617297860871,"bacon_resid"
"venue_2529__sutter_health__1H","venue_2529__sutter_health","1H",4303,"2529","Sutter Health Park","ATH",0.0157393185530426,0.00427028443928541,0.000702193059169192,0.00160518440637436,0.0157393185530426,0.0164415116122118,549.860955133554,569.931026097645,"bacon_resid"
"venue_2529__sutter_health__2H","venue_2529__sutter_health","2H",1985,"2529","Sutter Health Park","ATH",0.0157393185530426,0.00427028443928541,-6.43158095084381e-05,0.00161401518996671,0.0157393185530426,0.0156750027435342,549.860955133554,548.022681678566,"bacon_resid"
"venue_3__base__2H","venue_3__base","2H",21441,"3","Fenway Park","BOS",0.0136317821742624,0.00217322222514554,0.00130778134346533,0.00149852192898082,0.0136317821742624,0.0149395635177277,489.623383529572,527.002369302969,"bacon_resid"
"venue_5340__base__1H","venue_5340__base","1H",326,"5340","Estadio Alfredo Harp Helu","AZ",0.0132081859730411,0.00754183557509381,0.00053529644965859,0.00163317171266285,0.0132081859730411,0.0137434824226997,477.51616357401,492.815998272156,"bacon_resid"
"venue_5355__sutter_health__1H","venue_5355__sutter_health","1H",342,"5355","Las Vegas Ballpark","ATH",0.0128788252458481,0.00752214703088241,0.000521948240579521,0.00163302256592034,0.0128788252458481,0.0134007734864276,468.10238045378,483.020696850139,"bacon_resid"
"venue_3__base__1H","venue_3__base","1H",23366,"3","Fenway Park","BOS",0.0136317821742624,0.00217322222514554,-0.000755317544479102,0.00149742779815161,0.0136317821742624,0.0128764646297833,489.623383529572,468.034909362574,"bacon_resid"
"venue_2602__base__2H","venue_2602__base","2H",20178,"2602","Great American Ball Park","CIN",0.00754055815223352,0.00220582655555616,0.00105730142770124,0.0015039743823613,0.00754055815223352,0.00859785957993476,315.524114412699,345.743887176482,"bacon_resid"
"venue_2602__base__1H","venue_2602__base","1H",22143,"2602","Great American Ball Park","CIN",0.00754055815223352,0.00220582655555616,-0.00075170049085956,0.001502792942775,0.00754055815223352,0.00678885766137396,315.524114412699,294.03902281532,"bacon_resid"
