"park_era_hand_id","park_era_id","hand","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","hand_effect","hand_se","delta_hand","pf_index_hand","hand_se_combined","component"
"venue_10__base__L","venue_10__base","L",14507,"10","Oakland Coliseum","ATH",-0.0115510932618809,0.00232636391733248,-0.000195956028512843,0.000646314714144125,-0.0117470492903937,-237.510530736876,0.00241447546800247,"bacon_resid"
"venue_10__base__R","venue_10__base","R",23114,"10","Oakland Coliseum","ATH",-0.0115510932618809,0.00232636391733248,0.000119414981899631,0.000645876868872153,-0.0114316782799813,-228.449443610054,0.00241435830100062,"bacon_resid"
"venue_12__base__L","venue_12__base","L",14082,"12","Tropicana Field","TBR",-0.00143195469415119,0.00236052519833052,-5.14391048765461e-05,0.000646671276638979,-0.00148339379902774,57.3798478217791,0.00244750136914839,"bacon_resid"
"venue_12__base__R","venue_12__base","R",21554,"12","Tropicana Field","TBR",-0.00143195469415119,0.00236052519833052,4.19505388588937e-05,0.000646272063676803,-0.0013900041552923,60.0630738339703,0.00244739592061489,"bacon_resid"
"venue_12__trop_return__L","venue_12__trop_return","L",1445,"12","Tropicana Field","TBR",-0.000477483604513693,0.00538650044792834,-1.94344009058806e-05,0.000654205311431214,-0.000496918005419574,85.7227925416963,0.00542608253393155,"bacon_resid"
"venue_12__trop_return__R","venue_12__trop_return","R",1464,"12","Tropicana Field","TBR",-0.000477483604513693,0.00538650044792834,1.62704497541559e-05,0.000654199082066134,-0.000461213154759537,86.7486470178501,0.00542608178288057,"bacon_resid"
"venue_13__base__L","venue_13__base","L",9273,"13","Globe Life Park in Arlington","TEX",0.00665588014624682,0.00282471169079885,-2.60354546331155e-05,0.000649801635640278,0.0066298446916137,290.485486631903,0.0028984889687243,"bacon_resid"
"venue_13__base__R","venue_13__base","R",12555,"13","Globe Life Park in Arlington","TEX",0.00665588014624682,0.00282471169079885,7.01393347567925e-05,0.000649524002955854,0.00672601948100361,293.248734100103,0.00289842673989726,"bacon_resid"
"venue_14__base__L","venue_14__base","L",9346,"14","Rogers Centre","TOR",-0.00796944818495768,0.0026057659196591,-1.62787364678672e-05,0.000649063050990899,-0.00798572692142555,-129.442038161377,0.00268538616817367,"bacon_resid"
"venue_14__base__R","venue_14__base","R",17701,"14","Rogers Centre","TOR",-0.00796944818495768,0.0026057659196591,-3.6529243796315e-05,0.00064847637509026,-0.008005977428754,-130.023865929965,0.00268524442781417,"bacon_resid"
"venue_14__of_renovation__L","venue_14__of_renovation","L",5962,"14","Rogers Centre","TOR",0.000936635384684069,0.00313696233535889,1.47301332902259e-05,0.000651255015166777,0.000951365517974295,127.334173285443,0.00320385171133749,"bacon_resid"
"venue_14__of_renovation__R","venue_14__of_renovation","R",9372,"14","Rogers Centre","TOR",0.000936635384684069,0.00313696233535889,-8.52370321376437e-06,0.000650860966512686,0.000928111681470305,126.666055317594,0.00320377163530582,"bacon_resid"
"venue_15__base__L","venue_15__base","L",4697,"15","Chase Field","AZ",0.00612429835770263,0.00341934237442868,4.01374647053788e-05,0.000652124519705987,0.00616443582240801,277.113584414406,0.00348097237316893,"bacon_resid"
"venue_15__base__R","venue_15__base","R",8029,"15","Chase Field","AZ",0.00612429835770263,0.00341934237442868,4.43993294921676e-07,0.0006516647543404,0.00612474235099755,275.973130818669,0.00348088627013482,"bacon_resid"
