"park_era_half_id","park_era_id","half","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","half_effect","half_se","delta_overall","delta_half","pf_index_overall","pf_index_half","component"
"venue_5355__sutter_health__1H","venue_5355__sutter_health","1H",342,"5355","Las Vegas Ballpark","ATH",18.6383919115967,2.25551978928066,0.686183030820878,0.961956991572966,18.6383919115967,19.3245749424176,106.535777294683,106.776395664235,"distance_air"
"venue_5340__base__1H","venue_5340__base","1H",326,"5340","Estadio Alfredo Harp Helu","AZ",17.588270364061,2.32615427005238,0.647522206987766,0.962184955908725,17.588270364061,18.2357925710488,106.167539487495,106.394600972107,"distance_air"
"venue_19__base__2H","venue_19__base","2H",22394,"19","Coors Field","COL",12.7956064088553,0.780785528029087,0.793433394266361,0.709166472964794,12.7956064088553,13.5890398031217,104.486933971308,104.765160976496,"distance_air"
"venue_19__base__1H","venue_19__base","1H",24043,"19","Coors Field","COL",12.7956064088553,0.780785528029087,-0.322355848516797,0.709077646902213,12.7956064088553,12.4732505603385,104.486933971308,104.373895998636,"distance_air"
"venue_15__base__1H","venue_15__base","1H",6341,"15","Chase Field","AZ",3.18214889531441,0.882451175678722,2.00600125030553,0.763282105109873,3.18214889531441,5.18815014561994,101.115858953763,101.819287526734,"distance_air"
"venue_2529__sutter_health__2H","venue_2529__sutter_health","2H",1985,"2529","Sutter Health Park","ATH",4.50296828955394,0.972224121224117,0.510501598630444,0.813360970719543,4.50296828955394,5.01346988818439,101.579020231205,101.758033784148,"distance_air"
"venue_7__walls_in__1H","venue_7__walls_in","1H",2230,"7","Kauffman Stadium","KCR",4.25707081901332,1.39139510380943,0.156726490728886,0.959734288297086,4.25707081901332,4.4137973097422,101.492793312467,101.547751349857,"distance_air"
"venue_15__humidor__2H","venue_15__humidor","2H",14717,"15","Chase Field","AZ",4.09418247598636,0.794518395701687,0.267456281725205,0.719095322598291,4.09418247598636,4.36163875771157,101.435674547126,101.529461323459,"distance_air"
"venue_2529__sutter_health__1H","venue_2529__sutter_health","1H",4303,"2529","Sutter Health Park","ATH",4.50296828955394,0.972224121224117,-0.344722252284005,0.809943400422578,4.50296828955394,4.15824603726994,101.579020231205,101.458139208844,"distance_air"
"venue_15__humidor__1H","venue_15__humidor","1H",17179,"15","Chase Field","AZ",4.09418247598636,0.794518395701687,-0.116726620715925,0.718901905777346,4.09418247598636,3.97745585527044,101.435674547126,101.394742947395,"distance_air"
"venue_13__base__1H","venue_13__base","1H",10645,"13","Globe Life Park in Arlington","TEX",2.79597628358524,0.824505671055621,0.594849596071088,0.734162087579957,2.79597628358524,3.39082587965633,100.980442862099,101.189034059354,"distance_air"
"venue_3949__base__1H","venue_3949__base","1H",32,"3949","Rickwood Field","STL",3.11753556211007,4.13691441148684,0.114773850171519,0.970392737730852,3.11753556211007,3.23230941228158,101.093201507879,101.133448345028,"distance_air"
"venue_2536__base__2H","venue_2536__base","2H",46,"2536","TD Ballpark","TOR",2.48097927143197,4.09757636718548,0.0913386671955845,0.970166489246157,2.48097927143197,2.57231793862756,100.869985354301,100.902014361417,"distance_air"
"venue_6130__base__2H","venue_6130__base","2H",44,"6130","Bristol Motor Speedway","CIN",2.36515610951861,3.74012401457535,0.0870745714163982,0.968207498823926,2.36515610951861,2.45223068093501,100.829370563313,100.85990431373,"distance_air"
"venue_12__trop_return__1H","venue_12__trop_return","1H",2241,"12","Tropicana Field","TBR",2.28038268827885,1.4082844840666,0.0839535895623888,0.95976767676971,2.28038268827885,2.36433627784123,100.799643739006,100.829083079431,"distance_air"
"venue_13__base__2H","venue_13__base","2H",11183,"13","Globe Life Park in Arlington","TEX",2.79597628358524,0.824505671055621,-0.491914134625449,0.734080471605478,2.79597628358524,2.30406214895979,100.980442862099,100.807947227966,"distance_air"
"venue_5325__globe_life__2H","venue_5325__globe_life","2H",10298,"5325","Globe Life Field","TEX",1.83855106899806,0.812319482542794,0.139449068445237,0.729534677419709,1.83855106899806,1.9780001374433,100.644710143926,100.693609644464,"distance_air"
"venue_12__base__1H","venue_12__base","1H",18527,"12","Tropicana Field","TBR",1.05787279025703,0.79083287045666,0.836832973991824,0.716241152900375,1.05787279025703,1.89470576424886,100.370955874091,100.664401466222,"distance_air"
"venue_7__base__2H","venue_7__base","2H",22105,"7","Kauffman Stadium","KCR",1.64267513039112,0.782922823996425,0.170965363170856,0.710292431648675,1.64267513039112,1.81364049356198,100.576023879671,100.635974949704,"distance_air"
"venue_5325__globe_life__1H","venue_5325__globe_life","1H",12108,"5325","Globe Life Field","TEX",1.83855106899806,0.812319482542794,-0.0717617635578191,0.729249704443246,1.83855106899806,1.76678930544024,100.644710143926,100.619546014579,"distance_air"
"venue_4169__base__1H","venue_4169__base","1H",2138,"4169","Marlins Park","MIA",-0.263555925162309,1.10506760537154,1.94252369604772,0.839968286290229,-0.263555925162309,1.67896777088541,99.9075809308161,100.588750332513,"distance_air"
"venue_7__base__1H","venue_7__base","1H",21240,"7","Kauffman Stadium","KCR",1.64267513039112,0.782922823996425,-0.110489344309929,0.710338828752846,1.64267513039112,1.5321857860812,100.576023879671,100.537279456264,"distance_air"
"venue_16__base__1H","venue_16__base","1H",4131,"16","Turner Field","ATL",-0.0492635024979882,0.937266233850936,1.56871698778755,0.787213645671611,-0.0492635024979882,1.51945348528956,99.9827251576955,100.532814721173,"distance_air"
