"park_era_hand_id","park_era_id","hand","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","hand_effect","hand_se","delta_hand","pf_index_hand","hand_se_combined","component"
"venue_10__base__L","venue_10__base","L",14507,"10","Oakland Coliseum","ATH",-2.9708388289962,0.78122300628234,0.253878868966354,0.25723718807516,-2.71695996002985,99.0472460351878,0.822484259103864,"distance_air"
"venue_10__base__R","venue_10__base","R",23114,"10","Oakland Coliseum","ATH",-2.9708388289962,0.78122300628234,-0.263622525071012,0.25717322588823,-3.23446135406721,98.8657742754937,0.822464256766563,"distance_air"
"venue_12__base__L","venue_12__base","L",14082,"12","Tropicana Field","TBR",1.07530939712957,0.783506708066931,-0.14022871314339,0.258433510710988,0.935080683986178,100.327903922838,0.825027660775253,"distance_air"
"venue_12__base__R","venue_12__base","R",21554,"12","Tropicana Field","TBR",1.07530939712957,0.783506708066931,0.143755476629255,0.258374560572005,1.21906487375882,100.427488409444,0.825009197001255,"distance_air"
"venue_12__trop_return__L","venue_12__trop_return","L",1445,"12","Tropicana Field","TBR",1.61946590999387,1.19968478452663,-0.0606855489241699,0.285921175328937,1.5587803610697,100.546616141249,1.23328605794689,"distance_air"
"venue_12__trop_return__R","venue_12__trop_return","R",1464,"12","Tropicana Field","TBR",1.61946590999387,1.19968478452663,0.0659970182669787,0.28593624881434,1.68546292826085,100.591039805911,1.23328955262368,"distance_air"
"venue_13__base__L","venue_13__base","L",9273,"13","Globe Life Park in Arlington","TEX",2.81340386893595,0.817280266211838,0.150115768485157,0.268229160625793,2.9635196374211,101.039214830505,0.860170864508506,"distance_air"
"venue_13__base__R","venue_13__base","R",12555,"13","Globe Life Park in Arlington","TEX",2.81340386893595,0.817280266211838,-0.140888461906855,0.268168105621802,2.67251540702909,100.937168632415,0.860151827535162,"distance_air"
"venue_14__base__L","venue_14__base","L",9346,"14","Rogers Centre","TOR",-0.549141533388216,0.801132571400212,-0.0493952915395012,0.264773574430533,-0.598536824927717,99.7901116168713,0.843752595655288,"distance_air"
"venue_14__base__R","venue_14__base","R",17701,"14","Rogers Centre","TOR",-0.549141533388216,0.801132571400212,0.0475942357776026,0.264675779255024,-0.501547297610613,99.8241228492988,0.843721912174011,"distance_air"
"venue_14__of_renovation__L","venue_14__of_renovation","L",5962,"14","Rogers Centre","TOR",-2.79754207191539,0.837016214821418,0.218841025821669,0.272041676583895,-2.57870104609372,99.0957291672034,0.880115229769688,"distance_air"
"venue_14__of_renovation__R","venue_14__of_renovation","R",9372,"14","Rogers Centre","TOR",-2.79754207191539,0.837016214821418,-0.228016309389486,0.271970410776727,-3.02555838130487,98.9390300976216,0.880093204275567,"distance_air"
"venue_15__base__L","venue_15__base","L",4697,"15","Chase Field","AZ",3.31955929262385,0.875251623758833,-0.094825819078513,0.276874570848527,3.22473347354533,101.130814457181,0.918000508101728,"distance_air"
"venue_15__base__R","venue_15__base","R",8029,"15","Chase Field","AZ",3.31955929262385,0.875251623758833,0.105713197034274,0.27677045064987,3.42527248965812,101.20113729797,0.917969110180406,"distance_air"
"venue_15__humidor__L","venue_15__humidor","L",15197,"15","Chase Field","AZ",4.06064774992087,0.786263947416581,0.0415282841176927,0.258453755373149,4.10217603403857,101.438506469836,0.827652909542151,"distance_air"
"venue_15__humidor__R","venue_15__humidor","R",17268,"15","Chase Field","AZ",4.06064774992087,0.786263947416581,-0.0282103092585798,0.25842670047772,4.03243744066229,101.414051298498,0.827644461424654,"distance_air"
"venue_16__base__L","venue_16__base","L",4147,"16","Turner Field","ATL",-0.038473460508696,0.930432215931139,-0.204466149201876,0.279797626545227,-0.242939609710572,99.9148085802637,0.971591900060345,"distance_air"
"venue_16__base__R","venue_16__base","R",4244,"16","Turner Field","ATL",-0.038473460508696,0.930432215931139,0.204339965260153,0.279807659145318,0.165866504751457,100.058164261659,0.971594789281475,"distance_air"
"venue_17__base__L","venue_17__base","L",17473,"17","Wrigley Field","CHC",-3.18894339076607,0.775104902347572,0.0602270132481481,0.254458498752595,-3.12871637751792,98.9028557736197,0.815804349847844,"distance_air"
"venue_17__base__R","venue_17__base","R",25447,"17","Wrigley Field","CHC",-3.18894339076607,0.775104902347572,-0.070686001138575,0.254410003994369,-3.25962939190464,98.8569486217524,0.815789225091662,"distance_air"
"venue_19__base__L","venue_19__base","L",19312,"19","Coors Field","COL",12.8446151065827,0.772878569256748,-0.132115557392929,0.252973132181112,12.7124995491898,104.457881060577,0.813226099201127,"distance_air"
"venue_19__base__R","venue_19__base","R",27789,"19","Coors Field","COL",12.8446151065827,0.772878569256748,0.17424289076914,0.252922898326308,13.0188579973519,104.565311508738,0.813210474178818,"distance_air"
"venue_1__base__L","venue_1__base","L",15965,"1","Angel Stadium","LAA",-0.289785588738058,0.774606595094234,-0.09561275980526,0.254441723010543,-0.385398348543318,99.8648526993373,0.815325681903898,"distance_air"
"venue_1__base__R","venue_1__base","R",27630,"1","Angel Stadium","LAA",-0.289785588738058,0.774606595094234,0.0946623313765722,0.254367771425533,-0.195123257361485,99.9315762985789,0.815302606584497,"distance_air"
"venue_22__base__L","venue_22__base","L",18210,"22","Dodger Stadium","LAD",-1.88426266900954,0.774441491456953,-0.0775275239833007,0.254507941624371,-1.96179019299284,99.3120607546667,0.815189497012776,"distance_air"
"venue_22__base__R","venue_22__base","R",23980,"22","Dodger Stadium","LAD",-1.88426266900954,0.774441491456953,0.0713475836914122,0.254466302484762,-1.81291508531813,99.364266658024,0.815176497937922,"distance_air"
"venue_2392__base__L","venue_2392__base","L",15393,"2392","Minute Maid Park","HOU",-0.595511896472348,0.775498673572742,-0.0845155616175946,0.255467513093921,-0.680027458089942,99.7615353680555,0.816493627017061,"distance_air"
"venue_2392__base__R","venue_2392__base","R",27485,"2392","Minute Maid Park","HOU",-0.595511896472348,0.775498673572742,0.0825624223586904,0.255398566474161,-0.512949474113657,99.8201244580709,0.816472057372534,"distance_air"
"venue_2394__base__L","venue_2394__base","L",10779,"2394","Comerica Park","DET",-2.94237692061907,0.793999449224448,-0.0549117034976235,0.261709868338939,-2.9972886241167,98.9489434285655,0.836018648449131,"distance_air"
