"park_era_id","venue_id","venue_name","home_team","component","delta_overall","pf_index_overall","park_se","n_bbe"
"venue_5355__sutter_health","5355","Las Vegas Ballpark","ATH","distance_air",18.6383919115967,106.535777294683,2.25551978928066,342
"venue_5340__base","5340","Estadio Alfredo Harp Helu","AZ","distance_air",17.588270364061,106.167539487495,2.32615427005238,326
"venue_19__base","19","Coors Field","COL","distance_air",12.7956064088553,104.486933971308,0.780785528029087,46437
"venue_2529__sutter_health","2529","Sutter Health Park","ATH","distance_air",4.50296828955394,101.579020231205,0.972224121224117,6288
"venue_7__walls_in","7","Kauffman Stadium","KCR","distance_air",4.25707081901332,101.492793312467,1.39139510380943,2230
"venue_15__humidor","15","Chase Field","AZ","distance_air",4.09418247598636,101.435674547126,0.794518395701687,31896
"venue_15__base","15","Chase Field","AZ","distance_air",3.18214889531441,101.115858953763,0.882451175678722,12726
"venue_3949__base","3949","Rickwood Field","STL","distance_air",3.11753556211007,101.093201507879,4.13691441148684,32
"venue_13__base","13","Globe Life Park in Arlington","TEX","distance_air",2.79597628358524,100.980442862099,0.824505671055621,21828
"venue_2536__base","2536","TD Ballpark","TOR","distance_air",2.48097927143197,100.869985354301,4.09757636718548,46
"venue_6130__base","6130","Bristol Motor Speedway","CIN","distance_air",2.36515610951861,100.829370563313,3.74012401457535,44
"venue_12__trop_return","12","Tropicana Field","TBR","distance_air",2.28038268827885,100.799643739006,1.4082844840666,2241
"venue_5325__globe_life","5325","Globe Life Field","TEX","distance_air",1.83855106899806,100.644710143926,0.812319482542794,22406
"venue_7__base","7","Kauffman Stadium","KCR","distance_air",1.64267513039112,100.576023879671,0.782922823996425,43345
"venue_32__base","32","American Family Field","MIL","distance_air",1.26703939884089,100.444302672338,0.783752375739023,41791
"venue_12__base","12","Tropicana Field","TBR","distance_air",1.05787279025703,100.370955874091,0.79083287045666,35636
"venue_2536__dunedin","2536","TD Ballpark","TOR","distance_air",1.0378149168802,100.363922338472,1.58153202795619,1086
"venue_2__wall_medium","2","Oriole Park at Camden Yards","BAL","distance_air",0.755906012472546,100.265067575393,0.975464224769669,6503
"venue_4169__cf_in_407","4169","Marlins Park","MIA","distance_air",0.737748575632194,100.258700450805,0.847973347345224,16425
