"park_era_half_id","park_era_id","half","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","half_effect","half_se","delta_overall","delta_half","pf_index_overall","pf_index_half","component"
"venue_3__base__1H","venue_3__base","1H",23366,"3","Fenway Park","BOS",0.011547498682894,0.00196240653912216,0,0,0.011547498682894,0.011547498682894,351.623465043738,351.623465043738,"double_resid"
"venue_3__base__2H","venue_3__base","2H",21441,"3","Fenway Park","BOS",0.011547498682894,0.00196240653912216,0,0,0.011547498682894,0.011547498682894,351.623465043738,351.623465043738,"double_resid"
"venue_15__base__1H","venue_15__base","1H",6341,"15","Chase Field","AZ",0.010589175186281,0.00251703581755235,0,0,0.010589175186281,0.010589175186281,330.741308182547,330.741308182547,"double_resid"
"venue_15__base__2H","venue_15__base","2H",6385,"15","Chase Field","AZ",0.010589175186281,0.00251703581755235,0,0,0.010589175186281,0.010589175186281,330.741308182547,330.741308182547,"double_resid"
"venue_19__base__1H","venue_19__base","1H",24043,"19","Coors Field","COL",0.0090290452319648,0.00195741717146731,0,0,0.0090290452319648,0.0090290452319648,296.745607831863,296.745607831863,"double_resid"
"venue_19__base__2H","venue_19__base","2H",22394,"19","Coors Field","COL",0.0090290452319648,0.00195741717146731,0,0,0.0090290452319648,0.0090290452319648,296.745607831863,296.745607831863,"double_resid"
"venue_7__walls_in__1H","venue_7__walls_in","1H",2230,"7","Kauffman Stadium","KCR",0.00635272204308651,0.00366389697915413,0,0,0.00635272204308651,0.00635272204308651,238.42772160772,238.42772160772,"double_resid"
"venue_2529__sutter_health__1H","venue_2529__sutter_health","1H",4303,"2529","Sutter Health Park","ATH",0.00628660633041507,0.00292605089102841,0,0,0.00628660633041507,0.00628660633041507,236.987040368165,236.987040368165,"double_resid"
"venue_2529__sutter_health__2H","venue_2529__sutter_health","2H",1985,"2529","Sutter Health Park","ATH",0.00628660633041507,0.00292605089102841,0,0,0.00628660633041507,0.00628660633041507,236.987040368165,236.987040368165,"double_resid"
"venue_5__base__1H","venue_5__base","1H",15446,"5","Progressive Field","CLE",0.00519683791820741,0.00205360695143646,0,0,0.00519683791820741,0.00519683791820741,213.240659311538,213.240659311538,"double_resid"
"venue_5__base__2H","venue_5__base","2H",17381,"5","Progressive Field","CLE",0.00519683791820741,0.00205360695143646,0,0,0.00519683791820741,0.00519683791820741,213.240659311538,213.240659311538,"double_resid"
"venue_31__base__1H","venue_31__base","1H",23161,"31","PNC Park","PIT",0.003906587872599,0.00196625478279568,0,0,0.003906587872599,0.003906587872599,185.125723240598,185.125723240598,"double_resid"
"venue_31__base__2H","venue_31__base","2H",20908,"31","PNC Park","PIT",0.003906587872599,0.00196625478279568,0,0,0.003906587872599,0.003906587872599,185.125723240598,185.125723240598,"double_resid"
"venue_5381__base__1H","venue_5381__base","1H",346,"5381","London Stadium","BOS",0.0037613319473739,0.00458798633679625,0,0,0.0037613319473739,0.0037613319473739,181.960552996637,181.960552996637,"double_resid"
"venue_15__humidor__1H","venue_15__humidor","1H",17179,"15","Chase Field","AZ",0.00352198850751189,0.00205762772722849,0,0,0.00352198850751189,0.00352198850751189,176.745187545868,176.745187545868,"double_resid"
"venue_15__humidor__2H","venue_15__humidor","2H",14717,"15","Chase Field","AZ",0.00352198850751189,0.00205762772722849,0,0,0.00352198850751189,0.00352198850751189,176.745187545868,176.745187545868,"double_resid"
"venue_5355__sutter_health__1H","venue_5355__sutter_health","1H",342,"5355","Las Vegas Ballpark","ATH",0.00343284689030791,0.00459230021697653,0,0,0.00343284689030791,0.00343284689030791,174.802764929817,174.802764929817,"double_resid"
"venue_14__base__1H","venue_14__base","1H",12420,"14","Rogers Centre","TOR",0.003242238122047,0.00214541098887123,0,0,0.003242238122047,0.003242238122047,170.649342612604,170.649342612604,"double_resid"
