"park_era_id","venue_id","venue_name","home_team","component","delta_overall","pf_index_overall","park_se","n_bbe"
"venue_3__base","3","Fenway Park","BOS","double_resid",0.011547498682894,351.623465043738,0.00196240653912216,44807
"venue_15__base","15","Chase Field","AZ","double_resid",0.010589175186281,330.741308182547,0.00251703581755235,12726
"venue_19__base","19","Coors Field","COL","double_resid",0.0090290452319648,296.745607831863,0.00195741717146731,46437
"venue_7__walls_in","7","Kauffman Stadium","KCR","double_resid",0.00635272204308651,238.42772160772,0.00366389697915413,2230
"venue_2529__sutter_health","2529","Sutter Health Park","ATH","double_resid",0.00628660633041507,236.987040368165,0.00292605089102841,6288
"venue_5__base","5","Progressive Field","CLE","double_resid",0.00519683791820741,213.240659311538,0.00205360695143646,32827
"venue_31__base","31","PNC Park","PIT","double_resid",0.003906587872599,185.125723240598,0.00196625478279568,44069
"venue_5381__base","5381","London Stadium","BOS","double_resid",0.0037613319473739,181.960552996637,0.00458798633679625,346
"venue_15__humidor","15","Chase Field","AZ","double_resid",0.00352198850751189,176.745187545868,0.00205762772722849,31896
"venue_5355__sutter_health","5355","Las Vegas Ballpark","ATH","double_resid",0.00343284689030791,174.802764929817,0.00459230021697653,342
"venue_14__base","14","Rogers Centre","TOR","double_resid",0.003242238122047,170.649342612604,0.00214541098887123,27047
"venue_7__base","7","Kauffman Stadium","KCR","double_resid",0.0029967709667897,165.300539563873,0.00197637270029861,43345
"venue_3312__base","3312","Target Field","MIN","double_resid",0.00270992601295497,159.050101854699,0.00196135768207235,44582
"venue_12__trop_return","12","Tropicana Field","TBR","double_resid",0.00268084301003118,158.41637448477,0.00366378667681202,2241
"venue_2536__dunedin","2536","TD Ballpark","TOR","double_resid",0.00215530717031023,146.964790671979,0.0040905010835065,1086
"venue_13__base","13","Globe Life Park in Arlington","TEX","double_resid",0.00184695192152868,140.245637174454,0.00223153120871911,21828
"venue_14__of_renovation","14","Rogers Centre","TOR","double_resid",0.00161912315609035,135.28117993826,0.00238777229405501,14883
"venue_2397__base","2397","Tokyo Dome","CHC","double_resid",0.00112046904240646,124.415357010796,0.00484095839823009,88
"venue_5340__base","5340","Estadio Alfredo Harp Helu","AZ","double_resid",0.00110122598992401,123.996045116799,0.00460001345709557,326
"venue_3949__base","3949","Rickwood Field","STL","double_resid",0.000972553389695266,121.19223050596,0.00490470211621388,32
"venue_2756__buffalo","2756","Sahlen Field","TOR","double_resid",0.000550024981343733,111.985209565024,0.00403372703868152,1197
"venue_4169__fence_reduced","4169","loanDepot park","MIA","double_resid",0.000434792089386133,109.474250234556,0.00218310799510439,22908
"venue_5__wind_tunnel","5","Progressive Field","CLE","double_resid",0.000381297963966036,108.308597172597,0.00260765542851455,9991
"venue_2756__base","2756","Sahlen Field","TOR","double_resid",0.000267253175590221,105.823526976069,0.00489423502316422,41
"venue_2395__bullpen_center","2395","Oracle Park","SFG","double_resid",0.000220548598090083,104.805820202792,0.00218354279015239,22579
"venue_2__wall_medium","2","Oriole Park at Camden Yards","BAL","double_resid",4.63693163563647e-05,101.010401332245,0.00289383867267875,6503
"venue_2735__base","2735","Journey Bank Ballpark","NYM","double_resid",2.97254933600051e-05,100.647727429531,0.00468721146189097,235
"venue_2602__base","2602","Great American Ball Park","CIN","double_resid",9.40645647144933e-06,100.20496951211,0.00197717038464124,42321
"venue_2536__base","2536","TD Ballpark","TOR","double_resid",-3.03402634038644e-05,99.3388765465434,0.00488852101072763,46
"venue_22__base","22","Dodger Stadium","LAD","double_resid",-0.000156163378358303,96.5971530757859,0.00197770198494853,41473
"venue_10__base","10","Oakland Coliseum","ATH","double_resid",-0.000204928270412866,95.5345514294718,0.00201977186185038,37621
"venue_5365__base","5365","TD Ameritrade Park","KCR","double_resid",-0.000299292711165718,93.4783219194117,0.0048933045914382,44
"venue_2395__base","2395","AT&T Park","SFG","double_resid",-0.000446174450928322,90.2777246883015,0.00223940954286662,20983
"venue_2392__base","2392","Minute Maid Park","HOU","double_resid",-0.000897728664225269,80.4382227385683,0.00198446285124026,42346
"venue_5150__base","5150","Gocheok Sky Dome","LAD","double_resid",-0.00100913100585489,78.0107322504026,0.00480294495822051,123
"venue_4705__suntrust","4705","Truist Park","ATL","double_resid",-0.0011270778342985,75.4406354286671,0.00203466957807953,34481
"venue_32__base","32","American Family Field","MIL","double_resid",-0.0011563546315897,74.8026852212592,0.00197810630464053,41791
"venue_16__base","16","Turner Field","ATL","double_resid",-0.00129985303018959,71.6758120104035,0.00276298610990684,8391
"venue_12__base","12","Tropicana Field","TBR","double_resid",-0.00131992778382887,71.2383770983651,0.00202990966162658,35636
"venue_6130__base","6130","Bristol Motor Speedway","CIN","double_resid",-0.00138974630065271,69.7170106440479,0.00489071748236801,44
"venue_3309__base","3309","Nationals Park","WSH","double_resid",-0.00149560831626223,67.410245524114,0.00196277438022375,44124
"venue_2681__base","2681","Citizens Bank Park","PHI","double_resid",-0.00244943350573143,46.6261081268288,0.00196951546997472,43012
"venue_2889__base","2889","Busch Stadium","STL","double_resid",-0.00248901239380671,45.7636722665993,0.00196899375382312,44130
"venue_5325__globe_life","5325","Globe Life Field","TEX","double_resid",-0.00273404351564695,40.4243705170066,0.00218714543619749,22406
"venue_2680__base","2680","Petco Park","SDP","double_resid",-0.0027447331726401,40.1914396800686,0.00197768108259869,41941
"venue_4169__base","4169","Marlins Park","MIA","double_resid",-0.00293583283450008,36.027320643872,0.00327112692434895,4273
"venue_2394__base","2394","Comerica Park","DET","double_resid",-0.00307791135125736,32.9313870848839,0.00210619938703932,30105
"venue_17__base","17","Wrigley Field","CHC","double_resid",-0.00327440496106758,28.6497323025681,0.0019764930688777,42356
"venue_2__base","2","Oriole Park at Camden Yards","BAL","double_resid",-0.00346484235929487,24.5000441898647,0.00216803160041519,25711
"venue_4169__cf_in_407","4169","Marlins Park","MIA","double_resid",-0.00395598288886247,13.7979445172934,0.00236596352915263,16425
"venue_2394__cf_in_412","2394","Comerica Park","DET","double_resid",-0.00458566859050257,0.076903927793992,0.00239733472123268,14410
"venue_2__wall_deep","2","Oriole Park at Camden Yards","BAL","double_resid",-0.0048341700417425,-5.3380173418673,0.00248387533455877,12551
"venue_3289__rf_in_362","3289","Citi Field","NYM","double_resid",-0.0050089170559303,-9.14580727312901,0.00240210213363737,14111
"venue_680__base","680","T-Mobile Park","SEA","double_resid",-0.00535414644464343,-16.6684593563555,0.00197470436035605,42045
"venue_3289__base","3289","Citi Field","NYM","double_resid",-0.00542009510866864,-18.1055005557289,0.00210990284644278,27912
"venue_1__base","1","Angel Stadium","LAA","double_resid",-0.00548176273398212,-19.4492566355962,0.00197956294925201,42985
"venue_4__base","4","Guaranteed Rate Field","CHW","double_resid",-0.00551752194708731,-20.2284606308384,0.00197506095215485,43008
"venue_2523__steinbrenner","2523","George M. Steinbrenner Field","TBR","double_resid",-0.00583056119275903,-27.0496798276224,0.00326272032236523,4071
"venue_3313__base","3313","Yankee Stadium","NYY","double_resid",-0.0060181007322366,-31.1362227276841,0.00197796752999378,41895
