"park_era_half_id","park_era_id","half","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","half_effect","half_se","delta_overall","delta_half","pf_index_overall","pf_index_half","component"
"venue_5340__base__1H","venue_5340__base","1H",326,"5340","Estadio Alfredo Harp Helu","AZ",0.0171405497639869,0.00533002799257379,0.000304708114183405,0.000875371643182673,0.0171405497639869,0.0174452578781703,619.117153629903,628.345516261257,"hr_resid"
"venue_5355__sutter_health__1H","venue_5355__sutter_health","1H",342,"5355","Las Vegas Ballpark","ATH",0.0138283392956252,0.0053198883281299,0.000245826840275055,0.000875352150541499,0.0138283392956252,0.0140741661359002,518.803844300018,526.248933948049,"hr_resid"
"venue_2602__base__1H","venue_2602__base","1H",22143,"2602","Great American Ball Park","CIN",0.0101833606928903,0.00111299645257613,0.000530920782245237,0.000790438373001608,0.0101833606928903,0.0107142814751356,408.412349082685,424.491768300684,"hr_resid"
"venue_2602__base__2H","venue_2602__base","2H",20178,"2602","Great American Ball Park","CIN",0.0101833606928903,0.00111299645257613,-0.000349890845892418,0.000790715661191757,0.0101833606928903,0.00983346984699792,408.412349082685,397.815586289087,"hr_resid"
"venue_2536__dunedin__1H","venue_2536__dunedin","1H",1086,"2536","TD Ballpark","TOR",0.00942759707376339,0.00408324465776653,0.000167594701755898,0.000873250577204972,0.00942759707376339,0.00959519177551929,385.523359862367,390.599117976134,"hr_resid"
"venue_2__base__2H","venue_2__base","2H",12830,"2","Oriole Park at Camden Yards","BAL",0.00866090113006742,0.00134540715186262,0.00020199208512739,0.000816780238533732,0.00866090113006742,0.00886289321519481,362.303275240154,368.420789423241,"hr_resid"
"venue_2__base__1H","venue_2__base","1H",12881,"2","Oriole Park at Camden Yards","BAL",0.00866090113006742,0.00134540715186262,-4.80269622547923e-05,0.000816792676220383,0.00866090113006742,0.00861287416781263,362.303275240154,360.848734966563,"hr_resid"
"venue_2529__sutter_health__2H","venue_2529__sutter_health","2H",1985,"2529","Sutter Health Park","ATH",0.00741794726610952,0.00228789934630387,0.000118498664065616,0.000861995218816138,0.00741794726610952,0.00753644593017514,324.659285937851,328.248125855222,"hr_resid"
"venue_2529__sutter_health__1H","venue_2529__sutter_health","1H",4303,"2529","Sutter Health Park","ATH",0.00741794726610952,0.00228789934630387,1.33704272816704e-05,0.000859459315512027,0.00741794726610952,0.00743131769339119,324.659285937851,325.064221499945,"hr_resid"
"venue_2756__buffalo__2H","venue_2756__buffalo","2H",437,"2756","Sahlen Field","TOR",0.00717967458639265,0.00395834253722752,0.000208650649693138,0.000873876943699913,0.00717967458639265,0.00738832523608579,317.442980919311,323.762155791946,"hr_resid"
"venue_2756__buffalo__1H","venue_2756__buffalo","1H",760,"2756","Sahlen Field","TOR",0.00717967458639265,0.00395834253722752,-8.1017339572199e-05,0.000872549826214244,0.00717967458639265,0.00709865724682046,317.442980919311,314.989297035626,"hr_resid"
"venue_3313__base__1H","venue_3313__base","1H",22046,"3313","Yankee Stadium","NYY",0.00625830447946996,0.00112066153777031,0.000102608970621105,0.000790804912965388,0.00625830447946996,0.00636091345009106,289.538448454995,292.646054541099,"hr_resid"
"venue_3313__base__2H","venue_3313__base","2H",19849,"3313","Yankee Stadium","NYY",0.00625830447946996,0.00112066153777031,8.64511295410673e-06,0.000791097530360958,0.00625830447946996,0.00626694959242406,289.538448454995,289.800273570954,"hr_resid"
"venue_2681__base__2H","venue_2681__base","2H",20870,"2681","Citizens Bank Park","PHI",0.00504458017875889,0.00111201458030269,0.000867365737363392,0.000789775992438996,0.00504458017875889,0.00591194591612228,252.779703084974,279.048664053905,"hr_resid"
"venue_2392__base__1H","venue_2392__base","1H",22568,"2392","Minute Maid Park","HOU",0.00520541061410192,0.00112072885771685,0.000353983559012225,0.000790215553876394,0.00520541061410192,0.00555939417311414,257.650599232526,268.37131356879,"hr_resid"
"venue_22__base__2H","venue_22__base","2H",19633,"22","Dodger Stadium","LAD",0.00544929843832017,0.00112211616723312,8.11409650749697e-05,0.000791558246805674,0.00544929843832017,0.00553043940339514,265.036964014079,267.494392008658,"hr_resid"
"venue_22__base__1H","venue_22__base","1H",21840,"22","Dodger Stadium","LAD",0.00544929843832017,0.00112211616723312,1.57313916268444e-05,0.000791266463218555,0.00544929843832017,0.00546502982994701,265.036964014079,265.513403530688,"hr_resid"
"venue_32__base__1H","venue_32__base","1H",22526,"32","American Family Field","MIL",0.00486333408101284,0.00111970897004777,0.000512596738373965,0.0007913408588773,0.00486333408101284,0.0053759308193868,247.290500015995,262.814958883922,"hr_resid"
"venue_2__wall_medium__1H","venue_2__wall_medium","1H",4512,"2","Oriole Park at Camden Yards","BAL",0.00470204806759607,0.00225975650721575,0.000340838644697071,0.000859423267319478,0.00470204806759607,0.00504288671229314,242.405806271741,252.728414911399,"hr_resid"
"venue_2392__base__2H","venue_2392__base","2H",19778,"2392","Minute Maid Park","HOU",0.00520541061410192,0.00112072885771685,-0.000261446804144173,0.000790598940246325,0.00520541061410192,0.00494396380995775,257.650599232526,249.732444758968,"hr_resid"
"venue_2523__steinbrenner__2H","venue_2523__steinbrenner","2H",1499,"2523","George M. Steinbrenner Field","TBR",0.00450177426292937,0.00275466433876353,6.38241926903635e-05,0.000865793738824358,0.00450177426292937,0.00456559845561973,236.340331776655,238.273305555114,"hr_resid"
"venue_2523__steinbrenner__1H","venue_2523__steinbrenner","1H",2572,"2523","George M. Steinbrenner Field","TBR",0.00450177426292937,0.00275466433876353,1.6203995729688e-05,0.000864231024219634,0.00450177426292937,0.00451797825865905,236.340331776655,236.831084538758,"hr_resid"
"venue_2__wall_medium__2H","venue_2__wall_medium","2H",1991,"2","Oriole Park at Camden Yards","BAL",0.00470204806759607,0.00225975650721575,-0.000257250182296087,0.00086199130125193,0.00470204806759607,0.00444479788529998,242.405806271741,234.614750311278,"hr_resid"
"venue_32__base__2H","venue_32__base","2H",19265,"32","American Family Field","MIL",0.00486333408101284,0.00111970897004777,-0.000426141089231359,0.000791782710373255,0.00486333408101284,0.00443719299178148,247.290500015995,234.384429187899,"hr_resid"
"venue_2681__base__1H","venue_2681__base","1H",22142,"2681","Citizens Bank Park","PHI",0.00504458017875889,0.00111201458030269,-0.000777688070408268,0.000789605114179093,0.00504458017875889,0.00426689210835062,252.779703084974,229.226711898514,"hr_resid"
"venue_14__base__1H","venue_14__base","1H",12420,"14","Rogers Centre","TOR",0.00300438033980188,0.00131351363953989,0.000612479165458346,0.000814947982335486,0.00300438033980188,0.00361685950526023,190.990393650992,209.539882751883,"hr_resid"
"venue_12__trop_return__1H","venue_12__trop_return","1H",2241,"12","Tropicana Field","TBR",0.00355031294269108,0.00340185066261273,6.31140293878608e-05,0.000872327208875018,0.00355031294269108,0.00361342697207894,207.524459523316,209.435925359656,"hr_resid"
"venue_13__base__1H","venue_13__base","1H",10645,"13","Globe Life Park in Arlington","TEX",0.003168386439135,0.00143559652766917,0.000279234600266566,0.00082439369497969,0.003168386439135,0.00344762103940156,195.957467673474,204.414341745852,"hr_resid"
"venue_19__base__2H","venue_19__base","2H",22394,"19","Coors Field","COL",0.00309706746766271,0.00109054240019978,6.68129437135519e-05,0.000785221728155714,0.00309706746766271,0.00316388041137626,193.797507696677,195.820998520705,"hr_resid"
"venue_19__base__1H","venue_19__base","1H",24043,"19","Coors Field","COL",0.00309706746766271,0.00109054240019978,-1.17562739682061e-05,0.000785017184358294,0.00309706746766271,0.00308531119369451,193.797507696677,193.441458237138,"hr_resid"
"venue_13__base__2H","venue_13__base","2H",11183,"13","Globe Life Park in Arlington","TEX",0.003168386439135,0.00143559652766917,-0.00022291009083192,0.000824234492510376,0.003168386439135,0.00294547634830308,195.957467673474,189.206432644762,"hr_resid"
"venue_4__base__2H","venue_4__base","2H",20907,"4","Guaranteed Rate Field","CHW",0.00251114654117574,0.00111191466960733,0.000393864361040613,0.000790033674370539,0.00251114654117574,0.00290501090221636,176.052359040526,187.980899772005,"hr_resid"
"venue_1__base__2H","venue_1__base","2H",19937,"1","Angel Stadium","LAA",0.00250674861517403,0.0011096321922392,8.49385083367397e-05,0.000790353306826048,0.00250674861517403,0.00259168712351077,175.919163847879,178.491603897263,"hr_resid"
"venue_1__base__1H","venue_1__base","1H",23048,"1","Angel Stadium","LAA",0.00250674861517403,0.0011096321922392,-4.0375956154268e-05,0.000789951038471606,0.00250674861517403,0.00246637265901976,175.919163847879,174.696341259193,"hr_resid"
"venue_14__base__2H","venue_14__base","2H",14627,"14","Rogers Centre","TOR",0.00300438033980188,0.00131351363953989,-0.000559070197819545,0.000814378162862181,0.00300438033980188,0.00244531014198234,190.990393650992,174.058443756295,"hr_resid"
"venue_4__base__1H","venue_4__base","1H",22101,"4","Guaranteed Rate Field","CHW",0.00251114654117574,0.00111191466960733,-0.000349223626783774,0.00078984745777968,0.00251114654117574,0.00216192291439197,176.052359040526,165.475803585041,"hr_resid"
"venue_14__of_renovation__1H","venue_14__of_renovation","1H",8653,"14","Rogers Centre","TOR",0.00185494548312342,0.00162997816089351,0.000254112688835338,0.000837887537930921,0.00185494548312342,0.00210905817195876,156.178712619874,163.874746734638,"hr_resid"
"venue_14__of_renovation__2H","venue_14__of_renovation","2H",6230,"14","Rogers Centre","TOR",0.00185494548312342,0.00162997816089351,-0.000221137262267355,0.000838960102873247,0.00185494548312342,0.00163380822085607,156.178712619874,149.481369318148,"hr_resid"
"venue_680__base__2H","venue_680__base","2H",20006,"680","T-Mobile Park","SEA",0.00127331575908557,0.00111863706677265,0.000188881506520169,0.00079095651628862,0.00127331575908557,0.00146219726560574,138.563526936422,144.283975311077,"hr_resid"
"venue_5325__globe_life__2H","venue_5325__globe_life","2H",10298,"5325","Globe Life Field","TEX",0.000917096716220781,0.00138370622684211,0.000534695989435408,0.000821858335704509,0.000917096716220781,0.00145179270565619,127.775108936595,143.968863741136,"hr_resid"
"venue_680__base__1H","venue_680__base","1H",22039,"680","T-Mobile Park","SEA",0.00127331575908557,0.00111863706677265,-0.000166245730592312,0.000790673712654716,0.00127331575908557,0.00110707002849325,138.563526936422,133.528623642391,"hr_resid"
"venue_17__base__1H","venue_17__base","1H",21391,"17","Wrigley Field","CHC",0.000938487149635482,0.00111671989166664,5.97410157721802e-05,0.000790220102448268,0.000938487149635482,0.000998228165407662,128.4229376855,130.232248733841,"hr_resid"
"venue_17__base__2H","venue_17__base","2H",20965,"17","Wrigley Field","CHC",0.000938487149635482,0.00111671989166664,-4.30574989942908e-05,0.000790294849506823,0.000938487149635482,0.000895429650641191,128.4229376855,127.118902130742,"hr_resid"
