"park_era_half_id","park_era_id","half","park_effect","park_se","half_effect","half_se","delta","idx_100"
"venue_10__base__1H","venue_10__base","1H",-0.000119323318118762,0.00400267484550528,4.18368550977089e-14,2.06309538029255e-08,-0.000119323318076925,99.9461293211009
"venue_10__base__2H","venue_10__base","2H",-0.000119323318118762,0.00400267484550528,-4.23387240834469e-14,2.06309538029257e-08,-0.0001193233181611,99.9461293210629
"venue_12__base__1H","venue_12__base","1H",0.0161342903110012,0.00400024360043518,-1.15117192246696e-13,2.06309538029256e-08,0.0161342903108861,107.284118365212
"venue_12__base__2H","venue_12__base","2H",0.0161342903110012,0.00400024360043518,1.82977355930392e-13,2.06309538029267e-08,0.0161342903111842,107.284118365347
"venue_12__trop_return__1H","venue_12__trop_return","1H",0.00491644864738616,0.00689816555192718,-7.21906321339857e-14,2.06309538032242e-08,0.00491644864731397,102.219620026259
"venue_12__trop_return__2H","venue_12__trop_return","2H",0.00491644864738616,0.00689816555192718,9.28690136160332e-14,2.06309538032363e-08,0.00491644864747903,102.219620026334
"venue_13__base__1H","venue_13__base","1H",-0.0126332846079611,0.00436075164878387,-2.96703112421159e-14,2.06309538030612e-08,-0.0126332846079908,94.2964742388493
"venue_13__base__2H","venue_13__base","2H",-0.0126332846079611,0.00436075164878387,-2.34647659689125e-14,2.06309538030605e-08,-0.0126332846079846,94.2964742388521
"venue_14__base__1H","venue_14__base","1H",0.000307710698677317,0.00419991836613417,1.41054905164126e-13,2.06309538030153e-08,0.000307710698818372,100.138921583116
"venue_14__base__2H","venue_14__base","2H",0.000307710698677317,0.00419991836613417,-1.39760686584366e-13,2.06309538030117e-08,0.000307710698537556,100.138921582989
"venue_14__of_renovation__1H","venue_14__of_renovation","1H",0.00427209983866353,0.00462821566229615,1.4675698762393e-13,2.0630953803116e-08,0.00427209983881029,101.92871705506
"venue_14__of_renovation__2H","venue_14__of_renovation","2H",0.00427209983866353,0.00462821566229615,-1.28788710811117e-13,2.06309538031206e-08,0.00427209983853474,101.928717054936
"venue_15__base__1H","venue_15__base","1H",0.000474836415848243,0.0048296359874747,-8.05621615351613e-14,2.06309538031347e-08,0.000474836415767681,100.214373523094
"venue_15__base__2H","venue_15__base","2H",0.000474836415848243,0.0048296359874747,8.25593040441053e-14,2.06309538031345e-08,0.000474836415930803,100.214373523168
"venue_15__humidor__1H","venue_15__humidor","1H",-0.00583521497914479,0.00406343578031132,-6.05234117595358e-14,2.06309538029684e-08,-0.00583521497920531,97.36558622809
"venue_15__humidor__2H","venue_15__humidor","2H",-0.00583521497914479,0.00406343578031132,3.59807367435899e-14,2.06309538029704e-08,-0.00583521497910881,97.3655862281336
"venue_16__base__1H","venue_16__base","1H",0.00388516660556613,0.00527962384968617,6.84648884916739e-14,2.06309538031764e-08,0.00388516660563459,101.7540290201
"venue_16__base__2H","venue_16__base","2H",0.00388516660556613,0.00527962384968617,-5.21240370026073e-14,2.06309538031761e-08,0.003885166605514,101.754029020046
"venue_17__base__1H","venue_17__base","1H",0.00495813581073735,0.00390984369032583,4.68210566585074e-14,2.0630953802856e-08,0.00495813581078417,102.238440453261
"venue_17__base__2H","venue_17__base","2H",0.00495813581073735,0.00390984369032583,-2.59673406786249e-14,2.06309538028559e-08,0.00495813581071138,102.238440453229
"venue_19__base__1H","venue_19__base","1H",-0.0202642299578413,0.00390506280505847,-3.14876754411807e-14,2.06309538028436e-08,-0.0202642299578728,90.8513453800049
"venue_19__base__2H","venue_19__base","2H",-0.0202642299578413,0.00390506280505847,-5.37428451148316e-14,2.06309538028444e-08,-0.020264229957895,90.8513453799949
"venue_1__base__1H","venue_1__base","1H",0.0100388818929665,0.00392014369013424,7.90222366425278e-14,2.06309538028653e-08,0.0100388818930456,104.532235540227
"venue_1__base__2H","venue_1__base","2H",0.0100388818929665,0.00392014369013424,-3.67991109029766e-14,2.06309538028677e-08,0.0100388818929297,104.532235540174
"venue_22__base__1H","venue_22__base","1H",0.00594073644906365,0.00390801670809081,-1.04057508258733e-13,2.06309538028616e-08,0.00594073644895959,102.682053355737
"venue_22__base__2H","venue_22__base","2H",0.00594073644906365,0.00390801670809081,1.2904400224432e-13,2.06309538028627e-08,0.00594073644919269,102.682053355843
"venue_2392__base__1H","venue_2392__base","1H",0.0154647668153267,0.00392627215200276,-5.94020823738024e-14,2.06309538028597e-08,0.0154647668152673,106.981849824334
"venue_2392__base__2H","venue_2392__base","2H",0.0154647668153267,0.00392627215200276,1.24446257684487e-13,2.06309538028617e-08,0.0154647668154512,106.981849824417
"venue_2394__base__1H","venue_2394__base","1H",-0.0117051359119804,0.00416214490128149,4.56653714123952e-14,2.06309538029932e-08,-0.0117051359119347,94.7155038231893
"venue_2394__base__2H","venue_2394__base","2H",-0.0117051359119804,0.00416214490128149,-9.48966932627073e-14,2.06309538029928e-08,-0.0117051359120753,94.7155038231258
"venue_2394__cf_in_412__1H","venue_2394__cf_in_412","1H",-0.00622288180478869,0.00463366083337617,-3.4722313436337e-14,2.06309538031164e-08,-0.00622288180482341,97.1905669994994
"venue_2394__cf_in_412__2H","venue_2394__cf_in_412","2H",-0.00622288180478869,0.00463366083337617,8.54912765413014e-15,2.06309538031207e-08,-0.00622288180478014,97.1905669995189
"venue_2395__base__1H","venue_2395__base","1H",-0.00248429581342852,0.00436363304253512,-4.61410890414828e-14,2.06309538030636e-08,-0.00248429581347466,98.8784195393248
"venue_2395__base__2H","venue_2395__base","2H",-0.00248429581342852,0.00436363304253512,3.56922426858336e-14,2.06309538030636e-08,-0.00248429581339283,98.8784195393617
"venue_2395__bullpen_center__1H","venue_2395__bullpen_center","1H",-0.00639074046953592,0.00426818514448807,-6.92140507478992e-14,2.06309538030429e-08,-0.00639074046960513,97.1147841569115
"venue_2395__bullpen_center__2H","venue_2395__bullpen_center","2H",-0.00639074046953592,0.00426818514448807,4.2334858294242e-14,2.06309538030454e-08,-0.00639074046949358,97.1147841569619
"venue_2397__base__1H","venue_2397__base","1H",0.00406210226739835,0.0092353275793102,1.70850356281356e-14,2.06309538032493e-08,0.00406210226741544,101.833909837825
"venue_2523__steinbrenner__1H","venue_2523__steinbrenner","1H",-0.00453190373598456,0.00630353176827754,-4.60094782899336e-14,2.06309538032132e-08,-0.00453190373603057,97.9539897574099
"venue_2523__steinbrenner__2H","venue_2523__steinbrenner","2H",-0.00453190373598456,0.00630353176827754,2.69484769423614e-14,2.0630953803219e-08,-0.00453190373595761,97.9539897574428
"venue_2529__sutter_health__1H","venue_2529__sutter_health","1H",-0.00479595134049092,0.00550772500891402,-1.14908902207066e-13,2.06309538031886e-08,-0.00479595134060583,97.8347806711274
"venue_2529__sutter_health__2H","venue_2529__sutter_health","2H",-0.00479595134049092,0.00550772500891402,9.47373274588175e-14,2.06309538031964e-08,-0.00479595134039618,97.834780671222
"venue_2535__base__1H","venue_2535__base","1H",-0.00175009960315806,0.00953324803211293,-7.36084719302099e-15,2.06309538032517e-08,-0.00175009960316542,99.2098857517292
"venue_2536__base__2H","venue_2536__base","2H",-0.000949749613180105,0.00987506428227572,-3.99460794210457e-15,2.06309538032545e-08,-0.0009497496131841,99.5712182893424
"venue_2536__dunedin__1H","venue_2536__dunedin","1H",0.00581773113188632,0.00764582221555556,2.44691386676194e-14,2.06309538032377e-08,0.00581773113191079,102.626520371536
"venue_2602__base__1H","venue_2602__base","1H",0.00831678940031549,0.00390585483630524,-7.28497052896036e-14,2.06309538028574e-08,0.00831678940024264,103.754765610548
"venue_2602__base__2H","venue_2602__base","2H",0.00831678940031549,0.00390585483630524,1.07829780594045e-13,2.06309538028585e-08,0.00831678940042332,103.75476561063
"venue_2680__base__1H","venue_2680__base","1H",0.00630183505885247,0.00391131755799651,-2.58711422289702e-14,2.06309538028669e-08,0.0063018350588266,102.845077880839
"venue_2680__base__2H","venue_2680__base","2H",0.00630183505885247,0.00391131755799651,5.23764021667603e-14,2.06309538028691e-08,0.00630183505890484,102.845077880874
"venue_2681__base__1H","venue_2681__base","1H",0.00867782784545679,0.0039036811220005,4.31319044485978e-14,2.06309538028602e-08,0.00867782784549992,103.917762973244
"venue_2681__base__2H","venue_2681__base","2H",0.00867782784545679,0.0039036811220005,-6.63331624432916e-15,2.0630953802861e-08,0.00867782784545015,103.917762973221
"venue_2701__base__1H","venue_2701__base","1H",-0.00293785105798157,0.00883728196680459,-1.23564811252071e-14,2.06309538032462e-08,-0.00293785105799393,98.6736537874645
"venue_2735__base__2H","venue_2735__base","2H",0.00720342586106916,0.00872455698441471,3.02973138979636e-14,2.06309538032453e-08,0.00720342586109946,103.25211742173
"venue_2756__base__2H","venue_2756__base","2H",0.00202068979274492,0.00987975595816141,8.49893843873325e-15,2.06309538032546e-08,0.00202068979275342,100.912277103373
"venue_2756__buffalo__1H","venue_2756__buffalo","1H",-0.000700252131209773,0.00758440582642694,-5.98448540654421e-15,2.06309538032384e-08,-0.000700252131215757,99.6838584585387
"venue_2756__buffalo__2H","venue_2756__buffalo","2H",-0.000700252131209773,0.00758440582642694,3.03925364651643e-15,2.06309538032434e-08,-0.000700252131206733,99.6838584585428
"venue_2889__base__1H","venue_2889__base","1H",-0.0108626980282968,0.00391400320384526,-1.59643578970261e-13,2.06309538028525e-08,-0.0108626980284564,95.0958377046526
"venue_2889__base__2H","venue_2889__base","2H",-0.0108626980282968,0.00391400320384526,1.13955516333753e-13,2.06309538028541e-08,-0.0108626980281828,95.0958377047761
"venue_2__base__1H","venue_2__base","1H",-0.0109431245767795,0.00425710225809116,6.06232050055364e-14,2.0630953803028e-08,-0.0109431245767189,95.0595276788652
"venue_2__base__2H","venue_2__base","2H",-0.0109431245767795,0.00425710225809116,-1.06649538409862e-13,2.06309538030282e-08,-0.0109431245768861,95.0595276787897
"venue_2__wall_deep__1H","venue_2__wall_deep","1H",-0.00578959062744833,0.00483303662357497,-2.52451128027129e-14,2.0630953803138e-08,-0.00578959062747358,97.3861841702335
"venue_2__wall_deep__2H","venue_2__wall_deep","2H",-0.00578959062744833,0.00483303662357497,8.94331950307376e-16,2.06309538031383e-08,-0.00578959062744744,97.3861841702453
"venue_2__wall_medium__1H","venue_2__wall_medium","1H",-0.00135033609615681,0.00550339465392656,9.68548724163974e-15,2.06309538031893e-08,-0.00135033609614712,99.3903662468179
"venue_2__wall_medium__2H","venue_2__wall_medium","2H",-0.00135033609615681,0.00550339465392656,-1.53649455103566e-14,2.06309538031976e-08,-0.00135033609617217,99.3903662468066
"venue_31__base__1H","venue_31__base","1H",-0.0125263623179717,0.00390441945234164,-1.90440739405172e-13,2.0630953802856e-08,-0.0125263623181621,94.3447462483387
"venue_31__base__2H","venue_31__base","2H",-0.0125263623179717,0.00390441945234164,1.37755372960129e-13,2.06309538028571e-08,-0.0125263623178339,94.3447462484869
"venue_3289__base__1H","venue_3289__base","1H",0.0138278816096845,0.004130471579312,7.43877176238801e-14,2.06309538029942e-08,0.0138278816097588,106.242848271899
"venue_3289__base__2H","venue_3289__base","2H",0.0138278816096845,0.004130471579312,-1.62282143971771e-14,2.06309538029917e-08,0.0138278816096682,106.242848271858
"venue_3289__rf_in_362__1H","venue_3289__rf_in_362","1H",0.00607916443385591,0.00461305547414552,1.72684159253951e-14,2.06309538031153e-08,0.00607916443387318,102.744549183427
"venue_3289__rf_in_362__2H","venue_3289__rf_in_362","2H",0.00607916443385591,0.00461305547414552,8.3003005019196e-15,2.06309538031192e-08,0.00607916443386421,102.744549183423
"venue_32__base__1H","venue_32__base","1H",0.0144320855282066,0.00390970298852654,-1.00931008522846e-13,2.06309538028576e-08,0.0144320855281057,106.515627103391
"venue_32__base__2H","venue_32__base","2H",0.0144320855282066,0.00390970298852654,1.61631768668669e-13,2.06309538028598e-08,0.0144320855283682,106.51562710351
"venue_3309__base__1H","venue_3309__base","1H",-0.00562830028890682,0.0039029680272076,1.40198917303541e-13,2.06309538028594e-08,-0.00562830028876662,97.4590016227318
"venue_3309__base__2H","venue_3309__base","2H",-0.00562830028890682,0.0039029680272076,-1.63871317610452e-13,2.06309538028589e-08,-0.00562830028907069,97.4590016225945
"venue_3312__base__1H","venue_3312__base","1H",-0.00612278901960158,0.00390415192275965,-1.54724868831842e-15,2.06309538028566e-08,-0.00612278901960313,97.2357557051071
"venue_3312__base__2H","venue_3312__base","2H",-0.00612278901960158,0.00390415192275965,-2.42049509512246e-14,2.06309538028574e-08,-0.00612278901962579,97.2357557050969
"venue_3313__base__1H","venue_3313__base","1H",0.00548591229814536,0.00390980883687827,1.40394770934029e-13,2.06309538028613e-08,0.00548591229828576,102.47671473315
"venue_3313__base__2H","venue_3313__base","2H",0.00548591229814536,0.00390980883687827,-1.17321248683487e-13,2.06309538028627e-08,0.00548591229802804,102.476714733034
"venue_3949__base__1H","venue_3949__base","1H",0.00120793620221677,0.00985289934418425,5.08053015233569e-15,2.06309538032544e-08,0.00120793620222185,100.545344735038
"venue_3__base__1H","venue_3__base","1H",-0.00759343197835048,0.00390480880764146,-3.20298289004749e-14,2.06309538028489e-08,-0.00759343197838251,96.5718072339749
"venue_3__base__2H","venue_3__base","2H",-0.00759343197835048,0.00390480880764146,9.21652590916646e-17,2.06309538028499e-08,-0.00759343197835039,96.5718072339894
"venue_4169__base__1H","venue_4169__base","1H",-0.00157848997799638,0.00629593816036635,5.12267245896266e-14,2.06309538032148e-08,-0.00157848997794515,99.2873620335258
"venue_4169__base__2H","venue_4169__base","2H",-0.00157848997799638,0.00629593816036635,-5.7865788733706e-14,2.06309538032148e-08,-0.00157848997805424,99.2873620334766
"venue_4169__cf_in_407__1H","venue_4169__cf_in_407","1H",0.00283905919072359,0.00456314408379712,5.85402051976507e-14,2.06309538031014e-08,0.00283905919078213,101.281744829988
"venue_4169__cf_in_407__2H","venue_4169__cf_in_407","2H",0.00283905919072359,0.00456314408379712,-4.65992386097066e-14,2.06309538031027e-08,0.00283905919067699,101.28174482994
"venue_4169__fence_reduced__1H","venue_4169__fence_reduced","1H",-0.00171351050436412,0.00427299607127032,1.42876940964643e-13,2.06309538030473e-08,-0.00171351050422124,99.2264045649184
"venue_4169__fence_reduced__2H","venue_4169__fence_reduced","2H",-0.00171351050436412,0.00427299607127032,-1.50083895908488e-13,2.06309538030486e-08,-0.0017135105045142,99.2264045647862
"venue_4705__suntrust__1H","venue_4705__suntrust","1H",0.00468013069723156,0.00400703329374998,1.07252534662712e-13,2.06309538029304e-08,0.00468013069733881,102.112929996126
"venue_4705__suntrust__2H","venue_4705__suntrust","2H",0.00468013069723156,0.00400703329374998,-8.75680967973349e-14,2.06309538029319e-08,0.00468013069714399,102.112929996038
"venue_4__base__1H","venue_4__base","1H",0.000340612304686321,0.00391515741825192,-1.09734537552985e-14,2.0630953802864e-08,0.000340612304675347,100.153775610584
"venue_4__base__2H","venue_4__base","2H",0.000340612304686321,0.00391515741825192,1.2406055144473e-14,2.0630953802865e-08,0.000340612304698727,100.153775610595
"venue_5010__base__2H","venue_5010__base","2H",-0.00102064734872243,0.00983750564946385,-4.29280091164558e-15,2.06309538032542e-08,-0.00102064734872672,99.539210219104
"venue_5150__base__1H","venue_5150__base","1H",-0.00458123393708662,0.00957646433198702,-1.92684821512584e-14,2.06309538032521e-08,-0.00458123393710589,97.9317187422807
"venue_5325__globe_life__1H","venue_5325__globe_life","1H",0.00235244281148463,0.0042749319993477,-7.07270076677613e-14,2.06309538030421e-08,0.00235244281141391,101.062053028398
"venue_5325__globe_life__2H","venue_5325__globe_life","2H",0.00235244281148463,0.0042749319993477,8.06212857044868e-14,2.06309538030435e-08,0.00235244281156525,101.062053028467
"venue_5340__base__1H","venue_5340__base","1H",0.00110541952949084,0.00893440990403356,4.64934922908455e-15,2.0630953803247e-08,0.00110541952949549,100.499061721397
"venue_5355__sutter_health__1H","venue_5355__sutter_health","1H",-0.00317369871936909,0.00895512962461557,-1.33484467214361e-14,2.06309538032471e-08,-0.00317369871938243,98.5671760776545
