"park_era_hand_id","park_era_id","hand","park_effect","park_se","hand_effect","hand_se","delta","idx_100"
"venue_10__base__L","venue_10__base","L",-0.000119323318118762,0.00400267484550528,0.00206771611515134,0.00374695092563367,0.00194839279703258,100.879637311716
"venue_10__base__R","venue_10__base","R",-0.000119323318118762,0.00400267484550528,-0.00209587989791203,0.00371016159340789,-0.00221520321603079,98.9999062792566
"venue_12__base__L","venue_12__base","L",0.0161342903110012,0.00400024360043518,0.00419625856345768,0.00374710879964262,0.0203305488744589,109.178595499263
"venue_12__base__R","venue_12__base","R",0.0161342903110012,0.00400024360043518,-0.000388095501088997,0.00371437459697729,0.0157461948099122,107.108905603348
"venue_12__trop_return__L","venue_12__trop_return","L",0.00491644864738616,0.00689816555192718,0.000850836331872122,0.0045773755902454,0.00576728497925828,102.603745539801
"venue_12__trop_return__R","venue_12__trop_return","R",0.00491644864738616,0.00689816555192718,0.000309588934850858,0.0045755048917631,0.00522603758223702,102.359389573174
"venue_13__base__L","venue_13__base","L",-0.0126332846079611,0.00436075164878387,-0.00187699562049474,0.00393481054485452,-0.0145102802284559,93.4490704790925
"venue_13__base__R","venue_13__base","R",-0.0126332846079611,0.00436075164878387,-0.00110482799087662,0.00390453060470853,-0.0137381125988378,93.7976795783182
"venue_14__base__L","venue_14__base","L",0.000307710698677317,0.00419991836613417,0.00147196282792896,0.00387067595720241,0.00177967352660628,100.803465933081
"venue_14__base__R","venue_14__base","R",0.000307710698677317,0.00419991836613417,-0.00139933412930965,0.00381108456947076,-0.00109162343063234,99.5071667779772
"venue_14__of_renovation__L","venue_14__of_renovation","L",0.00427209983866353,0.00462821566229615,0.0036817304251198,0.00405860875004804,0.00795383026378333,103.590901116928
"venue_14__of_renovation__R","venue_14__of_renovation","R",0.00427209983866353,0.00462821566229615,-0.00267339026895624,0.00401211703128716,0.00159870956970729,100.72176646837
"venue_15__base__L","venue_15__base","L",0.000474836415848243,0.0048296359874747,0.001055446489538,0.00414995190772909,0.00153028290538625,100.69087400811
"venue_15__base__R","venue_15__base","R",0.000474836415848243,0.0048296359874747,-0.000943371246585868,0.0040809052941841,-0.000468534830737625,99.7884714419069
"venue_15__humidor__L","venue_15__humidor","L",-0.00583521497914479,0.00406343578031132,-0.0020303171550194,0.00375736900929428,-0.0078655321341642,96.4489626772132
"venue_15__humidor__R","venue_15__humidor","R",-0.00583521497914479,0.00406343578031132,0.000653036238560778,0.00374544079518313,-0.00518217874058401,97.6604112973824
"venue_16__base__L","venue_16__base","L",0.00388516660556613,0.00527962384968617,-0.00324670799431132,0.00424898254929241,0.000638458611254801,100.288243734683
"venue_16__base__R","venue_16__base","R",0.00388516660556613,0.00527962384968617,0.0041637206223835,0.00423852963992681,0.00804888722794963,103.633816309669
"venue_17__base__L","venue_17__base","L",0.00495813581073735,0.00390984369032583,0.0049744320177101,0.0036838442975667,0.00993256782844745,104.484238125063
"venue_17__base__R","venue_17__base","R",0.00495813581073735,0.00390984369032583,-0.00380416736404471,0.0036580322903142,0.00115396844669263,100.520980011731
"venue_19__base__L","venue_19__base","L",-0.0202642299578413,0.00390506280505847,-0.00314794035382242,0.00368264489727602,-0.0234121703116637,89.4301505395866
"venue_19__base__R","venue_19__base","R",-0.0202642299578413,0.00390506280505847,-0.00163500891202572,0.00365633885221509,-0.021899238869867,90.1131909143506
"venue_1__base__L","venue_1__base","L",0.0100388818929665,0.00392014369013424,0.00286053544385999,0.00369982139235992,0.0128994173368265,105.823676214647
"venue_1__base__R","venue_1__base","R",0.0100388818929665,0.00392014369013424,-0.000491066537122181,0.00366174871267057,0.00954781535584436,104.310534634067
"venue_22__base__L","venue_22__base","L",0.00594073644906365,0.00390801670809081,-0.00183439238787288,0.00368839046349732,0.00410634406119077,101.853883599071
"venue_22__base__R","venue_22__base","R",0.00594073644906365,0.00390801670809081,0.00323657944914975,0.00366834555903362,0.0091773158982134,104.143265925519
"venue_2392__base__L","venue_2392__base","L",0.0154647668153267,0.00392627215200276,0.00615040134319292,0.00370581056161774,0.0216151681585196,109.758560204188
"venue_2392__base__R","venue_2392__base","R",0.0154647668153267,0.00392627215200276,-0.00250026535150751,0.00366680877738081,0.0129645014638192,105.853059625728
"venue_2394__base__L","venue_2394__base","L",-0.0117051359119804,0.00416214490128149,0.00378278394326947,0.00382901597156,-0.00792235196871092,96.423310331039
"venue_2394__base__R","venue_2394__base","R",-0.0117051359119804,0.00416214490128149,-0.00654553739380361,0.00377922491901691,-0.018250673305784,91.7604020974844
"venue_2394__cf_in_412__L","venue_2394__cf_in_412","L",-0.00622288180478869,0.00463366083337617,0.00131026306860099,0.00405513237350287,-0.0049126187361877,97.7821090566712
"venue_2394__cf_in_412__R","venue_2394__cf_in_412","R",-0.00622288180478869,0.00463366083337617,-0.0027790446615003,0.00402189046433885,-0.00900192646628899,95.9359168186563
"venue_2395__base__L","venue_2395__base","L",-0.00248429581342852,0.00436363304253512,-0.00422273274183315,0.00393093840294742,-0.00670702855526167,96.9719901567395
"venue_2395__base__R","venue_2395__base","R",-0.00248429581342852,0.00436363304253512,0.00363636647653059,0.00390285244162149,0.00115207066310208,100.520123222864
"venue_2395__bullpen_center__L","venue_2395__bullpen_center","L",-0.00639074046953592,0.00426818514448807,0.00226511145877137,0.00388843043490776,-0.00412562901076455,98.1374098602225
"venue_2395__bullpen_center__R","venue_2395__bullpen_center","R",-0.00639074046953592,0.00426818514448807,-0.00377351259275176,0.00386303257952952,-0.0101642530622877,95.4111633686347
"venue_2397__base__L","venue_2397__base","L",0.00406210226739835,0.0092353275793102,0.000181712540923015,0.00485135044265277,0.00424381480832137,101.91594726438
"venue_2397__base__R","venue_2397__base","R",0.00406210226739835,0.0092353275793102,0.000777062063509533,0.00482240020111905,0.00483916433090789,102.184728618107
"venue_2523__steinbrenner__L","venue_2523__steinbrenner","L",-0.00453190373598456,0.00630353176827754,0.00212918359799451,0.00447805835071101,-0.00240272013799004,98.9152483594652
"venue_2523__steinbrenner__R","venue_2523__steinbrenner","R",-0.00453190373598456,0.00630353176827754,-0.00319884505056245,0.00446512987589566,-0.00773074878654701,96.5098130672077
"venue_2529__sutter_health__L","venue_2529__sutter_health","L",-0.00479595134049092,0.00550772500891402,0.00305186700778629,0.00434960450047165,-0.00174408433270463,99.2126014548182
"venue_2529__sutter_health__R","venue_2529__sutter_health","R",-0.00479595134049092,0.00550772500891402,-0.00418385139584879,0.00429467158362123,-0.00897980273633971,95.9459049783166
"venue_2535__base__L","venue_2535__base","L",-0.00175009960315806,0.00953324803211293,-0.000935472315425167,0.00484601573256005,-0.00268557191858323,98.787549786429
"venue_2535__base__R","venue_2535__base","R",-0.00175009960315806,0.00953324803211293,0.000522397768237501,0.00486567825486041,-0.00122770183492056,99.4457317111298
"venue_2536__base__L","venue_2536__base","L",-0.000949749613180105,0.00987506428227572,-8.11424757478013e-05,0.00488289623428254,-0.00103089208892791,99.5345850450921
"venue_2536__base__R","venue_2536__base","R",-0.000949749613180105,0.00987506428227572,-0.000143026131969191,0.00487007846968128,-0.0010927757451493,99.5066465446621
"venue_2536__dunedin__L","venue_2536__dunedin","L",0.00581773113188632,0.00764582221555556,0.00326861894572219,0.00476978764227035,0.00908635007760851,104.102197753836
"venue_2536__dunedin__R","venue_2536__dunedin","R",0.00581773113188632,0.00764582221555556,-0.0018954647271694,0.00465870003487454,0.00392226640471693,101.770778398141
"venue_2602__base__L","venue_2602__base","L",0.00831678940031549,0.00390585483630524,0.00181677029089255,0.00367761504110431,0.010133559691208,104.574979551589
"venue_2602__base__R","venue_2602__base","R",0.00831678940031549,0.00390585483630524,0.000146234563530345,0.00365223381112978,0.00846302396384584,103.820785859958
"venue_2680__base__L","venue_2680__base","L",0.00630183505885247,0.00391131755799651,0.000609681884602976,0.0036873803041674,0.00691151694345544,103.120329839691
"venue_2680__base__R","venue_2680__base","R",0.00630183505885247,0.00391131755799651,0.000877734979924526,0.00366130233293538,0.007179570038777,103.241347277512
"venue_2681__base__L","venue_2681__base","L",0.00867782784545679,0.0039036811220005,-0.000353839734292608,0.00367242986009245,0.00832398811116418,103.758015599325
"venue_2681__base__R","venue_2681__base","R",0.00867782784545679,0.0039036811220005,0.00240206019120834,0.0036564962770309,0.0110798880366651,105.0022166688
