"park_era_id","venue_id","venue_name","home_team","delta_woba_over_xwoba_overall","pf_index_overall","overall_se","n_bbe"
"venue_5340__base","5340","Estadio Alfredo Harp Helu","AZ",0.038732348012598,110.508642244627,0.0124965666099205,326
"venue_5355__sutter_health","5355","Las Vegas Ballpark","ATH",0.0361311041377182,109.802887425342,0.0124465193542315,342
"venue_19__base","19","Coors Field","COL",0.0354898624960152,109.628909359183,0.00314658401498012,46437
"venue_2529__sutter_health","2529","Sutter Health Park","ATH",0.027598829103304,107.487958677922,0.00583738661104004,6288
"venue_2536__dunedin","2536","TD Ballpark","TOR",0.0203663868576345,105.525693232771,0.00998608731532274,1086
"venue_2602__base","2602","Great American Ball Park","CIN",0.0169848667566276,104.60823826792,0.00320118008030366,42321
"venue_5381__base","5381","London Stadium","BOS",0.0122169177507332,103.314625230898,0.0124265702184381,346
"venue_2756__buffalo","2756","Sahlen Field","TOR",0.0112801456362914,103.060465503422,0.0097078566383726,1197
"venue_13__base","13","Globe Life Park in Arlington","TEX",0.0105503384983045,102.862458346247,0.0038882654229271,21828
"venue_3__base","3","Fenway Park","BOS",0.0103957694358695,102.820521539868,0.00316894638762504,44807
"venue_2392__base","2392","Minute Maid Park","HOU",0.0092361869986108,102.505910172069,0.00321773514418811,42346
"venue_2681__base","2681","Citizens Bank Park","PHI",0.00881611290412489,102.391938037621,0.00318953422632912,43012
"venue_2__wall_medium","2","Oriole Park at Camden Yards","BAL",0.00702935331439464,101.907164501569,0.00575778972590745,6503
"venue_2523__steinbrenner","2523","George M. Steinbrenner Field","TBR",0.00600130816964875,101.628241090214,0.0068680957679505,4071
"venue_2536__base","2536","TD Ballpark","TOR",0.00577410724596705,101.566598216825,0.0142853117289106,46
"venue_15__base","15","Chase Field","AZ",0.0056075429474944,101.521406930647,0.00464683149979852,12726
"venue_32__base","32","American Family Field","MIL",0.0048594440098154,101.31843694553,0.00321014857794804,41791
"venue_7__walls_in","7","Kauffman Stadium","KCR",0.00190984143953172,100.51816740946,0.00831851537133902,2230
"venue_2__base","2","Oriole Park at Camden Yards","BAL",0.00165748953023605,100.449700712485,0.00369933361781841,25711
"venue_2756__base","2756","Sahlen Field","TOR",0.00144667025618604,100.392502415894,0.0143248794177183,41
"venue_3949__base","3949","Rickwood Field","STL",0.00127142836901936,100.344956775286,0.0143972832829229,32
"venue_14__of_renovation","14","Rogers Centre","TOR",8.505525696594e-05,100.023076712679,0.00432256570762022,14883
"venue_2735__base","2735","Journey Bank Ballpark","NYM",-1.68781014734053e-05,99.9954207286867,0.0130014483756112,235
"venue_15__humidor","15","Chase Field","AZ",-0.000517887564128724,99.8594896665547,0.00343131725560536,31896
"venue_12__trop_return","12","Tropicana Field","TBR",-0.000609969148653352,99.8345066103048,0.00830726337859984,2241
"venue_22__base","22","Dodger Stadium","LAD",-0.000978306125369809,99.7345714988956,0.00321369715446069,41473
"venue_5150__base","5150","Gocheok Sky Dome","LAD",-0.001691114489448,99.5411763531988,0.0137141186461552,123
"venue_5365__base","5365","TD Ameritrade Park","KCR",-0.00214358884206003,99.4184135634262,0.0143181587743737,44
"venue_17__base","17","Wrigley Field","CHC",-0.0025605862991562,99.3052761648849,0.00320387072348953,42356
"venue_5__base","5","Progressive Field","CLE",-0.00262043390816773,99.2890386490985,0.00342682076455839,32827
"venue_4__base","4","Guaranteed Rate Field","CHW",-0.00343319571203305,99.0685246997727,0.00319563026973934,43008
"venue_2397__base","2397","Tokyo Dome","CHC",-0.00347324318819978,99.0576592443735,0.0139631384391381,88
"venue_2394__cf_in_412","2394","Comerica Park","DET",-0.00356169921200316,99.0336598548134,0.00435090920726915,14410
"venue_12__base","12","Tropicana Field","TBR",-0.00393525969296589,98.9323075316883,0.00334602950908465,35636
"venue_6130__base","6130","Bristol Motor Speedway","CIN",-0.00439409862274838,98.8078179407287,0.0143001278269656,44
"venue_5__wind_tunnel","5","Progressive Field","CLE",-0.00474275707645569,98.7132218952118,0.0049321668630276,9991
"venue_3312__base","3312","Target Field","MIN",-0.00507870076473413,98.6220755481504,0.00316444839501108,44582
"venue_3313__base","3313","Yankee Stadium","NYY",-0.0052725009950757,98.5694947625259,0.00321129643732016,41895
"venue_4705__suntrust","4705","Truist Park","ATL",-0.00594194581998913,98.3878647677411,0.00336706640514143,34481
"venue_3309__base","3309","Nationals Park","WSH",-0.00601964285630212,98.3667844459951,0.00317061681242157,44124
"venue_4169__fence_reduced","4169","loanDepot park","MIA",-0.00645605811512077,98.2483787189907,0.00375573778375304,22908
"venue_1__base","1","Angel Stadium","LAA",-0.0069931697734215,98.1026526127225,0.0032002777231494,42985
"venue_3289__base","3289","Citi Field","NYM",-0.00737585542769439,97.9988244990332,0.00357904223882473,27912
"venue_2395__bullpen_center","2395","Oracle Park","SFG",-0.00751048362343697,97.9622979361551,0.00376937844350491,22579
"venue_5325__globe_life","5325","Globe Life Field","TEX",-0.00760118889187151,97.9376882942255,0.00378073523095102,22406
"venue_31__base","31","PNC Park","PIT",-0.00770985992633993,97.9082042819676,0.00317430808534474,44069
"venue_14__base","14","Rogers Centre","TOR",-0.00797662678023233,97.8358266035121,0.00363796780786013,27047
"venue_2680__base","2680","Petco Park","SDP",-0.00803765391862099,97.8192690644667,0.00320877159811503,41941
"venue_16__base","16","Turner Field","ATL",-0.0082400280739084,97.7643620498756,0.00536538809029443,8391
"venue_4169__cf_in_407","4169","Marlins Park","MIA",-0.00975797251720495,97.3525219234615,0.00424839822067748,16425
"venue_3289__rf_in_362","3289","Citi Field","NYM",-0.0112162930209763,96.9568586280901,0.00437562709536701,14111
