"park_era_half_id","park_era_id","half","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","half_effect","half_se","delta_overall","delta_half","pf_index_overall","pf_index_half","component"
"venue_5340__base__1H","venue_5340__base","1H",326,"5340","Estadio Alfredo Harp Helu","AZ",0.274279252143922,0.0943057948810869,0.00559537700211473,0.0157456179586503,0.274279252143922,0.279874629146037,361.484644034502,366.819007287283,"pts_resid"
"venue_19__base__1H","venue_19__base","1H",24043,"19","Coors Field","COL",0.257951795300525,0.0212016324579657,0.0101023553553577,0.0143165538633722,0.257951795300525,0.268054150655883,345.918832157327,355.549931751472,"pts_resid"
"venue_5355__sutter_health__1H","venue_5355__sutter_health","1H",342,"5355","Las Vegas Ballpark","ATH",0.257278665337441,0.0941660862675485,0.00524856005662615,0.0157452699759648,0.257278665337441,0.262527225394067,345.277102433295,350.280827094833,"pts_resid"
"venue_19__base__2H","venue_19__base","2H",22394,"19","Coors Field","COL",0.257951795300525,0.0212016324579657,-0.00484006325033485,0.0143211527115219,0.257951795300525,0.25311173205019,345.918832157327,341.304548699043,"pts_resid"
"venue_15__base__1H","venue_15__base","1H",6341,"15","Chase Field","AZ",0.188260441132323,0.0348950230673076,0.0023159265914692,0.0152531034788271,0.188260441132323,0.190576367723792,279.47844778807,281.686340786344,"pts_resid"
"venue_15__base__2H","venue_15__base","2H",6385,"15","Chase Field","AZ",0.188260441132323,0.0348950230673076,0.00152464149557512,0.0152525436361406,0.188260441132323,0.189785082627898,279.47844778807,280.931967642869,"pts_resid"
"venue_2529__sutter_health__1H","venue_2529__sutter_health","1H",4303,"2529","Sutter Health Park","ATH",0.16293884853337,0.0448009364517711,0.00374832543031911,0.0154973076432659,0.16293884853337,0.166687173963689,255.338059569242,258.911532710981,"pts_resid"
"venue_2529__sutter_health__2H","venue_2529__sutter_health","2H",1985,"2529","Sutter Health Park","ATH",0.16293884853337,0.0448009364517711,-0.000424325241791422,0.0155481375242474,0.16293884853337,0.162514523291578,255.338059569242,254.933528297053,"pts_resid"
"venue_2536__dunedin__1H","venue_2536__dunedin","1H",1086,"2536","TD Ballpark","TOR",0.158461648592733,0.0756589350113873,0.00323266399963677,0.015703678156286,0.158461648592733,0.16169431259237,251.069712533884,254.151578874925,"pts_resid"
"venue_13__base__1H","venue_13__base","1H",10645,"13","Globe Life Park in Arlington","TEX",0.115060168719702,0.0282563305686336,0.00258709376528288,0.014959511176672,0.115060168719702,0.117647262484985,209.692829570768,212.159240307311,"pts_resid"
