"park_era_id","venue_id","venue_name","home_team","component","delta_overall","pf_index_overall","park_se","n_bbe"
"venue_5340__base","5340","Estadio Alfredo Harp Helu","AZ","pts_resid",0.274279252143922,361.484644034502,0.0943057948810869,326
"venue_19__base","19","Coors Field","COL","pts_resid",0.257951795300525,345.918832157327,0.0212016324579657,46437
"venue_5355__sutter_health","5355","Las Vegas Ballpark","ATH","pts_resid",0.257278665337441,345.277102433295,0.0941660862675485,342
"venue_15__base","15","Chase Field","AZ","pts_resid",0.188260441132323,279.47844778807,0.0348950230673076,12726
"venue_2529__sutter_health","2529","Sutter Health Park","ATH","pts_resid",0.16293884853337,255.338059569242,0.0448009364517711,6288
"venue_2536__dunedin","2536","TD Ballpark","TOR","pts_resid",0.158461648592733,251.069712533884,0.0756589350113873,1086
"venue_13__base","13","Globe Life Park in Arlington","TEX","pts_resid",0.115060168719702,209.692829570768,0.0282563305686336,21828
"venue_2602__base","2602","Great American Ball Park","CIN","pts_resid",0.114580249805531,209.23529796582,0.021665085287788,42321
"venue_5381__base","5381","London Stadium","BOS","pts_resid",0.105238098261431,200.328940113628,0.0937411361410641,346
"venue_2__base","2","Oriole Park at Camden Yards","BAL","pts_resid",0.0722500374405557,168.879709908607,0.0264067366620027,25711
"venue_2756__buffalo","2756","Sahlen Field","TOR","pts_resid",0.0666176440017792,163.510056965891,0.0736760240658637,1197
"venue_3__base","3","Fenway Park","BOS","pts_resid",0.0664839841669544,163.382632109444,0.0214071170513446,44807
"venue_2__wall_medium","2","Oriole Park at Camden Yards","BAL","pts_resid",0.0477019704555097,145.476763797497,0.0442843780374203,6503
"venue_2681__base","2681","Citizens Bank Park","PHI","pts_resid",0.044663612228301,142.580139232274,0.0216044832180023,43012
"venue_2392__base","2392","Minute Maid Park","HOU","pts_resid",0.0386514587841114,136.848441369799,0.0217362144966293,42346
"venue_7__walls_in","7","Kauffman Stadium","KCR","pts_resid",0.0294004473600167,128.028972123473,0.0644799742801459,2230
"venue_32__base","32","American Family Field","MIL","pts_resid",0.0287354095596034,127.394957078036,0.0217690168865313,41791
