"rank","team_id","team","park","years_used","bacon_resid","hr_resid","xbh_resid","overall_weighted_resid","bacon_idx_100","hr_idx_100","xbh_idx_100","overall_pf_idx_100","total_bbe","bacon_se","hr_se","xbh_se","bacon_rank","hr_rank","xbh_rank"
1,"COL","Rockies","Coors Field","2015-2026",0.0279968832359703,0.00482272805336376,0.0192622993193412,0.0181390121387322,141.417827921252,108.452051678279,128.189381959096,132.537504044945,44926,0.00229917238150626,0.00118581253588541,0.00187263253578409,1,14,1
2,"AZ","Diamondbacks","Chase Field","2023-2026",0.0128363112652851,0.0181727374780452,0.0142821321936202,0.0149932246254182,118.98968991112,131.848554304591,120.901164130098,126.894634788537,326,0.00757572394670327,0.00507004871317119,0.00698248985852538,4,1,3
3,"ATH","Athletics","Sutter Health Park","2025-2026",0.0150867265900918,0.0068320168428897,0.0132188422966067,0.011824001319874,122.318893161662,111.973422259055,119.34509418522,121.209726738689,5251,0.00470344163557001,0.00235920743337204,0.00390739233695207,2,6,4
4,"CIN","Reds","Great American Ball Park","2015-2026",0.00952486976039596,0.0111424736645814,0.00945787480494673,0.010077632135771,114.090833375381,119.527695154389,113.841112163125,118.077114336356,41232,0.00234568233563477,0.00120087936376689,0.00190282127097333,5,3,6
5,"TOR","Blue Jays","TD Ballpark","2021",0.00610195023199518,0.0112997161702101,0.0118582100983031,0.00907242028363199,109.027059282359,119.80326984343,117.353879112302,116.273979498861,1086,0.00666091727813226,0.00384461249554838,0.0057751153775189,8,2,5
6,"TOR","Blue Jays","Sahlen Field","2021",0.0043485532335814,0.00867330033777839,0.00779118127322605,0.00655074032797928,106.433131431681,115.200355870376,111.401992108173,111.750625573642,1197,0.00654530779492825,0.00370656007949949,0.00563698547779751,12,5,8
7,"BOS","Red Sox","Fenway Park","2015-2026",0.0139273456765198,-0.00472963191066007,0.00905867867188552,0.00642367012007999,120.603736557664,91.7111035728367,113.256909203506,111.522688827588,43418,0.00231651200960744,0.0011929227633318,0.00188190525818932,3,43,7
8,"TEX","Rangers","Globe Life Park","2015-2019",0.00848450139956428,0.00297579806180003,0.00707222145719742,0.00627399924287342,112.551740706369,105.215222323062,110.349831484396,111.254211319812,21464,0.00297282400347195,0.00146321278491374,0.00241337819629638,6,16,9
9,"AZ","Diamondbacks","Chase Field","2015-2017",0.00617850301659799,-0.000746389139862434,0.0151191294102834,0.00554291604057392,109.140309390696,98.6919188654392,122.12606640412,109.942804586626,12397,0.00359830518173367,0.00175888204398517,0.00293327184190956,7,28,2
10,"BAL","Orioles","Oriole Park at Camden Yards","2025-2026",0.00455829645246944,0.00564332229924061,0.0048221017428627,0.004990816556918,106.743419847514,109.890180657671,107.056897290542,108.952456322601,5322,0.00466374929553008,0.00234146407890331,0.00387759330491627,10,11,13
