"Rank","Team","Park","Years","Overall Park Factor","BACON Park Factor","HR Park Factor","Carry Park Factor","Carry (ft vs avg)","K Park Factor","Total BBE"
1,"Rockies","Coors Field","2015-2026",130.58,134.22,105.4,138.65,12.84,76.95,47101
2,"Athletics","Sutter Health Park","2025-2026",124.48,120.25,117.33,114.9,4.87,93.78,6913
3,"Reds","Great American Ball Park","2015-2026",114.51,109.53,119.92,101.55,0.39,108.05,42971
4,"Red Sox","Fenway Park","2015-2026",109.41,117.73,89.2,91.58,-2.96,90.74,45369
5,"Phillies","Citizens Bank Park","2015-2026",107.99,103.94,109.64,96.82,-1.2,108.44,43531
6,"Astros","Daikin Park","2015-2026",107.93,105.36,109.3,98.62,-0.6,115.83,42878
7,"Brewers","American Family Field","2015-2026",104.42,100.98,108.88,104.16,1.26,114.7,42323
8,"Royals","Kauffman Stadium","2026",104.21,102.54,98.8,114.11,4.61,86.18,2819
9,"Orioles","Oriole Park at Camden Yards","2025-2026",103.73,100.85,109.56,101.98,0.53,97.53,7055
10,"Dodgers","Dodger Stadium","2015-2026",99.62,94.62,109.75,94.78,-1.88,105.46,42190
11,"Blue Jays","Rogers Centre","2023-2026",99.58,101.11,102.16,92.06,-2.8,103.65,15334
12,"Diamondbacks","Chase Field","2018-2026",99.53,102.18,86.44,112.49,4.06,92.65,32465
13,"Rays","Tropicana Field","2026",99.43,99.28,104.96,105.22,1.62,104.35,2909
14,"Cubs","Wrigley Field","2015-2026",98.38,97.44,100.75,90.9,-3.19,104.4,42920
15,"Guardians","Progressive Field","2024-2026",97.29,97.48,92.88,93.3,-2.38,105.5,10667
16,"Tigers","Comerica Park","2023-2026",97.14,95.44,96.16,97.09,-1.11,92.23,15066
17,"White Sox","Rate Field","2015-2026",96.82,94.32,103.56,94.1,-2.11,99.37,43652
18,"Braves","Truist Park","2017-2026",96.39,99.32,96.19,102.92,0.85,104.09,35295
19,"Yankees","Yankee Stadium","2015-2026",95.41,91.62,111.78,93.43,-2.34,104.97,42360
20,"Twins","Target Field","2015-2026",95.32,100.59,93.9,100.32,-0.02,92.34,45172
21,"Nationals","Nationals Park","2015-2026",95.19,96.95,98.71,95.47,-1.65,92.88,44952
22,"Marlins","loanDepot park","2021-2026",94.62,97.58,88.59,96.25,-1.39,97.14,23523
23,"Rangers","Globe Life Field","2021-2026",94.04,96.65,100.69,105.86,1.84,101.56,23232
24,"Pirates","PNC Park","2015-2026",93.74,95.69,85.76,100.46,0.02,85.37,44725
25,"Angels","Angel Stadium","2015-2026",93.55,92.62,103.57,99.53,-0.29,109.92,43595
26,"Padres","Petco Park","2015-2026",93.18,91.61,94.81,90.58,-3.3,105.86,42512
27,"Giants","Oracle Park","2021-2026",93.15,98.38,78.85,94.46,-1.99,92.05,23263
28,"Mets","Citi Field","2023-2026",89.98,88.91,98.17,91.16,-3.1,105.61,14811
29,"Mariners","T-Mobile Park","2015-2026",86.28,82.95,101.62,89.49,-3.66,121.23,42564
30,"Cardinals","Busch Stadium","2015-2026",84.11,89.84,82.68,97.75,-0.89,87.18,44977
