"park_era_id","home_team","overall_n_bbe","overall_delta","overall_se","bacon_n_bbe","bacon_delta","bacon_se","hr_n_bbe","hr_delta","hr_se","xbh_n_bbe","xbh_delta","xbh_se","carry_n_bbe","carry_delta","carry_se","team_id","team","park","years_used","team_token","team_norm","park_suffix","year_end","year_start","total_bbe","overall_resid","bacon_resid","hr_resid","xbh_resid","carry_ft","k_resid","bacon_idx_100","hr_idx_100","xbh_idx_100","carry_idx_100","k_idx_100","overall_pf_idx_100","overall_ratio_idx","bacon_ratio_idx","hr_ratio_idx","carry_ratio_idx","k_ratio_idx","Rank"
"venue_19__base","COL",24043,0.0382902054301205,0.00324726199744779,24043,0.0285143892370588,0.00217028990278924,24043,0.00297330233457714,0.00170708878951896,24043,0.018457236020274,0.00239003059314237,24043,12.4998261893504,0.772878569256748,"COL","Rockies","Coors Field","2015-2026","col","COL","base",2026,2015,24043,0.0382902054301205,0.0285143892370588,0.00297330233457714,0.018457236020274,12.4998261893504,-0.0202642299578728,135.488186191335,105.176285676485,127.139245999639,137.886787037981,76.9501826928392,132.285971612105,110.393308529525,108.746508973943,106.504651107453,104.383303080122,90.8513453800049,1
"venue_2529__sutter_health","ATH",4303,0.0289532509804639,0.00570090987195244,4303,0.0165318915323608,0.00414084538511537,4303,0.0084724546945698,0.00251427858912775,4303,0.0144996609976011,0.00383919099546841,4303,4.43508820607219,0.940755631668473,"ATH","Athletics","Sutter Health Park","2025-2026","ath","ATH","sutter_health",2026,2025,4303,0.0289532509804639,0.0165318915323608,0.0084724546945698,0.0144996609976011,4.43508820607219,-0.00479595134060583,120.54603943075,116.780021941854,121.264929847666,114.076743366983,93.7815410652431,124.456024675672,107.858930684557,105.070995434688,118.535068287873,101.555248489043,97.8347806711274,2
"venue_2602__base","CIN",22143,0.0157777642320876,0.00329824648599843,22143,0.00666780560481975,0.00222237497493061,22143,0.0104311180387421,0.00171970989530598,22143,0.00859484329831248,0.00241525409574014,22143,0.035119378879489,0.773708442749389,"CIN","Reds","Great American Ball Park","2015-2026","cin","CIN","base",2026,2015,22143,0.0157777642320876,0.00666780560481975,0.0104311180387421,0.00859484329831248,0.035119378879489,0.00831678940024264,108.245547227814,120.912988513897,112.500278315689,101.086432938583,108.049789272724,113.407094035846,104.28264016158,102.04528391172,122.82000814839,100.012315281771,103.754765610548,3
"venue_3__base","BOS",23366,0.00887232800041509,0.00326956980402338,23366,0.0129285594700536,0.00219257537069665,23366,-0.0051110969910104,0.00171392417518282,23366,0.0071837253891127,0.00240006731785574,23366,-3.84345692594988,0.774163139472646,"BOS","Red Sox","Fenway Park","2015-2026","bos","BOS","base",2026,2015,23366,0.00887232800041509,0.0129285594700536,-0.0051110969910104,0.0071837253891127,-3.84345692594988,-0.00759343197838251,116.052692732173,88.117431602805,110.405724787616,89.6354631252098,90.7375437130284,107.616212270442,102.408261884407,103.96570869833,88.8185260152483,98.6522183327489,96.5718072339749,4
"venue_2392__base","HOU",22568,0.00833184109470969,0.00331625038077469,22568,0.00338208114084067,0.00222914670956509,22568,0.00524757232881431,0.0017297815409728,22568,0.00381269235462361,0.0024283627829202,22568,0.10131668802403,0.775498673572742,"HOU","Astros","Daikin Park","2015-2026","hou","HOU","base",2026,2015,22568,0.00833184109470969,0.00338208114084067,0.00524757232881431,0.00381269235462361,0.10131668802403,0.0154647668152673,104.14825646544,109.975212398603,105.402025883645,101.281871503965,115.827653409192,107.16296128648,102.261554727731,101.037420188209,111.48003913464,100.035528634075,106.981849824334,5
"venue_2681__base","PHI",22142,0.00749523114279149,0.00328932176423267,22142,0.00284566846984874,0.00221599254501813,22142,0.0041866143812852,0.00171751865412437,22142,0.00118341006502946,0.00240883485968522,22142,-1.80044622765086,0.77452790726477,"PHI","Phillies","Citizens Bank Park","2015-2026","phi","PHI","base",2026,2015,22142,0.00749523114279149,0.00284566846984874,0.0041866143812852,0.00118341006502946,-1.80044622765086,0.00867782784549992,103.479351112673,107.736489881777,101.499324018646,95.6671747626711,108.442642776899,106.461382247476,102.034469360821,100.872880867322,109.158996565877,99.3686391013997,103.917762973244,6
"venue_2__wall_medium","BAL",4512,0.00618043076450488,0.00565996077342678,4512,0.00168640643180944,0.00411382852135134,4512,0.00536828965689925,0.00249662410768344,4512,0.00357202341689885,0.00381548104492827,4512,0.70948863453771,0.945867653313724,"BAL","Orioles","Oriole Park at Camden Yards","2025-2026","bal","BAL","wall_medium",2026,2025,4512,0.00618043076450488,0.00168640643180944,0.00536828965689925,0.00357202341689885,0.70948863453771,-0.00135033609614712,102.03375404825,110.229937480954,105.044795655524,103.077416583792,97.5307872760118,105.358793898192,101.677586292873,100.517288617579,111.744130711432,100.248795756835,99.3903662468179,7
"venue_32__base","MIL",22526,0.00516598765763314,0.00330849282443676,22526,0.00120555039305778,0.00223295350492718,22526,0.0052816186221859,0.00172329146548409,22526,0.00380936510423498,0.00242017884530963,22526,1.56270043565956,0.775848030119526,"MIL","Brewers","American Family Field","2015-2026","mil","MIL","base",2026,2015,22526,0.00516598765763314,0.00120555039305778,0.0052816186221859,0.00380936510423498,1.56270043565956,0.0144320855281057,101.434127686634,110.047053326666,105.397087172291,105.596408556928,114.703971242691,104.508084414745,101.402230752809,100.369790748234,111.554521725027,100.547990790366,106.515627103391,8
"venue_7__walls_in","KCR",2230,0.00469249002058051,0.00775035868025955,2230,0.00202381022744781,0.00542453930997387,2230,-2.72538702328879e-05,0.00329794117590506,2230,0.00749785559511547,0.00502794309061566,2230,4.55186982299178,1.19793235102568,"KC","Royals","Kauffman Stadium","2026","kcr","KCR","walls_in",2026,2026,2230,0.00469249002058051,0.00202381022744781,-2.72538702328879e-05,0.00749785559511547,4.55186982299178,-0.0117788098333131,102.454495796444,98.844825740343,110.871995201285,114.421525231513,86.1833462911108,104.111010465993,101.27370683985,100.620783919612,99.940377096829,101.596200196162,94.6822423934388,9
"venue_15__humidor","AZ",17179,1.15977761123164e-05,0.00351754156235859,17179,0.00191034345315919,0.00242624597962703,17179,-0.00557741535634244,0.001783832805523,17179,0.00193640464596593,0.00254159263472376,17179,3.9796298398324,0.786263947416581,"AZ","Diamondbacks","Chase Field","2018-2026","az","AZ","humidor",2026,2018,17179,1.15977761123164e-05,0.00191034345315919,-0.00557741535634244,0.00193640464596593,3.9796298398324,-0.00583521497920531,102.313002992886,87.1334553510508,102.61701053218,112.732064393782,92.650696504094,100.185625792975,100.003148044364,100.585979100498,87.7983679787753,101.395533303459,97.36558622809,10
"venue_14__of_renovation","TOR",8653,-0.000392068190612555,0.00436474340440257,8653,0.00124386061410029,0.00313696233535889,8653,0.00187708470282209,0.00205744742028275,8653,0.00121671467959571,0.00304609374313251,8653,-2.67636343879742,0.837016214821418,"TOR","Blue Jays","Rogers Centre","2023-2026","tor","TOR","of_renovation",2026,2023,8653,-0.000392068190612555,0.00124386061410029,0.00187708470282209,0.00121671467959571,-2.67636343879742,0.00427209983881029,101.481900443146,102.863161861099,101.54875879478,93.0811481499254,103.648677733552,99.8471125104539,99.8935789029107,100.381542032449,104.106471430438,99.0614819816614,101.92871705506,11
"venue_12__trop_return","TBR",2241,-0.000832568777976356,0.0076903395390087,2241,-0.0003885783802017,0.00538650044792834,2241,0.00290856274110161,0.00328147286804052,2241,0.00794836509911098,0.00500934319723048,2241,1.35664025675678,1.19968478452663,"TBR","Rays","Tropicana Field","2026","tbr","TBR","trop_return",2026,2026,2241,-0.000832568777976356,-0.0003885783802017,0.00290856274110161,0.00794836509911098,1.35664025675678,0.00491644864731397,99.446252815106,105.039678956132,111.54069642382,104.988043862538,104.34980718571,99.4777098060578,99.7740115498375,99.8808073965303,106.363021222224,100.475731848266,102.219620026259,12
"venue_22__base","LAD",21840,-0.0010192249766904,0.00330836254935733,21840,-0.00454726933716305,0.00223340944403488,21840,0.00519815324521716,0.00172341457973948,21840,0.00265050271586909,0.00241903119070997,21840,-1.73635603013927,0.774441491456953,"LAD","Dodgers","Dodger Stadium","2015-2026","lad","LAD","base",2026,2015,21840,-0.0010192249766904,-0.00454726933716305,0.00519815324521716,0.00265050271586909,-1.73635603013927,0.00594073644895959,94.2603748669324,109.870933416135,103.676962093956,95.8563923671113,105.464356224589,99.3211803789124,99.7233464922753,98.6051697711715,111.371925710347,99.3911135547163,102.682053355737,13
"venue_17__base","CHC",21391,-0.00132311908835612,0.00330276628937116,21391,-0.00160261408964221,0.00222524393834923,21391,0.000922461353302922,0.00172286643144794,21391,-0.00193662769707944,0.00241774377498094,21391,-3.51962089707526,0.775104902347572,"CHC","Cubs","Wrigley Field","2015-2026","chc","CHC","base",2026,2015,21391,-0.00132311908835612,-0.00160261408964221,0.000922461353302922,-0.00193662769707944,-3.51962089707526,0.00495813581078417,97.9323531098769,100.848815493617,96.8681829497538,90.5915450221957,104.395167862568,99.0663355275781,99.6408589415461,99.5084138607954,102.01805554503,98.7657776287997,102.238440453261,14
"venue_2394__cf_in_412","DET",8503,-0.00298244379630003,0.0043724756921929,8503,-0.00300261467068901,0.00315004735766335,8503,-0.00144720433125259,0.002055391096079,8503,-0.00495749113461946,0.00305092672441193,8503,-1.29746006926174,0.837658888545342,"DET","Tigers","Comerica Park","2023-2026","det","DET","cf_in_412",2026,2023,8503,-0.00298244379630003,-0.00300261467068901,-0.00144720433125259,-0.00495749113461946,-1.29746006926174,-0.00622288180482341,96.1865556424003,95.8485947612865,92.3842485246622,97.1521730877233,92.2288681007843,97.6748299265208,99.1904598526251,99.0789774263044,96.8339717268167,99.5450208161474,97.1905669994994,15
"venue_5__wind_tunnel","CLE",5701,-0.00328542569743613,0.00489864843806931,5701,-0.0018340849912113,0.00356196451103797,5701,-0.00261119174933874,0.00223237533436161,5701,-0.00369939881489251,0.00336109822356283,5701,-2.44333188410276,0.874620702872102,"CLE","Guardians","Progressive Field","2024-2026","cle","CLE","wind_tunnel",2026,2024,5701,-0.00328542569743613,-0.0018340849912113,-0.00261119174933874,-0.00369939881489251,-2.44333188410276,0.00596892401893068,97.6437094341352,93.3924702294509,94.2516627851893,93.7691421685166,105.495027710639,97.4207500526833,99.1082199079187,99.4374124340789,94.2875330548839,99.1431989524404,102.694779146097,16
"venue_4705__suntrust","ATL",18466,-0.00429897540884738,0.00345070791261642,18466,-0.000209183403217376,0.0023640772580794,18466,-0.0013401328243278,0.0017656740798439,18466,-0.00235275584439716,0.0025040936309786,18466,0.271554565505107,0.782026830117563,"ATL","Braves","Truist Park","2017-2026","atl","ATL","suntrust",2026,2017,18466,-0.00429897540884738,-0.000209183403217376,-0.0013401328243278,-0.00235275584439716,0.271554565505107,0.00468013069733881,99.6699579340446,96.0745258587643,96.2505147354876,101.784475718223,104.092664668157,96.5707897684624,98.833106866806,99.9358350446075,97.0682105352943,100.095225801173,102.112929996126,17
"venue_4__base","CHW",22101,-0.00543382723839068,0.00329379106483237,22101,-0.00536520136900214,0.00221452131727553,22101,0.00192767208046802,0.00172065512674666,22101,-0.00626081010005044,0.00241382963478377,22101,-2.4499805049568,0.774463611906526,"CHW","White Sox","Rate Field","2015-2026","chw","CHW","base",2026,2015,22101,-0.00543382723839068,-0.00536520136900214,0.00192767208046802,-0.00626081010005044,-2.4499805049568,0.000340612304675347,93.2404155261406,102.969906055501,90.4497033534546,93.7495130183552,99.3707436944148,95.6191058276282,98.5250681642907,98.3542771500082,104.217140714957,99.1408674864003,100.153775610584,18
"venue_3312__base","MIN",23157,-0.00558557692832284,0.00326490426065772,23157,0.000789615280492937,0.00219233412993034,23157,-0.00237680096811547,0.00171051741571613,23157,-0.000180780442097387,0.00239668621105999,23157,-0.398850372779898,0.772257291888615,"MIN","Twins","Target Field","2015-2026","min","MIN","base",2026,2015,23157,-0.00558557692832284,0.000789615280492937,-0.00237680096811547,-0.000180780442097387,-0.398850372779898,-0.00612278901960313,100.915457568935,93.8870571458156,99.474425871555,99.8051961816884,92.3377811595816,95.4918489125179,98.4838779609735,100.242206735672,94.8003064237171,99.8601354898036,97.2357557051071,19
"venue_4169__fence_reduced","MIA",12167,-0.00594333632842485,0.00382290188830549,12167,-0.00149132894647367,0.00268963734164575,12167,-0.00530818154284107,0.00187970063281779,12167,-0.00367362834778955,0.00272425414494286,12167,-1.59382735813591,0.805028705300448,"MIA","Marlins","loanDepot park","2021-2026","mia","MIA","fence_reduced",2026,2021,12167,-0.00594333632842485,-0.00149132894647367,-0.00530818154284107,-0.00367362834778955,-1.59382735813591,-0.00171351050422124,98.0711254245042,87.7015643906035,94.2899144595807,96.2771889152206,97.1356095858998,95.1918327633642,98.3867694763668,99.5425494859809,88.3873669523374,99.4410939590463,99.2264045649184,20
"venue_3313__base","NYY",22046,-0.0059598448587666,0.00331029342481535,22046,-0.00649849382524804,0.00223332680964903,22046,0.00620742358500089,0.00172490997824216,22046,-0.00128301161107102,0.00242083858123598,22046,-2.81527438983855,0.775341828118935,"NYY","Yankees","Yankee Stadium","2015-2026","nyy","NYY","base",2026,2015,22046,-0.0059598448587666,-0.00649849382524804,0.00620742358500089,-0.00128301161107102,-2.81527438983855,0.00548591229828576,91.8272024697967,112.000590148055,97.8383597649075,92.6710324316557,104.969452527427,95.1779887506006,98.3822884805799,98.0066508145377,113.579892036895,99.0127702003663,102.47671473315,21
"venue_1__base","LAA",23048,-0.00670748494104183,0.00329915962614439,23048,-0.00468346249906617,0.00221544240943528,23048,0.00222724561410525,0.0017228730147663,23048,-0.00473977124401074,0.00241855724257466,23048,-0.492338844121838,0.774606595094234,"LAA","Angels","Angel Stadium","2015-2026","laa","LAA","base",2026,2015,23048,-0.00670748494104183,-0.00468346249906617,0.00222724561410525,-0.00473977124401074,-0.492338844121838,0.0100388818930456,94.0905423108914,103.602034799869,92.7074149744911,99.5291841661707,109.923634230782,94.5510196244974,98.1793526656152,98.56339385576,104.872513461508,99.8273519696025,104.532235540227,22
