"Rank","Team","Park","Years","Overall Park Factor","BACON Park Factor","HR Park Factor","Carry Park Factor","Carry (ft vs avg)","K Park Factor","Total BBE"
1,"Rockies","Coors Field","2015-2026",128.56,132.66,105.6,139.05,13.66,76.95,23058
2,"Athletics","Sutter Health Park","2025-2026",124.27,119.79,117.79,115.57,5.48,93.78,2610
3,"Reds","Great American Ball Park","2015-2026",115.49,110.76,118.82,101.98,0.75,108.05,20828
4,"Red Sox","Fenway Park","2015-2026",111.14,119.31,90.35,93.54,-2.19,90.74,22003
5,"Phillies","Citizens Bank Park","2015-2026",109.46,104.38,111.52,97.97,-0.64,108.44,21389
6,"Astros","Daikin Park","2015-2026",108.63,106.56,108.57,96.05,-1.31,115.83,20310
7,"Brewers","American Family Field","2015-2026",104.29,100.5,107.65,102.72,1.01,114.7,19797
8,"Royals","Kauffman Stadium","2026",104.26,102.6,98.77,113.69,4.83,86.18,589
9,"Orioles","Oriole Park at Camden Yards","2025-2026",102.05,99.63,108.84,100.89,0.37,97.53,2543
10,"Dodgers","Dodger Stadium","2015-2026",99.93,95.03,109.58,93.79,-2.1,105.46,20350
11,"Rays","Tropicana Field","2026",99.39,99.12,104.85,105.4,1.94,104.35,668
12,"Blue Jays","Rogers Centre","2023-2026",99.3,100.73,101.43,91.14,-3.02,103.65,6681
13,"Diamondbacks","Chase Field","2018-2026",98.86,102.02,85.8,112.14,4.29,92.65,15286
14,"White Sox","Rate Field","2015-2026",98.07,95.48,104.14,94.5,-1.85,99.37,21551
15,"Cubs","Wrigley Field","2015-2026",97.71,96.96,100.65,91.28,-2.98,104.4,21529
16,"Nationals","Nationals Park","2015-2026",97.33,98.94,99.45,96.25,-1.24,92.88,22786
17,"Guardians","Progressive Field","2024-2026",97.18,97.34,92.4,92.9,-2.41,105.5,4966
18,"Tigers","Comerica Park","2023-2026",96.63,94.71,96.49,97.05,-0.96,92.23,6563
19,"Braves","Truist Park","2017-2026",96.23,98.97,96.33,104.01,1.46,104.09,16829
20,"Yankees","Yankee Stadium","2015-2026",95.68,91.48,111.49,94.22,-1.95,104.97,20314
21,"Rangers","Globe Life Field","2021-2026",95.37,98.06,101.96,105.52,1.99,101.56,11124
22,"Twins","Target Field","2015-2026",95.2,100.26,93.95,100.82,0.35,92.34,22015
23,"Marlins","loanDepot park","2021-2026",94.08,97.09,89.55,96.27,-1.24,97.14,11356
24,"Pirates","PNC Park","2015-2026",93.68,95.98,85.08,99.88,0.02,85.37,21564
25,"Angels","Angel Stadium","2015-2026",92.6,91.18,103.51,99.54,-0.1,109.92,20547
26,"Padres","Petco Park","2015-2026",92.33,90.94,94.34,89.88,-3.46,105.86,19910
27,"Giants","Oracle Park","2021-2026",92.07,97.82,77.96,93.92,-2.05,92.05,10844
28,"Mets","Citi Field","2023-2026",91.04,89.83,98.46,92.79,-2.45,105.61,6553
29,"Mariners","T-Mobile Park","2015-2026",85.97,82.56,101.97,89.67,-3.54,121.23,20525
30,"Cardinals","Busch Stadium","2015-2026",83.18,89.33,82.69,97.61,-0.77,87.18,21463
