"Rank","Team","Park","Years","Overall Park Factor","BACON Park Factor","HR Park Factor","Carry Park Factor","Carry (ft vs avg)","K Park Factor","Total BBE"
1,"Rockies","Coors Field","2015-2026",130.51,134.2,104.08,138.48,12.71,78.2,19312
2,"Athletics","Sutter Health Park","2025-2026",123.89,120.2,116.23,114.99,4.87,97.54,2683
3,"Reds","Great American Ball Park","2015-2026",115.93,109.8,121.5,101.56,0.38,108.14,17583
4,"Red Sox","Fenway Park","2015-2026",108.69,117.54,86.56,91.14,-3.1,84.66,18889
5,"Phillies","Citizens Bank Park","2015-2026",107.61,103.9,110.97,97.12,-1.1,106.53,19185
6,"Astros","Daikin Park","2015-2026",106.93,105.3,108.21,98.38,-0.68,118.39,15393
7,"Brewers","American Family Field","2015-2026",105.07,101.11,108.36,103.75,1.11,112.34,17825
8,"Royals","Kauffman Stadium","2026",104.57,102.63,97.29,114.14,4.58,88.01,1347
9,"Orioles","Oriole Park at Camden Yards","2025-2026",104.21,100.87,111.79,102.53,0.7,96.35,3392
10,"Blue Jays","Rogers Centre","2023-2026",100.19,101.12,103.59,92.7,-2.58,106.2,5962
11,"Diamondbacks","Chase Field","2018-2026",99.65,102.21,84.53,112.7,4.1,92.08,15197
12,"Rays","Tropicana Field","2026",99.09,99.25,103.64,105.09,1.56,104.24,1445
13,"Cubs","Wrigley Field","2015-2026",98.52,97.58,99.27,91.05,-3.13,107.96,17473
14,"Dodgers","Dodger Stadium","2015-2026",98.32,94.43,108.12,94.55,-1.96,102.76,18210
15,"Tigers","Comerica Park","2023-2026",97.26,95.47,95.07,96.87,-1.18,94.71,6523
16,"Braves","Truist Park","2017-2026",97.07,99.34,98.16,103.22,0.93,104.96,15230
17,"Guardians","Progressive Field","2024-2026",97,97.4,95.96,93.62,-2.27,104.79,6128
18,"Yankees","Yankee Stadium","2015-2026",96.77,91.61,112.69,93.37,-2.36,104.69,17556
19,"White Sox","Rate Field","2015-2026",96.01,94.08,104.14,94.59,-1.95,100.83,17150
20,"Marlins","loanDepot park","2021-2026",95.36,97.74,91.7,96.08,-1.45,96.5,9439
21,"Pirates","PNC Park","2015-2026",95.26,95.91,91.39,100.62,0.07,84.74,18743
22,"Twins","Target Field","2015-2026",94.87,100.6,92.64,99.99,-0.14,93.23,20167
23,"Nationals","Nationals Park","2015-2026",94.63,96.92,97.31,95.8,-1.54,88.89,20138
24,"Angels","Angel Stadium","2015-2026",93.3,92.62,104.03,99.27,-0.39,110.61,15965
25,"Padres","Petco Park","2015-2026",93.08,91.77,92.1,89.53,-3.64,105.26,17585
26,"Rangers","Globe Life Field","2021-2026",92.82,96.42,99.75,105.85,1.81,97.8,10009
27,"Giants","Oracle Park","2021-2026",92.46,98.32,78.47,94.52,-1.97,95.41,10129
28,"Mets","Citi Field","2023-2026",91.39,89.15,97.49,91.08,-3.12,106.89,6739
29,"Mariners","T-Mobile Park","2015-2026",85.94,82.78,101.24,89.73,-3.57,119.2,19137
30,"Cardinals","Busch Stadium","2015-2026",83.6,89.72,83.74,97.71,-0.9,88.08,17934
