"park_era_id","home_team","overall_n_bbe","overall_delta","overall_se","bacon_n_bbe","bacon_delta","bacon_se","hr_n_bbe","hr_delta","hr_se","xbh_n_bbe","xbh_delta","xbh_se","carry_n_bbe","carry_delta","carry_se","team_id","team","park","years_used","team_token","team_norm","park_suffix","year_end","year_start","total_bbe","overall_resid","bacon_resid","hr_resid","xbh_resid","carry_ft","k_resid","bacon_idx_100","hr_idx_100","xbh_idx_100","carry_idx_100","k_idx_100","overall_pf_idx_100","Rank"
"venue_19__base","COL",19312,0.0358869960044565,0.0038456207701459,19312,0.0265821046839571,0.00226382979359908,19312,0.00267682458810902,0.00228234568746137,19312,0.0167273584672549,0.00308664541269436,19312,12.7124995491898,0.813226099201127,"COL","Rockies","Coors Field","2015-2026","col","COL","base",2026,2015,19312,0.0358869960044565,0.0265821046839571,0.00267682458810902,0.0167273584672549,12.7124995491898,-0.0234121703116637,134.203306446664,104.075033066225,123.705342226361,138.479063219968,78.2005915717888,130.510862026629,1
"venue_2529__sutter_health","ATH",2683,0.0280736336388981,0.00612602674441846,2683,0.0157331960994693,0.00419206664090039,2683,0.00903326092147677,0.00307429585817864,2683,0.0150961252707157,0.00444462182041774,2683,4.86634687663296,0.98168030428977,"ATH","Athletics","Sutter Health Park","2025-2026","ath","ATH","sutter_health",2026,2025,2683,0.0280736336388981,0.0157331960994693,0.00903326092147677,0.0150961252707157,4.86634687663296,-0.00174408433270463,120.198444771086,116.232880752817,121.346238063764,114.988575064616,97.5395471563337,123.888812657482,2
"venue_2602__base","CIN",17583,0.0186868777870525,0.00389506797135864,17583,0.00768165950273236,0.0023140423532708,17583,0.0117863872262666,0.00229674311956716,17583,0.00925339502329132,0.00311361378576524,17583,0.380667622494168,0.814145906457004,"CIN","Reds","Great American Ball Park","2015-2026","cin","CIN","base",2026,2015,17583,0.0186868777870525,0.00768165950273236,0.0117863872262666,0.00925339502329132,0.380667622494168,0.010133559691208,109.804712034284,121.498738620358,112.896428878375,101.558961878958,108.140447967348,115.933267047432,3
"venue_3__base","BOS",18889,0.0101454300854611,0.00386734499631344,18889,0.0136729865514482,0.0022853019990568,18889,-0.00648213220920618,0.00229061687691979,18889,0.0104670461759787,0.00309854511154007,18889,-3.1008683089875,0.814799047577339,"BOS","Red Sox","Fenway Park","2015-2026","bos","BOS","base",2026,2015,18889,0.0101454300854611,0.0136729865514482,-0.00648213220920618,0.0104670461759787,-3.1008683089875,-0.01617050768577,117.538919205169,86.5568521437959,114.651622122554,91.1356395229009,84.6638385801498,108.694144411414,4
"venue_2681__base","PHI",19185,0.00886398082970101,0.00388513869469202,19185,0.0031111402377328,0.00230782223283772,19185,0.00628193680378023,0.00229296350075931,19185,0.00359002313066132,0.00310545977533733,19185,-1.10338254583432,0.815058836830444,"PHI","Phillies","Citizens Bank Park","2015-2026","phi","PHI","base",2026,2015,19185,0.00886398082970101,0.0031111402377328,0.00628193680378023,0.00359002313066132,-1.10338254583432,0.00832398811116418,103.90462636268,110.970469897885,104.706009363507,97.1158845701264,106.525389560828,107.608079304143,5
"venue_2392__base","HOU",15393,0.00806821481442388,0.00391552825126101,15393,0.00418985077560958,0.00232071888133746,15393,0.00483713366621247,0.00231097200000253,15393,0.00408771093369623,0.00313258976299228,15393,-0.680027458089942,0.816493627017061,"HOU","Astros","Daikin Park","2015-2026","hou","HOU","base",2026,2015,15393,0.00806821481442388,0.00418985077560958,0.00483713366621247,0.00408771093369623,-0.680027458089942,0.0216151681585196,105.29713435123,108.207019504863,105.425769953411,98.3833615221045,118.387883592446,106.933644714666,6
"venue_32__base","MIL",17825,0.00586959264113947,0.00390443221690271,17825,0.000949177214550958,0.00232422184093385,17825,0.0049171066534814,0.00230070967104943,17825,0.00391883807178624,0.0031187513574602,17825,1.11268512838866,0.816589821771923,"MIL","Brewers","American Family Field","2015-2026","mil","MIL","base",2026,2015,17825,0.00586959264113947,0.000949177214550958,0.0049171066534814,0.00391883807178624,1.11268512838866,0.0148412256148849,101.113747183306,108.359982477709,105.18154449728,103.750538982966,112.342080833918,105.070249175791,7
"venue_7__walls_in","KCR",1347,0.00527915645472952,0.00807538834586148,1347,0.00212386700306651,0.00546385152228619,1347,-0.000872193786807494,0.00377610034557163,1347,0.00758176942390879,0.00552827117186837,1347,4.58162964253843,1.23157420664735,"KC","Royals","Kauffman Stadium","2026","kcr","KCR","walls_in",2026,2026,1347,0.00527915645472952,0.00212386700306651,-0.000872193786807494,0.00758176942390879,4.58162964253843,-0.0124180879492948,102.630154835906,97.2868859699271,110.478908858446,114.136164068522,88.012905899189,104.569837522932,8
"venue_2__wall_medium","BAL",3392,0.00486012198778828,0.00608596304412847,3392,0.000757406530251099,0.00416534146910452,3392,0.00670937652666053,0.00305182157713625,3392,0.00420490846415369,0.00441742392410817,3392,0.703447253773983,0.986458873612366,"BAL","Orioles","Oriole Park at Camden Yards","2025-2026","bal","BAL","wall_medium",2026,2025,3392,0.00486012198778828,0.000757406530251099,0.00670937652666053,0.00420490846415369,0.703447253773983,-0.00307993148581076,100.86619030824,111.788026587424,105.595262079083,102.525327360462,96.3472919296031,104.214693757977,9
"venue_14__of_renovation","TOR",5962,0.000109271421558268,0.00488428151747426,5962,0.000951365517974295,0.00320385171133749,5962,0.00242482046828487,0.0026484250169757,5962,0.00330744730602205,0.00372324063291164,5962,-2.57870104609372,0.880115229769688,"TOR","Blue Jays","Rogers Centre","2023-2026","tor","TOR","of_renovation",2026,2023,5962,0.000109271421558268,0.000951365517974295,0.00242482046828487,0.00330744730602205,-2.57870104609372,0.00795383026378333,101.116572065322,103.59302907145,104.297345657073,92.6989488817694,106.195020455928,100.188211236996,10
"venue_15__humidor","AZ",15197,-0.000529863500595073,0.0040989834897547,15197,0.00180064488154095,0.00251098216768382,15197,-0.00754155371315549,0.00236385697181578,15197,6.19015624160784e-05,0.00323648680062755,15197,4.10217603403857,0.827652909542151,"AZ","Diamondbacks","Chase Field","2018-2026","az","AZ","humidor",2026,2018,15197,-0.000529863500595073,0.00180064488154095,-0.00754155371315549,6.19015624160784e-05,4.10217603403857,-0.0078655321341642,102.212907232868,84.5305146481615,99.603608127771,112.7007345298,92.0761016420186,99.6465260046944,11
"venue_12__trop_return","TBR",1445,-0.00118906781600467,0.00801752067241971,1445,-0.000496918005419574,0.00542608253393155,1445,0.0024470051935788,0.00376055840535301,1445,0.00697922558655713,0.00551041315879742,1445,1.5587803610697,1.23328605794689,"TBR","Rays","Tropicana Field","2026","tbr","TBR","trop_return",2026,2026,1445,-0.00118906781600467,-0.000496918005419574,0.0024470051935788,0.00697922558655713,1.5587803610697,0.00576728497925828,99.2469821195503,103.635461418279,109.607504525909,105.086097340899,104.243509732642,99.0878313842785,12
"venue_17__base","CHC",17473,-0.0018553196236001,0.00389950576282122,17473,-0.00179092275251435,0.00231681424180499,17473,0.000164842950621506,0.0023002343027832,17473,-0.00126580414240666,0.00311678955273878,17473,-3.12871637751792,0.815804349847844,"CHC","Cubs","Wrigley Field","2015-2026","chc","CHC","base",2026,2015,17473,-0.0018553196236001,-0.00179092275251435,0.000164842950621506,-0.00126580414240666,-3.12871637751792,0.00993256782844745,97.5765507255098,99.2704085032807,97.6834681615198,91.0522655750231,107.961060978089,98.5231638115024,13
"venue_22__base","LAD",18210,-0.00209580750504704,0.00390456478936558,18210,-0.00422469169332341,0.00232466048414484,18210,0.00479039157912468,0.00230185707269528,18210,0.00207627435204862,0.00311884217245415,18210,-1.96179019299284,0.815189497012776,"LAD","Dodgers","Dodger Stadium","2015-2026","lad","LAD","base",2026,2015,18210,-0.00209580750504704,-0.00422469169332341,0.00479039157912468,0.00207627435204862,-1.96179019299284,0.00410634406119077,94.4347971471744,108.117616709718,102.516812225827,94.5459097672439,102.761105487327,98.3193434139431,14
"venue_2394__cf_in_412","DET",6523,-0.00334577243632646,0.00489016854898186,6523,-0.00341908079363897,0.00321663897635225,6523,-0.00202895791404618,0.00264468353012984,6523,-0.00422049766415452,0.00372456961078212,6523,-1.18403327473352,0.880703002833635,"DET","Tigers","Comerica Park","2023-2026","det","DET","cf_in_412",2026,2023,6523,-0.00334577243632646,-0.00341908079363897,-0.00202895791404618,-0.00422049766415452,-1.18403327473352,-0.0049126187361877,95.4747606722197,95.0743628939931,93.4103637389632,96.8744254664114,94.7116025858458,97.259962177368,15
