"Rank","Team","Park","Years","Overall Park Factor","BACON Park Factor","HR Park Factor","Carry Park Factor","Carry (ft vs avg)","K Park Factor","Total BBE"
1,"Rockies","Coors Field","2015-2026",130.47,134.23,106.65,138.77,13.02,77.06,27789
2,"Athletics","Sutter Health Park","2025-2026",124.93,120.3,117.8,114.79,4.89,89.98,4230
3,"Reds","Great American Ball Park","2015-2026",112.99,109.25,117.3,101.53,0.39,107.42,25388
4,"Red Sox","Fenway Park","2015-2026",110.08,117.92,92.61,92.02,-2.83,98.15,26480
5,"Astros","Daikin Park","2015-2026",108.87,105.42,110.12,98.86,-0.51,111.92,27485
6,"Phillies","Citizens Bank Park","2015-2026",108.32,103.98,107.75,96.54,-1.3,110.04,24346
7,"Royals","Kauffman Stadium","2026",103.82,102.45,100.55,114.07,4.65,85.04,1472
8,"Brewers","American Family Field","2015-2026",103.74,100.84,109.08,104.55,1.42,116.38,24498
9,"Orioles","Oriole Park at Camden Yards","2025-2026",103.23,100.83,106.67,101.43,0.36,99.02,3663
10,"Dodgers","Dodger Stadium","2015-2026",100.93,94.8,111.16,95.02,-1.81,108.13,23980
11,"Rays","Tropicana Field","2026",99.78,99.32,106.22,105.34,1.69,104.18,1464
12,"Diamondbacks","Chase Field","2018-2026",99.41,102.14,89.15,112.26,4.03,93.78,17268
13,"Blue Jays","Rogers Centre","2023-2026",98.96,101.11,100.46,91.45,-3.03,100.56,9372
14,"Cubs","Wrigley Field","2015-2026",98.25,97.31,102.37,90.76,-3.26,100.11,25447
15,"White Sox","Rate Field","2015-2026",97.66,94.57,102.75,93.63,-2.28,97.78,26502
16,"Guardians","Progressive Field","2024-2026",97.59,97.57,89.76,92.99,-2.5,105.92,4539
17,"Tigers","Comerica Park","2023-2026",97.04,95.4,97.53,97.3,-1.04,89.96,8543
18,"Twins","Target Field","2015-2026",95.81,100.59,95.57,100.65,0.09,91.84,25005
19,"Nationals","Nationals Park","2015-2026",95.78,96.99,100.33,95.15,-1.77,97.81,24814
20,"Braves","Truist Park","2017-2026",95.72,99.29,94.16,102.63,0.77,102.85,20065
21,"Rangers","Globe Life Field","2021-2026",95.31,96.87,101.7,105.87,1.86,105.67,13223
22,"Yankees","Yankee Stadium","2015-2026",94.07,91.64,110.26,93.49,-2.33,104.96,24804
23,"Marlins","loanDepot park","2021-2026",93.9,97.42,85.62,96.43,-1.34,98.04,14084
24,"Giants","Oracle Park","2021-2026",93.89,98.44,80.19,94.41,-2.02,88.8,13134
25,"Angels","Angel Stadium","2015-2026",93.84,92.62,102.9,99.79,-0.2,108.5,27630
26,"Padres","Petco Park","2015-2026",93.31,91.46,98.05,91.63,-2.96,106.14,24927
27,"Pirates","PNC Park","2015-2026",92.25,95.47,80.09,100.31,-0.02,87.04,25982
28,"Mets","Citi Field","2023-2026",88.63,88.68,99,91.26,-3.09,103.81,8072
29,"Mariners","T-Mobile Park","2015-2026",86.71,83.13,101.98,89.26,-3.77,122.1,23427
30,"Cardinals","Busch Stadium","2015-2026",84.71,89.97,82.25,97.8,-0.87,87.01,27043
