"park_era_id","home_team","overall_n_bbe","overall_delta","overall_se","bacon_n_bbe","bacon_delta","bacon_se","hr_n_bbe","hr_delta","hr_se","xbh_n_bbe","xbh_delta","xbh_se","carry_n_bbe","carry_delta","carry_se","team_id","team","park","years_used","team_token","team_norm","park_suffix","year_end","year_start","total_bbe","overall_resid","bacon_resid","hr_resid","xbh_resid","carry_ft","bacon_idx_100","hr_idx_100","xbh_idx_100","carry_idx_100","overall_pf_idx_100","Rank"
"venue_19__base","COL",27529,0.0358183421886961,0.00370706261346108,27529,0.0269534607240075,0.00227743776454676,27529,0.00354389183311106,0.00226143497964615,27529,0.0198037214974049,0.00298150601094879,27529,12.9971850278776,0.828876309470336,"COL","Rockies","Coors Field","2015-2026","col","COL","base",2026,2015,27529,0.0358183421886961,0.0269534607240075,0.00354389183311106,0.0198037214974049,12.9971850278776,134.401024101167,106.481396951201,129.603015141619,138.923428265856,130.832478152834,1
"venue_2529__sutter_health","ATH",3880,0.0282149860094794,0.00621048049447152,3880,0.0158376482916207,0.00433768656466839,3880,0.0074503386476745,0.00311303443959115,3880,0.0129662745493536,0.00445101635088852,3880,4.56223790449816,1.02119113104305,"ATH","Athletics","Sutter Health Park","2025-2026","ath","ATH","sutter_health",2026,2025,3880,0.0282149860094794,0.0158376482916207,0.0074503386476745,0.0129662745493536,4.56223790449816,120.18374232031,114.877096952197,119.332111095183,113.897264692411,124.336800358186,2
"venue_2602__base","CIN",25036,0.0154270953142809,0.00375906159587175,25036,0.00725882908420311,0.0023293705273072,25036,0.00892236619292684,0.00227631123829733,25036,0.00745900953547727,0.00300946835316565,25036,0.508642211597239,0.829892273629938,"CIN","Reds","Great American Ball Park","2015-2026","cin","CIN","base",2026,2015,25036,0.0154270953142809,0.00725882908420311,0.00892236619292684,0.00745900953547727,0.508642211597239,109.211310861903,118.04076517803,111.059346283173,101.870402237047,113.411885666403,3
"venue_3__base","BOS",26140,0.0112192318765034,0.00372848288819172,26140,0.013888655443814,0.00229828296709826,26140,-0.00294810913763516,0.00226941667721046,26140,0.00560818638830932,0.00299313086943561,26140,-2.78198018623112,0.830426849445902,"BOS","Red Sox","Fenway Park","2015-2026","bos","BOS","base",2026,2015,26140,0.0112192318765034,0.013888655443814,-0.00294810913763516,0.00560818638830932,-2.78198018623112,117.690952821145,92.5288474493468,108.279123329209,92.1072521921297,109.81703564867,4
"venue_2392__base","HOU",27187,0.0101940226267794,0.00377674274676013,27187,0.00435456802881595,0.00233525911260678,27187,0.00536048349353352,0.00228849498169122,27187,0.00370620120272845,0.00302492689143326,27187,-0.571798021003911,0.832322555679221,"HOU","Astros","Daikin Park","2015-2026","hou","HOU","base",2026,2015,27187,0.0101940226267794,0.00435456802881595,0.00536048349353352,0.00370620120272845,-0.571798021003911,105.496719774588,110.385599242746,105.422047071467,98.6647776377577,108.941181775548,5
"venue_2681__base","PHI",24103,0.00918977358906158,0.00374736125223523,24103,0.00312600429533281,0.00232054143716837,24103,0.00408906653232839,0.002272734953863,24103,0.00132872345554725,0.00300152218786331,24103,-1.40177110027265,0.8306188369964,"PHI","Phillies","Citizens Bank Park","2015-2026","phi","PHI","base",2026,2015,24103,0.00918977358906158,0.00312600429533281,0.00408906653232839,0.00132872345554725,-1.40177110027265,103.925369332062,107.653081461457,101.850707359531,96.2022794454734,108.083234571597,6
"venue_2__wall_medium","BAL",3386,0.00668339098800226,0.00613517508170964,3386,0.00289219042102905,0.00428623694530433,3386,0.00320679642870144,0.00308298238081467,3386,0.00197105359481931,0.00440890787150812,3386,0.533736466650509,1.02408204679692,"BAL","Orioles","Oriole Park at Camden Yards","2025-2026","bal","BAL","wall_medium",2026,2025,3386,0.00668339098800226,0.00289219042102905,0.00320679642870144,0.00197105359481931,0.533736466650509,103.626318070135,105.756914570797,102.815586689012,101.944855926267,105.941988860776,7
"venue_32__base","MIL",24214,0.00411533613385175,0.00376731709358871,24214,0.000555083641618149,0.00233795380786338,24214,0.0048514630501717,0.00228003033834144,24214,0.00366717628508941,0.00301430495228647,24214,1.43931732356205,0.832310616902856,"MIL","Brewers","American Family Field","2015-2026","mil","MIL","base",2026,2015,24214,0.00411533613385175,0.000555083641618149,0.0048514630501717,0.00366717628508941,1.43931732356205,100.637125346981,109.291617130688,105.36342560244,104.631679485746,103.74805548473,8
"venue_7__walls_in","KCR",1177,0.00150699760319014,0.00859080853647145,1177,0.000207254322034318,0.005815394667384,1177,-0.000580865139546167,0.00397554035927999,1177,0.00737465676335847,0.00574440009228886,1177,4.26862301438311,1.42767842406704,"KC","Royals","Kauffman Stadium","2026","kcr","KCR","walls_in",2026,2026,1177,0.00150699760319014,0.000207254322034318,-0.000580865139546167,0.00737465676335847,4.26862301438311,100.192246713211,97.6165067419343,110.932635358019,113.026120610517,101.519707071847,9
"venue_22__base","LAD",23634,0.000320005447604234,0.00377105289543843,23634,-0.00423639780345609,0.00234143094827536,23634,0.00586717830805874,0.00228243574956279,23634,0.00422951567514334,0.00301668413964889,23634,-1.92973348978592,0.83101292250527,"LAD","Dodgers","Dodger Stadium","2015-2026","lad","LAD","base",2026,2015,23634,0.000320005447604234,-0.00423639780345609,0.00586717830805874,0.00422951567514334,-1.92973348978592,94.5087526106898,111.474583134439,106.208146440592,94.6358353495805,100.505639283134,10
"venue_12__trop_return","TBR",1192,-0.000465550876678167,0.00857987375745507,1192,0.000483502305912576,0.0058087391971625,1192,0.004017575494303,0.0039710443588898,1192,0.00752308939777282,0.00574471220792398,1192,2.35736131646279,1.44416395272034,"TBR","Rays","Tropicana Field","2026","tbr","TBR","trop_return",2026,2026,1192,-0.000465550876678167,0.000483502305912576,0.004017575494303,0.00752308939777282,2.35736131646279,100.545571803219,107.49943357208,111.155604158656,107.355480690174,99.8345250209825,11
"venue_14__of_renovation","TOR",9133,-0.000670131680287268,0.00479513896386597,9133,0.00107490687227021,0.00324210525774849,9133,0.00127915809157615,0.00263682383121324,9133,-0.000277878669203653,0.00364105547441042,9133,-2.98748595303101,0.899552538083042,"TOR","Blue Jays","Rogers Centre","2023-2026","tor","TOR","of_renovation",2026,2023,9133,-0.000670131680287268,0.00107490687227021,0.00127915809157615,-0.000277878669203653,-2.98748595303101,101.301986632773,101.614051770621,99.4373421971406,91.4975244890401,99.6597481261624,12
"venue_15__humidor","AZ",16973,-0.000673251047035937,0.00397240940752398,16973,0.00172463304662024,0.00252924300635159,16973,-0.00443767584181605,0.00234687823492553,16973,0.00293479077598431,0.00314000487078093,16973,4.05199707574663,0.843942955452824,"AZ","Diamondbacks","Chase Field","2018-2026","az","AZ","humidor",2026,2018,16973,-0.000673251047035937,0.00172463304662024,-0.00443767584181605,0.00293479077598431,4.05199707574663,102.132995626251,89.3274842225004,104.263269163031,112.383399785446,99.6570831975644,13
"venue_17__base","CHC",25119,-0.00266565908092684,0.0037616662141285,25119,-0.00237610518844454,0.00233056158669581,25119,0.00168182552793808,0.00227901663418588,25119,-0.00282975418469689,0.00301152398722035,25119,-3.367091529963,0.831509829022092,"CHC","Cubs","Wrigley Field","2015-2026","chc","CHC","base",2026,2015,25119,-0.00266565908092684,-0.00237610518844454,0.00168182552793808,-0.00282975418469689,-3.367091529963,96.8880932538808,102.479460966328,95.6040300329341,90.3712493479239,97.95493478855,14
"venue_4__base","CHW",26151,-0.00267193163307341,0.00375392435991156,26151,-0.00394514914439148,0.00232142459963767,26151,0.00216571033934249,0.00227599564352638,26151,-0.00418327327524426,0.00300705882116857,26151,-2.23007498049591,0.830609454394475,"CHW","White Sox","Rate Field","2015-2026","chw","CHW","base",2026,2015,26151,-0.00267193163307341,-0.00394514914439148,0.00216571033934249,-0.00418327327524426,-2.23007498049591,94.881263777049,103.519421806559,93.5708347760416,93.7447337025332,97.9495760395011,15
