"park_era_id","rank","team_id","team","park","years_used","overall_resid","bacon_resid","hr_resid","xbh_resid","carry_ft","bacon_idx_100","hr_idx_100","xbh_idx_100","carry_idx_100","overall_pf_idx_100","total_bbe","overall_se","bacon_se","hr_se","xbh_se","carry_se","bacon_rank","hr_rank","xbh_rank","carry_rank","team_token","team_norm","park_suffix","year_end","year_start","k_resid","k_n_pa","k_idx_100","Rank"
"venue_19__base",2,"COL","Rockies","Coors Field","2015-2026",0.0353315020190448,0.0265100665977177,0.00305513369475801,0.017648533675055,12.8446151065827,134.219921594381,105.401039875843,126.533348897713,138.647597382088,130.583893706399,47101,0.00324726199744779,0.00217028990278924,0.00170708878951896,0.00239003059314237,0.772878569256748,1,16,1,3,"col","COL","base",2026,2015,-0.0202642299578413,67462,76.9501826928088,1
"venue_2529__sutter_health",4,"ATH","Athletics","Sutter Health Park","2025-2026",0.0282508845442131,0.0157185085159964,0.0086033243851944,0.0146396504030037,4.87000505366874,120.248868032932,117.325982646097,121.950856289282,114.89826478253,124.482986147875,6913,0.00570090987195244,0.00414084538511537,0.00251427858912775,0.00383919099546841,0.940755631668473,2,5,5,4,"ath","ATH","sutter_health",2026,2025,-0.00479595134049092,10275,93.7815410653408,2
"venue_2602__base",6,"CIN","Reds","Great American Ball Park","2015-2026",0.0166771446954468,0.00743794327634578,0.00981142825616145,0.00794680361823856,0.386616074043883,109.528616183647,119.922607442472,111.757732080897,101.54620175452,114.510647269987,42971,0.00329824648599843,0.00222237497493061,0.00171970989530598,0.00241525409574014,0.773708442749389,6,3,7,21,"cin","CIN","base",2026,2015,0.00831678940031549,65979,108.049789272808,3
"venue_3__base",8,"BOS","Red Sox","Fenway Park","2015-2026",0.0107615305363393,0.0137747623557029,-0.00448288587909153,0.00783166942036483,-2.96147700759471,117.732439773947,89.1992802329817,111.582384098596,91.5751842825044,109.413547297437,45369,0.00326956980402338,0.00219257537069665,0.00171392417518282,0.00240006731785574,0.774163139472646,3,46,8,48,"bos","BOS","base",2026,2015,-0.00759343197835048,66402,90.7375437130291,4
"venue_2681__base",10,"PHI","Phillies","Citizens Bank Park","2015-2026",0.00910642400687937,0.00312142595927341,0.00502932930600082,0.00242132644661715,-1.19965202647475,103.940331880392,109.644255546483,103.342497587686,96.8221076030421,107.987449648237,43531,0.00328932176423267,0.00221599254501813,0.00171751865412437,0.00240883485968522,0.77452790726477,12,10,21,35,"phi","PHI","base",2026,2015,0.00867782784545679,65342,108.442642776857,5
"venue_2392__base",11,"HOU","Astros","Daikin Park","2015-2026",0.00903662742218017,0.00421890047473884,0.0048700316584069,0.00363349232436807,-0.595511896472348,105.361153148441,109.301870895885,105.188611468734,98.6213084152404,107.927310470734,42878,0.00331625038077469,0.00222914670956509,0.0017297815409728,0.0024283627829202,0.775498673572742,10,12,16,30,"hou","HOU","base",2026,2015,0.0154647668153267,64441,115.827653409278,6
"venue_32__base",16,"MIL","Brewers","American Family Field","2015-2026",0.00496472175291646,0.000832294090635278,0.0046743495462015,0.00368960468971656,1.26300925526841,100.976757602815,108.881283695587,105.274069918332,104.15620437669,104.418814190076,42323,0.00330849282443676,0.00223295350492718,0.00172329146548409,0.00242017884530963,0.775848030119526,22,13,15,16,"mil","MIL","base",2026,2015,0.0144320855282066,65431,114.70397124282,7
"venue_7__walls_in",17,"KC","Royals","Kauffman Stadium","2026",0.00471829793389021,0.00203825266383402,-1.38809627231456e-05,0.0072059652779601,4.60620084411517,102.538025372628,98.8046869035815,110.629444303866,114.112624623038,104.206486812494,2819,0.00775035868025955,0.00542453930997387,0.00329794117590506,0.00502794309061566,1.19793235102568,16,26,10,5,"kcr","KCR","walls_in",2026,2026,-0.0117788098332607,4056,86.1833462911236,8
"venue_2__wall_medium",18,"BAL","Orioles","Oriole Park at Camden Yards","2025-2026",0.0041686859391928,0.000734086106017898,0.00499187880563795,0.00280892863760591,0.531094132526499,100.849614793328,109.563761724539,103.932811007856,101.976474512871,103.73292190313,7055,0.00565996077342678,0.00411382852135134,0.00249662410768344,0.00381548104492827,0.945867653313724,23,11,19,20,"bal","BAL","wall_medium",2026,2025,-0.00135033609615681,10457,97.5307872759822,9
"venue_22__base",23,"LAD","Dodgers","Dodger Stadium","2015-2026",-0.000601792721435466,-0.00407850199647867,0.00507997702723432,0.00309326757545638,-1.88426266900954,94.6191033472508,109.753114670268,104.365855750101,94.7832560801623,99.6225107106246,42190,0.00330836254935733,0.00223340944403488,0.00172341457973948,0.00241903119070997,0.774441491456953,47,9,18,40,"lad","LAD","base",2026,2015,0.00594073644906365,64062,105.464356224701,10
"venue_14__of_renovation",24,"TOR","Blue Jays","Rogers Centre","2023-2026",-0.000656279039279185,0.000936635384684069,0.00154593529504576,0.00115159755638754,-2.79754207191539,101.111840766598,102.157260858559,101.408715939114,92.0634019240319,99.5755633942994,15334,0.00436474340440257,0.00313696233535889,0.00205744742028275,0.00304609374313251,0.837016214821418,20,21,23,46,"tor","TOR","of_renovation",2026,2023,0.00427209983866353,22570,103.648677733387,11
"venue_15__humidor",25,"AZ","Diamondbacks","Chase Field","2018-2026",-0.000713310907161627,0.00175970761786398,-0.00576866245465946,0.00123379433002335,4.06064774992087,102.177413148975,86.4357104614145,101.533900625114,112.487902937744,99.526422743067,32465,0.00351754156235859,0.00242624597962703,0.001783832805523,0.00254159263472376,0.786263947416581,17,48,22,6,"az","AZ","humidor",2026,2018,-0.00583521497914479,47278,92.6506965041299,12
"venue_12__trop_return",27,"TBR","Rays","Tropicana Field","2026",-0.000824980370345683,-0.000477483604513693,0.00284951320927833,0.00779268509359748,1.61946590999387,99.2810826878544,104.959091742019,111.523011443327,105.217774484097,99.4302044295629,2909,0.0076903395390087,0.00538650044792834,0.00328147286804052,0.00500934319723048,1.19968478452663,27,17,9,15,"tbr","TBR","trop_return",2026,2026,0.00491644864738616,4153,104.349807185785,13
"venue_17__base",28,"CHC","Cubs","Wrigley Field","2015-2026",-0.00204039950868026,-0.00189834304526473,0.000891409055345484,-0.00192553740595757,-3.18894339076607,97.4415982316064,100.750462068548,96.7222768369152,90.8977624708659,98.3829568082649,42920,0.00330276628937116,0.00222524393834923,0.00172286643144794,0.00241774377498094,0.775104902347572,36,23,31,51,"chc","CHC","base",2026,2015,0.00495813581073735,65011,104.395167862513,14
"venue_5__wind_tunnel",32,"CLE","Guardians","Progressive Field","2024-2026",-0.00331109553776769,-0.00186555094175579,-0.00276922138194863,-0.00343730470459754,-2.38251341420228,97.4840518079154,92.8825262128055,94.4198736376835,93.2994063888239,97.2880806853842,10667,0.00489864843806931,0.00356196451103797,0.00223237533436161,0.00336109822356283,0.874620702872102,35,43,39,45,"cle","CLE","wind_tunnel",2026,2024,0.00596892401889563,15943,105.4950277106,15
"venue_2394__cf_in_412",33,"DET","Tigers","Comerica Park","2023-2026",-0.00348070852995945,-0.00344695117244467,-0.00124638606794913,-0.0045047626627943,-1.11055455588398,95.436726745331,96.1556155821504,92.7941481571755,97.0874504158943,97.14193620155,15066,0.0043724756921929,0.00315004735766335,0.002055391096079,0.00305092672441193,0.837658888545342,45,36,42,34,"det","DET","cf_in_412",2026,2023,-0.00622288180478869,22378,92.2288681007913,16
"venue_4__base",35,"CHW","White Sox","Rate Field","2015-2026",-0.00385250106034639,-0.00430577320808265,0.00219825403494816,-0.00567111855254078,-2.11245065923429,94.3248716666863,103.559314983106,91.0178023303998,94.1036852373106,96.8215867593012,43652,0.00329379106483237,0.00221452131727553,0.00172065512674666,0.00241382963478377,0.774463611906526,48,20,46,42,"chw","CHW","base",2026,2015,0.000340612304686321,65197,99.3707436944118,17
