"park_era_half_id","park_era_id","half","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","half_effect","half_se","delta_overall","delta_half","pf_index_overall","pf_index_half","component"
"venue_19__base__1H","venue_19__base","1H",24043,"19","Coors Field","COL",0.00533530412670027,0.000398232251206314,0,0,0.00533530412670027,0.00533530412670027,1534.42111595036,1534.42111595036,"triple_resid"
"venue_19__base__2H","venue_19__base","2H",22394,"19","Coors Field","COL",0.00533530412670027,0.000398232251206314,0,0,0.00533530412670027,0.00533530412670027,1534.42111595036,1534.42111595036,"triple_resid"
"venue_15__base__1H","venue_15__base","1H",6341,"15","Chase Field","AZ",0.00487590045017673,0.000725323893669825,0,0,0.00487590045017673,0.00487590045017673,1410.90831917224,1410.90831917224,"triple_resid"
"venue_15__base__2H","venue_15__base","2H",6385,"15","Chase Field","AZ",0.00487590045017673,0.000725323893669825,0,0,0.00487590045017673,0.00487590045017673,1410.90831917224,1410.90831917224,"triple_resid"
"venue_2394__base__1H","venue_2394__base","1H",14854,"2394","Comerica Park","DET",0.00404027866129217,0.000490763528962324,0,0,0.00404027866129217,0.00404027866129217,1186.24754811596,1186.24754811596,"triple_resid"
"venue_2394__base__2H","venue_2394__base","2H",15251,"2394","Comerica Park","DET",0.00404027866129217,0.000490763528962324,0,0,0.00404027866129217,0.00404027866129217,1186.24754811596,1186.24754811596,"triple_resid"
"venue_2395__base__1H","venue_2395__base","1H",10661,"2395","AT&T Park","SFG",0.00394065634935789,0.00057899549731714,0,0,0.00394065634935789,0.00394065634935789,1159.46363018649,1159.46363018649,"triple_resid"
"venue_2395__base__2H","venue_2395__base","2H",10322,"2395","AT&T Park","SFG",0.00394065634935789,0.00057899549731714,0,0,0.00394065634935789,0.00394065634935789,1159.46363018649,1159.46363018649,"triple_resid"
"venue_15__humidor__1H","venue_15__humidor","1H",17179,"15","Chase Field","AZ",0.00393291186635284,0.000469661479000397,0,0,0.00393291186635284,0.00393291186635284,1157.38149022019,1157.38149022019,"triple_resid"
"venue_15__humidor__2H","venue_15__humidor","2H",14717,"15","Chase Field","AZ",0.00393291186635284,0.000469661479000397,0,0,0.00393291186635284,0.00393291186635284,1157.38149022019,1157.38149022019,"triple_resid"
"venue_7__base__1H","venue_7__base","1H",21240,"7","Kauffman Stadium","KCR",0.00235508810825718,0.000412627413065801,0,0,0.00235508810825718,0.00235508810825718,733.176297392626,733.176297392626,"triple_resid"
"venue_7__base__2H","venue_7__base","2H",22105,"7","Kauffman Stadium","KCR",0.00235508810825718,0.000412627413065801,0,0,0.00235508810825718,0.00235508810825718,733.176297392626,733.176297392626,"triple_resid"
"venue_2394__cf_in_412__1H","venue_2394__cf_in_412","1H",8503,"2394","Comerica Park","DET",0.0017457253676802,0.000667534202482649,0,0,0.0017457253676802,0.0017457253676802,569.346314771263,569.346314771263,"triple_resid"
"venue_2394__cf_in_412__2H","venue_2394__cf_in_412","2H",5907,"2394","Comerica Park","DET",0.0017457253676802,0.000667534202482649,0,0,0.0017457253676802,0.0017457253676802,569.346314771263,569.346314771263,"triple_resid"
"venue_17__base__1H","venue_17__base","1H",21391,"17","Wrigley Field","CHC",0.00119762664691727,0.00041245306368153,0,0,0.00119762664691727,0.00119762664691727,421.987446369891,421.987446369891,"triple_resid"
"venue_17__base__2H","venue_17__base","2H",20965,"17","Wrigley Field","CHC",0.00119762664691727,0.00041245306368153,0,0,0.00119762664691727,0.00119762664691727,421.987446369891,421.987446369891,"triple_resid"
"venue_2395__bullpen_center__1H","venue_2395__bullpen_center","1H",12419,"2395","Oracle Park","SFG",0.00116562371575479,0.000545133800805722,0,0,0.00116562371575479,0.00116562371575479,413.383310758943,413.383310758943,"triple_resid"
"venue_2395__bullpen_center__2H","venue_2395__bullpen_center","2H",10160,"2395","Oracle Park","SFG",0.00116562371575479,0.000545133800805722,0,0,0.00116562371575479,0.00116562371575479,413.383310758943,413.383310758943,"triple_resid"
"venue_4169__base__1H","venue_4169__base","1H",2138,"4169","Marlins Park","MIA",0.00108049568985157,0.00111453775969254,0,0,0.00108049568985157,0.00108049568985157,390.49624846316,390.49624846316,"triple_resid"
"venue_4169__base__2H","venue_4169__base","2H",2135,"4169","Marlins Park","MIA",0.00108049568985157,0.00111453775969254,0,0,0.00108049568985157,0.00108049568985157,390.49624846316,390.49624846316,"triple_resid"
"venue_4169__fence_reduced__1H","venue_4169__fence_reduced","1H",12167,"4169","loanDepot park","MIA",0.000952858107527835,0.000541685514239207,0,0,0.000952858107527835,0.000952858107527835,356.18029590897,356.18029590897,"triple_resid"
"venue_4169__fence_reduced__2H","venue_4169__fence_reduced","2H",10741,"4169","loanDepot park","MIA",0.000952858107527835,0.000541685514239207,0,0,0.000952858107527835,0.000952858107527835,356.18029590897,356.18029590897,"triple_resid"
"venue_13__base__1H","venue_13__base","1H",10645,"13","Globe Life Park in Arlington","TEX",0.000916638878480332,0.0005734498415655,0,0,0.000916638878480332,0.000916638878480332,346.44258916997,346.44258916997,"triple_resid"
"venue_13__base__2H","venue_13__base","2H",11183,"13","Globe Life Park in Arlington","TEX",0.000916638878480332,0.0005734498415655,0,0,0.000916638878480332,0.000916638878480332,346.44258916997,346.44258916997,"triple_resid"
"venue_5340__base__1H","venue_5340__base","1H",326,"5340","Estadio Alfredo Harp Helu","AZ",0.000877669372961642,0.00181215394221221,0,0,0.000877669372961642,0.000877669372961642,335.965457919961,335.965457919961,"triple_resid"
"venue_4169__cf_in_407__1H","venue_4169__cf_in_407","1H",8528,"4169","Marlins Park","MIA",0.000753912202787357,0.000647057077174917,0,0,0.000753912202787357,0.000753912202787357,302.692772065023,302.692772065023,"triple_resid"
"venue_4169__cf_in_407__2H","venue_4169__cf_in_407","2H",7897,"4169","Marlins Park","MIA",0.000753912202787357,0.000647057077174917,0,0,0.000753912202787357,0.000753912202787357,302.692772065023,302.692772065023,"triple_resid"
"venue_5355__sutter_health__1H","venue_5355__sutter_health","1H",342,"5355","Las Vegas Ballpark","ATH",0.000630908961139283,0.00180796549677586,0,0,0.000630908961139283,0.000630908961139283,269.622783370777,269.622783370777,"triple_resid"
"venue_2536__base__2H","venue_2536__base","2H",46,"2536","TD Ballpark","TOR",0.000528172077058968,0.00197522515680326,0,0,0.000528172077058968,0.000528172077058968,242.001498358316,242.001498358316,"triple_resid"
"venue_6130__base__2H","venue_6130__base","2H",44,"6130","Bristol Motor Speedway","CIN",0.000490230841572186,0.00197651013669943,0,0,0.000490230841572186,0.000490230841572186,231.800822247815,231.800822247815,"triple_resid"
"venue_2681__base__1H","venue_2681__base","1H",22142,"2681","Citizens Bank Park","PHI",0.000450635901098555,0.000410276391109645,0,0,0.000450635901098555,0.000450635901098555,221.155539926243,221.155539926243,"triple_resid"
"venue_2681__base__2H","venue_2681__base","2H",20870,"2681","Citizens Bank Park","PHI",0.000450635901098555,0.000410276391109645,0,0,0.000450635901098555,0.000450635901098555,221.155539926243,221.155539926243,"triple_resid"
"venue_5365__base__1H","venue_5365__base","1H",44,"5365","TD Ameritrade Park","KCR",0.000398111095036012,0.00197800822098175,0,0,0.000398111095036012,0.000398111095036012,207.034003620513,207.034003620513,"triple_resid"
"venue_7__walls_in__1H","venue_7__walls_in","1H",2230,"7","Kauffman Stadium","KCR",0.000320727374688957,0.00131795133575365,0,0,0.000320727374688957,0.000320727374688957,186.229033583076,186.229033583076,"triple_resid"
"venue_12__base__1H","venue_12__base","1H",18527,"12","Tropicana Field","TBR",0.000268927141828282,0.000447099971363078,0,0,0.000268927141828282,0.000268927141828282,172.30230212373,172.30230212373,"triple_resid"
"venue_12__base__2H","venue_12__base","2H",17109,"12","Tropicana Field","TBR",0.000268927141828282,0.000447099971363078,0,0,0.000268927141828282,0.000268927141828282,172.30230212373,172.30230212373,"triple_resid"
"venue_32__base__1H","venue_32__base","1H",22526,"32","American Family Field","MIL",0.000118052384594685,0.000414256781548655,0,0,0.000118052384594685,0.000118052384594685,131.73892794667,131.73892794667,"triple_resid"
"venue_32__base__2H","venue_32__base","2H",19265,"32","American Family Field","MIL",0.000118052384594685,0.000414256781548655,0,0,0.000118052384594685,0.000118052384594685,131.73892794667,131.73892794667,"triple_resid"
"venue_3__base__1H","venue_3__base","1H",23366,"3","Fenway Park","BOS",4.30212449925461e-05,0.000404387638285186,0,0,4.30212449925461e-05,4.30212449925461e-05,111.566460090429,111.566460090429,"triple_resid"
"venue_3__base__2H","venue_3__base","2H",21441,"3","Fenway Park","BOS",4.30212449925461e-05,0.000404387638285186,0,0,4.30212449925461e-05,4.30212449925461e-05,111.566460090429,111.566460090429,"triple_resid"
"venue_16__base__1H","venue_16__base","1H",4131,"16","Turner Field","ATL",4.05350313630543e-05,0.000859857852300556,0,0,4.05350313630543e-05,4.05350313630543e-05,110.898030092023,110.898030092023,"triple_resid"
"venue_16__base__2H","venue_16__base","2H",4260,"16","Turner Field","ATL",4.05350313630543e-05,0.000859857852300556,0,0,4.05350313630543e-05,4.05350313630543e-05,110.898030092023,110.898030092023,"triple_resid"
"venue_5150__base__1H","venue_5150__base","1H",123,"5150","Gocheok Sky Dome","LAD",8.25387769212706e-06,0.00192622326377539,0,0,8.25387769212706e-06,8.25387769212706e-06,102.219093076777,102.219093076777,"triple_resid"
"venue_2__wall_deep__1H","venue_2__wall_deep","1H",6386,"2","Oriole Park at Camden Yards","BAL",-8.96678113160677e-05,0.000716395380385087,0,0,-8.96678113160677e-05,-8.96678113160677e-05,75.8923954626803,75.8923954626803,"triple_resid"
"venue_2__wall_deep__2H","venue_2__wall_deep","2H",6165,"2","Oriole Park at Camden Yards","BAL",-8.96678113160677e-05,0.000716395380385087,0,0,-8.96678113160677e-05,-8.96678113160677e-05,75.8923954626803,75.8923954626803,"triple_resid"
"venue_31__base__1H","venue_31__base","1H",23161,"31","PNC Park","PIT",-0.000102888367476718,0.000405085318580472,0,0,-0.000102888367476718,-0.000102888367476718,72.3379879779146,72.3379879779146,"triple_resid"
"venue_31__base__2H","venue_31__base","2H",20908,"31","PNC Park","PIT",-0.000102888367476718,0.000405085318580472,0,0,-0.000102888367476718,-0.000102888367476718,72.3379879779146,72.3379879779146,"triple_resid"
"venue_3949__base__1H","venue_3949__base","1H",32,"3949","Rickwood Field","STL",-0.000122229711064255,0.00198461333291262,0,0,-0.000122229711064255,-0.000122229711064255,67.1379785700212,67.1379785700212,"triple_resid"
"venue_2756__base__2H","venue_2756__base","2H",41,"2756","Sahlen Field","TOR",-0.000132145915896219,0.00197855904555059,0,0,-0.000132145915896219,-0.000132145915896219,64.4719611765845,64.4719611765845,"triple_resid"
"venue_2392__base__1H","venue_2392__base","1H",22568,"2392","Minute Maid Park","HOU",-0.000258682886240262,0.000413737238290572,0,0,-0.000258682886240262,-0.000258682886240262,30.4519132281396,30.4519132281396,"triple_resid"
"venue_2392__base__2H","venue_2392__base","2H",19778,"2392","Minute Maid Park","HOU",-0.000258682886240262,0.000413737238290572,0,0,-0.000258682886240262,-0.000258682886240262,30.4519132281396,30.4519132281396,"triple_resid"
"venue_2536__dunedin__1H","venue_2536__dunedin","1H",1086,"2536","TD Ballpark","TOR",-0.00027458997333223,0.001533363562368,0,0,-0.00027458997333223,-0.00027458997333223,26.1752195146939,26.1752195146939,"triple_resid"
"venue_12__trop_return__1H","venue_12__trop_return","1H",2241,"12","Tropicana Field","TBR",-0.000348486854678518,0.00131636083425555,0,0,-0.000348486854678518,-0.000348486854678518,6.30770222068892,6.30770222068892,"triple_resid"
"venue_2397__base__1H","venue_2397__base","1H",88,"2397","Tokyo Dome","CHC",-0.000415390606786594,0.00194791432222538,0,0,-0.000415390606786594,-0.000415390606786594,-11.6796800317801,-11.6796800317801,"triple_resid"
"venue_10__base__1H","venue_10__base","1H",18927,"10","Oakland Coliseum","ATH",-0.00046678987552714,0.000438726161004654,0,0,-0.00046678987552714,-0.00046678987552714,-25.4986104385543,-25.4986104385543,"triple_resid"
"venue_10__base__2H","venue_10__base","2H",18694,"10","Oakland Coliseum","ATH",-0.00046678987552714,0.000438726161004654,0,0,-0.00046678987552714,-0.00046678987552714,-25.4986104385543,-25.4986104385543,"triple_resid"
"venue_3312__base__1H","venue_3312__base","1H",23157,"3312","Target Field","MIN",-0.000503043454207173,0.000404086506855189,0,0,-0.000503043454207173,-0.000503043454207173,-35.2455522346481,-35.2455522346481,"triple_resid"
