"park_era_id","venue_id","venue_name","home_team","component","delta_overall","pf_index_overall","park_se","n_bbe"
"venue_5__wind_tunnel","5","Progressive Field","CLE","triple_resid",-0.00264675468496888,439.80051772859,0.000832420065065758,9020
"venue_3313__base","3313","Yankee Stadium","NYY","triple_resid",-0.00223907570656726,387.461126883397,0.000431126228376709,40556
"venue_22__base","22","Dodger Stadium","LAD","triple_resid",-0.00220628313663357,383.25109098381,0.000431943561532694,40181
"venue_680__base","680","T-Mobile Park","SEA","triple_resid",-0.00215654112647587,376.865020940962,0.000431723019035145,40356
"venue_2523__steinbrenner","2523","George M. Steinbrenner Field","TBR","triple_resid",-0.0018085646800456,332.190470131297,0.00113673851709809,4071
"venue_14__base","14","Rogers Centre","TOR","triple_resid",-0.00167953949436245,315.625721934515,0.00043278506799728,40396
"venue_2__base","2","Oriole Park at Camden Yards","BAL","triple_resid",-0.0015646965711971,300.881746993932,0.000543206660521415,25516
"venue_5__base","5","Progressive Field","CLE","triple_resid",-0.00155447081085135,299.568924661215,0.000483185054965302,32332
"venue_3289__base","3289","Citi Field","NYM","triple_resid",-0.00153724675078796,297.357633769706,0.000516434484932521,27672
"venue_2529__sutter_health","2529","Sutter Health Park","ATH","triple_resid",-0.00152223726413064,295.430658305769,0.00102772658861024,5251
"venue_3289__rf_in_362","3289","Citi Field","NYM","triple_resid",-0.00148790402111403,291.022824886752,0.000714409200084551,12918
"venue_5325__globe_life","5325","Globe Life Field","TEX","triple_resid",-0.00142813566260642,283.349533788028,0.000575098104784037,21235
"venue_2602__base","2602","Great American Ball Park","CIN","triple_resid",-0.00129358573407867,266.075497915447,0.000427334669639484,41232
"venue_1__base","1","Angel Stadium","LAA","triple_resid",-0.00124017286312451,259.218148684456,0.000426840216359849,41443
"venue_3309__base","3309","Nationals Park","WSH","triple_resid",-0.00115968095315769,248.884288567001,0.00042244725131934,42510
"venue_5381__base","5381","London Stadium","BOS","triple_resid",-0.00114223915798655,246.645044007266,0.00183484150030336,346
"venue_2889__base","2889","Busch Stadium","STL","triple_resid",-0.00111867440326068,243.619710416105,0.000423890446162983,42405
"venue_4__base","4","Guaranteed Rate Field","CHW","triple_resid",-0.00108592112351128,239.41471874107,0.000427851190359664,41239
"venue_7__walls_in","7","Kauffman Stadium","KCR","triple_resid",-0.00090428080361986,216.095037816346,0.00155430141429605,1155
"venue_2756__buffalo","2756","Sahlen Field","TOR","triple_resid",-0.00081459961489527,204.581422847723,0.00152648028167548,1197
"venue_2735__base","2735","Journey Bank Ballpark","NYM","triple_resid",-0.000777801242938892,199.857106720748,0.00187310577184887,269
"venue_2680__base","2680","Petco Park","SDP","triple_resid",-0.000663888564499143,185.232560165867,0.000429904404954845,40637
"venue_3312__base","3312","Target Field","MIN","triple_resid",-0.000640199280828013,182.1912390711,0.00042078907685515,43150
"venue_4705__suntrust","4705","Truist Park","ATL","triple_resid",-0.000638869377614721,182.020500995912,0.000472806796627785,33199
"venue_12__trop_return","12","Tropicana Field","TBR","triple_resid",-0.000593965361332493,176.255551162273,0.00161381960081536,931
"venue_2__wall_medium","2","Oriole Park at Camden Yards","BAL","triple_resid",-0.000476071130084178,161.119837587117,0.0010161628408257,5322
"venue_10__base","10","Oakland Coliseum","ATH","triple_resid",-0.00032852802755709,142.177688202926,0.000450698973710132,37462
"venue_2397__base","2397","Tokyo Dome","CHC","triple_resid",-0.000325126068597839,141.740931663981,0.00198398472765316,88
"venue_2392__base","2392","Minute Maid Park","HOU","triple_resid",-0.000321079491485047,141.221416574137,0.000430269087113102,40963
"venue_2__wall_deep","2","Oriole Park at Camden Yards","BAL","triple_resid",-0.000227833523485572,129.250141569972,0.000736533183026376,12368
"venue_2536__dunedin","2536","TD Ballpark","TOR","triple_resid",-0.000143275757545422,118.394291268616,0.00155616722669643,1086
"venue_3949__base","3949","Rickwood Field","STL","triple_resid",-0.000130533611874017,116.758405736531,0.00202244975224595,32
"venue_31__base","31","PNC Park","PIT","triple_resid",-0.000116119458256202,114.907861411525,0.000422579915947923,42411
"venue_2756__base","2756","Sahlen Field","TOR","triple_resid",-9.20748384930417e-05,111.820920906419,0.00201609713603898,41
"venue_5150__base","5150","Gocheok Sky Dome","LAD","triple_resid",4.14368891500756e-05,94.6801732452876,0.00196130718628318,123
"venue_3__base","3","Fenway Park","BOS","triple_resid",6.89280196955431e-05,91.1507564673198,0.000420789163856908,43418
"venue_32__base","32","American Family Field","MIL","triple_resid",7.12706971754889e-05,90.8499945474193,0.000431335633992893,40326
"venue_16__base","16","Turner Field","ATL","triple_resid",0.000301055626256155,61.349324042795,0.000887645243642938,8142
"venue_12__base","12","Tropicana Field","TBR","triple_resid",0.000318740399974965,59.0788849651987,0.00045917460294344,35392
"venue_5365__base","5365","TD Ameritrade Park","KCR","triple_resid",0.000404314797681629,48.0925155785025,0.00201551776409603,44
"venue_2681__base","2681","Citizens Bank Park","PHI","triple_resid",0.000443920356805244,43.0078019964076,0.000426248600077735,41699
"venue_6130__base","6130","Bristol Motor Speedway","CIN","triple_resid",0.00047671848559316,38.7970524297949,0.00201394476349259,44
"venue_2536__base","2536","TD Ballpark","TOR","triple_resid",0.000551773510526993,29.1612004653168,0.00201260156288994,46
"venue_4169__cf_in_407","4169","Marlins Park","MIA","triple_resid",0.000756207542578607,2.91517535124456,0.000662488106301806,16372
"venue_4169__fence_reduced","4169","loanDepot park","MIA","triple_resid",0.00076752248488413,1.46251966111925,0.000567286590007914,21742
"venue_5340__base","5340","Estadio Alfredo Harp Helu","AZ","triple_resid",0.00084083417813628,-7.94951669574953,0.00184251073252904,326
"venue_2395__bullpen_center","2395","Oracle Park","SFG","triple_resid",0.00107086089200032,-37.4812284581968,0.000571877200000113,21341
"venue_17__base","17","Wrigley Field","CHC","triple_resid",0.00110089015726372,-41.3365007059272,0.000428302813020495,41146
"venue_13__base","13","Globe Life Park in Arlington","TEX","triple_resid",0.00114674749280696,-47.2238413226225,0.000590789529660449,21464
"venue_2394__cf_in_412","2394","Comerica Park","DET","triple_resid",0.00161098491302259,-106.82442185021,0.000711941690113236,13067
"venue_4169__base","4169","Marlins Park","MIA","triple_resid",0.00170023879271918,-118.283177246932,0.00114034882966857,4273
"venue_7__base","7","Kauffman Stadium","KCR","triple_resid",0.00230806748698162,-196.318556261704,0.000424610200729118,42977
"venue_15__humidor","15","Chase Field","AZ","triple_resid",0.00358545173470271,-360.31404521994,0.000491636760644106,30445
"venue_2395__base","2395","AT&T Park","SFG","triple_resid",0.0039752416368517,-410.35676784467,0.000596390154697483,20624
"venue_2394__base","2394","Comerica Park","DET","triple_resid",0.00420480030077709,-439.82838956085,0.000503947501153777,30007
"venue_15__base","15","Chase Field","AZ","triple_resid",0.00501965987831919,-544.443187410225,0.000748920499540831,12397
"venue_19__base","19","Coors Field","COL","triple_resid",0.00530030402409935,-580.473359218429,0.000415353048633,44926
