"park_era_half_id","park_era_id","half","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","half_effect","half_se","delta_overall","delta_half","pf_index_overall","pf_index_half","component"
"home_bal__wall_deep__2H","home_bal__wall_deep","2H",8130,,,"BAL",-0.0132204863256717,0.00273797770705817,-0.000854856363001443,0.00159480062289285,-0.0132204863256717,-0.0140753426886731,231.061576591981,239.536213601143,"xbh_resid"
"home_stl__base__2H","home_stl__base","2H",27348,,,"STL",-0.0121953025902184,0.00190888715290169,-0.000852548919328846,0.00145984911472628,-0.0121953025902184,-0.0130478515095472,220.898395499009,229.35015761551,"xbh_resid"
"home_bal__wall_deep__1H","home_bal__wall_deep","1H",7761,,,"BAL",-0.0132204863256717,0.00273797770705817,0.000208655480034564,0.00159544120105438,-0.0132204863256717,-0.0130118308456371,231.061576591981,228.993065986226,"xbh_resid"
"home_atl__base__2H","home_atl__base","2H",5194,,,"ATL",-0.0111983952141276,0.00324225261356919,-0.000841289282321208,0.0016349778283141,-0.0111983952141276,-0.0120396844964488,211.015532705004,219.355672166958,"xbh_resid"
"home_stl__base__1H","home_stl__base","1H",28269,,,"STL",-0.0121953025902184,0.00190888715290169,0.000256457738652455,0.00145951309029199,-0.0121953025902184,-0.0119388448515659,220.898395499009,218.355996170496,"xbh_resid"
"home_atl__base__1H","home_atl__base","1H",5463,,,"ATL",-0.0111983952141276,0.00324225261356919,0.000293925690928273,0.00163389863262419,-0.0111983952141276,-0.0109044695231994,211.015532705004,208.10169402275,"xbh_resid"
"home_mia__base__2H","home_mia__base","2H",27620,,,"MIA",-0.00895713789434405,0.00192949547989722,-0.00114741846584554,0.00147052652768474,-0.00895713789434405,-0.0101045563601896,188.796779881308,200.171737612814,"xbh_resid"
"home_nym__base__1H","home_nym__base","1H",24744,,,"NYM",-0.00825990833843785,0.00193226592481512,-0.00148884382966827,0.0014718437172412,-0.00825990833843785,-0.00974875216810612,181.884779627115,196.644465073532,"xbh_resid"
"home_sfg__base__2H","home_sfg__base","2H",26616,,,"SFG",-0.00843867940681867,0.0019252615030457,-0.000480593843763219,0.00146876489996733,-0.00843867940681867,-0.00891927325058189,183.657030472799,188.421407917954,"xbh_resid"
"home_sfg__base__1H","home_sfg__base","1H",27316,,,"SFG",-0.00843867940681867,0.0019252615030457,6.81217190430908e-05,0.0014686232596129,-0.00843867940681867,-0.00837055768777558,183.657030472799,182.981704340461,"xbh_resid"
"home_mia__base__1H","home_mia__base","1H",26156,,,"MIA",-0.00895713789434405,0.00192949547989722,0.000709604736911554,0.00147143435938382,-0.00895713789434405,-0.0082475331574325,188.796779881308,181.762098003065,"xbh_resid"
