"park_era_hand_id","park_era_id","hand","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","hand_effect","hand_se","delta_hand","pf_index_hand","hand_se_combined","component"
"venue_10__base__L","venue_10__base","L",14507,"10","Oakland Coliseum","ATH",-0.00684353244370836,0.00241406927172633,-0.00116059958615291,0.00191811006399397,-0.00800413202986128,3.13299202752575,0.00308332234226139,"xbh_resid"
"venue_10__base__R","venue_10__base","R",23114,"10","Oakland Coliseum","ATH",-0.00684353244370836,0.00241406927172633,0.000675944006085114,0.00190882774461076,-0.00616758843762325,25.3590725228772,0.00307755646695379,"xbh_resid"
"venue_12__base__L","venue_12__base","L",14082,"12","Tropicana Field","TBR",-0.00216570775271714,0.00243028048231701,-0.000278020792535981,0.00192581481000977,-0.00244372854525312,70.425691181446,0.00310081052390886,"xbh_resid"
"venue_12__base__R","venue_12__base","R",21554,"12","Tropicana Field","TBR",-0.00216570775271714,0.00243028048231701,0.000124646441529443,0.00191713335922354,-0.0020410613111877,75.2988204635407,0.00309542622909652,"xbh_resid"
"venue_12__trop_return__L","venue_12__trop_return","L",1049,"12","Tropicana Field","TBR",0.006510328934803,0.0053056872179024,-0.000551702190469549,0.00220548522648866,0.00595862674433345,172.112046902149,0.00574582299922933,"xbh_resid"
"venue_12__trop_return__R","venue_12__trop_return","R",1192,"12","Tropicana Field","TBR",0.006510328934803,0.0053056872179024,0.00101276046296982,0.002202589725223,0.00752308939777282,191.045369810614,0.00574471220792398,"xbh_resid"
"venue_13__base__L","venue_13__base","L",9273,"13","Globe Life Park in Arlington","TEX",0.00665459632083367,0.00275911983424352,1.54155843248294e-05,0.00200715765104881,0.0066700119051585,180.721319186521,0.00341195312041063,"xbh_resid"
"venue_13__base__R","venue_13__base","R",12555,"13","Globe Life Park in Arlington","TEX",0.00665459632083367,0.00275911983424352,0.000455859633031613,0.00199975551838759,0.00711045595386528,186.051628209203,0.00340760390788566,"xbh_resid"
"venue_14__base__L","venue_14__base","L",9346,"14","Rogers Centre","TOR",0.00551823779891243,0.00260936573842219,-0.000961234550176868,0.00198202152705363,0.00455700324873556,155.149423869949,0.00327676652976003,"xbh_resid"
"venue_14__base__R","venue_14__base","R",17701,"14","Rogers Centre","TOR",0.00551823779891243,0.00260936573842219,0.00135203341952372,0.00196766672898654,0.00687027121843615,183.144882469018,0.00326810371824582,"xbh_resid"
"venue_14__of_renovation__L","venue_14__of_renovation","L",5750,"14","Rogers Centre","TOR",0.00148822704693454,0.00301088888057393,0.00187150121891912,0.00205883584787747,0.00335972826585365,140.659852123833,0.00364750008905676,"xbh_resid"
"venue_14__of_renovation__R","venue_14__of_renovation","R",9133,"14","Rogers Centre","TOR",0.00148822704693454,0.00301088888057393,-0.00176610571613819,0.00204739666810571,-0.000277878669203653,96.6370775538547,0.00364105547441042,"xbh_resid"
"venue_15__base__L","venue_15__base","L",4697,"15","Chase Field","AZ",0.0171213873350454,0.00321310900086817,-0.000214825509552785,0.00208850663836016,0.0169065618254926,304.605327976519,0.00383222251832204,"xbh_resid"
"venue_15__base__R","venue_15__base","R",8029,"15","Chase Field","AZ",0.0171213873350454,0.00321310900086817,0.00142735368539926,0.00207429916205144,0.0185487410204447,324.47918620077,0.00382449819782247,"xbh_resid"
"venue_15__humidor__L","venue_15__humidor","L",14923,"15","Chase Field","AZ",0.00165520016290239,0.00247901332276974,-0.00116237015687466,0.00192995134267343,0.000492830006027736,105.964290437097,0.00314169050664716,"xbh_resid"
"venue_15__humidor__R","venue_15__humidor","R",16973,"15","Chase Field","AZ",0.00165520016290239,0.00247901332276974,0.00127959061308191,0.00192720614726553,0.00293479077598431,135.51720541768,0.00314000487078093,"xbh_resid"
"venue_16__base__L","venue_16__base","L",4147,"16","Turner Field","ATL",-0.00946674388260035,0.00362616859801377,0.000171308499753683,0.00212031660120889,-0.00929543538284667,-12.4945228262849,0.00420057629267499,"xbh_resid"
"venue_16__base__R","venue_16__base","R",4244,"16","Turner Field","ATL",-0.00946674388260035,0.00362616859801377,-0.000841738615408259,0.00211882678110553,-0.0103084824980086,-24.7545458512405,0.00419982447604077,"xbh_resid"
