"build_date","data_through","park_era_id","status","team_id","team","park","era","years_used","total_bbe","overall_idx","bacon_idx","hr_idx","carry_idx","carry_ft","lhb_overall_idx","rhb_overall_idx","overall_resid","overall_se"
"2026-07-07","2026-06-30","venue_19__base","current","COL","Rockies","Coors Field","base configuration","2015-2026",46437,130.83,134.38,105.16,138.76,12.8,130.67,130.83,0.0354898624960152,0.00314658401498012
"2026-07-07","2026-06-30","venue_2529__sutter_health","current","ATH","Athletics","Sutter Health Park","sutter health","2025-2026",6288,124.01,120.15,114.38,113.89,4.5,123.57,124.34,0.027598829103304,0.00583738661104004
"2026-07-07","2026-06-30","venue_2602__base","current","CIN","Reds","Great American Ball Park","base configuration","2015-2026",42321,114.85,109.61,120.62,101.82,0.48,116.2,113.41,0.0169848667566276,0.00320118008030366
"2026-07-07","2026-06-30","venue_3__base","current","BOS","Red Sox","Fenway Park","base configuration","2015-2026",44807,109.16,117.44,88.94,91.5,-2.96,108.46,109.82,0.0103957694358695,0.00316894638762504
"2026-07-07","2026-06-30","venue_2392__base","current","HOU","Astros","Daikin Park","base configuration","2015-2026",42346,108.16,105.43,109.64,98.42,-0.66,107.34,108.94,0.0092361869986108,0.00321773514418811
"2026-07-07","2026-06-30","venue_2681__base","current","PHI","Phillies","Citizens Bank Park","base configuration","2015-2026",43012,107.8,103.88,109.65,96.54,-1.29,107.47,108.08,0.00881611290412489,0.00318953422632912
"2026-07-07","2026-06-30","venue_2__wall_medium","current","BAL","Orioles","Oriole Park at Camden Yards","wall medium","2025-2026",6503,106.25,103.63,108.83,102.66,0.76,106.53,105.94,0.00702935331439464,0.00575778972590745
"2026-07-07","2026-06-30","venue_32__base","current","MIL","Brewers","American Family Field","base configuration","2015-2026",41791,104.38,100.83,109.01,104.19,1.27,104.99,103.75,0.0048594440098154,0.00321014857794804
"2026-07-07","2026-06-30","venue_7__walls_in","current","KC","Royals","Kauffman Stadium","walls in","2026",2230,101.83,100.28,96.99,113.15,4.26,102.13,101.52,0.00190984143953172,0.00831851537133902
"2026-07-07","2026-06-30","venue_14__of_renovation","current","TOR","Blue Jays","Rogers Centre","of renovation","2023-2026",14883,100.26,101.32,103.05,92.29,-2.7,100.85,99.66,8.505525696594e-05,0.00432256570762022
"2026-07-07","2026-06-30","venue_15__humidor","current","AZ","Diamondbacks","Chase Field","humidor","2018-2026",31896,99.74,102.17,86.49,112.66,4.09,99.82,99.66,-0.000517887564128724,0.00343131725560536
"2026-07-07","2026-06-30","venue_12__trop_return","current","TBR","Rays","Tropicana Field","trop return","2026",2241,99.66,100.52,106.28,107.23,2.28,99.48,99.83,-0.000609969148653352,0.00830726337859984
"2026-07-07","2026-06-30","venue_22__base","current","LAD","Dodgers","Dodger Stadium","base configuration","2015-2026",41473,99.34,94.26,110.11,94.33,-2.02,98.18,100.51,-0.000978306125369809,0.00321369715446069
"2026-07-07","2026-06-30","venue_17__base","current","CHC","Cubs","Wrigley Field","base configuration","2015-2026",42356,97.97,97.04,100.53,90.46,-3.31,98,97.95,-0.0025605862991562,0.00320387072348953
"2026-07-07","2026-06-30","venue_4__base","current","CHW","White Sox","Rate Field","base configuration","2015-2026",43008,97.22,94.56,104.33,94.39,-2,96.51,97.95,-0.00343319571203305,0.00319563026973934
"2026-07-07","2026-06-30","venue_2394__cf_in_412","current","DET","Tigers","Comerica Park","cf in 412","2023-2026",14410,97.11,95.45,96.82,96.88,-1.17,97.25,96.98,-0.00356169921200316,0.00435090920726915
"2026-07-07","2026-06-30","venue_5__wind_tunnel","current","CLE","Guardians","Progressive Field","wind tunnel","2024-2026",9991,96.09,95.91,92.03,93.88,-2.17,95.76,96.44,-0.00474275707645569,0.0049321668630276
"2026-07-07","2026-06-30","venue_3312__base","current","MIN","Twins","Target Field","base configuration","2015-2026",44582,95.8,101.12,94.41,100.36,-0.01,95.38,96.24,-0.00507870076473413,0.00316444839501108
"2026-07-07","2026-06-30","venue_3313__base","current","NYY","Yankees","Yankee Stadium","base configuration","2015-2026",41895,95.63,91.87,112.24,93.36,-2.34,96.95,94.33,-0.0052725009950757,0.00321129643732016
"2026-07-07","2026-06-30","venue_4705__suntrust","current","ATL","Braves","Truist Park","suntrust","2017-2026",34481,95.05,98.12,95.17,102.59,0.73,95.6,94.52,-0.00594194581998913,0.00336706640514143
"2026-07-07","2026-06-30","venue_3309__base","current","WSH","Nationals","Nationals Park","base configuration","2015-2026",44124,94.99,96.82,98.72,95.15,-1.75,94.59,95.4,-0.00601964285630212,0.00317061681242157
"2026-07-07","2026-06-30","venue_4169__fence_reduced","current","MIA","Marlins","loanDepot park","fence reduced","2021-2026",22908,94.61,97.53,88.67,96.47,-1.31,95.21,94.03,-0.00645605811512077,0.00375573778375304
"2026-07-07","2026-06-30","venue_1__base","current","LAA","Angels","Angel Stadium","base configuration","2015-2026",42985,94.14,93.15,104.32,99.73,-0.22,93.99,94.33,-0.0069931697734215,0.0032002777231494
"2026-07-07","2026-06-30","venue_2395__bullpen_center","current","SFG","Giants","Oracle Park","bullpen center","2021-2026",22579,93.7,99.16,78.58,94.36,-2.01,92.91,94.52,-0.00751048362343697,0.00376937844350491
"2026-07-07","2026-06-30","venue_5325__globe_life","current","TEX","Rangers","Globe Life Field","globe life","2021-2026",22406,93.62,96.01,100.74,105.9,1.84,92.45,94.83,-0.00760118889187151,0.00378073523095102
"2026-07-07","2026-06-30","venue_31__base","current","PIT","Pirates","PNC Park","base configuration","2015-2026",44069,93.53,95.4,85.63,100.44,0.02,94.85,92.23,-0.00770985992633993,0.00317430808534474
"2026-07-07","2026-06-30","venue_2680__base","current","SDP","Padres","Petco Park","base configuration","2015-2026",41941,93.24,91.51,95.13,90.55,-3.28,93.25,93.27,-0.00803765391862099,0.00320877159811503
"2026-07-07","2026-06-30","venue_3289__rf_in_362","current","NYM","Mets","Citi Field","rf in 362","2023-2026",14111,90.5,89.09,99.13,91.24,-3.05,91.74,89.3,-0.0112162930209763,0.00437562709536701
"2026-07-07","2026-06-30","venue_680__base","current","SEA","Mariners","T-Mobile Park","base configuration","2015-2026",42045,86.22,83.21,101.52,89.12,-3.76,85.89,86.62,-0.0161733020509106,0.00320455145420358
"2026-07-07","2026-06-30","venue_2889__base","current","STL","Cardinals","Busch Stadium","base configuration","2015-2026",44130,84.33,90.16,82.88,97.7,-0.89,83.98,84.77,-0.01835518422852,0.00318132066928987
"2026-07-07","2026-06-30","venue_10__base","historical","ATH","Athletics","Oakland Coliseum","base configuration","2015-2024",37621,84.31,84.66,84.88,91.25,-3.05,83.78,84.93,-0.0183804066544397,0.00331024341659348
"2026-07-07","2026-06-30","venue_14__base","historical","TOR","Blue Jays","Rogers Centre","base configuration","2015-2022",27047,93.3,89.56,104.93,98.86,-0.51,93.52,93.1,-0.00797662678023233,0.00363796780786013
"2026-07-07","2026-06-30","venue_2536__dunedin","historical","TOR","Blue Jays","TD Ballpark","dunedin","2021",1086,117.77,107.35,118.45,103.5,1.04,117.41,118.04,0.0203663868576345,0.00998608731532274
"2026-07-07","2026-06-30","venue_2756__buffalo","historical","TOR","Blue Jays","Sahlen Field","buffalo","2021",1197,109.92,104.86,113.65,90.93,-3.15,109.61,110.19,0.0112801456362914,0.0097078566383726
"2026-07-07","2026-06-30","venue_16__base","historical","ATL","Braves","Turner Field","base configuration","2015-2016",8391,93.07,96.01,85.03,100.24,-0.05,93.43,92.74,-0.0082400280739084,0.00536538809029443
"2026-07-07","2026-06-30","venue_15__base","historical","AZ","Diamondbacks","Chase Field","base configuration","2015-2017",12726,105.03,107.52,99.37,109.93,3.18,104.98,105.04,0.0056075429474944,0.00464683149979852
"2026-07-07","2026-06-30","venue_2395__base","historical","SFG","Giants","AT&T Park","base configuration","2015-2019",20983,85.72,92.22,72.28,85.86,-4.85,85.06,86.47,-0.0167454029746946,0.00392313670090258
"2026-07-07","2026-06-30","venue_5__base","historical","CLE","Guardians","Progressive Field","base configuration","2015-2023",32827,97.92,95.49,98.15,93.52,-2.29,97.61,98.24,-0.00262043390816773,0.00342682076455839
