"Team","Park","Roof Status","Stuff+ Delta","Loc+ Delta","Pitching+ Delta","Seasons Incl.","n_starts"
"COL","Coors Field","outdoor",-3.93,-0.4,-4.22,"2021, 2022, 2023, 2024, 2025, 2026",812
"TBR","George M. Steinbrenner Field","outdoor",-1.44,-0.65,-2.28,"2025",159
"DET","Comerica Park","outdoor",-1.41,0.48,-0.7,"2021, 2022, 2023, 2024, 2025, 2026",815
"KCR","Kauffman Stadium","outdoor",-1.29,-0.93,-2.09,"2021, 2022, 2023, 2024, 2025, 2026",818
"ATH","Sutter Health Park","outdoor",-1.1,-0.22,-0.6,"2025, 2026",185
"CLE","Progressive Field","outdoor",-1.05,-0.63,-1.71,"2021, 2022, 2023, 2024, 2025, 2026",811
"PIT","PNC Park","outdoor",-1.04,0.48,-0.19,"2021, 2022, 2023, 2024, 2025, 2026",827
"ATL","Truist Park","outdoor",-0.85,-2.05,-3.14,"2021, 2022, 2023, 2024, 2025, 2026",814
"CHW","Guaranteed Rate Field","outdoor",-0.73,0.24,-0.63,"2021, 2022, 2023, 2024, 2025, 2026",810
"ARI","Chase Field","closed",-0.72,0.42,0.07,"2021, 2022, 2023, 2024, 2025, 2026",598
"MIN","Target Field","outdoor",-0.62,0.4,-0.17,"2021, 2022, 2023, 2024, 2025, 2026",829
"ARI","Chase Field","open",-0.61,1.1,0.91,"2021, 2022, 2023, 2024, 2025, 2026",217
"LAD","Dodger Stadium","outdoor",-0.44,-0.43,-0.84,"2021, 2022, 2023, 2024, 2025",785
"SFG","Oracle Park","outdoor",-0.44,0.41,0.16,"2021, 2022, 2023, 2024, 2025, 2026",817
"CHC","Wrigley Field","outdoor",-0.34,0.09,-0.31,"2021, 2022, 2023, 2024, 2025, 2026",818
"WSN","Nationals Park","outdoor",-0.26,0.1,-0.14,"2021, 2022, 2023, 2024, 2025, 2026",812
"CIN","Great American Ball Park","outdoor",-0.24,-0.43,-0.57,"2021, 2022, 2023, 2024, 2025, 2026",816
"TEX","Globe Life Field","closed",-0.21,0.09,0.13,"2021, 2022, 2023, 2024, 2025, 2026",705
"STL","Busch Stadium","outdoor",-0.15,-0.74,-0.98,"2021, 2022, 2023, 2024, 2025, 2026",813
"BOS","Fenway Park","outdoor",-0.05,-0.96,-0.87,"2021, 2022, 2023, 2024, 2025, 2026",819
"SEA","T-Mobile Park","open",0.09,1.28,1.11,"2021, 2022, 2023, 2024, 2025, 2026",691
"MIL","American Family Field","open",0.19,0.44,0.24,"2021, 2022, 2023, 2024, 2025",429
"MIL","American Family Field","closed",0.23,1.57,1.93,"2021, 2022, 2023, 2024, 2025, 2026",395
"NYM","Citi Field","outdoor",0.24,-0.93,-0.53,"2021, 2022, 2023, 2024, 2025, 2026",822
"OAK","Oakland Coliseum","outdoor",0.26,0.38,0.72,"2021, 2022, 2023, 2024",629
"BAL","Oriole Park at Camden Yards","outdoor",0.36,-0.29,-0.05,"2021, 2022, 2023, 2024, 2025, 2026",825
"TOR","Rogers Centre","open",0.42,-0.74,-0.1,"2021, 2022, 2023, 2024, 2025",436
"NYY","Yankee Stadium","outdoor",0.49,-0.67,0.34,"2021, 2022, 2023, 2024, 2025, 2026",825
"LAA","Angel Stadium","outdoor",0.57,-0.01,0.45,"2021, 2022, 2023, 2024, 2025, 2026",813
"PHI","Citizens Bank Park","outdoor",0.75,-0.35,0.03,"2021, 2022, 2023, 2024, 2025, 2026",812
"TEX","Globe Life Field","open",0.76,0.59,1.22,"2021, 2022, 2023, 2024, 2025, 2026",111
"SEA","T-Mobile Park","closed",1.47,-0.94,0.36,"2021, 2022, 2023, 2024, 2025, 2026",132
"TOR","Rogers Centre","closed",1.61,-0.51,0.98,"2021, 2022, 2023, 2024, 2025, 2026",287
"MIA","loanDepot park","closed",1.62,0.14,1.91,"2021, 2022, 2023, 2024, 2025, 2026",811
"SDP","Petco Park","outdoor",1.68,-0.29,1.68,"2021, 2022, 2023, 2024, 2025, 2026",820
"TBR","Tropicana Field","closed",2.17,0.23,2.64,"2021, 2022, 2023, 2024, 2026",649
"HOU","Daikin Park","closed",2.2,-1.06,1.26,"2021, 2022, 2023, 2024, 2025, 2026",799
