"season","home_team","venue_id","venue_name","park_era_id","n_bbe"
2015,"ATH",-1,"unknown_venue","home_ath__base",5381
2016,"ATH",-1,"unknown_venue","home_ath__base",5755
2017,"ATH",-1,"unknown_venue","home_ath__base",5850
2018,"ATH",-1,"unknown_venue","home_ath__base",5365
2019,"ATH",-1,"unknown_venue","home_ath__base",6067
2021,"ATH",-1,"unknown_venue","home_ath__base",5341
2022,"ATH",-1,"unknown_venue","home_ath__base",5458
2023,"ATH",-1,"unknown_venue","home_ath__base",5662
2024,"ATH",-1,"unknown_venue","home_ath__base",5039
2025,"ATH",-1,"unknown_venue","home_ath__sutter_health",5527
2015,"ATL",-1,"unknown_venue","home_atl__base",4828
2016,"ATL",-1,"unknown_venue","home_atl__base",5829
2017,"ATL",-1,"unknown_venue","home_atl__suntrust",6044
2018,"ATL",-1,"unknown_venue","home_atl__suntrust",5518
2019,"ATL",-1,"unknown_venue","home_atl__suntrust",5450
2021,"ATL",-1,"unknown_venue","home_atl__suntrust",4592
2022,"ATL",-1,"unknown_venue","home_atl__suntrust",5239
2023,"ATL",-1,"unknown_venue","home_atl__suntrust",5437
2024,"ATL",-1,"unknown_venue","home_atl__suntrust",4806
2025,"ATL",-1,"unknown_venue","home_atl__suntrust",5520
2015,"AZ",-1,"unknown_venue","home_az__base",4985
2016,"AZ",-1,"unknown_venue","home_az__base",6173
2017,"AZ",-1,"unknown_venue","home_az__base",5838
2018,"AZ",-1,"unknown_venue","home_az__base",5481
2019,"AZ",-1,"unknown_venue","home_az__base",5828
2021,"AZ",-1,"unknown_venue","home_az__base",5287
2022,"AZ",-1,"unknown_venue","home_az__base",5564
2023,"AZ",-1,"unknown_venue","home_az__base",5798
2024,"AZ",-1,"unknown_venue","home_az__base",5544
2025,"AZ",-1,"unknown_venue","home_az__base",5697
2015,"BAL",-1,"unknown_venue","home_bal__base",5305
2016,"BAL",-1,"unknown_venue","home_bal__base",5627
2017,"BAL",-1,"unknown_venue","home_bal__base",6162
2018,"BAL",-1,"unknown_venue","home_bal__base",5633
2019,"BAL",-1,"unknown_venue","home_bal__base",6170
2021,"BAL",-1,"unknown_venue","home_bal__base",5673
2022,"BAL",-1,"unknown_venue","home_bal__wall_deep",5456
2023,"BAL",-1,"unknown_venue","home_bal__wall_deep",5540
2024,"BAL",-1,"unknown_venue","home_bal__wall_deep",4895
2025,"BAL",-1,"unknown_venue","home_bal__wall_medium",5305
2015,"BOS",-1,"unknown_venue","home_bos__base",5754
2016,"BOS",-1,"unknown_venue","home_bos__base",5744
2017,"BOS",-1,"unknown_venue","home_bos__base",6380
2018,"BOS",-1,"unknown_venue","home_bos__base",5742
2019,"BOS",-1,"unknown_venue","home_bos__base",5868
2021,"BOS",-1,"unknown_venue","home_bos__base",5366
2022,"BOS",-1,"unknown_venue","home_bos__base",5507
2023,"BOS",-1,"unknown_venue","home_bos__base",5961
2024,"BOS",-1,"unknown_venue","home_bos__base",4877
2025,"BOS",-1,"unknown_venue","home_bos__base",5368
2015,"CHC",-1,"unknown_venue","home_chc__base",4765
2016,"CHC",-1,"unknown_venue","home_chc__base",5410
2017,"CHC",-1,"unknown_venue","home_chc__base",5285
2018,"CHC",-1,"unknown_venue","home_chc__base",5280
2019,"CHC",-1,"unknown_venue","home_chc__base",5898
2021,"CHC",-1,"unknown_venue","home_chc__base",5304
2022,"CHC",-1,"unknown_venue","home_chc__base",5207
2023,"CHC",-1,"unknown_venue","home_chc__base",5166
2024,"CHC",-1,"unknown_venue","home_chc__base",4879
2025,"CHC",-1,"unknown_venue","home_chc__base",5070
2015,"CHW",-1,"unknown_venue","home_chw__base",5034
2016,"CHW",-1,"unknown_venue","home_chw__base",5534
2017,"CHW",-1,"unknown_venue","home_chw__base",6462
2018,"CHW",-1,"unknown_venue","home_chw__base",5702
2019,"CHW",-1,"unknown_venue","home_chw__base",5352
2021,"CHW",-1,"unknown_venue","home_chw__base",4445
2022,"CHW",-1,"unknown_venue","home_chw__base",5690
2023,"CHW",-1,"unknown_venue","home_chw__base",5944
2024,"CHW",-1,"unknown_venue","home_chw__base",5337
2025,"CHW",-1,"unknown_venue","home_chw__base",5718
2015,"CIN",-1,"unknown_venue","home_cin__base",5146
2016,"CIN",-1,"unknown_venue","home_cin__base",5685
2017,"CIN",-1,"unknown_venue","home_cin__base",5794
2018,"CIN",-1,"unknown_venue","home_cin__base",5514
2019,"CIN",-1,"unknown_venue","home_cin__base",4853
2021,"CIN",-1,"unknown_venue","home_cin__base",5046
2022,"CIN",-1,"unknown_venue","home_cin__base",5235
2023,"CIN",-1,"unknown_venue","home_cin__base",5603
2024,"CIN",-1,"unknown_venue","home_cin__base",5413
2025,"CIN",-1,"unknown_venue","home_cin__base",5265
2015,"CLE",-1,"unknown_venue","home_cle__base",4831
2016,"CLE",-1,"unknown_venue","home_cle__base",5874
2017,"CLE",-1,"unknown_venue","home_cle__base",6010
2018,"CLE",-1,"unknown_venue","home_cle__base",5780
2019,"CLE",-1,"unknown_venue","home_cle__base",5497
2021,"CLE",-1,"unknown_venue","home_cle__base",4985
2022,"CLE",-1,"unknown_venue","home_cle__base",5508
2023,"CLE",-1,"unknown_venue","home_cle__base",5662
2024,"CLE",-1,"unknown_venue","home_cle__base",5204
2025,"CLE",-1,"unknown_venue","home_cle__base",5294
2015,"COL",-1,"unknown_venue","home_col__base",5341
2016,"COL",-1,"unknown_venue","home_col__base",6323
2017,"COL",-1,"unknown_venue","home_col__base",6389
2018,"COL",-1,"unknown_venue","home_col__base",5653
2019,"COL",-1,"unknown_venue","home_col__base",6668
2021,"COL",-1,"unknown_venue","home_col__base",5532
2022,"COL",-1,"unknown_venue","home_col__base",6031
2023,"COL",-1,"unknown_venue","home_col__base",6097
2024,"COL",-1,"unknown_venue","home_col__base",5718
2025,"COL",-1,"unknown_venue","home_col__base",6148
2015,"DET",-1,"unknown_venue","home_det__base",5470
2016,"DET",-1,"unknown_venue","home_det__base",5426
2017,"DET",-1,"unknown_venue","home_det__base",6349
2018,"DET",-1,"unknown_venue","home_det__base",5607
2019,"DET",-1,"unknown_venue","home_det__base",5834
2021,"DET",-1,"unknown_venue","home_det__base",5194
2022,"DET",-1,"unknown_venue","home_det__base",5591
2023,"DET",-1,"unknown_venue","home_det__base",5574
2024,"DET",-1,"unknown_venue","home_det__base",5108
2025,"DET",-1,"unknown_venue","home_det__base",5577
2015,"HOU",-1,"unknown_venue","home_hou__base",5163
2016,"HOU",-1,"unknown_venue","home_hou__base",5582
2017,"HOU",-1,"unknown_venue","home_hou__base",6166
2018,"HOU",-1,"unknown_venue","home_hou__base",5470
2019,"HOU",-1,"unknown_venue","home_hou__base",5611
2021,"HOU",-1,"unknown_venue","home_hou__base",5073
2022,"HOU",-1,"unknown_venue","home_hou__base",4889
2023,"HOU",-1,"unknown_venue","home_hou__base",5868
2024,"HOU",-1,"unknown_venue","home_hou__base",5033
2025,"HOU",-1,"unknown_venue","home_hou__base",5203
2015,"KCR",-1,"unknown_venue","home_kcr__base",5039
2016,"KCR",-1,"unknown_venue","home_kcr__base",5767
2017,"KCR",-1,"unknown_venue","home_kcr__base",6182
2018,"KCR",-1,"unknown_venue","home_kcr__base",6087
2019,"KCR",-1,"unknown_venue","home_kcr__base",6166
2021,"KCR",-1,"unknown_venue","home_kcr__base",5161
2022,"KCR",-1,"unknown_venue","home_kcr__base",5995
2023,"KCR",-1,"unknown_venue","home_kcr__base",6167
2024,"KCR",-1,"unknown_venue","home_kcr__base",5383
2025,"KCR",-1,"unknown_venue","home_kcr__base",5454
2015,"LAA",-1,"unknown_venue","home_laa__base",5001
2016,"LAA",-1,"unknown_venue","home_laa__base",5541
2017,"LAA",-1,"unknown_venue","home_laa__base",6072
2018,"LAA",-1,"unknown_venue","home_laa__base",5496
2019,"LAA",-1,"unknown_venue","home_laa__base",5960
2021,"LAA",-1,"unknown_venue","home_laa__base",5463
2022,"LAA",-1,"unknown_venue","home_laa__base",5039
2023,"LAA",-1,"unknown_venue","home_laa__base",5237
2024,"LAA",-1,"unknown_venue","home_laa__base",5180
2025,"LAA",-1,"unknown_venue","home_laa__base",5204
2015,"LAD",-1,"unknown_venue","home_lad__base",4848
2016,"LAD",-1,"unknown_venue","home_lad__base",5206
2017,"LAD",-1,"unknown_venue","home_lad__base",5783
2018,"LAD",-1,"unknown_venue","home_lad__base",5017
2019,"LAD",-1,"unknown_venue","home_lad__base",5338
2021,"LAD",-1,"unknown_venue","home_lad__base",4552
2022,"LAD",-1,"unknown_venue","home_lad__base",5136
2023,"LAD",-1,"unknown_venue","home_lad__base",5650
2024,"LAD",-1,"unknown_venue","home_lad__base",5025
2025,"LAD",-1,"unknown_venue","home_lad__base",5385
2015,"MIA",-1,"unknown_venue","home_mia__base",5389
2016,"MIA",-1,"unknown_venue","home_mia__base",5234
2017,"MIA",-1,"unknown_venue","home_mia__base",6357
2018,"MIA",-1,"unknown_venue","home_mia__base",5614
2019,"MIA",-1,"unknown_venue","home_mia__base",5387
2021,"MIA",-1,"unknown_venue","home_mia__base",4646
2022,"MIA",-1,"unknown_venue","home_mia__base",5287
2023,"MIA",-1,"unknown_venue","home_mia__base",5464
2024,"MIA",-1,"unknown_venue","home_mia__base",4973
2025,"MIA",-1,"unknown_venue","home_mia__base",5425
2015,"MIL",-1,"unknown_venue","home_mil__base",4980
2016,"MIL",-1,"unknown_venue","home_mil__base",5476
2017,"MIL",-1,"unknown_venue","home_mil__base",6000
2018,"MIL",-1,"unknown_venue","home_mil__base",4925
2019,"MIL",-1,"unknown_venue","home_mil__base",5378
2021,"MIL",-1,"unknown_venue","home_mil__base",4905
2022,"MIL",-1,"unknown_venue","home_mil__base",5002
2023,"MIL",-1,"unknown_venue","home_mil__base",5575
2024,"MIL",-1,"unknown_venue","home_mil__base",4560
2025,"MIL",-1,"unknown_venue","home_mil__base",5278
2015,"MIN",-1,"unknown_venue","home_min__base",5324
2016,"MIN",-1,"unknown_venue","home_min__base",5791
2017,"MIN",-1,"unknown_venue","home_min__base",6240
2018,"MIN",-1,"unknown_venue","home_min__base",5500
2019,"MIN",-1,"unknown_venue","home_min__base",5948
